tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,settime_set1,scorea_set1,scoreb_set1,scoretb_set1,acesa_set1,acesb_set1,dblflta_set1,dblfltb_set1,ptswon1stserva_set1,ptswon1stservb_set1,ptsplayed1stserva_set1,ptsplayed1stservb_set1,ptstotwonserva_set1,ptstotwonservb_set1,totservplayeda_set1,totservplayedb_set1,breakptsconva_set1,breakptsconvb_set1,breakptsplayeda_set1,breakptsplayedb_set1,servgamesplayeda_set1,servgamesplayedb_set1,pts1stservlosta_set1,pts1stservlostb_set1,totptswona_set1,totptswonb_set1,acesssa_set1,acesssb_set1,settime_set2,scorea_set2,scoreb_set2,scoretb_set2,acesa_set2,acesb_set2,dblflta_set2,dblfltb_set2,ptswon1stserva_set2,ptswon1stservb_set2,ptsplayed1stserva_set2,ptsplayed1stservb_set2,ptstotwonserva_set2,ptstotwonservb_set2,totservplayeda_set2,totservplayedb_set2,breakptsconva_set2,breakptsconvb_set2,breakptsplayeda_set2,breakptsplayedb_set2,servgamesplayeda_set2,servgamesplayedb_set2,pts1stservlosta_set2,pts1stservlostb_set2,totptswona_set2,totptswonb_set2,acesssa_set2,acesssb_set2,settime_set3,scorea_set3,scoreb_set3,scoretb_set3,acesa_set3,acesb_set3,dblflta_set3,dblfltb_set3,ptswon1stserva_set3,ptswon1stservb_set3,ptsplayed1stserva_set3,ptsplayed1stservb_set3,ptstotwonserva_set3,ptstotwonservb_set3,totservplayeda_set3,totservplayedb_set3,breakptsconva_set3,breakptsconvb_set3,breakptsplayeda_set3,breakptsplayedb_set3,servgamesplayeda_set3,servgamesplayedb_set3,pts1stservlosta_set3,pts1stservlostb_set3,totptswona_set3,totptswonb_set3,acesssa_set3,acesssb_set3,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS026,2016-10-18,1,Julia Goerges,Danka Kovinic,GER,MNE,8.0,8.0,7-6(3),6-3,,I,730,2016.0,Danka Kovinic,Julia Goerges,MNE,GER,8.0,8.0,0,Julia Goerges,Danka Kovinic,2.0,"7-6(3),6-3",2016-10-18T07:14:26+00:00,2016-10-18,01:37,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS028,2016-10-18,1,Katerina Siniakova,Anastasia Pavlyuchenkova,CZE,RUS,8.0,1.0,6-7(2),7-5,3-2,I,730,2016.0,Anastasia Pavlyuchenkova,Katerina Siniakova,RUS,CZE,1.0,8.0,0,Katerina Siniakova,Anastasia Pavlyuchenkova,3.0,"6-7(2),7-5,3-2",2016-10-18T10:40:03+00:00,2016-10-18,02:17,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS030,2016-10-18,1,Daria Gavrilova,Lucie Safarova,AUS,CZE,8.0,8.0,6-2,0-0,,I,730,2016.0,Lucie Safarova,Daria Gavrilova,CZE,AUS,8.0,8.0,0,Daria Gavrilova,Lucie Safarova,2.0,6-2,2016-10-18T09:02:02+00:00,2016-10-18,00:27,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS018,2016-10-18,1,Kristina Mladenovic,Anna Kalinskaya,FRA,RUS,8.0,8.0,5-4,,,I,730,2016.0,Kristina Mladenovic,Anna Kalinskaya,FRA,RUS,8.0,8.0,0,Kristina Mladenovic,Anna Kalinskaya,1.0,5-4,2016-10-18T13:46:13+00:00,2016-10-18,00:29,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS022,2016-10-18,1,Anastasija Sevastova,Anna Blinkova,LAT,RUS,8.0,8.0,6-4,1-6,5-2,I,730,2016.0,Anastasija Sevastova,Anna Blinkova,LAT,RUS,8.0,8.0,0,Anastasija Sevastova,Anna Blinkova,3.0,"6-4,1-6,5-2",2016-10-18T12:17:11+00:00,2016-10-18,02:00,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS023,2016-10-18,1,Ana Konjuh,Barbora Strycova,CRO,CZE,8.0,1.0,6-4,1-6,6-2,I,730,2016.0,Ana Konjuh,Barbora Strycova,CRO,CZE,8.0,1.0,2,Ana Konjuh,Barbora Strycova,3.0,"6-4,1-6,6-2",2016-10-18T09:07:40+00:00,2016-10-18,01:40,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS029,2016-10-18,1,Jelena Jankovic,Jelena Ostapenko,SRB,LAT,8.0,8.0,4-2,,,I,730,2016.0,Jelena Ostapenko,Jelena Jankovic,LAT,SRB,8.0,8.0,0,Jelena Jankovic,Jelena Ostapenko,1.0,4-2,2016-10-18T07:15:22+00:00,2016-10-18,00:21,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS005,2016-10-20,1,Elina Svitolina,Ana Konjuh,UKR,CRO,1.0,8.0,5-0,,,I,730,2016.0,Elina Svitolina,Ana Konjuh,UKR,CRO,1.0,8.0,0,Elina Svitolina,Ana Konjuh,1.0,5-0,2016-10-20T09:09:37+00:00,2016-10-20,00:21,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS009,2016-10-19,2,Timea Babos,Kristina Mladenovic,HUN,FRA,1.0,8.0,6-1,6-4,,I,730,2016.0,Kristina Mladenovic,Timea Babos,FRA,HUN,8.0,1.0,3,Timea Babos,Kristina Mladenovic,2.0,"6-1,6-4",2016-10-19T10:32:52+00:00,2016-10-19,01:13,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2016,MOSCOW,WTA 500,2016-10-17,2016-10-22,Hard,MOSCOW,RUSSIA,28,758788,USD,LS017,2016-10-18,1,Alize Cornet,Shelby Rogers,FRA,USA,8.0,8.0,7-6(6),6-3,,I,730,2016.0,Alize Cornet,Shelby Rogers,FRA,USA,8.0,8.0,2,Alize Cornet,Shelby Rogers,2.0,"7-6(6),6-3",2016-10-18T10:10:10+00:00,2016-10-18,01:53,MOSCOW,"VTB Kremlin Cup - Moscow, Russia",M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
