tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,tournament_name,tournament_title,year,indoor/outdoor,playerida_raw,playeridb_raw,PlayerIDA,PlayerIDB,winner_player_name,loser_player_name,winner_bracket_number,loser_bracket_number,home_player,away_player,home_country,away_country,home_seed,away_seed,winner_player_id,loser_player_id,winner_aces,loser_aces,winner_backhand_errors,loser_backhand_errors,winner_backhand_unforced_errors,loser_backhand_unforced_errors,winner_backhand_winners,loser_backhand_winners,winner_breakpoints_won,loser_breakpoints_won,winner_double_faults,loser_double_faults,winner_drop_shot_unforced_errors,loser_drop_shot_unforced_errors,winner_drop_shot_winners,loser_drop_shot_winners,winner_first_serve_points_won,loser_first_serve_points_won,winner_first_serve_successful,loser_first_serve_successful,winner_forehand_errors,loser_forehand_errors,winner_forehand_unforced_errors,loser_forehand_unforced_errors,winner_forehand_winners,loser_forehand_winners,winner_games_won,loser_games_won,winner_groundstroke_errors,loser_groundstroke_errors,winner_groundstroke_unforced_errors,loser_groundstroke_unforced_errors,winner_groundstroke_winners,loser_groundstroke_winners,winner_lob_unforced_errors,loser_lob_unforced_errors,winner_lob_winners,loser_lob_winners,winner_max_games_in_a_row,loser_max_games_in_a_row,winner_max_points_in_a_row,loser_max_points_in_a_row,winner_overhead_stroke_errors,loser_overhead_stroke_errors,winner_overhead_stroke_unforced_errors,loser_overhead_stroke_unforced_errors,winner_overhead_stroke_winners,loser_overhead_stroke_winners,winner_points_won,loser_points_won,winner_points_won_from_last_10,loser_points_won_from_last_10,winner_return_errors,loser_return_errors,winner_return_winners,loser_return_winners,winner_second_serve_points_won,loser_second_serve_points_won,winner_second_serve_successful,loser_second_serve_successful,winner_service_games_won,loser_service_games_won,winner_service_points_lost,loser_service_points_lost,winner_service_points_won,loser_service_points_won,winner_tiebreaks_won,loser_tiebreaks_won,winner_total_breakpoints,loser_total_breakpoints,winner_volley_unforced_errors,loser_volley_unforced_errors,winner_volley_winners,loser_volley_winners,Set 1 Score,Set 2 Score,Set 3 Score,ScoreString,event_id,event_year,match_time_total,match_message,match_status,set4_score,set5_score,num_sets,match_date,winner_flag_raw,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,score_string,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101379,2025-08-30,3,Iga Swiatek,Anna Kalinskaya,POL,,2.0,29.0,7-6(2),6-4,,,326408,323942,US OPEN,"US Open - New York, NY, USA",2025.0,,323942,326408,323942,326408,Iga Swiatek,Anna Kalinskaya,,,Anna Kalinskaya,Iga Swiatek,,POL,29,2,326408,323942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-7(2),4-6,,"6(7)-7,4-6",905,2025,,,,,,2,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,"6(7)-7,4-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101381,2025-08-30,3,Amanda Anisimova,Jaqueline Cristian,USA,ROU,8.0,,6-4,4-6,6-2,,326384,320319,US OPEN,"US Open - New York, NY, USA",2025.0,,326384,320319,326384,320319,Amanda Anisimova,Jaqueline Cristian,,,Amanda Anisimova,Jaqueline Cristian,USA,ROU,8,,326384,320319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-4,4-6,6-2,"6-4,4-6,6-2",905,2025,,,,,,3,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-4,4-6,6-2",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101377,2025-08-30,3,Ekaterina Alexandrova,Laura Siegemund,,DEU,13.0,,6-0,6-1,,,319007,310926,US OPEN,"US Open - New York, NY, USA",2025.0,,319007,310926,319007,310926,Ekaterina Alexandrova,Laura Siegemund,,,Ekaterina Alexandrova,Laura Siegemund,,DEU,13,,319007,310926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-0,6-1,,"6-0,6-1",905,2025,,,,,,2,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-0,6-1",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101369,2025-08-30,3,Naomi Osaka,Daria Kasatkina,JPN,AUS,23.0,15.0,6-0,4-6,6-3,,319998,322082,US OPEN,"US Open - New York, NY, USA",2025.0,,322082,319998,322082,319998,Naomi Osaka,Daria Kasatkina,,,Daria Kasatkina,Naomi Osaka,AUS,JPN,15,23,319998,322082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-6,6-4,3-6,"0-6,6-4,3-6",905,2025,,,,,,3,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0-6,6-4,3-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101373,2025-08-30,3,Marta Kostyuk,Diane Parry,UKR,FRA,27.0,,3-6,6-4,6-2,,326482,327077,US OPEN,"US Open - New York, NY, USA",2025.0,,327077,326482,327077,326482,Marta Kostyuk,Diane Parry,,,Diane Parry,Marta Kostyuk,FRA,UKR,,27,326482,327077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-3,4-6,2-6,"6-3,4-6,2-6",905,2025,,,,,,3,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-3,4-6,2-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101371,2025-08-30,3,Coco Gauff,Magdalena Frech,USA,POL,3.0,28.0,6-3,6-1,,,328560,320277,US OPEN,"US Open - New York, NY, USA",2025.0,,320277,328560,320277,328560,Coco Gauff,Magdalena Frech,,,Magdalena Frech,Coco Gauff,POL,USA,28,3,328560,320277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-6,1-6,,"3-6,1-6",905,2025,,,,,,2,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3-6,1-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101375,2025-08-30,3,Karolina Muchova,Linda Noskova,CZE,CZE,11.0,21.0,6-7(5),6-4,6-2,,322191,329668,US OPEN,"US Open - New York, NY, USA",2025.0,,329668,322191,329668,322191,Karolina Muchova,Linda Noskova,,,Linda Noskova,Karolina Muchova,CZE,CZE,21,11,322191,329668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-6(5),4-6,2-6,"7-6(7),4-6,2-6",905,2025,,,,,,3,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,,,,,"7-6(7),4-6,2-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101363,2025-08-30,3,Taylor Townsend,Mirra Andreeva,USA,,,5.0,7-5,6-2,,,318609,331809,US OPEN,"US Open - New York, NY, USA",2025.0,,318609,331809,318609,331809,Taylor Townsend,Mirra Andreeva,,,Taylor Townsend,Mirra Andreeva,USA,,,5,318609,331809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-5,6-2,,"7-5,6-2",905,2025,,,,,,2,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7-5,6-2",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101357,2025-08-29,3,Aryna Sabalenka,Leylah Fernandez,,CAN,1.0,31.0,6-3,7-6(2),,,320760,326735,US OPEN,"US Open - New York, NY, USA",2025.0,,320760,326735,320760,326735,Aryna Sabalenka,Leylah Fernandez,,,Aryna Sabalenka,Leylah Fernandez,,CAN,1,31,320760,326735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-3,7-6(2),,"6-3,7-6(7)",905,2025,,,,,,2,2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,"6-3,7-6(7)",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101361,2025-08-29,3,Barbora Krejcikova,Emma Navarro,CZE,USA,,10.0,4-6,6-4,6-4,,318314,325410,US OPEN,"US Open - New York, NY, USA",2025.0,,325410,318314,325410,318314,Barbora Krejcikova,Emma Navarro,,,Emma Navarro,Barbora Krejcikova,USA,CZE,10,,318314,325410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-4,4-6,4-6,"6-4,4-6,4-6",905,2025,,,,,,3,2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-4,4-6,4-6",,,,,,,,,,,
