tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,settime_set1,scorea_set1,scoreb_set1,scoretb_set1,acesa_set1,acesb_set1,dblflta_set1,dblfltb_set1,ptswon1stserva_set1,ptswon1stservb_set1,ptsplayed1stserva_set1,ptsplayed1stservb_set1,ptstotwonserva_set1,ptstotwonservb_set1,totservplayeda_set1,totservplayedb_set1,breakptsconva_set1,breakptsconvb_set1,breakptsplayeda_set1,breakptsplayedb_set1,servgamesplayeda_set1,servgamesplayedb_set1,pts1stservlosta_set1,pts1stservlostb_set1,totptswona_set1,totptswonb_set1,acesssa_set1,acesssb_set1,settime_set2,scorea_set2,scoreb_set2,scoretb_set2,acesa_set2,acesb_set2,dblflta_set2,dblfltb_set2,ptswon1stserva_set2,ptswon1stservb_set2,ptsplayed1stserva_set2,ptsplayed1stservb_set2,ptstotwonserva_set2,ptstotwonservb_set2,totservplayeda_set2,totservplayedb_set2,breakptsconva_set2,breakptsconvb_set2,breakptsplayeda_set2,breakptsplayedb_set2,servgamesplayeda_set2,servgamesplayedb_set2,pts1stservlosta_set2,pts1stservlostb_set2,totptswona_set2,totptswonb_set2,acesssa_set2,acesssb_set2,settime_set3,scorea_set3,scoreb_set3,scoretb_set3,acesa_set3,acesb_set3,dblflta_set3,dblfltb_set3,ptswon1stserva_set3,ptswon1stservb_set3,ptsplayed1stserva_set3,ptsplayed1stservb_set3,ptstotwonserva_set3,ptstotwonservb_set3,totservplayeda_set3,totservplayedb_set3,breakptsconva_set3,breakptsconvb_set3,breakptsplayeda_set3,breakptsplayedb_set3,servgamesplayeda_set3,servgamesplayedb_set3,pts1stservlosta_set3,pts1stservlostb_set3,totptswona_set3,totptswonb_set3,acesssa_set3,acesssb_set3
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS001,2026-01-11,F,Aryna Sabalenka,Marta Kostyuk,BLR,UKR,1.0,16.0,6-4,6-3,,O,0800,2026,Aryna Sabalenka,Marta Kostyuk,BLR,UKR,1,16,2,Aryna Sabalenka,Marta Kostyuk,2,"6-4,6-3",2026-01-11T05:50:10.863+00:00,2026-01-11,01:18:21,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:39:32,6,4,0,0,1,0,3,12,12,12,19,17,18,23,33,2,1,5,2,5,5,0,7,32,24,0,0,00:38:49,6,3,0,1,2,0,0,14,7,20,15,21,15,29,25,1,0,3,1,5,4,6,8,31,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS002,2026-01-10,S,Aryna Sabalenka,Karolina Muchova,BLR,CZE,1.0,11.0,6-3,6-4,,O,0800,2026,Aryna Sabalenka,Karolina Muchova,BLR,CZE,1,11,2,Aryna Sabalenka,Karolina Muchova,2,"6-3,6-4",2026-01-10T00:45:26.91+00:00,2026-01-10,01:29:49,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:37:23,6,3,0,4,4,1,1,15,16,16,23,20,17,25,28,1,0,6,0,5,4,1,7,31,22,0,0,00:52:26,6,4,0,5,3,0,0,21,15,25,21,26,20,39,31,1,0,2,4,5,5,4,6,37,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS003,2026-01-10,S,Marta Kostyuk,Jessica Pegula,UKR,USA,16.0,4.0,6-0,6-3,,O,0800,2026,Jessica Pegula,Marta Kostyuk,USA,UKR,4,16,3,Marta Kostyuk,Jessica Pegula,2,"6-0,6-3",2026-01-10T04:59:26.367+00:00,2026-01-10,00:55:47,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:20:47,0,6,0,0,1,0,0,3,7,12,9,4,14,16,18,0,3,1,5,3,3,9,2,8,26,0,0,00:34:59,3,6,0,0,3,0,1,7,15,13,19,13,21,21,27,0,1,1,1,4,5,6,4,19,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS004,2026-01-09,Q,Aryna Sabalenka,Madison Keys,BLR,USA,1.0,5.0,6-3,6-3,,O,0800,2026,Aryna Sabalenka,Madison Keys,BLR,USA,1,5,2,Aryna Sabalenka,Madison Keys,2,"6-3,6-3",2026-01-09T03:19:27.457+00:00,2026-01-09,01:29:28,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:41:32,6,3,0,0,3,0,7,11,18,14,29,17,24,23,44,2,0,5,1,4,5,3,11,37,30,0,0,00:47:56,6,3,0,5,1,2,1,15,8,22,14,23,11,42,26,3,2,6,4,5,4,7,6,38,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS005,2026-01-09,Q,Karolina Muchova,Elena Rybakina,CZE,KAZ,11.0,3.0,6-2,2-6,6-4,O,0800,2026,Elena Rybakina,Karolina Muchova,KAZ,CZE,3,11,3,Karolina Muchova,Elena Rybakina,3,"6-2,2-6,6-4",2026-01-09T00:49:50.643+00:00,2026-01-09,02:04:27,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:34:53,2,6,0,4,1,3,0,10,12,15,13,15,16,30,20,0,2,0,5,4,4,5,1,19,31,0,0,00:42:10,6,2,0,1,0,1,0,8,8,11,17,17,11,24,23,2,0,3,1,4,4,3,9,29,18,0,0,00:47:23,4,6,0,4.0,2.0,3.0,0.0,15.0,17.0,23.0,20.0,21.0,20.0,37.0,26.0,0.0,1.0,0.0,5.0,5.0,5.0,8.0,3.0,27.0,36.0,0.0,0.0
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS006,2026-01-09,Q,Jessica Pegula,Liudmila Samsonova,USA,RUS,4.0,10.0,6-3,7-6(3),,O,0800,2026,Liudmila Samsonova,Jessica Pegula,RUS,USA,10,4,3,Jessica Pegula,Liudmila Samsonova,2,"6-3,7-6(3)",2026-01-09T04:48:50.683+00:00,2026-01-09,01:51:26,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:42:26,3,6,0,3,1,3,2,13,12,25,14,18,15,36,26,1,3,2,10,5,4,12,2,29,33,0,0,01:08:55,6,7,3,5,3,4,0,21,23,34,28,30,26,54,36,1,1,2,7,6,6,13,5,40,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS007,2026-01-09,Q,Marta Kostyuk,Mirra Andreeva,UKR,RUS,16.0,6.0,7-6(7),6-3,,O,0800,2026,Mirra Andreeva,Marta Kostyuk,RUS,UKR,6,16,3,Marta Kostyuk,Mirra Andreeva,2,"7-6(7),6-3",2026-01-09T08:13:12.47+00:00,2026-01-09,01:47:30,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,01:09:00,6,7,7,0,2,1,2,21,22,31,34,29,33,47,53,1,1,3,4,6,6,10,12,49,51,0,0,00:38:28,3,6,0,1,0,4,0,12,11,20,15,16,14,35,21,1,3,3,4,5,4,8,4,23,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS008,2026-01-08,3,Aryna Sabalenka,Sorana Cirstea,BLR,ROU,1.0,,6-3,6-3,,O,0800,2026,Aryna Sabalenka,Sorana Cirstea,BLR,ROU,1,,2,Aryna Sabalenka,Sorana Cirstea,2,"6-3,6-3",2026-01-08T00:46:19.167+00:00,2026-01-08,01:19:01,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:40:51,6,3,0,0,1,0,1,8,10,13,18,12,18,21,40,3,1,7,1,4,5,5,8,34,27,0,0,00:38:09,6,3,0,2,1,1,0,17,10,19,17,21,17,27,28,1,0,6,1,5,4,2,7,32,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS009,2026-01-08,3,Madison Keys,Diana Shnaider,USA,RUS,5.0,12.0,6-7(5),7-6(5),7-6(4),O,0800,2026,Diana Shnaider,Madison Keys,RUS,USA,12,5,3,Madison Keys,Diana Shnaider,3,"6-7(5),7-6(5),7-6(4)",2026-01-08T05:23:37.437+00:00,2026-01-08,02:59:44,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:53:09,7,6,5,0,4,1,2,20,18,29,26,26,25,41,42,1,1,2,2,6,6,9,8,43,40,0,0,00:56:55,6,7,5,1,2,2,1,17,20,26,29,24,25,39,41,1,1,5,1,6,6,9,9,40,40,0,0,01:09:37,6,7,4,0.0,3.0,1.0,0.0,19.0,17.0,34.0,30.0,22.0,22.0,44.0,41.0,2.0,2.0,3.0,6.0,6.0,6.0,15.0,13.0,41.0,44.0,0.0,0.0
0800,2026,BRISBANE,WTA 500,2026-01-04,2026-01-11,Hard,BRISBANE,AUSTRALIA,48,1206446,USD,LS010,2026-01-08,3,Elena Rybakina,Paula Badosa,KAZ,ESP,3.0,15.0,6-3,6-2,,O,0800,2026,Elena Rybakina,Paula Badosa,KAZ,ESP,3,15,2,Elena Rybakina,Paula Badosa,2,"6-3,6-2",2026-01-08T02:33:43.007+00:00,2026-01-08,01:25:22,BRISBANE,"Brisbane International - Brisbane, AUS",800,,,00:47:14,6,3,0,1,5,0,4,6,14,10,24,14,23,21,46,3,1,5,3,4,5,4,10,37,30,0,0,00:38:06,6,2,0,2,1,0,5,11,9,11,15,18,14,25,29,2,0,3,1,4,4,0,6,33,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
