event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_dividend_tot_loser,totalpointswon_dividend_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_winner,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS001,F,00:39:00,,F,2,E113,"6-4,1-0",T. Enqvist,M. Rios,,,SWE,CHI,6-4,1-0,,,,00:39:00,249,/en/stats/leaderboard?page=serve,False,5,52,13,25,92,12,13,100,12,12,0,0,,6,264,/en/stats/leaderboard?page=serve,2,2,47,14,30,71,10,14,63,10,16,50,1,2,6,96,24,25,33,10,30,62,34,55,67,20,30,0,0,A,,,,,,,,,,,,T. Enqvist,M. Rios,E113,R286,SWE,CHI,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS002,SF,02:01:00,,F,3,R286,"6-3,6-7(3),6-4",M. Rios,S. Bruguera,,,CHI,ESP,6-3,6-7(3),6-4,,,02:01:00,284,/en/stats/leaderboard?page=serve,,6,66,69,104,72,50,69,51,18,35,83,5,6,15,263,/en/stats/leaderboard?page=serve,4,9,48,46,96,89,41,46,46,23,50,60,6,10,16,65,68,104,33,32,96,50,100,200,67,64,96,36,100,A,3,7,4,35,104,50,200,,,,,M. Rios,S. Bruguera,R286,B350,CHI,ESP,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS003,SF,01:27:00,,F,2,E113,"6-4,6-3",T. Enqvist,F. Santoro,,,SWE,FRA,6-4,6-3,,,,01:27:00,245,/en/stats/leaderboard?page=serve,,11,51,37,73,81,30,37,56,20,36,,0,,10,257,/en/stats/leaderboard?page=serve,1,8,51,30,59,60,18,30,62,18,29,67,4,6,9,68,50,73,39,23,59,55,73,132,61,36,59,23,59,A,,,4,32,73,45,132,,,,,T. Enqvist,F. Santoro,E113,S424,SWE,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS004,QF,01:42:00,,F,3,R286,"3-6,7-5,6-4",M. Rios,M. Larsson,,,CHI,SWE,3-6,7-5,6-4,,,01:42:00,300,/en/stats/leaderboard?page=serve,,8,66,58,88,83,48,58,53,16,30,86,6,7,15,291,/en/stats/leaderboard?page=serve,2,16,59,54,91,93,50,54,38,14,37,50,2,4,16,73,64,88,30,27,91,51,91,179,70,64,91,24,88,A,,,3,27,88,49,179,,,,,M. Rios,M. Larsson,R286,L206,CHI,SWE,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS005,QF,01:07:00,,F,2,B350,"6-3,6-2",S. Bruguera,A. Chesnokov,,,ESP,RUS,6-3,6-2,,,,01:07:00,285,/en/stats/leaderboard?page=serve,,4,60,31,52,77,24,31,57,12,21,50,1,2,9,199,/en/stats/leaderboard?page=serve,4,6,49,27,55,59,16,27,39,11,28,67,8,12,8,69,36,52,51,28,55,60,64,107,49,27,55,16,43,A,,,1,31,52,40,107,,,,,S. Bruguera,A. Chesnokov,B350,C031,ESP,RUS,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS006,QF,02:32:00,,F,3,S424,"3-6,6-3,7-5",F. Santoro,M. Rosset,,,FRA,SUI,3-6,6-3,7-5,,,02:32:00,253,/en/stats/leaderboard?page=serve,,2,46,44,95,75,33,44,53,27,51,75,9,12,15,241,/en/stats/leaderboard?page=serve,8,8,53,55,104,80,44,55,35,17,49,69,9,13,15,63,60,95,41,43,104,52,103,199,59,61,104,35,96,A,,,3,37,95,48,199,,,,,F. Santoro,M. Rosset,S424,R214,FRA,SUI,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS007,QF,01:44:00,,F,3,E113,"6-4,3-6,6-1",T. Enqvist,H. Dreekmann,,,SWE,GER,6-4,3-6,6-1,,,01:44:00,280,/en/stats/leaderboard?page=serve,,10,51,44,86,82,36,44,50,21,42,75,3,4,13,252,/en/stats/leaderboard?page=serve,8,10,51,46,91,83,38,46,40,18,45,70,7,10,13,66,57,86,38,35,91,52,92,177,62,56,91,29,85,A,,,5,34,86,48,177,,,,,T. Enqvist,H. Dreekmann,E113,D249,SWE,GER,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS008,R16,01:11:00,,F,2,R286,"6-2,6-4",M. Rios,J. Van Herck,,,CHI,BEL,6-2,6-4,,,,01:11:00,234,/en/stats/leaderboard?page=serve,,3,62,41,66,80,33,41,48,12,25,,0,,9,219,/en/stats/leaderboard?page=serve,2,4,40,22,55,59,13,22,52,17,33,57,4,7,9,68,45,66,45,25,55,58,70,121,55,30,55,21,51,A,,,3,32,66,42,121,,,,,M. Rios,J. Van Herck,R286,V167,CHI,BEL,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS009,R16,00:56:00,,F,2,L206,"6-3,6-1",M. Larsson,A. Clement,,,SWE,FRA,6-3,6-1,,,,00:56:00,221,/en/stats/leaderboard?page=serve,False,7,67,29,43,76,22,29,71,10,14,0,0,,8,197,/en/stats/leaderboard?page=serve,2,6,36,20,55,70,14,20,37,13,35,33,2,6,8,74,32,43,51,28,55,61,60,98,49,27,55,11,38,A,,,,26,43,39,98,,,,,M. Larsson,A. Clement,L206,C487,SWE,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS010,R16,01:04:00,,F,2,C031,"6-3,6-3",A. Chesnokov,D. Vacek,,,RUS,CZE,6-3,6-3,,,,01:04:00,290,/en/stats/leaderboard?page=serve,,2,70,39,56,72,28,39,59,10,17,88,7,8,9,206,/en/stats/leaderboard?page=serve,10,4,47,28,59,71,20,28,39,12,31,60,6,10,9,68,38,56,46,27,59,57,65,115,54,32,59,18,50,A,,,1,32,56,43,115,,,,,A. Chesnokov,D. Vacek,C031,V141,RUS,CZE,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS011,R16,01:54:00,,F,3,B350,"4-6,6-3,6-2",S. Bruguera,L. Roux,,,ESP,FRA,4-6,6-3,6-2,,,01:54:00,254,/en/stats/leaderboard?page=serve,,5,51,39,76,77,30,39,46,17,37,57,4,7,13,211,/en/stats/leaderboard?page=serve,5,6,48,40,83,68,27,40,37,16,43,14,1,7,14,62,47,76,48,40,83,55,87,159,52,43,83,29,72,A,,,1,38,76,45,159,,,,,S. Bruguera,L. Roux,B350,R280,ESP,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS012,R16,01:19:00,,F,2,S424,"6-4,6-4",F. Santoro,P. Korda,,,FRA,CZE,6-4,6-4,,,,01:19:00,261,/en/stats/leaderboard?page=serve,,7,60,39,65,72,28,39,65,17,26,,0,,10,264,/en/stats/leaderboard?page=serve,2,3,52,29,56,72,21,29,59,16,27,50,2,4,10,69,45,65,34,19,56,53,64,121,66,37,56,20,57,A,,,3,31,65,47,121,,,,,F. Santoro,P. Korda,S424,K148,FRA,CZE,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS013,R16,01:30:00,,F,2,R214,"6-3,7-6(7)",M. Rosset,N. Kulti,,,SUI,SWE,6-3,7-6(7),,,,01:30:00,247,/en/stats/leaderboard?page=serve,,14,57,28,49,96,27,28,81,17,21,0,0,,10,256,/en/stats/leaderboard?page=serve,5,6,55,47,85,77,36,47,42,16,38,78,7,9,11,90,44,49,39,33,85,57,77,134,61,52,85,5,57,A,7,3,1,10,49,43,134,,,,,M. Rosset,N. Kulti,R214,K181,SUI,SWE,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS014,R16,01:24:00,,F,3,D249,"1-6,7-5,6-1",H. Dreekmann,T. Carbonell,,,GER,ESP,1-6,7-5,6-1,,,01:24:00,227,/en/stats/leaderboard?page=serve,,4,45,36,80,72,26,36,45,20,44,50,4,8,13,230,/en/stats/leaderboard?page=serve,4,6,55,41,75,59,24,41,53,18,34,29,2,7,13,58,46,80,44,33,75,51,79,155,56,42,75,34,76,A,,,8,43,80,49,155,,,,,H. Dreekmann,T. Carbonell,D249,C216,GER,ESP,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS015,R16,00:59:00,,F,2,E113,"6-3,6-2",T. Enqvist,D. Hrbaty,,,SWE,SVK,6-3,6-2,,,,00:59:00,267,/en/stats/leaderboard?page=serve,,10,47,25,53,84,21,25,54,15,28,,0,,8,214,/en/stats/leaderboard?page=serve,4,4,55,35,64,63,22,35,41,12,29,50,4,8,9,68,36,53,47,30,64,56,66,117,53,34,64,17,51,A,,,3,32,53,44,117,,,,,T. Enqvist,D. Hrbaty,E113,H377,SWE,SVK,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS016,R32,01:17:00,,F,2,R286,"7-6(7),6-4",M. Rios,J. Viloca-Puig,,,CHI,ESP,7-6(7),6-4,,,,01:17:00,207,/en/stats/leaderboard?page=serve,,1,56,35,62,94,33,35,59,16,27,0,0,,11,282,/en/stats/leaderboard?page=serve,3,6,62,42,68,81,34,42,46,12,26,50,1,2,11,79,49,62,32,22,68,55,71,130,68,46,68,13,59,A,,,3,21,62,45,130,7,4,,,M. Rios,J. Viloca-Puig,R286,V161,CHI,ESP,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS017,R32,01:20:00,,F,2,V167,"6-4,6-4",J. Van Herck,F. Dewulf,,,BEL,BEL,6-4,6-4,,,,01:20:00,274,/en/stats/leaderboard?page=serve,,4,54,35,65,86,30,35,43,13,30,75,3,4,10,241,/en/stats/leaderboard?page=serve,2,3,53,36,68,67,24,36,50,16,32,57,4,7,10,66,43,65,41,28,68,53,71,133,59,40,68,22,62,A,,,3,34,65,47,133,,,,,J. Van Herck,F. Dewulf,V167,D228,BEL,BEL,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS018,R32,00:48:00,,F,2,C487,"6-1,6-1",A. Clement,K. Kucera,,,FRA,SVK,6-1,6-1,,,,00:48:00,243,/en/stats/leaderboard?page=serve,,5,53,27,51,89,24,27,42,10,24,,0,,7,171,/en/stats/leaderboard?page=serve,3,2,68,30,44,47,14,30,29,4,14,50,5,10,7,67,34,51,59,26,44,63,60,95,41,18,44,17,35,A,,,3,33,51,37,95,,,,,A. Clement,K. Kucera,C487,K237,FRA,SVK,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS019,R32,01:37:00,,F,3,L206,"2-6,6-4,6-3",M. Larsson,F. Clavet,,,SWE,ESP,2-6,6-4,6-3,,,01:37:00,271,/en/stats/leaderboard?page=serve,,13,74,67,91,69,46,67,42,10,24,63,5,8,14,261,/en/stats/leaderboard?page=serve,2,7,66,57,87,74,42,57,40,12,30,50,3,6,13,62,56,91,38,33,87,50,89,178,62,54,87,35,89,A,,,5,38,91,50,178,,,,,M. Larsson,F. Clavet,L206,C252,SWE,ESP,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS020,R32,01:13:00,,F,2,V141,"6-4,6-2",D. Vacek,M. Stich,,,CZE,GER,6-4,6-2,,,,01:13:00,234,/en/stats/leaderboard?page=serve,,2,49,37,75,73,27,37,42,16,38,82,9,11,9,182,/en/stats/leaderboard?page=serve,3,5,46,22,48,55,12,22,35,9,26,29,2,7,9,57,43,75,56,27,48,57,70,123,44,21,48,32,53,A,,,9,43,75,43,123,,,,,D. Vacek,M. Stich,V141,S351,CZE,GER,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS021,R32,01:52:00,,F,3,C031,"4-6,6-2,6-4",A. Chesnokov,O. Delaitre,,,RUS,FRA,4-6,6-2,6-4,,,01:52:00,240,/en/stats/leaderboard?page=serve,,6,51,42,82,57,24,42,58,23,40,71,10,14,14,219,/en/stats/leaderboard?page=serve,3,3,56,50,89,70,35,50,36,14,39,54,7,13,14,57,47,82,45,40,89,51,87,171,55,49,89,35,84,A,,,3,43,82,49,171,,,,,A. Chesnokov,O. Delaitre,C031,D015,RUS,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS022,R32,01:36:00,,F,3,R280,"6-1,2-6,6-4",L. Roux,A. Olhovskiy,,,FRA,RUS,6-1,2-6,6-4,,,01:36:00,269,/en/stats/leaderboard?page=serve,,3,51,40,79,83,33,40,49,19,39,78,7,9,13,260,/en/stats/leaderboard?page=serve,5,15,52,41,79,76,31,41,47,18,38,67,6,9,12,66,52,79,38,30,79,52,82,158,62,49,79,27,76,A,,,1,34,79,48,158,,,,,L. Roux,A. Olhovskiy,R280,O009,FRA,RUS,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS023,R32,02:19:00,,F,3,B350,"6-1,6-7(9),6-1",S. Bruguera,C. Pioline,,,ESP,FRA,6-1,6-7(9),6-1,,,02:19:00,278,/en/stats/leaderboard?page=serve,False,7,48,52,108,79,41,52,52,29,56,83,5,6,14,230,/en/stats/leaderboard?page=serve,5,6,59,47,80,70,33,47,42,14,33,55,6,11,12,65,70,108,41,33,80,55,103,188,59,47,80,38,85,A,9,11,,35,108,45,188,,,,,S. Bruguera,C. Pioline,B350,P226,ESP,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS024,R32,02:11:00,,F,3,K148,"6-4,4-6,7-6(7)",P. Korda,F. Roig,,,CZE,ESP,6-4,4-6,7-6(7),,,02:11:00,234,/en/stats/leaderboard?page=serve,,3,51,46,90,70,32,46,48,21,44,29,2,7,16,230,/en/stats/leaderboard?page=serve,5,2,58,77,132,60,46,77,47,26,55,75,15,20,16,59,53,90,45,60,132,51,113,222,55,72,132,37,109,A,,,6,41,90,49,222,,,7,4,P. Korda,F. Roig,K148,R177,CZE,ESP,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS025,R32,02:24:00,,F,3,S424,"6-4,5-7,6-1",F. Santoro,S. Grosjean,,,FRA,FRA,6-4,5-7,6-1,,,02:24:00,242,/en/stats/leaderboard?page=serve,,6,51,61,120,59,36,61,56,33,59,75,12,16,15,210,/en/stats/leaderboard?page=serve,1,2,48,45,93,56,25,45,48,23,48,45,5,11,14,58,69,120,48,45,93,54,114,213,52,48,93,51,99,A,,,3,43,120,46,213,,,,,F. Santoro,S. Grosjean,S424,G379,FRA,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS026,R32,00:53:00,,F,2,K181,"6-2,6-4",N. Kulti,M. Mirnyi,,,SWE,BLR,6-2,6-4,,,,00:53:00,306,/en/stats/leaderboard?page=serve,,4,60,26,43,96,25,26,71,12,17,,0,,9,238,/en/stats/leaderboard?page=serve,5,7,50,25,50,72,18,25,48,12,25,40,2,5,9,86,37,43,40,20,50,61,57,93,60,30,50,6,36,A,,,2,14,43,39,93,,,,,N. Kulti,M. Mirnyi,K181,M595,SWE,BLR,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS027,R32,01:13:00,,F,2,R214,"6-1,6-4",M. Rosset,G. Schaller,,,SUI,AUT,6-1,6-4,,,,01:13:00,271,/en/stats/leaderboard?page=serve,False,7,49,28,57,86,24,28,52,15,29,,0,,9,226,/en/stats/leaderboard?page=serve,4,1,70,38,54,66,25,38,31,5,16,70,7,10,8,68,39,57,44,24,54,57,63,111,56,30,54,18,48,A,,,,32,57,43,111,,,,,M. Rosset,G. Schaller,R214,S315,SUI,AUT,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS028,R32,01:03:00,,F,2,D249,"6-2,3-1",H. Dreekmann,T. Champion,,,GER,FRA,6-2,3-1,,,,01:03:00,275,/en/stats/leaderboard?page=serve,,6,54,22,41,91,20,22,42,8,19,75,3,4,7,178,/en/stats/leaderboard?page=serve,2,0,65,32,49,47,15,32,35,6,17,56,5,9,6,68,28,41,57,28,49,62,56,90,43,21,49,13,34,A,,,3,32,41,38,90,,,,,H. Dreekmann,T. Champion,D249,C028,GER,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS029,R32,01:11:00,,F,3,C216,"3-6,6-1,6-0",T. Carbonell,M. Tillstrom,,,ESP,SWE,3-6,6-1,6-0,,,01:11:00,295,/en/stats/leaderboard?page=serve,,6,67,39,58,77,30,39,58,11,19,50,1,2,11,232,/en/stats/leaderboard?page=serve,2,4,62,41,66,54,22,41,60,15,25,58,7,12,11,71,41,58,44,29,66,56,70,124,56,37,66,17,54,A,,,3,29,58,44,124,,,,,T. Carbonell,M. Tillstrom,C216,T166,ESP,SWE,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS030,R32,02:06:00,,F,3,H377,"7-6(7),6-7(4),7-6(7)",D. Hrbaty,S. Simian,,,SVK,FRA,7-6(7),6-7(4),7-6(7),,,02:06:00,307,/en/stats/leaderboard?page=serve,,22,54,59,110,86,51,59,57,29,51,0,0,1,18,298,/en/stats/leaderboard?page=serve,4,18,70,82,117,83,68,82,37,13,35,67,2,3,18,73,80,110,31,36,117,51,116,227,69,81,117,30,111,A,4,7,6,27,110,49,227,7,5,7,1,D. Hrbaty,S. Simian,H377,S454,SVK,FRA,,
496,1997,Marseille,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,514250,$,MS031,R32,00:55:00,,F,2,E113,"6-1,6-2",T. Enqvist,P. Fredriksson,,,SWE,SWE,6-1,6-2,,,,00:55:00,293,/en/stats/leaderboard?page=serve,,10,44,20,45,90,18,20,64,16,25,,0,,8,186,/en/stats/leaderboard?page=serve,5,3,46,22,48,77,17,22,23,6,26,56,5,9,7,76,34,45,52,25,48,63,59,93,48,23,48,11,34,A,,,2,24,45,37,93,,,,,T. Enqvist,P. Fredriksson,E113,F278,SWE,SWE,,
