event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS017,R32,02:03:00,,F,2,K310,"6-3,7-6(7)",S. Koubek,V. Ionita,,,AUT,ROU,6-3,7-6(7),,,,02:03:00,225,/en/stats/leaderboard?page=serve,1,3,67,55,82,58,32,55,44,12,27,50,5,10,11,193,/en/stats/leaderboard?page=serve,2,2,55,45,82,44,20,45,54,20,37,50,6,12,10,54,44,82,51,42,82,52,86,164,49,40,82,46,38,82,48,78,164,A,,,7.0,3.0,S. Koubek,V. Ionita,K310,I094,AUT,ROU,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS018,R32,01:31:00,,F,2,G628,"6-3,6-4",R. Gasquet,P. Starace,,,FRA,ITA,6-3,6-4,,,,01:31:00,259,/en/stats/leaderboard?page=serve,3,4,59,41,69,76,31,41,43,12,28,78,7,9,10,212,/en/stats/leaderboard?page=serve,2,0,73,54,74,56,30,54,30,6,20,50,4,8,9,62,43,69,51,38,74,57,81,143,49,36,74,38,26,69,43,62,143,A,,,,,R. Gasquet,P. Starace,G628,S843,FRA,ITA,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS019,R32,00:54:00,,F,2,V254,"6-3,6-1",F. Volandri,A. Montanes,,,ITA,ESP,6-3,6-1,,,,00:54:00,290,/en/stats/leaderboard?page=serve,1,3,59,24,41,83,20,24,59,10,17,50,1,2,8,178,/en/stats/leaderboard?page=serve,3,1,53,27,51,52,14,27,38,9,24,38,3,8,8,73,30,41,55,28,51,63,58,92,45,23,51,27,11,41,37,34,92,A,,,,,F. Volandri,A. Montanes,V254,M824,ITA,ESP,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS020,R32,01:24:00,,F,2,M850,"6-1,6-2",P. Mathieu,A. Costa,,,FRA,ESP,6-1,6-2,,,,01:24:00,286,/en/stats/leaderboard?page=serve,1,1,52,30,58,70,21,30,64,18,28,100,1,1,8,206,/en/stats/leaderboard?page=serve,0,3,65,26,40,46,12,26,50,7,14,20,1,5,7,67,39,58,53,21,40,61,60,98,48,19,40,33,19,58,39,38,98,A,,,,,P. Mathieu,A. Costa,M850,C378,FRA,ESP,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS021,R32,03:03:00,,F,3,C344,"7-5,2-6,7-5",A. Corretja,O. Hernandez,,,ESP,ESP,7-5,2-6,7-5,,,03:03:00,238,/en/stats/leaderboard?page=serve,2,5,63,62,99,61,38,62,49,18,37,50,6,12,16,243,/en/stats/leaderboard?page=serve,0,5,65,67,103,61,41,67,50,18,36,54,7,13,16,57,56,99,43,44,103,50,100,202,57,59,103,43,43,99,50,102,202,A,,,,,A. Corretja,O. Hernandez,C344,H472,ESP,ESP,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS022,R32,02:00:00,,F,3,A389,"3-6,6-4,6-2",J. Acasuso,F. Squillari,,,ARG,ARG,3-6,6-4,6-2,,,02:00:00,264,/en/stats/leaderboard?page=serve,2,3,54,42,78,81,34,42,44,16,36,50,2,4,13,233,/en/stats/leaderboard?page=serve,10,6,57,59,103,68,40,59,41,18,44,71,10,14,14,64,50,78,44,45,103,52,95,181,56,58,103,36,28,78,48,86,181,A,,,,,J. Acasuso,F. Squillari,A389,S568,ARG,ARG,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS023,R32,01:23:00,,F,2,S677,"6-2,7-6(7)",D. Sanchez,R. Sluiter,,,ESP,NED,6-2,7-6(7),,,,01:23:00,304,/en/stats/leaderboard?page=serve,0,4,69,40,58,80,32,40,61,11,18,67,2,3,10,245,/en/stats/leaderboard?page=serve,2,4,64,46,72,67,31,46,42,11,26,67,6,9,10,74,43,58,42,30,72,56,73,130,58,42,72,26,15,58,44,57,130,A,,,7.0,3.0,D. Sanchez,R. Sluiter,S677,S693,ESP,NED,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS024,R32,01:30:00,,F,2,M535,"7-6(7),6-0",F. Mantilla,N. Davydenko,,,ESP,RUS,7-6(7),6-0,,,,01:30:00,282,/en/stats/leaderboard?page=serve,3,1,52,26,50,77,20,26,67,16,24,0,0,1,9,217,/en/stats/leaderboard?page=serve,1,4,58,37,64,57,21,37,44,12,27,56,5,9,9,72,36,50,48,31,64,59,67,114,52,33,64,28,14,50,41,47,114,A,7.0,3.0,,,F. Mantilla,N. Davydenko,M535,D402,ESP,RUS,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS025,R32,01:44:00,,F,2,C361,"7-6(9),6-2",A. Calatrava,J. Monaco,,,ESP,ARG,7-6(9),6-2,,,,01:44:00,304,/en/stats/leaderboard?page=serve,0,5,66,43,65,70,30,43,73,16,22,80,4,5,10,255,/en/stats/leaderboard?page=serve,1,1,67,43,64,70,30,43,48,10,21,25,1,4,10,71,46,65,38,24,64,54,70,129,63,40,64,29,19,65,46,59,129,A,9.0,7.0,,,A. Calatrava,J. Monaco,C361,MA21,ESP,ARG,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS026,R32,00:50:00,,F,2,K435,"6-1,6-1",P. Kohlschreiber,R. Sabau,,,GER,ROU,6-1,6-1,,,,00:50:00,275,/en/stats/leaderboard?page=serve,2,7,71,29,41,72,21,29,42,5,12,0,0,1,7,139,/en/stats/leaderboard?page=serve,0,0,64,27,42,41,11,27,20,3,15,33,3,9,7,63,26,41,67,28,42,65,54,83,33,14,42,37,15,41,35,29,83,A,,,,,P. Kohlschreiber,R. Sabau,K435,S535,GER,ROU,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS027,R32,01:10:00,,F,2,A511,"6-2,6-3",I. Andreev,K. Vliegen,,,RUS,BEL,6-2,6-3,,,,01:10:00,255,/en/stats/leaderboard?page=serve,5,0,50,30,60,63,19,30,60,18,30,86,6,7,8,198,/en/stats/leaderboard?page=serve,3,0,63,35,56,51,18,35,43,9,21,29,2,7,9,62,37,60,52,29,56,57,66,116,48,27,56,38,23,60,43,50,116,A,,,,,I. Andreev,K. Vliegen,A511,V309,RUS,BEL,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS028,R32,02:02:00,,F,2,F401,"6-4,7-6(7)",D. Ferrer,S. Wawrinka,,,ESP,SUI,6-4,7-6(7),,,,02:02:00,231,/en/stats/leaderboard?page=serve,3,2,62,52,84,60,31,52,47,15,32,50,4,8,11,210,/en/stats/leaderboard?page=serve,5,5,57,51,89,57,29,51,42,16,38,58,7,12,11,55,46,84,49,44,89,52,90,173,51,45,89,45,38,84,48,83,173,A,,,7.0,4.0,D. Ferrer,S. Wawrinka,F401,W367,ESP,SUI,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS029,R32,02:26:00,,F,3,D643,"2-6,6-4,6-4",N. Djokovic,A. Clement,,,SRB,FRA,2-6,6-4,6-4,,,02:26:00,272,/en/stats/leaderboard?page=serve,2,4,66,60,91,65,39,60,61,19,31,40,2,5,14,260,/en/stats/leaderboard?page=serve,2,0,67,62,93,65,40,62,52,16,31,70,7,10,14,64,58,91,40,37,93,52,95,184,60,56,93,36,33,91,48,89,184,A,,,,,N. Djokovic,A. Clement,D643,C487,SRB,FRA,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS030,R32,00:17:00,,F,1,D357,4-0,A. Di Pasquale,D. Elsner,,,FRA,GER,4-0,,,,,00:17:00,334,/en/stats/leaderboard?page=serve,1,1,67,6,9,100,6,6,67,2,3,0,0,0,2,128,/en/stats/leaderboard?page=serve,0,0,59,10,17,40,4,10,29,2,7,60,3,5,2,89,8,9,65,11,17,73,19,26,35,6,17,11,1,9,27,7,26,A,,,,,A. Di Pasquale,D. Elsner,D357,E155,FRA,GER,,
773,2004,Bucharest,WS,2004-09-13T00:00:00,2004-09-19T00:00:00,Clay,32,355000,$,MS031,R32,00:46:00,,F,2,MB02,"6-1,6-1",F. Mayer,D. van Scheppingen,,,GER,NED,6-1,6-1,,,,00:46:00,319,/en/stats/leaderboard?page=serve,0,3,68,26,38,81,21,26,67,8,12,100,1,1,7,146,/en/stats/leaderboard?page=serve,4,0,40,16,40,44,7,16,38,9,24,38,3,8,7,76,29,38,60,24,40,68,53,78,40,16,40,24,9,38,32,25,78,A,,,,,F. Mayer,D. van Scheppingen,MB02,S559,GER,NED,,
