event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS011,R16,01:11:00,,F,2,W136,"6-3,6-4",T. Woodbridge,S. Lareau,,,AUS,CAN,6-3,6-4,,,,01:11:00,281,/en/stats/leaderboard?page=serve,3,4,64,39,61,85,33,39,41,9,22,67,2,3,10,252,/en/stats/leaderboard?page=serve,1,0,58,29,50,62,18,29,67,14,21,50,3,6,9,69,42,61,36,18,50,54,60,111,64,32,50,31,19,61,46,51,111,A,,,,,,,,,T. Woodbridge,S. Lareau,W136,L226,AUS,CAN,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS012,R16,01:43:00,,F,3,M442,"6-3,3-6,6-3",T. Martin,C. Costa,,,USA,ESP,6-3,3-6,6-3,,,01:43:00,284,/en/stats/leaderboard?page=serve,2,8,60,50,83,66,33,50,67,22,33,67,4,6,14,253,/en/stats/leaderboard?page=serve,2,2,66,57,86,70,40,57,41,12,29,40,2,5,13,66,55,83,40,34,86,53,89,169,60,52,86,34,28,83,47,80,169,A,,,,,,,,,T. Martin,C. Costa,M442,C179,USA,ESP,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS013,R16,01:00:00,,F,2,F164,"6-4,6-1",R. Fromberg,P. McEnroe,,,AUS,USA,6-4,6-1,,,,01:00:00,215,/en/stats/leaderboard?page=serve,1,10,55,23,42,83,19,23,68,13,19,0,0,,8,209,/en/stats/leaderboard?page=serve,4,0,67,36,54,58,21,36,33,6,18,56,5,9,9,76,32,42,50,27,54,61,59,96,50,27,54,24,10,42,39,37,96,A,,,,,,,,,R. Fromberg,P. McEnroe,F164,M048,AUS,USA,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS014,R16,01:15:00,,F,2,D270,"6-1,7-5",S. Draper,R. Furlan,,,AUS,ITA,6-1,7-5,,,,01:15:00,263,/en/stats/leaderboard?page=serve,3,3,47,34,72,79,27,34,47,18,38,80,4,5,10,222,/en/stats/leaderboard?page=serve,1,2,61,27,44,52,14,27,53,9,17,0,0,4,9,63,45,72,48,21,44,57,66,116,52,23,44,38,27,72,43,50,116,A,,,,,,,,,S. Draper,R. Furlan,D270,F192,AUS,ITA,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS015,R16,00:29:00,,F,2,R237,"6-0,6-0",G. Rusedski,C. Arriens,,,GBR,GER,6-0,6-0,,,,00:29:00,230,/en/stats/leaderboard?page=serve,,10,69,20,29,95,19,20,56,5,9,0,0,,6,95,/en/stats/leaderboard?page=serve,1,0,72,21,29,24,5,21,,,8,0,0,6,6,83,24,29,83,24,29,83,48,58,,0,,17,5,29,,0,,A,,,,,False,False,,,G. Rusedski,C. Arriens,R237,A183,GBR,GER,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS016,R32,01:03:00,,F,2,I034,"6-3,6-3",G. Ivanisevic,D. Prinosil,,,CRO,GER,6-3,6-3,,,,01:03:00,293,/en/stats/leaderboard?page=serve,4,8,51,23,45,91,21,23,59,13,22,0,0,1,9,201,/en/stats/leaderboard?page=serve,9,3,42,34,81,76,26,34,34,16,47,60,6,10,9,76,34,45,48,39,81,58,73,126,52,42,81,24,11,45,42,53,126,A,,,,,,,,,G. Ivanisevic,D. Prinosil,I034,P273,CRO,GER,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS017,R32,01:31:00,,F,3,N250,"3-6,6-3,7-5",M. Norman,M. Goellner,,,SWE,GER,3-6,6-3,7-5,,,01:31:00,324,/en/stats/leaderboard?page=serve,,3,71,54,76,80,43,54,77,17,22,50,1,2,15,282,/en/stats/leaderboard?page=serve,3,10,46,38,82,79,30,38,64,28,44,50,2,4,15,79,60,76,29,24,82,53,84,158,71,58,82,21,16,76,47,74,158,A,,,,,False,,,,M. Norman,M. Goellner,N250,G252,SWE,GER,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS018,R32,01:18:00,,F,2,H336,"6-4,6-2",T. Henman,M. Philippoussis,,,GBR,AUS,6-4,6-2,,,,01:18:00,229,/en/stats/leaderboard?page=serve,2,5,57,39,69,82,32,39,43,13,30,,0,,9,228,/en/stats/leaderboard?page=serve,7,4,58,33,57,82,27,33,25,6,24,57,4,7,9,65,45,69,42,24,57,55,69,126,58,33,57,35,24,69,45,57,126,A,,,,,,,,,T. Henman,M. Philippoussis,H336,P338,GBR,AUS,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS019,R32,02:23:00,,F,3,W035,"4-6,7-6(7),7-5",M. Woodforde,A. Costa,,,AUS,ESP,4-6,7-6(7),7-5,,,02:23:00,255,/en/stats/leaderboard?page=serve,6,4,53,57,107,68,39,57,60,30,50,60,6,10,17,259,/en/stats/leaderboard?page=serve,5,2,66,81,123,56,45,81,64,27,42,69,9,13,17,64,69,107,41,51,123,52,120,230,59,72,123,36,38,107,48,110,230,A,7,4,,,,,,,M. Woodforde,A. Costa,W035,C378,AUS,ESP,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS020,R32,01:28:00,,F,2,K237,"6-2,7-6(7)",K. Kucera,C. Caratti,,,SVK,ITA,6-2,7-6(7),,,,01:28:00,264,/en/stats/leaderboard?page=serve,2,3,57,39,69,79,31,39,47,14,30,67,4,6,10,223,/en/stats/leaderboard?page=serve,3,0,65,55,85,58,32,55,43,13,30,60,6,10,10,65,45,69,47,40,85,55,85,154,53,45,85,35,24,69,45,69,154,A,7,2,,,,,,,K. Kucera,C. Caratti,K237,C270,SVK,ITA,,
