event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS001,F,01:55:00,,F,2,M099,"7-6(7),6-4",T. Muster,A. Gaudenzi,,,AUT,ITA,7-6(7),6-4,,,,01:55:00,7,4,250,/en/stats/leaderboard?page=serve,3,2,61,52,85,60,31,52,58,19,33,67,6,9,11,233,/en/stats/leaderboard?page=serve,5,1,72,56,78,57,32,56,45,10,22,33,2,6,11,59,50,85,46,36,78,53,86,163,54,42,78,41,35,85,47,77,163,A,,,,,,,T. Muster,A. Gaudenzi,M099,G254,AUT,ITA,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS002,SF,02:08:00,,F,3,M099,"6-7(6),6-4,6-0",T. Muster,A. Corretja,,,AUT,ESP,6-7(6),6-4,6-0,,,02:08:00,6,8,254,/en/stats/leaderboard?page=serve,1,1,53,50,94,64,32,50,59,26,44,73,8,11,14,203,/en/stats/leaderboard?page=serve,7,4,57,48,84,63,30,48,36,13,36,22,2,9,14,62,58,94,49,41,84,56,99,178,51,43,84,38,36,94,44,79,178,A,,,,,,,T. Muster,A. Corretja,M099,C344,AUT,ESP,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS003,SF,01:11:00,,F,2,G254,"6-2,6-1",A. Gaudenzi,P. Haarhuis,,,ITA,NED,6-2,6-1,,,,01:11:00,,,220,/en/stats/leaderboard?page=serve,1,0,67,38,57,68,26,38,58,11,19,,0,,7,189,/en/stats/leaderboard?page=serve,1,3,57,30,53,50,15,30,43,10,23,29,2,7,8,65,37,57,53,28,53,59,65,110,47,25,53,35,20,57,41,45,110,A,,,,,,,A. Gaudenzi,P. Haarhuis,G254,H223,ITA,NED,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS004,QF,01:21:00,,F,2,M099,"6-4,6-2",T. Muster,F. Clavet,,,AUT,ESP,6-4,6-2,,,,01:21:00,,,262,/en/stats/leaderboard?page=serve,1,1,62,37,60,62,23,37,61,14,23,60,3,5,9,194,/en/stats/leaderboard?page=serve,,3,53,28,53,46,13,28,48,12,25,44,4,9,9,62,37,60,53,28,53,58,65,113,47,25,53,38,23,60,42,48,113,A,False,,,,,,T. Muster,F. Clavet,M099,C252,AUT,ESP,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS005,QF,01:46:00,,F,2,C344,"7-5,7-5",A. Corretja,C. Costa,,,ESP,ESP,7-5,7-5,,,,01:46:00,,,227,/en/stats/leaderboard?page=serve,5,1,53,40,76,68,27,40,44,16,36,56,5,9,12,201,/en/stats/leaderboard?page=serve,1,2,51,38,74,55,21,38,44,16,36,40,4,10,12,57,43,76,50,37,74,53,80,150,50,37,74,43,33,76,47,70,150,A,,,,,,,A. Corretja,C. Costa,C344,C179,ESP,ESP,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS006,QF,01:55:00,,F,3,H223,"2-6,6-4,6-4",P. Haarhuis,R. Fromberg,,,NED,AUS,2-6,6-4,6-4,,,01:55:00,,,251,/en/stats/leaderboard?page=serve,2,2,48,38,79,66,25,38,59,24,41,40,2,5,14,252,/en/stats/leaderboard?page=serve,6,5,53,49,92,73,36,49,49,21,43,67,6,9,14,62,49,79,38,35,92,49,84,171,62,57,92,38,30,79,51,87,171,A,,,,,,,P. Haarhuis,R. Fromberg,H223,F164,NED,AUS,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS007,QF,01:03:00,,F,2,G254,"6-3,6-1",A. Gaudenzi,T. Carbonell,,,ITA,ESP,6-3,6-1,,,,01:03:00,,,288,/en/stats/leaderboard?page=serve,4,0,60,28,47,82,23,28,63,12,19,,0,,8,213,/en/stats/leaderboard?page=serve,4,4,69,36,52,56,20,36,38,6,16,50,4,8,8,74,35,47,50,26,52,62,61,99,50,26,52,26,12,47,38,38,99,A,,,,,,,A. Gaudenzi,T. Carbonell,G254,C216,ITA,ESP,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS008,R16,01:11:00,,F,2,M099,"6-4,6-2",T. Muster,C. Moya,,,AUT,ESP,6-4,6-2,,,,01:11:00,,,286,/en/stats/leaderboard?page=serve,2,1,73,38,52,76,29,38,50,7,14,86,6,7,9,214,/en/stats/leaderboard?page=serve,2,2,56,35,62,51,18,35,52,14,27,69,9,13,9,69,36,52,48,30,62,58,66,114,52,32,62,31,16,52,42,48,114,A,,,,,,,T. Muster,C. Moya,M099,M605,AUT,ESP,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS009,R16,01:30:00,,F,2,C252,"7-6(7),6-1",F. Clavet,S. Pescosolido,,,ESP,ITA,7-6(7),6-1,,,,01:30:00,7,2,287,/en/stats/leaderboard?page=serve,2,1,60,37,62,70,26,37,68,17,25,50,1,2,10,222,/en/stats/leaderboard?page=serve,6,2,48,32,67,63,20,32,49,17,35,57,4,7,9,69,43,62,45,30,67,57,73,129,55,37,67,31,19,62,43,56,129,A,,,,,,,F. Clavet,S. Pescosolido,C252,P235,ESP,ITA,,
468,1996,Estoril,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Clay,32,600000,$,MS010,R16,01:18:00,,F,2,C344,"6-4,6-2",A. Corretja,J. Novak,,,ESP,CZE,6-4,6-2,,,,01:18:00,,,284,/en/stats/leaderboard?page=serve,2,0,60,28,47,75,21,28,63,12,19,0,0,1,9,216,/en/stats/leaderboard?page=serve,2,3,60,45,75,53,24,45,47,14,30,64,7,11,9,70,33,47,49,37,75,57,70,122,51,38,75,30,14,47,43,52,122,A,,,,,,,A. Corretja,J. Novak,C344,N254,ESP,CZE,,
