event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,player_a,player_b,player_a_id,player_b_id,country_a,country_b,seed_a,seed_b,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_a,serveratinglink_tot_a,doublefaults_tot_a,aces_tot_a,firstserve_percent_tot_a,firstserve_dividend_tot_a,firstserve_divisor_tot_a,firstservepointswon_percent_tot_a,firstservepointswon_dividend_tot_a,firstservepointswon_divisor_tot_a,secondservepointswon_percent_tot_a,secondservepointswon_dividend_tot_a,secondservepointswon_divisor_tot_a,breakpointssaved_percent_tot_a,breakpointssaved_dividend_tot_a,breakpointssaved_divisor_tot_a,servicegamesplayed_tot_a,serverating_tot_b,serveratinglink_tot_b,doublefaults_tot_b,aces_tot_b,firstserve_percent_tot_b,firstserve_dividend_tot_b,firstserve_divisor_tot_b,firstservepointswon_percent_tot_b,firstservepointswon_dividend_tot_b,firstservepointswon_divisor_tot_b,secondservepointswon_percent_tot_b,secondservepointswon_dividend_tot_b,secondservepointswon_divisor_tot_b,breakpointssaved_percent_tot_b,breakpointssaved_dividend_tot_b,breakpointssaved_divisor_tot_b,servicegamesplayed_tot_b,totalservicepointswon_percent_tot_a,totalservicepointswon_dividend_tot_a,totalservicepointswon_divisor_tot_a,totalreturnpointswon_percent_tot_a,totalreturnpointswon_dividend_tot_a,totalreturnpointswon_divisor_tot_a,totalpointswon_percent_tot_a,totalpointswon_dividend_tot_a,totalpointswon_divisor_tot_a,totalservicepointswon_percent_tot_b,totalservicepointswon_dividend_tot_b,totalservicepointswon_divisor_tot_b,totalreturnpointswon_percent_tot_b,totalreturnpointswon_dividend_tot_b,totalreturnpointswon_divisor_tot_b,totalpointswon_percent_tot_b,totalpointswon_dividend_tot_b,totalpointswon_divisor_tot_b,winner_flag,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS011,Round of 16,,,F,5,C0E9,F. Cobolli,Z. Svajda,C0E9,S0K7,ITA,USA,10,,,F. Cobolli,Z. Svajda,10,,ITA,USA,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,175.0,/en/stats/leaderboard?page=serve,5.0,8.0,58.0,81.0,139.0,64.0,52.0,81.0,50.0,29.0,58.0,59.0,10.0,17.0,0.0,186.0,/en/stats/leaderboard?page=serve,2.0,8.0,53.0,74.0,139.0,69.0,51.0,74.0,58.0,38.0,65.0,63.0,5.0,8.0,0.0,58.0,81.0,139.0,36.0,50.0,139.0,47.0,131.0,278.0,64.0,89.0,139.0,42.0,58.0,139.0,53.0,147.0,278.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS012,Round of 16,,,F,5,M0NI,J. Mensik,A. Rublev,M0NI,RE44,CZE,RUS,26,11,,J. Mensik,A. Rublev,26,11,CZE,RUS,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,186.0,/en/stats/leaderboard?page=serve,4.0,8.0,64.0,108.0,169.0,70.0,76.0,108.0,48.0,29.0,61.0,78.0,14.0,18.0,0.0,189.0,/en/stats/leaderboard?page=serve,9.0,13.0,67.0,102.0,153.0,75.0,77.0,102.0,43.0,22.0,51.0,67.0,10.0,15.0,0.0,62.0,105.0,169.0,35.0,54.0,153.0,49.0,159.0,322.0,65.0,99.0,153.0,38.0,64.0,169.0,51.0,163.0,322.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS013,Round of 16,,,F,5,F0FV,C. Ruud,J. Fonseca,RH16,F0FV,NOR,BRA,15,28,,J. Fonseca,C. Ruud,28,15,BRA,NOR,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,195.0,/en/stats/leaderboard?page=serve,4.0,7.0,75.0,120.0,159.0,68.0,81.0,120.0,49.0,19.0,39.0,69.0,9.0,13.0,0.0,200.0,/en/stats/leaderboard?page=serve,0.0,2.0,76.0,107.0,141.0,72.0,77.0,107.0,50.0,17.0,34.0,78.0,7.0,9.0,0.0,63.0,100.0,159.0,33.0,47.0,141.0,49.0,147.0,300.0,67.0,94.0,141.0,37.0,59.0,159.0,51.0,153.0,300.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS014,Round of 16,,,F,5,J0DZ,R. Jodar,P. Carreno Busta,J0DZ,CD85,ESP,ESP,27,,,R. Jodar,P. Carreno Busta,27,,ESP,ESP,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,170.0,/en/stats/leaderboard?page=serve,3.0,3.0,71.0,91.0,129.0,60.0,55.0,91.0,39.0,15.0,38.0,27.0,3.0,11.0,0.0,190.0,/en/stats/leaderboard?page=serve,3.0,3.0,68.0,100.0,147.0,67.0,67.0,100.0,55.0,26.0,47.0,71.0,10.0,14.0,0.0,54.0,70.0,129.0,37.0,54.0,147.0,45.0,124.0,276.0,63.0,93.0,147.0,46.0,59.0,129.0,55.0,152.0,276.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS015,Round of 16,,,F,5,Z355,J. de Jong,A. Zverev,D0C1,Z355,NED,GER,,2,,A. Zverev,J. de Jong,2,,GER,NED,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,169.0,/en/stats/leaderboard?page=serve,4.0,3.0,66.0,54.0,82.0,65.0,35.0,54.0,39.0,11.0,28.0,43.0,3.0,7.0,0.0,223.0,/en/stats/leaderboard?page=serve,2.0,4.0,76.0,64.0,84.0,80.0,51.0,64.0,65.0,13.0,20.0,50.0,1.0,2.0,0.0,56.0,46.0,82.0,24.0,20.0,84.0,40.0,66.0,166.0,76.0,64.0,84.0,44.0,36.0,82.0,60.0,100.0,166.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS016,Round of 32,,,F,5,C0C8,J. Cerundolo,M. Landaluce,C0C8,L0IL,ARG,ESP,,,,J. Cerundolo,M. Landaluce,,,ARG,ESP,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,192.0,/en/stats/leaderboard?page=serve,8.0,6.0,78.0,159.0,203.0,68.0,108.0,159.0,48.0,21.0,44.0,64.0,9.0,14.0,0.0,205.0,/en/stats/leaderboard?page=serve,4.0,16.0,79.0,180.0,229.0,67.0,121.0,180.0,47.0,23.0,49.0,76.0,13.0,17.0,0.0,64.0,129.0,203.0,37.0,85.0,229.0,50.0,214.0,432.0,63.0,144.0,229.0,36.0,74.0,203.0,50.0,218.0,432.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS017,Round of 32,,,F,5,BK40,M. Berrettini,F. Comesana,BK40,C0DF,ITA,ARG,,,,M. Berrettini,F. Comesana,,,ITA,ARG,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,212.0,/en/stats/leaderboard?page=serve,7.0,20.0,75.0,148.0,198.0,76.0,112.0,148.0,48.0,24.0,50.0,77.0,10.0,13.0,0.0,218.0,/en/stats/leaderboard?page=serve,3.0,20.0,65.0,124.0,191.0,81.0,100.0,124.0,55.0,37.0,67.0,63.0,5.0,8.0,0.0,69.0,136.0,198.0,28.0,54.0,191.0,49.0,190.0,389.0,72.0,137.0,191.0,31.0,62.0,198.0,51.0,199.0,389.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS018,Round of 32,,,F,5,TD51,J. Faria,F. Tiafoe,F0F2,TD51,POR,USA,,19,,F. Tiafoe,J. Faria,19,,USA,POR,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,202.0,/en/stats/leaderboard?page=serve,7.0,26.0,67.0,105.0,156.0,69.0,72.0,105.0,47.0,24.0,51.0,47.0,7.0,15.0,0.0,190.0,/en/stats/leaderboard?page=serve,5.0,15.0,58.0,93.0,159.0,78.0,73.0,93.0,44.0,29.0,66.0,56.0,5.0,9.0,0.0,62.0,96.0,156.0,36.0,57.0,159.0,49.0,153.0,315.0,64.0,102.0,159.0,38.0,60.0,156.0,51.0,162.0,315.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS019,Round of 32,,,F,5,A0FC,M. Arnaldi,R. Collignon,A0FC,C0JP,ITA,BEL,,,,M. Arnaldi,R. Collignon,,,ITA,BEL,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,195.0,/en/stats/leaderboard?page=serve,10.0,17.0,67.0,130.0,193.0,75.0,97.0,130.0,46.0,29.0,63.0,62.0,8.0,13.0,0.0,201.0,/en/stats/leaderboard?page=serve,5.0,14.0,62.0,112.0,181.0,76.0,85.0,112.0,54.0,37.0,69.0,64.0,7.0,11.0,0.0,65.0,126.0,193.0,33.0,59.0,181.0,49.0,185.0,374.0,67.0,122.0,181.0,35.0,67.0,193.0,51.0,189.0,374.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS020,Round of 32,,,F,5,AG37,F. Auger-Aliassime,B. Nakashima,AG37,N0AE,CAN,USA,4,31,,F. Auger-Aliassime,B. Nakashima,4,31,CAN,USA,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,196.0,/en/stats/leaderboard?page=serve,1.0,8.0,71.0,87.0,123.0,76.0,66.0,87.0,42.0,15.0,36.0,33.0,2.0,6.0,0.0,212.0,/en/stats/leaderboard?page=serve,0.0,15.0,74.0,107.0,145.0,76.0,81.0,107.0,47.0,18.0,38.0,63.0,5.0,8.0,0.0,66.0,81.0,123.0,32.0,46.0,145.0,47.0,127.0,268.0,68.0,99.0,145.0,34.0,42.0,123.0,53.0,141.0,268.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS021,Round of 32,,,F,5,TE30,M. Kouame,A. Tabilo,K0O4,TE30,FRA,CHI,,,,A. Tabilo,M. Kouame,,,CHI,FRA,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,178.0,/en/stats/leaderboard?page=serve,11.0,13.0,62.0,95.0,154.0,68.0,65.0,95.0,46.0,27.0,59.0,71.0,12.0,17.0,0.0,205.0,/en/stats/leaderboard?page=serve,3.0,17.0,61.0,79.0,129.0,76.0,60.0,79.0,54.0,27.0,50.0,60.0,6.0,10.0,0.0,60.0,92.0,154.0,33.0,42.0,129.0,47.0,134.0,283.0,67.0,87.0,129.0,40.0,62.0,154.0,53.0,149.0,283.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS022,Round of 32,,,F,5,C0E9,F. Cobolli,L. Tien,C0E9,T0HA,ITA,USA,10,18,,F. Cobolli,L. Tien,10,18,ITA,USA,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,150.0,/en/stats/leaderboard?page=serve,7.0,3.0,55.0,47.0,86.0,55.0,26.0,47.0,44.0,17.0,39.0,46.0,6.0,13.0,0.0,199.0,/en/stats/leaderboard?page=serve,2.0,7.0,57.0,38.0,67.0,82.0,31.0,38.0,55.0,16.0,29.0,75.0,3.0,4.0,0.0,50.0,43.0,86.0,30.0,20.0,67.0,41.0,63.0,153.0,70.0,47.0,67.0,50.0,43.0,86.0,59.0,90.0,153.0
520,2026,Roland Garros,GS,2026-05-24T00:00:00,2026-06-07T00:00:00,Clay,128,28900000,€,MS023,Round of 32,,,F,5,S0K7,F. Cerundolo,Z. Svajda,C0AU,S0K7,ARG,USA,25,,,Z. Svajda,F. Cerundolo,,25,USA,ARG,,,,,,2026-05-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,196.0,/en/stats/leaderboard?page=serve,3.0,13.0,64.0,80.0,125.0,73.0,58.0,80.0,49.0,22.0,45.0,33.0,3.0,9.0,0.0,189.0,/en/stats/leaderboard?page=serve,3.0,10.0,58.0,86.0,149.0,76.0,65.0,86.0,48.0,30.0,63.0,55.0,6.0,11.0,0.0,64.0,80.0,125.0,36.0,54.0,149.0,49.0,134.0,274.0,64.0,95.0,149.0,36.0,45.0,125.0,51.0,140.0,274.0
