event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS011,R16,01:27:00,,F,2,N250,"6-2,7-5",M. Norman,C. Trimmel,,,SWE,AUT,6-2,7-5,,,,01:27:00,,,244,/en/stats/leaderboard?page=serve,6,3,49,31,63,68,21,31,50,16,32,50,2,4,10,208,/en/stats/leaderboard?page=serve,5,1,63,47,75,53,25,47,46,13,28,55,6,11,10,59,37,63,49,37,75,54,74,138,51,38,75,41,26,63,46,64,138,A,,,,,,,M. Norman,C. Trimmel,N250,T231,SWE,AUT,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS012,R16,00:21:00,,F,1,F165,4-0,M. Filippini,M. Rosset,,,URU,SUI,4-0,,,,,00:21:00,,,278,/en/stats/leaderboard?page=serve,,1,69,11,16,82,9,11,60,3,5,,0,,3,124,/en/stats/leaderboard?page=serve,1,1,69,11,16,55,6,11,,,5,0,0,2,2,75,12,16,63,10,16,69,22,32,,0,,25,4,16,,0,,A,,,False,False,,,M. Filippini,M. Rosset,F165,R214,URU,SUI,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS013,R16,01:17:00,,F,2,N099,"6-4,6-2",T. Nydahl,M. Rios,,,SWE,CHI,6-4,6-2,,,,01:17:00,,,270,/en/stats/leaderboard?page=serve,2,5,57,35,61,71,25,35,62,16,26,,0,,9,222,/en/stats/leaderboard?page=serve,4,3,46,30,65,57,17,30,54,19,35,67,6,9,9,67,41,61,45,29,65,56,70,126,55,36,65,33,20,61,44,56,126,A,,,,,,,T. Nydahl,M. Rios,N099,R286,SWE,CHI,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS014,R16,01:37:00,,F,2,A203,"6-3,7-5",K. Alami,G. Schaller,,,MAR,AUT,6-3,7-5,,,,01:37:00,,,269,/en/stats/leaderboard?page=serve,5,8,37,30,82,83,25,30,56,29,52,83,5,6,11,229,/en/stats/leaderboard?page=serve,7,0,76,53,70,66,35,53,24,4,17,73,8,11,10,66,54,82,44,31,70,56,85,152,56,39,70,34,28,82,44,67,152,A,,,,,,,K. Alami,G. Schaller,A203,S315,MAR,AUT,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS015,R16,01:21:00,,F,2,H377,"6-2,7-6(7)",D. Hrbaty,G. Silberstein,,,SVK,CHI,6-2,7-6(7),,,,01:21:00,,,238,/en/stats/leaderboard?page=serve,9,5,51,35,69,77,27,35,44,15,34,40,2,5,10,210,/en/stats/leaderboard?page=serve,3,3,67,52,78,58,30,52,35,9,26,71,12,17,10,61,42,69,50,39,78,55,81,147,50,39,78,39,27,69,45,66,147,A,7,3,,,,,D. Hrbaty,G. Silberstein,H377,S548,SVK,CHI,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS016,R32,01:00:00,,F,2,M099,"6-3,6-3",T. Muster,S. Grosjean,,,AUT,FRA,6-3,6-3,,,,01:00:00,,,255,/en/stats/leaderboard?page=serve,2,1,43,20,47,80,16,20,56,15,27,33,1,3,9,200,/en/stats/leaderboard?page=serve,2,2,61,35,57,63,22,35,32,7,22,67,10,15,9,66,31,47,49,28,57,57,59,104,51,29,57,34,16,47,43,45,104,A,,,,,,,T. Muster,S. Grosjean,M099,G379,AUT,FRA,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS017,R32,02:15:00,,F,2,G247,"7-6(7),7-6(7)",H. Gumy,A. Boetsch,,,ARG,FRA,7-6(7),7-6(7),,,,02:15:00,7,2,255,/en/stats/leaderboard?page=serve,3,2,53,41,77,73,30,41,47,17,36,0,0,2,12,246,/en/stats/leaderboard?page=serve,2,1,52,50,96,62,31,50,50,23,46,80,8,10,12,61,47,77,44,42,96,51,89,173,56,54,96,39,30,77,49,84,173,A,7,4,,,,,H. Gumy,A. Boetsch,G247,B053,ARG,FRA,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS018,R32,01:02:00,,F,2,T136,"6-4,6-0",J. Tarango,V. Spadea,,,USA,USA,6-4,6-0,,,,01:02:00,,,285,/en/stats/leaderboard?page=serve,1,3,63,32,51,75,24,32,58,11,19,86,6,7,8,184,/en/stats/leaderboard?page=serve,3,5,60,32,53,56,18,32,29,6,21,29,2,7,8,69,35,51,55,29,53,62,64,104,45,24,53,31,16,51,38,40,104,A,,,,,,,J. Tarango,V. Spadea,T136,S544,USA,USA,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS019,R32,01:50:00,,F,2,R255,"7-6(8),7-6(7)",P. Rafter,R. Fromberg,,,AUS,AUS,7-6(8),7-6(7),,,,01:50:00,8,6,280,/en/stats/leaderboard?page=serve,6,5,67,58,87,69,40,58,62,18,29,67,4,6,12,272,/en/stats/leaderboard?page=serve,5,3,57,44,77,73,32,44,61,20,33,50,2,4,12,67,58,87,32,25,77,51,83,164,68,52,77,33,29,87,49,81,164,A,7,4,,,,,P. Rafter,R. Fromberg,R255,F164,AUS,AUS,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS020,R32,01:06:00,,F,2,S572,"6-4,6-2",S. Schalken,T. Henman,,,NED,GBR,6-4,6-2,,,,01:06:00,,,258,/en/stats/leaderboard?page=serve,2,1,61,33,54,67,22,33,76,16,21,,0,,9,230,/en/stats/leaderboard?page=serve,4,2,48,31,65,74,23,31,44,15,34,57,4,7,9,70,38,54,42,27,65,55,65,119,58,38,65,30,16,54,45,54,119,A,,,,,,,S. Schalken,T. Henman,S572,H336,NED,GBR,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS021,R32,01:23:00,,F,2,K296,"6-0,7-6(7)",J. Kroslak,A. Voinea,,,SVK,ROU,6-0,7-6(7),,,,01:23:00,,,236,/en/stats/leaderboard?page=serve,7,4,55,36,66,78,28,36,40,12,30,40,2,5,9,176,/en/stats/leaderboard?page=serve,3,3,52,35,67,57,20,35,34,11,32,40,4,10,9,61,40,66,54,36,67,57,76,133,46,31,67,39,26,66,43,57,133,A,7,4,,,,,J. Kroslak,A. Voinea,K296,V166,SVK,ROU,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS022,R32,01:18:00,,F,2,N250,"6-3,7-5",M. Norman,W. Schranz,,,SWE,AUT,6-3,7-5,,,,01:18:00,,,256,/en/stats/leaderboard?page=serve,5,5,38,26,68,85,22,26,52,22,42,67,4,6,11,223,/en/stats/leaderboard?page=serve,3,3,69,46,67,65,30,46,29,6,21,50,4,8,10,65,44,68,46,31,67,56,75,135,54,36,67,35,24,68,44,60,135,A,,,,,,,M. Norman,W. Schranz,N250,S649,SWE,AUT,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS023,R32,02:08:00,,F,3,T231,"7-5,3-6,7-5",C. Trimmel,J. Bjorkman,,,AUT,SWE,7-5,3-6,7-5,,,02:08:00,,,258,/en/stats/leaderboard?page=serve,7,5,53,52,99,77,40,52,49,23,47,57,4,7,16,245,/en/stats/leaderboard?page=serve,9,6,45,47,105,74,35,47,53,31,58,67,8,12,17,64,63,99,37,39,105,50,102,204,63,66,105,36,36,99,50,102,204,A,,,,,,,C. Trimmel,J. Bjorkman,T231,B446,AUT,SWE,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS024,R32,02:12:00,,F,3,R214,"6-2,4-6,7-6(7)",M. Rosset,S. Sargsian,,,SUI,ARM,6-2,4-6,7-6(7),,,02:12:00,,,274,/en/stats/leaderboard?page=serve,2,4,61,66,109,74,49,66,51,22,43,80,8,10,15,270,/en/stats/leaderboard?page=serve,4,2,70,68,97,63,43,68,59,17,29,50,3,6,15,65,71,109,38,37,97,52,108,206,62,60,97,35,38,109,48,98,206,A,,,,,7,2,M. Rosset,S. Sargsian,R214,S545,SUI,ARM,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS025,R32,01:32:00,,F,2,F165,"7-6(7),7-5",M. Filippini,J. Viloca-Puig,,,URU,ESP,7-6(7),7-5,,,,01:32:00,7,2,286,/en/stats/leaderboard?page=serve,2,2,75,53,71,72,38,53,56,10,18,0,0,2,12,253,/en/stats/leaderboard?page=serve,1,7,51,36,71,78,28,36,43,15,35,57,4,7,12,68,48,71,39,28,71,54,76,142,61,43,71,32,23,71,46,66,142,A,,,,,,,M. Filippini,J. Viloca-Puig,F165,V161,URU,ESP,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS026,R32,03:00:00,,F,3,N099,"7-6(7),5-7,7-5",T. Nydahl,M. Hipfl,,,SWE,AUT,7-6(7),5-7,7-5,,,03:00:00,7,2,212,/en/stats/leaderboard?page=serve,11,2,66,80,121,63,50,80,37,15,41,20,2,10,18,212,/en/stats/leaderboard?page=serve,2,1,51,58,114,62,36,58,45,25,56,50,8,16,18,54,65,121,46,53,114,50,118,235,54,61,114,46,56,121,50,117,235,A,,,,,,,T. Nydahl,M. Hipfl,N099,H364,SWE,AUT,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS027,R32,01:46:00,,F,3,R286,"6-4,4-6,6-4",M. Rios,A. Gaudenzi,,,CHI,ITA,6-4,4-6,6-4,,,01:46:00,,,256,/en/stats/leaderboard?page=serve,4,7,52,46,89,72,33,46,56,24,43,20,1,5,15,244,/en/stats/leaderboard?page=serve,2,0,67,62,93,61,38,62,52,16,31,44,4,9,15,64,57,89,42,39,93,53,96,182,58,54,93,36,32,89,47,86,182,A,,,,,,,M. Rios,A. Gaudenzi,R286,G254,CHI,ITA,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS028,R32,02:52:00,,F,3,S315,"4-6,7-6(7),7-6(7)",G. Schaller,T. Johansson,,,AUT,SWE,4-6,7-6(7),7-6(7),,,02:52:00,,,283,/en/stats/leaderboard?page=serve,1,0,79,95,121,65,62,95,58,15,26,73,8,11,17,265,/en/stats/leaderboard?page=serve,3,5,44,56,127,82,46,56,49,35,71,60,3,5,17,64,77,121,36,46,127,50,123,248,64,81,127,36,44,121,50,125,248,A,7,3,,,7,4,G. Schaller,T. Johansson,S315,J129,AUT,SWE,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS029,R32,02:17:00,,F,3,A203,"6-4,5-7,7-5",K. Alami,P. Baur,,,MAR,GER,6-4,5-7,7-5,,,02:17:00,,,288,/en/stats/leaderboard?page=serve,3,8,59,57,96,72,41,57,64,25,39,50,2,4,17,259,/en/stats/leaderboard?page=serve,7,11,57,83,145,66,55,83,50,31,62,75,9,12,17,69,66,96,41,59,145,52,125,241,59,86,145,31,30,96,48,116,241,A,,,,,,,K. Alami,P. Baur,A203,B293,MAR,GER,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS030,R32,01:20:00,,F,2,S548,"7-6(7),6-1",G. Silberstein,K. Kucera,,,CHI,SVK,7-6(7),6-1,,,,01:20:00,7,5,274,/en/stats/leaderboard?page=serve,,1,68,39,57,67,26,39,61,11,18,50,2,4,9,213,/en/stats/leaderboard?page=serve,3,8,68,52,76,65,34,52,25,6,24,38,3,8,10,65,37,57,47,36,76,55,73,133,53,40,76,35,20,57,45,60,133,A,,,False,,,,G. Silberstein,K. Kucera,S548,K237,CHI,SVK,,
306,1997,St. Polten,GP,1997-05-19T00:00:00,1997-05-25T00:00:00,Clay,32,400000,$,MS031,R32,00:58:00,,F,2,H377,"6-3,6-3",D. Hrbaty,Y. Kafelnikov,,,SVK,RUS,6-3,6-3,,,,00:58:00,,,231,/en/stats/leaderboard?page=serve,2,9,56,34,61,76,26,34,59,16,27,,0,,9,246,/en/stats/leaderboard?page=serve,4,5,58,30,52,80,24,30,41,9,22,25,1,4,9,69,42,61,37,19,52,54,61,113,63,33,52,31,19,61,46,52,113,A,,,,,,,D. Hrbaty,Y. Kafelnikov,H377,K267,SVK,RUS,,
