event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS023,R32,01:27:00,,F,2,K181,"6-4,7-5",N. Kulti,D. Nestor,,,SWE,CAN,6-4,7-5,,,,01:27:00,,,245,/en/stats/leaderboard?page=serve,7,5,44,34,77,71,24,34,51,22,43,6,11,240,/en/stats/leaderboard?page=serve,2,4,67,45,67,67,30,45,41,9,22,60,6,10,11,60,46,77,42,28,67,51,74,144,58,39,67,40,31,77,49,70,144,A,,,75,8,,,,,N. Kulti,D. Nestor,K181,N210,SWE,CAN,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS024,R32,01:14:00,,F,2,K214,"6-3,7-5",R. Krajicek,A. Boetsch,,,NED,FRA,6-3,7-5,,,,01:14:00,,,284,/en/stats/leaderboard?page=serve,3,15,58,35,60,94,33,35,48,12,25,0,11,253,/en/stats/leaderboard?page=serve,,0,46,30,65,73,22,30,54,19,35,60,3,5,10,75,45,60,37,24,65,55,69,125,63,41,65,25,15,60,45,56,125,A,,,,,False,,,,R. Krajicek,A. Boetsch,K214,B053,NED,FRA,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS025,R32,01:48:00,,F,3,C243,"4-6,6-1,6-4",J. Courier,S. Draper,,,USA,AUS,4-6,6-1,6-4,,,01:48:00,,,286,/en/stats/leaderboard?page=serve,,4,61,46,75,74,34,46,62,18,29,2,14,240,/en/stats/leaderboard?page=serve,3,6,42,28,67,75,21,28,51,20,39,33,2,6,13,69,52,75,39,26,67,55,78,142,61,41,67,31,23,75,45,64,142,A,,,50,4,,False,,,J. Courier,S. Draper,C243,D270,USA,AUS,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS026,R32,00:54:00,,F,2,H377,"6-3,6-2",D. Hrbaty,C. Woodruff,,,SVK,USA,6-3,6-2,,,,00:54:00,,,292,/en/stats/leaderboard?page=serve,,2,53,27,51,78,21,27,71,17,24,0,9,222,/en/stats/leaderboard?page=serve,5,3,48,21,44,57,12,21,57,13,23,0,0,3,8,75,38,51,43,19,44,60,57,95,57,25,44,25,13,51,40,38,95,A,,,,,,False,,,D. Hrbaty,C. Woodruff,H377,W212,SVK,USA,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS027,R32,02:08:00,,F,3,I034,"3-6,7-6(7),6-4",G. Ivanisevic,V. Spadea,,,CRO,USA,3-6,7-6(7),6-4,,,02:08:00,,,279,/en/stats/leaderboard?page=serve,11,17,50,55,109,87,48,55,43,23,54,10,15,291,/en/stats/leaderboard?page=serve,3,4,57,52,92,77,40,52,63,25,40,50,1,2,16,65,71,109,29,27,92,49,98,201,71,65,92,35,38,109,51,103,201,A,7,4,91,11,,,,,G. Ivanisevic,V. Spadea,I034,S544,CRO,USA,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS028,R32,01:38:00,,F,3,B446,"6-3,3-6,6-1",J. Bjorkman,M. Rios,,,SWE,CHI,6-3,3-6,6-1,,,01:38:00,,,248,/en/stats/leaderboard?page=serve,5,8,46,42,91,76,32,42,47,23,49,7,13,213,/en/stats/leaderboard?page=serve,2,1,50,37,74,49,18,37,57,21,37,50,5,10,12,60,55,91,47,35,74,55,90,165,53,39,74,40,36,91,45,75,165,A,,,70,10,,,,,J. Bjorkman,M. Rios,B446,R286,SWE,CHI,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS029,R32,01:01:00,,F,2,P338,"6-3,6-3",M. Philippoussis,W. Ferreira,,,AUS,RSA,6-3,6-3,,,,01:01:00,,,283,/en/stats/leaderboard?page=serve,6,6,52,24,46,88,21,24,55,12,22,0,9,219,/en/stats/leaderboard?page=serve,1,5,48,25,52,60,15,25,52,14,27,20,1,5,9,72,33,46,44,23,52,57,56,98,56,29,52,28,13,46,43,42,98,A,,,0,1,,,,,M. Philippoussis,W. Ferreira,P338,F196,AUS,RSA,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS030,R32,01:07:00,,F,2,C344,"6-1,7-5",A. Corretja,S. Lareau,,,ESP,CAN,6-1,7-5,,,,01:07:00,,,285,/en/stats/leaderboard?page=serve,3,2,62,37,60,73,27,37,61,14,23,4,10,209,/en/stats/leaderboard?page=serve,4,1,74,35,47,66,23,35,17,2,12,20,1,5,9,68,41,60,47,22,47,59,63,107,53,25,47,32,19,60,41,44,107,A,,,80,5,,,,,A. Corretja,S. Lareau,C344,L226,ESP,CAN,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS031,R32,00:52:00,,F,2,M099,"6-1,6-2",T. Muster,T. Haas,,,AUT,GER,6-1,6-2,,,,00:52:00,,,279,/en/stats/leaderboard?page=serve,3,6,55,23,42,83,19,23,53,10,19,1,7,149,/en/stats/leaderboard?page=serve,,2,65,26,40,50,13,26,7,1,14,25,2,8,8,69,29,42,65,26,40,67,55,82,35,14,40,31,13,42,33,27,82,A,,,50,2,False,,,,T. Muster,T. Haas,M099,H355,AUT,GER,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS032,R64,00:48:00,,F,2,S402,"6-2,6-0",P. Sampras,A. Voinea,,,USA,ROU,6-2,6-0,,,,00:48:00,,,285,/en/stats/leaderboard?page=serve,,10,61,22,36,86,19,22,43,6,14,0,7,142,/en/stats/leaderboard?page=serve,4,4,57,26,46,46,12,26,25,5,20,40,4,10,7,69,25,36,63,29,46,66,54,82,37,17,46,31,11,36,34,28,82,A,,,0,1,,False,,,P. Sampras,A. Voinea,S402,V166,USA,ROU,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS033,R64,01:09:00,,F,2,C252,"6-2,6-3",F. Clavet,N. Kiefer,,,ESP,GER,6-2,6-3,,,,01:09:00,,,202,/en/stats/leaderboard?page=serve,1,2,63,29,46,79,23,29,59,10,17,0,8,203,/en/stats/leaderboard?page=serve,5,4,40,27,68,70,19,27,39,16,41,69,9,13,9,72,33,46,49,33,68,58,66,114,51,35,68,28,13,46,42,48,114,A,,,0,,,,,,F. Clavet,N. Kiefer,C252,K316,ESP,GER,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS034,R64,01:05:00,,F,2,L206,"6-1,6-3",M. Larsson,J. Siemerink,,,SWE,NED,6-1,6-3,,,,01:05:00,,,207,/en/stats/leaderboard?page=serve,1,1,61,27,44,81,22,27,65,11,17,0,8,202,/en/stats/leaderboard?page=serve,2,2,57,40,70,65,26,40,30,9,30,64,7,11,8,75,33,44,50,35,70,60,68,114,50,35,70,25,11,44,40,46,114,A,,,0,,,,,,M. Larsson,J. Siemerink,L206,S381,SWE,NED,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS035,R64,02:12:00,,F,3,D198,"5-7,6-2,7-5",S. Dosedel,M. Rosset,,,CZE,SUI,5-7,6-2,7-5,,,02:12:00,,,296,/en/stats/leaderboard?page=serve,3,3,81,70,86,71,50,70,63,10,16,8,16,230,/en/stats/leaderboard?page=serve,5,7,47,46,97,70,32,46,43,22,51,55,6,11,16,70,60,86,44,43,97,56,103,183,56,54,97,30,26,86,44,80,183,A,,,73,11,,,,,S. Dosedel,M. Rosset,D198,R214,CZE,SUI,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS037,R64,01:27:00,,F,2,K293,"7-6(10),6-3",G. Kuerten,B. Ulihrach,,,BRA,CZE,7-6(10),6-3,,,,01:27:00,10,8,284,/en/stats/leaderboard?page=serve,6,9,48,38,79,89,34,38,54,22,41,6,11,265,/en/stats/leaderboard?page=serve,1,4,68,54,80,72,39,54,42,11,26,67,4,6,10,71,56,79,38,30,80,54,86,159,63,50,80,29,23,79,46,73,159,A,,,86,7,,,,,G. Kuerten,B. Ulihrach,K293,U032,BRA,CZE,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS038,R64,02:11:00,,F,3,T166,"7-6(7),5-7,6-4",M. Tillstrom,T. Woodbridge,,,SWE,AUS,7-6(7),5-7,6-4,,,02:11:00,7,2,263,/en/stats/leaderboard?page=serve,3,1,53,56,106,68,38,56,62,31,50,6,17,260,/en/stats/leaderboard?page=serve,3,2,64,70,109,74,52,70,41,16,39,67,6,9,17,65,69,106,38,41,109,51,110,215,62,68,109,35,37,106,49,105,215,A,,,67,9,,,,,M. Tillstrom,T. Woodbridge,T166,W136,SWE,AUS,,
403,1997,ATP Masters 1000 Miami,1000,1997-03-17T00:00:00,1997-03-30T00:00:00,Hard,96,2450000,$,MS039,R64,01:27:00,,F,2,M605,"7-6(7),6-4",C. Moya,M. Charpentier,,,ESP,ARG,7-6(7),6-4,,,,01:27:00,7,4,237,/en/stats/leaderboard?page=serve,2,3,52,34,66,65,22,34,56,18,32,4,11,226,/en/stats/leaderboard?page=serve,4,1,78,64,82,53,34,64,44,8,18,38,3,8,11,61,40,66,49,40,82,54,80,148,51,42,82,39,26,66,46,68,148,A,,,50,8,,,,,C. Moya,M. Charpentier,M605,C375,ESP,ARG,,
