event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS011,R16,01:51:00,,F,2,S331,"7-6(7),6-4",J. Stoltenberg,M. Norman,,,AUS,SWE,7-6(7),6-4,,,,01:51:00,240,/en/stats/leaderboard?page=serve,6,3,51,44,86,70,31,44,50,21,42,50,3,6,11,230,/en/stats/leaderboard?page=serve,3,3,58,46,80,59,27,46,50,17,34,43,3,7,11,60,52,86,45,36,80,53,88,166,55,44,80,40,34,86,47,78,166,A,,7,3,,,,J. Stoltenberg,M. Norman,S331,N250,AUS,SWE,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS012,R16,01:39:00,,F,2,W212,"7-5,7-6(7)",C. Woodruff,O. Gross,,,USA,GER,7-5,7-6(7),,,,01:39:00,250,/en/stats/leaderboard?page=serve,8,1,61,53,87,68,36,53,53,18,34,63,5,8,12,220,/en/stats/leaderboard?page=serve,7,4,54,40,74,65,26,40,38,13,34,33,2,6,12,62,54,87,47,35,74,55,89,161,53,39,74,38,33,87,45,72,161,A,,,,7,3,,C. Woodruff,O. Gross,W212,G297,USA,GER,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS013,R16,01:47:00,,F,3,O099,"2-6,6-3,6-2",A. O'Brien,K. Carlsen,,,USA,DEN,2-6,6-3,6-2,,,01:47:00,256,/en/stats/leaderboard?page=serve,4,2,62,48,77,75,36,48,45,13,29,57,4,7,13,247,/en/stats/leaderboard?page=serve,2,5,58,37,64,68,25,37,52,14,27,0,0,4,12,64,49,77,39,25,64,52,74,141,61,39,64,36,28,77,48,67,141,A,,,,,,,A. O'Brien,K. Carlsen,O099,C328,USA,DEN,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS014,R16,01:02:00,,F,2,S406,"6-2,6-3",G. Stafford,S. Stolle,,,RSA,AUS,6-2,6-3,,,,01:02:00,273,/en/stats/leaderboard?page=serve,,6,65,40,62,80,32,40,45,10,22,,0,,9,236,/en/stats/leaderboard?page=serve,8,9,70,38,54,74,28,38,25,4,16,57,4,7,9,68,42,62,41,22,54,55,64,116,59,32,54,32,20,62,45,52,116,A,False,,,,,,G. Stafford,S. Stolle,S406,S443,RSA,AUS,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS015,R16,01:05:00,,F,2,M443,"6-4,6-2",F. Meligeni,M. Rodriguez,,,BRA,ARG,6-4,6-2,,,,01:05:00,277,/en/stats/leaderboard?page=serve,,3,57,34,60,79,27,34,50,13,26,83,5,6,9,212,/en/stats/leaderboard?page=serve,5,2,38,20,53,80,16,20,42,14,33,43,3,7,9,67,40,60,43,23,53,56,63,113,57,30,53,33,20,60,44,50,113,A,False,,,,,,F. Meligeni,M. Rodriguez,M443,R251,BRA,ARG,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS016,R32,01:11:00,,F,2,C274,"6-3,6-3",M. Chang,J. Gambill,,,USA,USA,6-3,6-3,,,,01:11:00,197,/en/stats/leaderboard?page=serve,2,3,51,26,51,77,20,26,68,17,25,0,0,,9,235,/en/stats/leaderboard?page=serve,3,8,52,32,62,59,19,32,53,16,30,63,5,8,9,73,37,51,44,27,62,57,64,113,56,35,62,27,14,51,43,49,113,A,,,,,,,M. Chang,J. Gambill,C274,G352,USA,USA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS017,R32,01:09:00,,F,2,V161,"6-2,6-2",J. Viloca-Puig,L. Jensen,,,ESP,USA,6-2,6-2,,,,01:09:00,281,/en/stats/leaderboard?page=serve,3,3,50,23,46,83,19,23,61,14,23,,0,,8,200,/en/stats/leaderboard?page=serve,7,2,58,42,72,67,28,42,30,9,30,69,9,13,8,72,33,46,49,35,72,58,68,118,51,37,72,28,13,46,42,50,118,A,,,,,,,J. Viloca-Puig,L. Jensen,V161,J009,ESP,USA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS018,R32,01:16:00,,F,2,S559,"6-4,6-4",D. van Scheppingen,P. Fredriksson,,,NED,SWE,6-4,6-4,,,,01:16:00,295,/en/stats/leaderboard?page=serve,1,5,57,31,54,74,23,31,70,16,23,67,2,3,10,238,/en/stats/leaderboard?page=serve,6,2,56,38,68,66,25,38,50,15,30,50,3,6,10,72,39,54,41,28,68,55,67,122,59,40,68,28,15,54,45,55,122,A,,,,,,,D. van Scheppingen,P. Fredriksson,S559,F278,NED,SWE,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS019,R32,01:31:00,,F,2,B397,"6-3,7-6(7)",B. Black,J. Van Herck,,,ZIM,BEL,6-3,7-6(7),,,,01:31:00,273,/en/stats/leaderboard?page=serve,4,5,59,40,68,75,30,40,57,16,28,33,1,3,11,252,/en/stats/leaderboard?page=serve,4,5,68,50,73,70,35,50,43,10,23,73,8,11,10,68,46,68,38,28,73,52,74,141,62,45,73,32,22,68,48,67,141,A,,,,7,4,,B. Black,J. Van Herck,B397,V167,ZIM,BEL,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS020,R32,01:47:00,,F,3,K148,"2-6,6-4,4-3",P. Korda,J. Salzenstein,,,CZE,USA,2-6,6-4,4-3,,,01:47:00,222,/en/stats/leaderboard?page=serve,5,4,54,45,84,64,29,45,44,17,39,44,4,9,13,242,/en/stats/leaderboard?page=serve,2,7,61,50,82,66,33,50,41,13,32,67,8,12,13,55,46,84,44,36,82,49,82,166,56,46,82,45,38,84,51,84,166,A,,,,,,,P. Korda,J. Salzenstein,K148,S564,CZE,USA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS021,R32,01:37:00,,F,2,F165,"6-4,7-5",M. Filippini,W. Black,,,URU,ZIM,6-4,7-5,,,,01:37:00,247,/en/stats/leaderboard?page=serve,1,3,67,53,79,57,30,53,58,15,26,64,7,11,11,207,/en/stats/leaderboard?page=serve,1,0,65,45,69,56,25,45,42,10,24,50,6,12,11,57,45,79,49,34,69,53,79,148,51,35,69,43,34,79,47,69,148,A,,,,,,,M. Filippini,W. Black,F165,B499,URU,ZIM,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS022,R32,01:01:00,,F,2,N250,"7-5,2-1",M. Norman,G. Raoux,,,SWE,FRA,7-5,2-1,,,,01:01:00,265,/en/stats/leaderboard?page=serve,2,6,39,18,46,89,16,18,46,13,28,75,3,4,8,216,/en/stats/leaderboard?page=serve,6,2,50,25,50,68,17,25,40,10,25,0,0,3,8,63,29,46,46,23,50,54,52,96,54,27,50,37,17,46,46,44,96,A,,,,,,,M. Norman,G. Raoux,N250,R186,SWE,FRA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS023,R32,01:11:00,,F,2,S331,"6-1,7-5",J. Stoltenberg,S. Sargsian,,,AUS,ARM,6-1,7-5,,,,01:11:00,287,/en/stats/leaderboard?page=serve,2,2,53,31,58,74,23,31,70,19,27,67,2,3,10,237,/en/stats/leaderboard?page=serve,,0,73,41,56,49,20,41,60,9,15,43,3,7,9,72,42,58,48,27,56,61,69,114,52,29,56,28,16,58,39,45,114,A,,,,,,False,J. Stoltenberg,S. Sargsian,S331,S545,AUS,ARM,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS024,R32,02:05:00,,F,3,W212,"4-6,6-4,6-4",C. Woodruff,J. Frana,,,USA,ARG,4-6,6-4,6-4,,,02:05:00,260,/en/stats/leaderboard?page=serve,6,6,63,62,98,73,45,62,44,16,36,75,9,12,15,253,/en/stats/leaderboard?page=serve,4,11,66,65,98,68,44,65,39,13,33,64,7,11,15,62,61,98,42,41,98,52,102,196,58,57,98,38,37,98,48,94,196,A,,,,,,,C. Woodruff,J. Frana,W212,F041,USA,ARG,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS025,R32,00:57:00,,F,2,G297,"6-1,6-2",O. Gross,V. Spadea,,,GER,USA,6-1,6-2,,,,00:57:00,208,/en/stats/leaderboard?page=serve,2,2,61,23,38,87,20,23,60,9,15,0,0,,7,176,/en/stats/leaderboard?page=serve,5,1,43,21,49,71,15,21,29,8,28,17,1,6,8,76,29,38,53,26,49,63,55,87,47,23,49,24,9,38,37,32,87,A,,,,,,,O. Gross,V. Spadea,G297,S544,GER,USA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS026,R32,02:09:00,,F,3,C328,"4-6,6-2,6-3",K. Carlsen,R. Jabali,,,DEN,BRA,4-6,6-2,6-3,,,02:09:00,264,/en/stats/leaderboard?page=serve,6,11,55,57,103,74,42,57,46,21,46,88,15,17,13,225,/en/stats/leaderboard?page=serve,7,3,63,57,90,72,41,57,30,10,33,44,4,9,14,61,63,103,43,39,90,53,102,193,57,51,90,39,40,103,47,91,193,A,,,,,,,K. Carlsen,R. Jabali,C328,J085,DEN,BRA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS027,R32,01:18:00,,F,2,O099,"6-4,6-2",A. O'Brien,G. Schaller,,,USA,AUT,6-4,6-2,,,,01:18:00,292,/en/stats/leaderboard?page=serve,1,7,59,29,49,79,23,29,60,12,20,0,0,1,9,227,/en/stats/leaderboard?page=serve,1,1,72,44,61,59,26,44,41,7,17,50,4,8,9,71,35,49,46,28,61,57,63,110,54,33,61,29,14,49,43,47,110,A,,,,,,,A. O'Brien,G. Schaller,O099,S315,USA,AUT,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS028,R32,01:24:00,,F,2,S443,"6-3,7-6(7)",S. Stolle,M. Zabaleta,,,AUS,ARG,6-3,7-6(7),,,,01:24:00,268,/en/stats/leaderboard?page=serve,4,2,60,44,73,77,34,44,52,15,29,0,0,2,11,252,/en/stats/leaderboard?page=serve,4,0,66,43,65,65,28,43,55,12,22,40,2,5,10,67,49,73,38,25,65,54,74,138,62,40,65,33,24,73,46,64,138,A,,,,7,4,,S. Stolle,M. Zabaleta,S443,Z073,AUS,ARG,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS029,R32,00:59:00,,F,2,S406,"6-2,6-1",G. Stafford,T. Champion,,,RSA,FRA,6-2,6-1,,,,00:59:00,283,/en/stats/leaderboard?page=serve,2,3,65,34,52,74,25,34,56,10,18,75,3,4,8,191,/en/stats/leaderboard?page=serve,1,0,82,40,49,38,15,40,44,4,9,17,1,6,7,67,35,52,61,30,49,64,65,101,39,19,49,33,17,52,36,36,101,A,,,,,,,G. Stafford,T. Champion,S406,C028,RSA,FRA,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS030,R32,02:09:00,,F,2,M443,"7-6(7),7-6(8)",F. Meligeni,M. Merklein,,,BRA,BAH,7-6(7),7-6(8),,,,02:09:00,281,/en/stats/leaderboard?page=serve,3,3,70,59,84,76,45,59,44,11,25,50,1,2,12,259,/en/stats/leaderboard?page=serve,13,9,62,71,114,73,52,71,37,16,43,92,11,12,12,67,56,84,40,46,114,52,102,198,60,68,114,33,28,84,48,96,198,A,,7,3,8,6,,F. Meligeni,M. Merklein,M443,M471,BRA,BAH,,
717,1997,Orlando,GP,1997-04-21T00:00:00,1997-04-27T00:00:00,Clay,32,264250,$,MS031,R32,01:05:00,,F,2,R251,"6-1,6-2",M. Rodriguez,M. Washington,,,ARG,USA,6-1,6-2,,,,01:05:00,254,/en/stats/leaderboard?page=serve,1,7,50,22,44,73,16,22,50,11,22,0,0,2,8,141,/en/stats/leaderboard?page=serve,4,1,59,32,54,53,17,32,18,4,22,65,11,17,7,61,27,44,61,33,54,61,60,98,39,21,54,39,17,44,39,38,98,A,,,,,,,M. Rodriguez,M. Washington,R251,W124,ARG,USA,,
