event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS001,F,01:42:00,,F,2,O099,"7-6(8),6-4",A. O'Brien,J. Siemerink,,,USA,NED,7-6(8),6-4,,,,01:42:00,8,6,288,/en/stats/leaderboard?page=serve,1,2,75,60,80,72,43,60,50,10,20,50,1,2,11,252,/en/stats/leaderboard?page=serve,6,8,45,35,78,71,25,35,53,23,43,60,3,5,11,66,53,80,38,30,78,53,83,158,62,48,78,34,27,80,47,75,158,A,,,,,,,A. O'Brien,J. Siemerink,O099,S381,USA,NED,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS002,SF,02:23:00,,F,3,O099,"7-6(7),6-7(4),6-4",A. O'Brien,M. Philippoussis,,,USA,AUS,7-6(7),6-7(4),6-4,,,02:23:00,7,4,264,/en/stats/leaderboard?page=serve,4,8,60,65,109,82,53,65,66,29,44,,0,,17,314,/en/stats/leaderboard?page=serve,5,23,66,79,119,78,62,79,58,23,40,83,5,6,17,75,82,109,29,34,119,51,116,228,71,85,119,25,27,109,49,112,228,A,4,7,,,,,A. O'Brien,M. Philippoussis,O099,P338,USA,AUS,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS003,SF,01:51:00,,F,3,S381,"6-3,3-6,6-3",J. Siemerink,W. Ferreira,,,NED,RSA,6-3,3-6,6-3,,,01:51:00,,,274,/en/stats/leaderboard?page=serve,4,4,63,60,96,65,39,60,61,22,36,88,14,16,14,254,/en/stats/leaderboard?page=serve,3,6,57,52,92,75,39,52,43,17,40,70,7,10,13,64,61,96,39,36,92,52,97,188,61,56,92,36,35,96,48,91,188,A,,,,,,,J. Siemerink,W. Ferreira,S381,F196,NED,RSA,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS004,QF,01:06:00,,F,2,O099,"6-4,6-4",A. O'Brien,Y. Kafelnikov,,,USA,RUS,6-4,6-4,,,,01:06:00,,,328,/en/stats/leaderboard?page=serve,,6,75,41,55,78,32,41,79,11,14,,0,,10,266,/en/stats/leaderboard?page=serve,3,4,60,36,60,75,27,36,50,12,24,78,7,9,10,78,43,55,35,21,60,56,64,115,65,39,60,22,12,55,44,51,115,A,,,False,,,,A. O'Brien,Y. Kafelnikov,O099,K267,USA,RUS,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS005,QF,01:08:00,,F,2,P338,"6-2,6-3",M. Philippoussis,M. Rosset,,,AUS,SUI,6-2,6-3,,,,01:08:00,,,294,/en/stats/leaderboard?page=serve,5,10,60,32,53,84,27,32,57,12,21,,0,,9,238,/en/stats/leaderboard?page=serve,4,4,65,35,54,69,24,35,42,8,19,77,10,13,8,74,39,53,41,22,54,57,61,107,59,32,54,26,14,53,43,46,107,A,,,,,,,M. Philippoussis,M. Rosset,P338,R214,AUS,SUI,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS006,QF,01:35:00,,F,3,F196,"6-2,6-7(6),6-3",W. Ferreira,D. Vacek,,,RSA,CZE,6-2,6-7(6),6-3,,,01:35:00,,,257,/en/stats/leaderboard?page=serve,4,7,52,54,103,81,44,54,61,30,49,,0,,15,266,/en/stats/leaderboard?page=serve,6,7,60,49,82,69,34,49,58,19,33,0,0,3,14,72,74,103,35,29,82,56,103,185,65,53,82,28,29,103,44,82,185,A,6,8,,,,,W. Ferreira,D. Vacek,F196,V141,RSA,CZE,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS007,QF,01:02:00,,F,2,S381,"6-4(7),6-4",J. Siemerink,R. Krajicek,,,NED,NED,6-4(7),6-4,,,,01:02:00,7,3,237,/en/stats/leaderboard?page=serve,1,4,67,35,52,91,32,35,76,13,17,0,0,,10,271,/en/stats/leaderboard?page=serve,2,2,69,45,65,67,30,45,55,11,20,33,1,3,10,87,45,52,37,24,65,59,69,117,63,41,65,13,7,52,41,48,117,A,,,,,,,J. Siemerink,R. Krajicek,S381,K214,NED,NED,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS008,R16,01:17:00,,F,2,K267,"6-1,6-4",Y. Kafelnikov,A. Gaudenzi,,,RUS,ITA,6-1,6-4,,,,01:17:00,,,290,/en/stats/leaderboard?page=serve,3,7,58,33,57,73,24,33,67,16,24,,0,,9,230,/en/stats/leaderboard?page=serve,1,4,52,36,69,58,21,36,55,18,33,77,10,13,8,70,40,57,43,30,69,56,70,126,57,39,69,30,17,57,44,56,126,A,,,,,,,Y. Kafelnikov,A. Gaudenzi,K267,G254,RUS,ITA,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS009,R16,01:48:00,,F,3,O099,"6-3,2-6,6-2",A. O'Brien,C. Adams,,,USA,USA,6-3,2-6,6-2,,,01:48:00,,,280,/en/stats/leaderboard?page=serve,1,8,63,50,79,74,37,50,52,15,29,60,3,5,13,247,/en/stats/leaderboard?page=serve,5,5,61,51,83,61,31,51,50,16,32,40,2,5,12,66,52,79,43,36,83,54,88,162,57,47,83,34,27,79,46,74,162,A,,,,,,,A. O'Brien,C. Adams,O099,A199,USA,USA,,
420,1996,New Haven,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS010,R16,01:41:00,,F,2,P338,"7-6(7),7-6(7)",M. Philippoussis,J. Courier,,,AUS,USA,7-6(7),7-6(7),,,,01:41:00,7,5,269,/en/stats/leaderboard?page=serve,8,14,53,41,77,88,36,41,47,17,36,0,0,3,12,257,/en/stats/leaderboard?page=serve,9,5,63,52,83,71,37,52,52,16,31,57,4,7,12,69,53,77,36,30,83,52,83,160,64,53,83,31,24,77,48,77,160,A,7,3,,,,,M. Philippoussis,J. Courier,P338,C243,AUS,USA,,
