event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS018,R32,01:01:00,,F,2,E140,"6-0,7-5",N. Escude,A. Radulescu,,,FRA,GER,6-0,7-5,,,,01:01:00,,,251,/en/stats/leaderboard?page=serve,,12,55,28,51,79,22,28,39,9,23,57,4,7,9,165,/en/stats/leaderboard?page=serve,2,3,63,38,60,47,18,38,32,7,22,42,5,12,9,61,31,51,58,35,60,59,66,111,42,25,60,39,20,51,41,45,111,A,False,,,,,,N. Escude,A. Radulescu,E140,R284,FRA,GER,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS019,R32,01:16:00,,F,2,J129,"7-5,6-3",T. Johansson,B. Black,,,SWE,ZIM,7-5,6-3,,,,01:16:00,,,258,/en/stats/leaderboard?page=serve,1,6,48,30,63,67,20,30,58,19,33,60,3,5,10,231,/en/stats/leaderboard?page=serve,2,3,66,37,56,57,21,37,53,10,19,17,1,6,11,62,39,63,45,25,56,54,64,119,55,31,56,38,24,63,46,55,119,A,,,,,,,T. Johansson,B. Black,J129,B397,SWE,ZIM,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS020,R32,01:55:00,,F,3,N250,"6-3,1-6,6-4",M. Norman,C. Ruud,,,SWE,NOR,6-3,1-6,6-4,,,01:55:00,,,222,/en/stats/leaderboard?page=serve,6,9,34,27,80,81,22,27,43,23,53,38,3,8,13,225,/en/stats/leaderboard?page=serve,5,5,58,57,99,58,33,57,48,20,42,71,12,17,13,56,45,80,46,46,99,51,91,179,54,53,99,44,35,80,49,88,179,A,,,,,,,M. Norman,C. Ruud,N250,R219,SWE,NOR,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS021,R32,01:31:00,,F,2,G319,"6-3,6-4",J. Golmard,D. Dier,,,FRA,GER,6-3,6-4,,,,01:31:00,,,238,/en/stats/leaderboard?page=serve,1,7,64,42,66,71,30,42,67,16,24,,0,,10,249,/en/stats/leaderboard?page=serve,5,6,48,30,62,67,20,30,56,18,32,67,4,6,9,70,46,66,39,24,62,55,70,128,61,38,62,30,20,66,45,58,128,A,,,,,,,J. Golmard,D. Dier,G319,D207,FRA,GER,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS022,R32,01:52:00,,F,3,K260,"3-6,6-3,7-5",J. Knippschild,R. Fromberg,,,GER,AUS,3-6,6-3,7-5,,,01:52:00,,,283,/en/stats/leaderboard?page=serve,2,2,55,50,91,72,36,50,63,26,41,67,2,3,15,296,/en/stats/leaderboard?page=serve,2,17,67,63,94,76,48,63,52,16,31,75,6,8,15,68,62,91,32,30,94,50,92,185,68,64,94,32,29,91,50,93,185,A,,,,,,,J. Knippschild,R. Fromberg,K260,F164,GER,AUS,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS023,R32,02:17:00,,F,3,W136,"7-5,4-6,6-3",T. Woodbridge,M. Damm,,,AUS,CZE,7-5,4-6,6-3,,,02:17:00,,,257,/en/stats/leaderboard?page=serve,5,3,56,67,119,70,47,67,52,27,52,81,13,16,16,262,/en/stats/leaderboard?page=serve,2,7,61,55,90,80,44,55,43,15,35,60,6,10,15,62,74,119,34,31,90,50,105,209,66,59,90,38,45,119,50,104,209,A,,,,,,,T. Woodbridge,M. Damm,W136,D214,AUS,CZE,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS024,R32,01:37:00,,F,3,S544,"6-3,4-6,6-4",V. Spadea,N. Kiefer,,,USA,GER,6-3,4-6,6-4,,,01:37:00,,,271,/en/stats/leaderboard?page=serve,2,7,68,54,80,63,34,54,62,16,26,33,2,6,15,233,/en/stats/leaderboard?page=serve,4,7,57,41,72,61,25,41,48,15,31,29,2,7,14,63,50,80,44,32,72,54,82,152,56,40,72,38,30,80,46,70,152,A,,,,,,,V. Spadea,N. Kiefer,S544,K316,USA,GER,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS025,R32,01:19:00,,F,3,D198,"4-6,6-2,6-1",S. Dosedel,A. Gaudenzi,,,CZE,ITA,4-6,6-2,6-1,,,01:19:00,,,291,/en/stats/leaderboard?page=serve,2,6,61,47,77,74,35,47,60,18,30,50,1,2,13,236,/en/stats/leaderboard?page=serve,6,2,65,43,66,70,30,43,39,9,23,43,3,7,12,69,53,77,41,27,66,56,80,143,59,39,66,31,24,77,44,63,143,A,,,,,,,S. Dosedel,A. Gaudenzi,D198,G254,CZE,ITA,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS026,R32,01:20:00,,F,2,H432,"6-4,6-4",L. Hewitt,S. Draper,,,AUS,AUS,6-4,6-4,,,,01:20:00,,,279,/en/stats/leaderboard?page=serve,3,0,53,30,57,87,26,30,52,14,27,0,0,1,10,235,/en/stats/leaderboard?page=serve,3,4,51,38,74,66,25,38,47,17,36,67,6,9,10,70,40,57,43,32,74,55,72,131,57,42,74,30,17,57,45,59,131,A,,,,,,,L. Hewitt,S. Draper,H432,D270,AUS,AUS,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS027,R32,01:36:00,,F,2,W035,"7-5,6-2",M. Woodforde,J. Courier,,,AUS,USA,7-5,6-2,,,,01:36:00,,,277,/en/stats/leaderboard?page=serve,3,8,43,27,63,81,22,27,58,21,36,83,5,6,10,228,/en/stats/leaderboard?page=serve,2,3,64,44,69,55,24,44,48,12,25,64,7,11,10,68,43,63,48,33,69,58,76,132,52,36,69,32,20,63,42,56,132,A,,,,,,,M. Woodforde,J. Courier,W035,C243,AUS,USA,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS028,R32,01:49:00,,F,3,S381,"6-3,6-7(5),6-3",J. Siemerink,D. Hrbaty,,,NED,SVK,6-3,6-7(5),6-3,,,01:49:00,,,301,/en/stats/leaderboard?page=serve,9,13,55,48,88,81,39,48,68,27,40,0,0,1,16,266,/en/stats/leaderboard?page=serve,3,3,58,49,85,69,34,49,61,22,36,40,2,5,14,75,66,88,34,29,85,55,95,173,66,56,85,25,22,88,45,78,173,A,,,,5,7,,J. Siemerink,D. Hrbaty,S381,H377,NED,SVK,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS029,R32,01:42:00,,F,3,A092,"4-6,6-3,6-3",A. Agassi,S. Sargsian,,,USA,ARM,4-6,6-3,6-3,,,01:42:00,,,279,/en/stats/leaderboard?page=serve,3,2,56,41,73,76,31,41,63,20,32,33,1,3,14,255,/en/stats/leaderboard?page=serve,1,4,64,70,109,61,43,70,56,22,39,75,12,16,14,70,51,73,40,44,109,52,95,182,60,65,109,30,22,73,48,87,182,A,,,,,,,A. Agassi,S. Sargsian,A092,S545,USA,ARM,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS030,R32,01:09:00,,F,2,S321,"6-3,6-3",B. Steven,L. Roux,,,NZL,FRA,6-3,6-3,,,,01:09:00,,,288,/en/stats/leaderboard?page=serve,1,3,77,40,52,65,26,40,67,8,12,60,3,5,9,197,/en/stats/leaderboard?page=serve,2,0,56,30,54,57,17,30,42,10,24,0,0,5,9,65,34,52,50,27,54,58,61,106,50,27,54,35,18,52,42,45,106,A,,,,,,,B. Steven,L. Roux,S321,R280,NZL,FRA,,
7308,1998,Adelaide,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,315000,$,MS031,R32,01:46:00,,F,2,K293,"7-6(7),7-5",G. Kuerten,K. Carlsen,,,BRA,DEN,7-6(7),7-5,,,,01:46:00,,,296,/en/stats/leaderboard?page=serve,3,9,56,40,71,75,30,40,68,21,31,0,0,1,12,255,/en/stats/leaderboard?page=serve,8,8,42,38,90,84,32,38,46,24,52,78,7,9,12,72,51,71,38,34,90,53,85,161,62,56,90,28,20,71,47,76,161,A,,7,5,,,,G. Kuerten,K. Carlsen,K293,C328,BRA,DEN,,
