event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS001,F,02:06:00,,F,3,M099,"6-7(6),6-2,6-3",T. Muster,N. Lapentti,,,AUT,ECU,6-7(6),6-2,6-3,,,02:06:00,6,8,235,/en/stats/leaderboard?page=serve,5,4,57,62,108,69,43,62,39,18,46,67,8,12,14,193,/en/stats/leaderboard?page=serve,5,4,50,47,94,64,30,47,34,16,47,11,1,9,15,56,61,108,51,48,94,54,109,202,49,46,94,44,47,108,46,93,202,A,,,,,,T. Muster,N. Lapentti,M099,L290,AUT,ECU,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS002,SF,02:07:00,,F,3,M099,"6-1,6-7(7),6-3",T. Muster,L. Arnold Ker,,,AUT,ARG,6-1,6-7(7),6-3,,,02:07:00,,,274,/en/stats/leaderboard?page=serve,7,4,55,56,101,80,45,56,49,22,45,50,1,2,15,242,/en/stats/leaderboard?page=serve,4,3,66,65,98,69,45,65,39,13,33,60,6,10,13,66,67,101,41,40,98,54,107,199,59,58,98,34,34,101,46,92,199,A,7,9,,,,T. Muster,L. Arnold Ker,M099,A228,AUT,ARG,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS003,SF,02:19:00,,F,3,L290,"4-6,6-3,7-5",N. Lapentti,M. Hadad,,,ECU,COL,4-6,6-3,7-5,,,02:19:00,,,236,/en/stats/leaderboard?page=serve,,4,52,58,111,57,33,58,55,29,53,72,13,18,16,226,/en/stats/leaderboard?page=serve,4,1,69,70,102,59,41,70,41,13,32,54,7,13,15,56,62,111,47,48,102,52,110,213,53,54,102,44,49,111,48,103,213,A,,,False,,,N. Lapentti,M. Hadad,L290,H256,ECU,COL,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS004,QF,01:46:00,,F,3,M099,"2-6,6-1,7-5",T. Muster,R. Delgado,,,AUT,PAR,2-6,6-1,7-5,,,01:46:00,,,247,/en/stats/leaderboard?page=serve,,8,48,39,82,82,32,39,40,17,43,67,8,12,13,214,/en/stats/leaderboard?page=serve,5,4,63,71,113,62,44,71,33,14,42,67,12,18,14,60,49,82,49,55,113,53,104,195,51,58,113,40,33,82,47,91,195,A,,,False,,,T. Muster,R. Delgado,M099,D316,AUT,PAR,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS005,QF,02:09:00,,F,3,A228,"2-6,6-3,6-3",L. Arnold Ker,E. Ran,,,ARG,ISR,2-6,6-3,6-3,,,02:09:00,,,231,/en/stats/leaderboard?page=serve,5,3,55,53,97,66,35,53,43,19,44,73,11,15,13,223,/en/stats/leaderboard?page=serve,5,4,67,58,86,64,37,58,32,9,28,58,7,12,13,56,54,97,47,40,86,51,94,183,53,46,86,44,43,97,49,89,183,A,,,,,,L. Arnold Ker,E. Ran,A228,R243,ARG,ISR,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS006,QF,01:29:00,,F,2,L290,"7-6(7),6-4",N. Lapentti,A. Hernandez,,,ECU,MEX,7-6(7),6-4,,,,01:29:00,7,5,262,/en/stats/leaderboard?page=serve,3,5,62,44,71,73,32,44,44,12,27,33,1,3,11,233,/en/stats/leaderboard?page=serve,8,3,51,36,71,72,26,36,43,15,35,50,3,6,11,62,44,71,42,30,71,52,74,142,58,41,71,38,27,71,48,68,142,A,,,,,,N. Lapentti,A. Hernandez,L290,H346,ECU,MEX,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS007,QF,01:30:00,,F,2,H256,"6-2,7-6(8)",M. Hadad,S. Schalken,,,COL,NED,6-2,7-6(8),,,,01:30:00,,,260,/en/stats/leaderboard?page=serve,2,2,52,32,61,69,22,32,59,17,29,0,0,2,10,198,/en/stats/leaderboard?page=serve,11,3,40,36,89,64,23,36,42,22,53,64,7,11,10,64,39,61,49,44,89,55,83,150,51,45,89,36,22,61,45,67,150,A,8,6,,,,M. Hadad,S. Schalken,H256,S572,COL,NED,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS008,R16,01:04:00,,F,2,M099,"6-4,6-4",T. Muster,B. Shelton,,,AUT,USA,6-4,6-4,,,,01:04:00,,,300,/en/stats/leaderboard?page=serve,1,3,54,29,54,86,25,29,68,17,25,,0,,10,271,/en/stats/leaderboard?page=serve,2,4,66,38,58,68,26,38,55,11,20,33,1,3,10,78,42,54,36,21,58,56,63,112,64,37,58,22,12,54,44,49,112,A,,,,,,T. Muster,B. Shelton,M099,S380,AUT,USA,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS009,R16,01:25:00,,F,2,D316,"7-6(7),6-2",R. Delgado,F. Santoro,,,PAR,FRA,7-6(7),6-2,,,,01:25:00,7,2,291,/en/stats/leaderboard?page=serve,1,4,57,32,56,78,25,32,63,15,24,0,0,1,10,227,/en/stats/leaderboard?page=serve,7,2,45,30,67,63,19,30,54,20,37,73,8,11,10,71,40,56,42,28,67,55,68,123,58,39,67,29,16,56,45,55,123,A,,,,,,R. Delgado,F. Santoro,D316,S424,PAR,FRA,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS010,R16,02:22:00,,F,3,A228,"7-5,4-6,6-3",L. Arnold Ker,J. Sanchez,,,ARG,ESP,7-5,4-6,6-3,,,02:22:00,,,235,/en/stats/leaderboard?page=serve,11,1,56,61,109,72,44,61,44,21,48,69,9,13,15,224,/en/stats/leaderboard?page=serve,10,7,49,49,99,76,37,49,40,20,50,45,5,11,16,60,65,109,42,42,99,51,107,208,58,57,99,40,44,109,49,101,208,A,,,,,,L. Arnold Ker,J. Sanchez,A228,S015,ARG,ESP,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS011,R16,01:41:00,,F,3,R243,"6-2,4-6,6-2",E. Ran,N. Pereira,,,ISR,VEN,6-2,4-6,6-2,,,01:41:00,,,237,/en/stats/leaderboard?page=serve,4,1,66,61,92,66,40,61,39,12,31,69,9,13,13,192,/en/stats/leaderboard?page=serve,4,4,56,43,77,58,25,43,32,11,34,36,4,11,13,57,52,92,53,41,77,55,93,169,47,36,77,43,40,92,45,76,169,A,,,,,,E. Ran,N. Pereira,R243,P218,ISR,VEN,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS012,R16,01:16:00,,F,2,H346,"7-5,6-4",A. Hernandez,F. Dondo,,,MEX,URU,7-5,6-4,,,,01:16:00,,,276,/en/stats/leaderboard?page=serve,1,9,48,29,61,76,22,29,63,20,32,60,3,5,11,226,/en/stats/leaderboard?page=serve,7,3,56,37,66,59,22,37,52,15,29,50,4,8,11,69,42,61,44,29,66,56,71,127,56,37,66,31,19,61,44,56,127,A,,,,,,A. Hernandez,F. Dondo,H346,D253,MEX,URU,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS013,R16,00:54:00,,F,2,L290,"6-2,6-2",N. Lapentti,W. Black,,,ECU,ZIM,6-2,6-2,,,,00:54:00,,,276,/en/stats/leaderboard?page=serve,2,5,50,22,44,86,19,22,50,11,22,50,1,2,8,166,/en/stats/leaderboard?page=serve,9,1,47,23,49,52,12,23,38,10,26,38,3,8,8,68,30,44,55,27,49,61,57,93,45,22,49,32,14,44,39,36,93,A,,,,,,N. Lapentti,W. Black,L290,B499,ECU,ZIM,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS014,R16,02:32:00,,F,3,H256,"6-7(4),7-6(9),6-4",M. Hadad,D. Musa,,,COL,ITA,6-7(4),7-6(9),6-4,,,02:32:00,4,7,228,/en/stats/leaderboard?page=serve,3,4,61,67,110,55,37,67,53,23,43,42,5,12,17,201,/en/stats/leaderboard?page=serve,5,1,51,62,121,63,39,62,39,23,59,64,14,22,17,55,60,110,49,59,121,52,119,231,51,62,121,45,50,110,48,112,231,A,9,7,,,,M. Hadad,D. Musa,H256,M510,COL,ITA,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS015,R16,01:27:00,,F,3,S572,"6-1,3-6,6-4",S. Schalken,G. Etlis,,,NED,ARG,6-1,3-6,6-4,,,01:27:00,,,279,/en/stats/leaderboard?page=serve,3,4,69,49,71,69,34,49,64,14,22,50,3,6,13,223,/en/stats/leaderboard?page=serve,4,3,50,40,80,73,29,40,40,16,40,44,4,9,13,68,48,71,44,35,80,55,83,151,56,45,80,32,23,71,45,68,151,A,,,,,,S. Schalken,G. Etlis,S572,E138,NED,ARG,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS016,R32,01:07:00,,F,2,M099,"6-4,6-3",T. Muster,F. Squillari,,,AUT,ARG,6-4,6-3,,,,01:07:00,,,230,/en/stats/leaderboard?page=serve,3,3,48,26,54,73,19,26,43,12,28,57,4,7,9,181,/en/stats/leaderboard?page=serve,7,4,56,39,70,62,24,39,26,8,31,45,5,11,10,57,31,54,54,38,70,56,69,124,46,32,70,43,23,54,44,55,124,A,,,,,,T. Muster,F. Squillari,M099,S568,AUT,ARG,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS017,R32,01:29:00,,F,2,S380,"6-4,6-4",B. Shelton,L. Morejon,,,USA,ECU,6-4,6-4,,,,01:29:00,,,248,/en/stats/leaderboard?page=serve,3,3,59,47,80,70,33,47,39,13,33,75,6,8,10,225,/en/stats/leaderboard?page=serve,5,1,65,48,74,58,28,48,46,12,26,50,4,8,10,58,46,80,46,34,74,52,80,154,54,40,74,43,34,80,48,74,154,A,,,,,,B. Shelton,L. Morejon,S380,M506,USA,ECU,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS018,R32,01:16:00,,F,2,D316,"6-3,6-4",R. Delgado,Y. Doumbia,,,PAR,SEN,6-3,6-4,,,,01:16:00,,,245,/en/stats/leaderboard?page=serve,5,1,68,54,80,69,37,54,42,11,26,77,10,13,10,178,/en/stats/leaderboard?page=serve,8,1,45,27,60,63,17,27,33,11,33,50,5,10,9,60,48,80,53,32,60,57,80,140,47,28,60,40,32,80,43,60,140,A,,,,,,R. Delgado,Y. Doumbia,D316,D098,PAR,SEN,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS019,R32,02:36:00,,F,3,S424,"5-7,6-4,6-4",F. Santoro,P. Campana,,,FRA,ECU,5-7,6-4,6-4,,,02:36:00,,,240,/en/stats/leaderboard?page=serve,6,1,45,45,101,64,29,45,61,34,56,56,5,9,16,231,/en/stats/leaderboard?page=serve,9,6,47,51,108,73,37,51,46,26,57,55,6,11,16,62,63,101,42,45,108,52,108,209,58,63,108,38,38,101,48,101,209,A,,,,,,F. Santoro,P. Campana,S424,C329,FRA,ECU,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS020,R32,01:16:00,,F,2,S015,"6-4,6-3",J. Sanchez,M. Rincon,,,ESP,COL,6-4,6-3,,,,01:16:00,,,228,/en/stats/leaderboard?page=serve,12,3,61,40,66,75,30,40,31,8,26,57,4,7,10,221,/en/stats/leaderboard?page=serve,3,2,78,53,68,47,25,53,53,8,15,67,10,15,9,58,38,66,51,35,68,54,73,134,49,33,68,42,28,66,46,61,134,A,,,,,,J. Sanchez,M. Rincon,S015,R159,ESP,COL,,
359,1996,Bogota,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,303000,$,MS021,R32,01:36:00,,F,2,A228,"6-4,7-6(7)",L. Arnold Ker,M. Tobon,,,ARG,COL,6-4,7-6(7),,,,01:36:00,,,276,/en/stats/leaderboard?page=serve,7,3,61,48,79,77,37,48,52,16,31,67,2,3,11,267,/en/stats/leaderboard?page=serve,2,3,54,34,63,76,26,34,55,16,29,0,0,2,11,67,53,79,33,21,63,52,74,142,67,42,63,33,26,79,48,68,142,A,7,2,,,,L. Arnold Ker,M. Tobon,A228,T133,ARG,COL,,
