event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS019,R32,01:37:00,,F,2,K214,"7-6(8),6-2",R. Krajicek,S. Schalken,,,NED,NED,7-6(8),6-2,,,,01:37:00,273,/en/stats/leaderboard?page=serve,,13,65,48,74,71,34,48,46,12.0,26.0,50,2,4,10,221,/en/stats/leaderboard?page=serve,4,2,55,35,64,63,22,35,45,13,29,33,2,6,10,62,46,74,45,29,64,54,75,138,55,35,64,38,28,74,46,63,138,A,2,,,,8,6,,,R. Krajicek,S. Schalken,K214,S572,NED,NED,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS020,R32,01:08:00,,F,2,M099,"6-4,6-2",T. Muster,Y. Kafelnikov,,,AUT,RUS,6-4,6-2,,,,01:08:00,293,/en/stats/leaderboard?page=serve,False,3,62,31,50,77,24,31,63,12.0,19.0,0,0,1,9,209,/en/stats/leaderboard?page=serve,2,2,56,42,75,62,26,42,36,12,33,64,7,11,9,72,36,50,49,37,75,58,73,125,51,38,75,28,14,50,42,52,125,A,,,,,,,,,T. Muster,Y. Kafelnikov,M099,K267,AUT,RUS,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS021,R32,01:15:00,,F,2,K260,"6-4,6-3",J. Knippschild,F. Dewulf,,,GER,BEL,6-4,6-3,,,,01:15:00,222,/en/stats/leaderboard?page=serve,,8,49,33,68,76,25,33,60,21.0,35.0,,0,,10,247,/en/stats/leaderboard?page=serve,5,0,46,26,57,81,21,26,48,15,31,60,3,5,9,68,46,68,37,21,57,54,67,125,63,36,57,32,22,68,46,58,125,A,1,,,,,,,,J. Knippschild,F. Dewulf,K260,D228,GER,BEL,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS022,R32,02:29:00,,F,3,C252,"6-3,6-7(4),6-2",F. Clavet,M. Chang,,,ESP,USA,6-3,6-7(4),6-2,,,02:29:00,276,/en/stats/leaderboard?page=serve,,3,66,59,90,68,40,59,55,17.0,31.0,0,0,2,14,229,/en/stats/leaderboard?page=serve,1,4,55,60,109,70,42,60,41,20,49,25,2,8,15,63,57,90,43,47,109,52,104,199,57,62,109,37,33,90,48,95,199,A,1,4,7,,,,,,F. Clavet,M. Chang,C252,C274,ESP,USA,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS023,R32,01:08:00,,F,2,K237,"6-2,6-1",K. Kucera,R. Fromberg,,,SVK,AUS,6-2,6-1,,,,01:08:00,262,/en/stats/leaderboard?page=serve,,2,65,34,52,79,27,34,56,10.0,18.0,,0,,8,211,/en/stats/leaderboard?page=serve,1,7,65,35,54,51,18,35,47,9,19,56,5,9,7,71,37,52,50,27,54,60,64,106,50,27,54,29,15,52,40,42,106,A,2,,,,,,,,K. Kucera,R. Fromberg,K237,F164,SVK,AUS,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS024,R32,00:55:00,,F,2,K293,"6-4,6-4",G. Kuerten,S. Dosedel,,,BRA,CZE,6-4,6-4,,,,00:55:00,267,/en/stats/leaderboard?page=serve,False,2,78,42,54,67,28,42,50,6.0,12.0,50,3,6,10,226,/en/stats/leaderboard?page=serve,1,1,75,38,51,47,18,38,54,7,13,17,1,6,10,63,34,54,51,26,51,57,60,105,49,25,51,37,20,54,43,45,105,A,,,,,,,,,G. Kuerten,S. Dosedel,K293,D198,BRA,CZE,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS025,R32,01:10:00,,F,2,A226,"6-3,6-3",H. Arazi,T. Henman,,,MAR,GBR,6-3,6-3,,,,01:10:00,277,/en/stats/leaderboard?page=serve,,2,45,22,49,86,19,22,59,16.0,27.0,0,0,1,9,215,/en/stats/leaderboard?page=serve,1,4,58,41,71,66,27,41,33,10,30,64,7,11,9,71,35,49,48,34,71,58,69,120,52,37,71,29,14,49,43,51,120,A,3,,,,,,,,H. Arazi,T. Henman,A226,H336,MAR,GBR,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS026,R32,00:42:00,,F,2,B350,"6-0,6-2",S. Bruguera,N. Escude,,,ESP,FRA,6-0,6-2,,,,00:42:00,221,/en/stats/leaderboard?page=serve,,4,74,26,35,88,23,26,56,5.0,9.0,0,0,,7,168,/en/stats/leaderboard?page=serve,1,1,60,28,47,43,12,28,37,7,19,38,3,8,7,80,28,35,60,28,47,68,56,82,40,19,47,20,7,35,32,26,82,A,1,,,,,,,,S. Bruguera,N. Escude,B350,E140,ESP,FRA,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS027,R32,01:58:00,,F,3,C344,"6-2,4-6,6-3",A. Corretja,K. Alami,,,ESP,MAR,6-2,4-6,6-3,,,01:58:00,290,/en/stats/leaderboard?page=serve,,2,58,45,77,80,36,45,59,19.0,32.0,50,1,2,14,248,/en/stats/leaderboard?page=serve,5,2,71,74,104,64,47,74,40,12,30,85,17,20,13,71,55,77,43,45,104,55,100,181,57,59,104,29,22,77,45,81,181,A,1,,,,,,,,A. Corretja,K. Alami,C344,A203,ESP,MAR,,
414,1998,ATP Masters 1000 Hamburg,1000,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,56,2200000,$,MS028,R32,01:00:00,,F,2,B428,"6-3,6-3",A. Berasategui,M. Gustafsson,,,ESP,SWE,6-3,6-3,,,,01:00:00,279,/en/stats/leaderboard?page=serve,,1,81,43,53,63,27,43,60,6.0,10.0,0,0,2,9,207,/en/stats/leaderboard?page=serve,3,2,62,36,58,47,17,36,55,12,22,50,5,10,9,62,33,53,50,29,58,56,62,111,50,29,58,38,20,53,44,49,111,A,3,,,,,,,,A. Berasategui,M. Gustafsson,B428,G182,ESP,SWE,,
