event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS116,R128,00:35:00,,F,5,N250,"7-6(9),6-7(6),6-7(4),6-4,6-4",M. Norman,D. Nestor,,,SWE,CAN,7-6(9),6-7(6),6-7(4),6-4,6-4,00:35:00,311,/en/stats/leaderboard?page=serve,5,25,64,133,208,86,114,133,63,47,75,,0,,28,305,/en/stats/leaderboard?page=serve,12,30,63,141,224,86,121,141,46,38,83,71,5,7,28,77,161,208,29,65,224,52,226,432,71,159,224,23,47,208,48,206,432,A,9,7,,4,7,,,,,6,8,,M. Norman,D. Nestor,N250,N210,SWE,CAN,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS117,R128,00:08:00,,F,4,G352,"6-3,1-6,6-3,7-5",J. Gambill,K. Braasch,,,USA,GER,6-3,1-6,6-3,7-5,,00:08:00,285,/en/stats/leaderboard?page=serve,2,12,60,72,120,81,58,72,50,24,48,25,1,4,19,260,/en/stats/leaderboard?page=serve,3,8,63,74,117,73,54,74,42,18,43,50,4,8,18,68,82,120,38,45,117,54,127,237,62,72,117,32,38,120,46,110,237,A,,,,,,,,,,,,,J. Gambill,K. Braasch,G352,B305,USA,GER,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS118,R128,00:07:00,,F,3,C274,"6-1,6-3,6-1",M. Chang,E. Erlich,,,USA,ISR,6-1,6-3,6-1,,,00:07:00,288,/en/stats/leaderboard?page=serve,4,10,57,50,87,88,44,50,46,17,37,67,2,3,12,168,/en/stats/leaderboard?page=serve,8,5,48,43,89,65,28,43,22,10,46,50,7,14,11,70,61,87,57,51,89,64,112,176,43,38,89,30,26,87,36,64,176,A,,,,,,,,,,,,,M. Chang,E. Erlich,C274,E135,USA,ISR,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS119,R128,00:18:00,,F,4,M605,"6-1,7-6(7),6-7(3),4-4",C. Moya,M. Puerta,,,ESP,ARG,6-1,7-6(7),6-7(3),4-4,,00:18:00,285,/en/stats/leaderboard?page=serve,9,16,52,77,149,87,67,77,49,35,72,75,6,8,20,263,/en/stats/leaderboard?page=serve,6,7,63,96,153,70,67,96,49,28,57,73,11,15,20,68,102,149,38,58,153,53,160,302,62,95,153,32,47,149,47,142,302,A,,,,3,7,,,,,7,4,,C. Moya,M. Puerta,M605,P372,ESP,ARG,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS120,R128,00:13:00,,F,5,G297,"2-6,4-6,7-5,6-2,6-4",O. Gross,A. Costa,,,GER,ESP,2-6,4-6,7-5,6-2,6-4,00:13:00,264,/en/stats/leaderboard?page=serve,14,18,59,109,184,79,86,109,39,29,75,67,8,12,24,246,/en/stats/leaderboard?page=serve,9,6,60,109,181,72,78,109,38,27,72,75,15,20,24,63,115,184,42,76,181,52,191,365,58,105,181,38,69,184,48,174,365,A,,,,,,,,,,,,,O. Gross,A. Costa,G297,C378,GER,ESP,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS121,R128,00:06:00,,F,3,B350,"6-1,6-2,6-2",S. Bruguera,M. Rodriguez,,,ESP,ARG,6-1,6-2,6-2,,,00:06:00,284,/en/stats/leaderboard?page=serve,4,4,63,49,78,82,40,49,48,14,29,88,7,8,12,163,/en/stats/leaderboard?page=serve,5,2,44,31,71,48,15,31,38,15,40,30,3,10,11,69,54,78,58,41,71,64,95,149,42,30,71,31,24,78,36,54,149,A,,,,,,,,,,,,,S. Bruguera,M. Rodriguez,B350,R251,ESP,ARG,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS122,R128,00:07:00,,F,3,M475,"6-4,7-5,6-2",A. Medvedev,J. van Lottum,,,UKR,NED,6-4,7-5,6-2,,,00:07:00,275,/en/stats/leaderboard?page=serve,7,17,53,57,108,93,53,57,39,20,51,57,4,7,15,198,/en/stats/leaderboard?page=serve,8,3,49,49,101,63,31,49,38,20,52,36,4,11,15,68,73,108,50,50,101,59,123,209,50,51,101,32,35,108,41,86,209,A,,,,,,,,,,,,,A. Medvedev,J. van Lottum,M475,V201,UKR,NED,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS123,R128,00:11:00,,F,4,G300,"6-2,7-5,4-6,6-3",G. Grant,J. Sanchez,,,USA,ESP,6-2,7-5,4-6,6-3,,00:11:00,282,/en/stats/leaderboard?page=serve,2,7,63,91,145,76,69,91,48,26,54,82,9,11,20,239,/en/stats/leaderboard?page=serve,5,3,58,83,144,69,57,83,41,25,61,64,9,14,19,66,95,145,43,62,144,54,157,289,57,82,144,34,50,145,46,132,289,A,,,,,,,,,,,,,G. Grant,J. Sanchez,G300,S015,USA,ESP,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS124,R128,00:16:00,,F,5,L206,"3-6,6-3,1-6,6-4,6-4",M. Larsson,M. Washington,,,SWE,USA,3-6,6-3,1-6,6-4,6-4,00:16:00,280,/en/stats/leaderboard?page=serve,9,17,52,80,154,83,66,80,51,38,74,70,7,10,22,265,/en/stats/leaderboard?page=serve,4,9,45,80,176,78,62,80,51,49,96,81,13,16,23,68,104,154,37,65,176,51,169,330,63,111,176,32,50,154,49,161,330,A,,,,,,,,,,,,,M. Larsson,M. Washington,L206,W124,SWE,USA,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS125,R128,00:30:00,,F,3,F165,"7-5(7),6-0,6-1",M. Filippini,F. Squillari,,,URU,ARG,7-5(7),6-0,6-1,,,00:30:00,299,/en/stats/leaderboard?page=serve,,3,73,62,85,73,45,62,74,17,23,,0,,13,223,/en/stats/leaderboard?page=serve,3,2,68,69,101,57,39,69,41,13,32,69,11,16,12,73,62,85,49,49,101,60,111,186,51,52,101,27,23,85,40,75,186,A,7,5,False,,,,,,,,,,M. Filippini,F. Squillari,F165,S568,URU,ARG,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS126,R128,00:11:00,,F,4,G334,"7-5,6-4,3-6,6-3",G. Galimberti,M. Russell,,,ITA,USA,7-5,6-4,3-6,6-3,,00:11:00,261,/en/stats/leaderboard?page=serve,6,3,55,71,130,66,47,71,58,34,59,70,7,10,20,255,/en/stats/leaderboard?page=serve,4,4,63,79,126,66,52,79,51,24,47,38,3,8,20,62,81,130,40,50,126,51,131,256,60,76,126,38,49,130,49,125,256,A,,,,,,,,,,,,,G. Galimberti,M. Russell,G334,R368,ITA,USA,,
560,1998,US Open,GS,1998-08-31T00:00:00,1998-09-13T00:00:00,Hard,128,6032000,$,MS127,R128,00:10:00,,F,3,R286,"6-4,6-2,6-3",M. Rios,D. Vacek,,,CHI,CZE,6-4,6-2,6-3,,,00:10:00,307,/en/stats/leaderboard?page=serve,4,7,58,45,78,87,39,45,67,22,33,,0,,13,219,/en/stats/leaderboard?page=serve,13,10,55,66,121,68,45,66,35,19,55,62,8,13,14,78,61,78,47,57,121,59,118,199,53,64,121,22,17,78,41,81,199,A,,,,,,,,,,,,,M. Rios,D. Vacek,R286,V141,CHI,CZE,,
