event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,secondservepointswon_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS001,F,02:04:00,,F,4,M099,"6-2,6-4,3-6,6-3",T. Muster,R. Krajicek,,,AUT,NED,6-2,6-4,3-6,6-3,,02:04:00,295,/en/stats/leaderboard?page=serve,False,1,81,86,106,70,60,86,55,11,20,78,7,9,18,249,/en/stats/leaderboard?page=serve,7,8,60,64,107,81,52,64,35,15,43,62,8,13,18,67,71,106,37,40,107,52,111,213,63,67,107,33,35,106,48,102,213,A,,,,,,,,,,T. Muster,R. Krajicek,M099,K214,AUT,NED,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS002,SF,01:55:00,,F,3,M099,"6-3,3-6,6-4",T. Muster,A. Costa,,,AUT,ESP,6-3,3-6,6-4,,,01:55:00,276,/en/stats/leaderboard?page=serve,,3,55,47,85,74,35,47,61,23,38,71,5,7,14,256,/en/stats/leaderboard?page=serve,2,1,76,66,87,70,46,66,33,7,21,57,4,7,14,68,58,85,39,34,87,53,92,172,61,53,87,32,27,85,47,80,172,A,2,,,,,,,,,T. Muster,A. Costa,M099,C378,AUT,ESP,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS003,SF,01:10:00,,F,2,K214,"6-3,6-3",R. Krajicek,W. Ferreira,,,NED,RSA,6-3,6-3,,,,01:10:00,273,/en/stats/leaderboard?page=serve,,5,43,22,51,73,16,22,66,19,29,50,1,2,9,208,/en/stats/leaderboard?page=serve,4,3,47,23,49,61,14,23,46,12,26,20,1,5,9,69,35,51,47,23,49,58,58,100,53,26,49,31,16,51,42,42,100,A,2,,,,,,,,,R. Krajicek,W. Ferreira,K214,F196,NED,RSA,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS004,QF,01:09:00,,F,2,M099,"6-3,6-2",T. Muster,M. Rios,,,AUT,CHI,6-3,6-2,,,,01:09:00,250,/en/stats/leaderboard?page=serve,,2,61,38,62,63,24,38,50,12,24,71,5,7,8,156,/en/stats/leaderboard?page=serve,4,2,37,19,51,63,12,19,25,8,32,14,1,7,9,58,36,62,61,31,51,59,67,113,39,20,51,42,26,62,41,46,113,A,1,,,,,,,,,T. Muster,M. Rios,M099,R286,AUT,CHI,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS005,QF,01:10:00,,F,2,C378,"6-2,6-1",A. Costa,A. Gaudenzi,,,ESP,ITA,6-2,6-1,,,,01:10:00,298,/en/stats/leaderboard?page=serve,False,3,79,30,38,57,17,30,88,7,8,0,0,2,7,143,/en/stats/leaderboard?page=serve,4,1,56,38,68,45,17,38,33,10,30,42,5,12,8,63,24,38,60,41,68,61,65,106,40,27,68,37,14,38,39,41,106,A,,,,,,,,,,A. Costa,A. Gaudenzi,C378,G254,ESP,ITA,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS006,QF,01:12:00,,F,2,F196,"6-4,6-4",W. Ferreira,A. Medvedev,,,RSA,UKR,6-4,6-4,,,,01:12:00,275,/en/stats/leaderboard?page=serve,,2,43,25,58,72,18,25,70,23,33,75,3,4,10,254,/en/stats/leaderboard?page=serve,1,1,74,50,68,60,30,50,50,9,18,50,3,6,10,71,41,58,43,29,68,56,70,126,57,39,68,29,17,58,44,56,126,A,2,,,,,,,,,W. Ferreira,A. Medvedev,F196,M475,RSA,UKR,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS007,QF,01:26:00,,F,2,K214,"6-3,6-3",R. Krajicek,S. Edberg,,,NED,SWE,6-3,6-3,,,,01:26:00,275,/en/stats/leaderboard?page=serve,False,9,54,36,67,69,25,36,55,17,31,75,3,4,9,221,/en/stats/leaderboard?page=serve,2,0,68,42,62,55,23,42,45,9,20,33,2,6,9,63,42,67,48,30,62,56,72,129,52,32,62,37,25,67,44,57,129,A,,,,,,,,,,R. Krajicek,S. Edberg,K214,E004,NED,SWE,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS008,R16,01:31:00,,F,3,M099,"1-6,6-4,6-2",T. Muster,T. Martin,,,AUT,USA,1-6,6-4,6-2,,,01:31:00,265,/en/stats/leaderboard?page=serve,,2,74,49,66,61,30,49,65,11,17,33,2,6,12,241,/en/stats/leaderboard?page=serve,1,10,53,40,76,65,26,40,53,19,36,58,7,12,13,62,41,66,41,31,76,51,72,142,59,45,76,38,25,66,49,70,142,A,3,,,,,,,,,T. Muster,T. Martin,M099,M442,AUT,USA,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS009,R16,01:25:00,,F,2,R286,"7-6(7),6-4",M. Rios,M. Rosset,,,CHI,SUI,7-6(7),6-4,,,,01:25:00,292,/en/stats/leaderboard?page=serve,,5,64,46,72,83,38,46,62,16,26,,0,,11,293,/en/stats/leaderboard?page=serve,3,8,53,34,64,85,29,34,60,18,30,0,0,1,11,75,54,72,27,17,64,52,71,136,73,47,64,25,18,72,48,65,136,A,3,7,5,,,,,,,M. Rios,M. Rosset,R286,R214,CHI,SUI,,
416,1996,ATP Masters 1000 Rome,1000,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,64,1950000,$,MS010,R16,01:32:00,,F,2,G254,"6-2,7-6(9)",A. Gaudenzi,T. Enqvist,,,ITA,SWE,6-2,7-6(9),,,,01:32:00,280,/en/stats/leaderboard?page=serve,,2,67,50,75,60,30,50,72,18,25,60,3,5,10,222,/en/stats/leaderboard?page=serve,5,2,52,30,58,67,20,30,46,13,28,20,1,5,10,64,48,75,43,25,58,55,73,133,57,33,58,36,27,75,45,60,133,A,1,,,9,7,,,,,A. Gaudenzi,T. Enqvist,G254,E113,ITA,SWE,,
