event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,player_id_winner,player_id_loser
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS016,R32,01:02:00,,F,2,F401,"6-1,6-3",D. Ferrer,A. Ungur,,,ESP,ROU,6-1,6-3,,,,01:02:00,A,D. Ferrer,A. Ungur,ESP,ROU,,,,,,,276,/en/stats/leaderboard?page=serve,1,0,65,32,49,72,23,32,53,9,17,75,3,4,8,186,/en/stats/leaderboard?page=serve,1,0,59,27,46,44,12,27,47,9,19,38,3,8,8,65,32,49,54,25,46,60,57,95,46,21,46,35,17,49,40,38,95,F401,U061
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS017,R32,01:34:00,,F,2,G551,"6-2,7-6(7)",S. Gonzalez,D. Garza,,,MEX,MEX,6-2,7-6(7),,,,01:34:00,A,S. Gonzalez,D. Garza,MEX,MEX,,,,,7.0,5.0,277,/en/stats/leaderboard?page=serve,4,8,58,40,69,80,32,40,45,13,29,0,0,1,10,244,/en/stats/leaderboard?page=serve,2,1,67,50,75,64,32,50,44,11,25,70,7,10,10,65,45,69,43,32,75,53,77,144,57,43,75,35,24,69,47,67,144,G551,G714
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS018,R32,01:21:00,,F,2,C882,"6-4,6-4",P. Cuevas,P. Starace,,,URU,ITA,6-4,6-4,,,,01:21:00,A,P. Cuevas,P. Starace,URU,ITA,,,,,,,289,/en/stats/leaderboard?page=serve,1,2,52,27,52,78,21,27,68,17,25,75,3,4,10,242,/en/stats/leaderboard?page=serve,5,1,68,50,74,58,29,50,50,12,24,70,7,10,10,73,38,52,45,33,74,56,71,126,55,41,74,27,14,52,44,55,126,C882,S843
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS019,R32,02:19:00,,F,2,MA21,"7-5,7-6(7)",J. Monaco,H. Zeballos,,,ARG,ARG,7-5,7-6(7),,,,02:19:00,A,J. Monaco,H. Zeballos,ARG,ARG,,,,,7.0,3.0,266,/en/stats/leaderboard?page=serve,1,7,53,40,75,75,30,40,57,20,35,50,3,6,12,229,/en/stats/leaderboard?page=serve,3,6,52,53,101,68,36,53,40,19,48,73,11,15,12,67,50,75,46,46,101,55,96,176,54,55,101,33,25,75,45,80,176,MA21,Z184
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS020,R32,02:03:00,,F,3,W367,"7-6(7),3-6,6-0",S. Wawrinka,P. Andujar,,,SUI,ESP,7-6(7),3-6,6-0,,,02:03:00,A,S. Wawrinka,P. Andujar,SUI,ESP,,,7.0,5.0,,,249,/en/stats/leaderboard?page=serve,3,3,59,58,98,66,38,58,55,22,40,69,9,13,13,234,/en/stats/leaderboard?page=serve,4,2,70,57,82,65,37,57,44,11,25,45,5,11,14,61,60,98,41,34,82,52,94,180,59,48,82,39,38,98,48,86,180,W367,A596
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS021,R32,01:32:00,,F,2,F510,"6-3,6-4",F. Fognini,M. Gonzalez,,,ITA,ARG,6-3,6-4,,,,01:32:00,A,F. Fognini,M. Gonzalez,ITA,ARG,,,,,,,233,/en/stats/leaderboard?page=serve,4,1,53,42,80,60,25,42,53,20,38,70,7,10,10,215,/en/stats/leaderboard?page=serve,1,0,70,35,50,49,17,35,53,8,15,29,2,7,9,56,45,80,50,25,50,54,70,130,50,25,50,44,35,80,46,60,130,F510,G585
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS022,R32,02:37:00,,F,3,B884,"6-3,5-7,6-1",C. Berlocq,D. Munoz de la Nava,,,ARG,ESP,6-3,5-7,6-1,,,02:37:00,A,C. Berlocq,D. Munoz de la Nava,ARG,ESP,,,,,,,242,/en/stats/leaderboard?page=serve,1,2,54,49,91,59,29,49,57,24,42,56,5,9,14,204,/en/stats/leaderboard?page=serve,5,5,53,47,89,53,25,47,48,20,42,42,5,12,14,58,53,91,49,44,89,54,97,180,51,45,89,42,38,91,46,83,180,B884,M915
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS023,R32,01:22:00,,F,2,D801,"7-5,6-2",A. Dolgopolov,P. Capdeville,,,UKR,CHI,7-5,6-2,,,,01:22:00,A,A. Dolgopolov,P. Capdeville,UKR,CHI,,,,,,,257,/en/stats/leaderboard?page=serve,5,10,47,27,57,78,21,27,47,14,30,0,0,2,10,209,/en/stats/leaderboard?page=serve,2,2,67,45,67,60,27,45,32,7,22,50,5,10,10,61,35,57,49,33,67,55,68,124,51,34,67,39,22,57,45,56,124,D801,C634
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS024,R32,01:09:00,,F,2,M824,"6-2,6-1",A. Montanes,D. Gimeno-Traver,,,ESP,ESP,6-2,6-1,,,,01:09:00,A,A. Montanes,D. Gimeno-Traver,ESP,ESP,,,,,,,269,/en/stats/leaderboard?page=serve,3,2,52,26,50,85,22,26,46,11,24,80,4,5,8,150,/en/stats/leaderboard?page=serve,7,2,41,20,49,55,11,20,31,9,29,50,5,10,7,66,33,50,59,29,49,63,62,99,41,20,49,34,17,50,37,37,99,M824,G676
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS025,R32,02:38:00,,F,3,G725,"4-6,7-5,7-5",S. Giraldo,A. Ramos-Vinolas,,,COL,ESP,4-6,7-5,7-5,,,02:38:00,A,S. Giraldo,A. Ramos-Vinolas,COL,ESP,,,,,,,255,/en/stats/leaderboard?page=serve,1,3,66,68,103,71,48,68,40,14,35,64,7,11,17,245,/en/stats/leaderboard?page=serve,2,3,59,65,111,63,41,65,52,24,46,44,4,9,17,60,62,103,41,46,111,50,108,214,59,65,111,40,41,103,50,106,214,G725,R772
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS026,R32,02:12:00,,F,3,V254,"6-1,3-6,6-4",F. Volandri,F. Gil,,,ITA,POR,6-1,3-6,6-4,,,02:12:00,A,F. Volandri,F. Gil,ITA,POR,,,,,,,232,/en/stats/leaderboard?page=serve,3,0,69,64,93,53,34,64,52,15,29,69,11,16,13,195,/en/stats/leaderboard?page=serve,3,1,58,45,78,60,27,45,33,11,33,42,5,12,13,53,49,93,51,40,78,52,89,171,49,38,78,47,44,93,48,82,171,V254,G717
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS027,R32,01:21:00,,F,2,A479,"6-3,6-2",N. Almagro,V. Hanescu,,,ESP,ROU,6-3,6-2,,,,01:21:00,A,N. Almagro,V. Hanescu,ESP,ROU,,,,,,,273,/en/stats/leaderboard?page=serve,0,5,55,36,66,72,26,36,53,16,30,50,1,2,9,212,/en/stats/leaderboard?page=serve,1,2,67,34,51,53,18,34,41,7,17,33,2,6,8,64,42,66,51,26,51,58,68,117,49,25,51,36,24,66,42,49,117,A479,H528
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS028,R32,01:20:00,,F,2,SE66,"3-6,6-5",E. Schwank,J. Chela,,,ARG,ARG,3-6,6-5,,,,01:20:00,A,E. Schwank,J. Chela,ARG,ARG,,,,,,,241,/en/stats/leaderboard?page=serve,4,4,58,37,64,65,24,37,48,13,27,40,2,5,10,278,/en/stats/leaderboard?page=serve,2,1,69,35,51,74,26,35,56,9,16,0,0,2,10,58,37,64,31,16,51,46,53,115,69,35,51,42,27,64,54,62,115,SE66,C514
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS029,R32,01:43:00,,F,2,K540,"7-5,6-0",L. Kubot,R. Ramirez Hidalgo,,,POL,ESP,7-5,6-0,,,,01:43:00,A,L. Kubot,R. Ramirez Hidalgo,POL,ESP,,,,,,,270,/en/stats/leaderboard?page=serve,4,4,55,24,44,88,21,24,50,10,20,0,0,2,9,169,/en/stats/leaderboard?page=serve,9,2,55,45,82,58,26,45,30,11,37,60,9,15,9,70,31,44,55,45,82,60,76,126,45,37,82,30,13,44,40,50,126,K540,R383
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS030,R32,01:51:00,,F,3,N309,"6-1,3-6,6-1",I. Navarro,M. Sanchez,,,ESP,MEX,6-1,3-6,6-1,,,01:51:00,A,I. Navarro,M. Sanchez,ESP,MEX,,,,,,,298,/en/stats/leaderboard?page=serve,2,4,68,44,65,80,35,44,57,12,21,67,2,3,12,227,/en/stats/leaderboard?page=serve,4,6,45,27,60,59,16,27,58,19,33,50,4,8,11,72,47,65,42,25,60,58,72,125,58,35,60,28,18,65,42,53,125,N309,SI82
807,2011,Acapulco,500,2011-02-21T00:00:00,2011-02-26T00:00:00,Clay,32,1100000,$,MS031,R32,02:07:00,,F,3,BD20,"6-2,4-6,6-3",T. Bellucci,F. Verdasco,,,BRA,ESP,6-2,4-6,6-3,,,02:07:00,A,T. Bellucci,F. Verdasco,BRA,ESP,,,,,,,290,/en/stats/leaderboard?page=serve,5,6,71,60,84,80,48,60,46,11,24,88,7,8,14,263,/en/stats/leaderboard?page=serve,5,7,69,55,80,64,35,55,52,13,25,25,1,4,13,70,59,84,40,32,80,55,91,164,60,48,80,30,25,84,45,73,164,BD20,V306
