event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS001,F,05:05:00,,F,5,N409,"6-7(0),7-6(7),6-4,2-6,7-6(7)",R. Nadal,R. Federer,,,ESP,SUI,6-7(0),7-6(7),6-4,2-6,7-6(7),05:05:00,0.0,7.0,7.0,5.0,7.0,5.0,296,/en/stats/leaderboard?page=serve,1,4,85,147,173,69,101,147,54,14,26,60,6,10,27,288,/en/stats/leaderboard?page=serve,0,10,62,112,180,77,86,112,51,35,68,67,6,9,27,66,115,173,33,59,180,49,174,353,67,121,180,34,58,173,51,179,353,A,,,R. Nadal,R. Federer,N409,F324,ESP,SUI,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS002,SF,02:43:00,,F,3,F324,"6-3,3-6,7-6(7)",R. Federer,D. Nalbandian,,,SUI,ARG,6-3,3-6,7-6(7),,,02:43:00,,,,,,,235,/en/stats/leaderboard?page=serve,2,9,48,56,117,70,39,56,44,27,61,69,11,16,15,228,/en/stats/leaderboard?page=serve,8,2,57,64,112,63,40,64,48,23,48,44,4,9,15,56,66,117,44,49,112,50,115,229,56,63,112,44,51,117,50,114,229,A,7.0,5.0,R. Federer,D. Nalbandian,F324,N301,SUI,ARG,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS003,SF,01:17:00,,F,2,N409,"6-2,6-2",R. Nadal,G. Monfils,,,ESP,FRA,6-2,6-2,,,,01:17:00,,,,,,,283,/en/stats/leaderboard?page=serve,0,0,76,39,51,62,24,39,58,7,12,67,2,3,8,172,/en/stats/leaderboard?page=serve,4,0,54,25,46,52,13,25,33,7,21,29,2,7,8,61,31,51,57,26,46,59,57,97,43,20,46,39,20,51,41,40,97,A,,,R. Nadal,G. Monfils,N409,MC65,ESP,FRA,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS004,QF,02:33:00,,F,3,F324,"6-3,6-7(2),7-5",R. Federer,N. Almagro,,,SUI,ESP,6-3,6-7(2),7-5,,,02:33:00,,,2.0,7.0,,,285,/en/stats/leaderboard?page=serve,2,9,62,69,111,71,49,69,57,24,42,78,7,9,17,264,/en/stats/leaderboard?page=serve,1,1,72,85,118,62,53,85,55,18,33,64,7,11,16,66,73,111,40,47,118,52,120,229,60,71,118,34,38,111,48,109,229,A,,,R. Federer,N. Almagro,F324,A479,SUI,ESP,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS005,QF,01:24:00,,F,2,N301,"6-3,6-3",D. Nalbandian,M. Ancic,,,ARG,CRO,6-3,6-3,,,,01:24:00,,,,,,,270,/en/stats/leaderboard?page=serve,1,0,42,23,55,78,18,23,63,20,32,67,2,3,9,215,/en/stats/leaderboard?page=serve,1,2,63,36,57,67,24,36,29,6,21,20,1,5,9,69,38,55,47,27,57,58,65,112,53,30,57,31,17,55,42,47,112,A,,,D. Nalbandian,M. Ancic,N301,A385,ARG,CRO,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS006,QF,01:11:00,,F,2,MC65,"6-2,6-3",G. Monfils,A. Roddick,,,FRA,USA,6-2,6-3,,,,01:11:00,,,,,,,258,/en/stats/leaderboard?page=serve,5,4,63,31,49,71,22,31,50,9,18,71,5,7,8,182,/en/stats/leaderboard?page=serve,1,2,61,35,57,51,18,35,36,8,22,45,5,11,9,63,31,49,54,31,57,58,62,106,46,26,57,37,18,49,42,44,106,A,,,G. Monfils,A. Roddick,MC65,R485,FRA,USA,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS007,QF,01:42:00,,F,2,N409,"6-4,6-3",R. Nadal,F. Gonzalez,,,ESP,CHI,6-4,6-3,,,,01:42:00,,,,,,,280,/en/stats/leaderboard?page=serve,1,0,85,45,53,69,31,45,50,4,8,50,2,4,9,211,/en/stats/leaderboard?page=serve,1,3,57,41,72,54,22,41,48,15,31,50,5,10,10,66,35,53,49,35,72,56,70,125,51,37,72,34,18,53,44,55,125,A,,,R. Nadal,F. Gonzalez,N409,G415,ESP,CHI,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS008,R16,00:57:00,,F,2,F324,"6-1,6-4",R. Federer,R. Stepanek,,,SUI,CZE,6-1,6-4,,,,00:57:00,,,,,,,312,/en/stats/leaderboard?page=serve,2,2,52,24,46,96,23,24,64,14,22,100,3,3,9,239,/en/stats/leaderboard?page=serve,2,3,74,35,47,69,24,35,33,4,12,57,4,7,8,80,37,46,40,19,47,60,56,93,60,28,47,20,9,46,40,37,93,A,,,R. Federer,R. Stepanek,F324,S694,SUI,CZE,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS009,R16,01:11:00,,F,1,A479,7-6(8),N. Almagro,N. Davydenko,,,ESP,RUS,7-6(8),,,,,01:11:00,8.0,6.0,,,,,293,/en/stats/leaderboard?page=serve,1,2,48,22,46,86,19,22,58,14,24,100,3,3,6,291,/en/stats/leaderboard?page=serve,3,0,67,34,51,74,25,34,53,9,17,100,7,7,6,72,33,46,33,17,51,52,50,97,67,34,51,28,13,46,48,47,97,A,,,N. Almagro,N. Davydenko,A479,D402,ESP,RUS,,
416,2006,ATP Masters 1000 Rome,1000,2006-05-08T00:00:00,2006-05-14T00:00:00,Clay,64,2200000,$,MS010,R16,01:48:00,,F,2,N301,"7-5,6-4",D. Nalbandian,A. Martin,,,ARG,ESP,7-5,6-4,,,,01:48:00,,,,,,,239,/en/stats/leaderboard?page=serve,1,1,64,39,61,62,24,39,50,11,22,43,3,7,11,191,/en/stats/leaderboard?page=serve,2,2,49,37,76,59,22,37,38,15,39,25,2,8,11,57,35,61,51,39,76,54,74,137,49,37,76,43,26,61,46,63,137,A,,,D. Nalbandian,A. Martin,N301,M590,ARG,ESP,,
