event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS001,F,01:34:00,,F,2,F324,"7-6(7),6-4",R. Federer,M. Copil,,,SUI,ROU,7-6(7),6-4,,,,01:34:00,7,5,285,/en/stats/leaderboard?page=serve,3,6,52,34,65,94,32,34,55,17,31,60,3,5,11,260,/en/stats/leaderboard?page=serve,4,14,61,46,76,70,32,46,47,14,30,40,2,5,11,75,49,65,39,30,76,56,79,141,61,46,76,25,16,65,44,62,141,A,,,R. Federer,M. Copil,F324,CA99,SUI,ROU,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS002,SF,01:05:00,,F,2,F324,"6-1,6-4",R. Federer,D. Medvedev,,,SUI,RUS,6-1,6-4,,,,01:05:00,,,271,/en/stats/leaderboard?page=serve,5,6,55,30,55,87,26,30,40,10,25,67,2,3,9,188,/en/stats/leaderboard?page=serve,7,1,49,29,59,48,14,29,47,14,30,56,5,9,8,65,36,55,53,31,59,59,67,114,47,28,59,35,19,55,41,47,114,A,,,R. Federer,D. Medvedev,F324,MM58,SUI,RUS,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS003,SF,02:32:00,,F,3,CA99,"6-3,6-7(6),6-4",M. Copil,A. Zverev,,,ROU,GER,6-3,6-7(6),6-4,,,02:32:00,,,302,/en/stats/leaderboard?page=serve,6,26,53,66,125,85,56,66,44,26,59,100,6,6,16,280,/en/stats/leaderboard?page=serve,8,9,63,59,94,81,48,59,49,17,35,33,1,3,15,66,82,125,31,29,94,51,111,219,69,65,94,34,43,125,49,108,219,A,6,8,M. Copil,A. Zverev,CA99,Z355,ROU,GER,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS004,QF,02:34:00,,F,3,F324,"7-6(7),4-6,6-4",R. Federer,G. Simon,,,SUI,FRA,7-6(7),4-6,6-4,,,02:34:00,7,1,253,/en/stats/leaderboard?page=serve,4,15,59,65,110,71,46,65,44,20,45,50,5,10,16,234,/en/stats/leaderboard?page=serve,1,8,47,51,109,59,30,51,53,31,58,50,5,10,16,60,66,110,44,48,109,52,114,219,56,61,109,40,44,110,48,105,219,A,,,R. Federer,G. Simon,F324,SD32,SUI,FRA,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS005,QF,01:51:00,,F,3,MM58,"6-4,3-6,6-3",D. Medvedev,S. Tsitsipas,,,RUS,GRE,6-4,3-6,6-3,,,01:51:00,,,288,/en/stats/leaderboard?page=serve,4,6,53,41,77,85,35,41,56,20,36,75,3,4,14,275,/en/stats/leaderboard?page=serve,1,3,57,49,86,69,34,49,62,23,37,60,3,5,14,71,55,77,34,29,86,52,84,163,66,57,86,29,22,77,48,79,163,A,,,D. Medvedev,S. Tsitsipas,MM58,TE51,RUS,GRE,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS006,QF,01:53:00,,F,2,CA99,"7-6(8),7-5",M. Copil,T. Fritz,,,ROU,USA,7-6(8),7-5,,,,01:53:00,8,6,290,/en/stats/leaderboard?page=serve,3,18,53,49,92,78,38,49,53,23,43,91,10,11,12,274,/en/stats/leaderboard?page=serve,5,11,58,46,80,80,37,46,47,16,34,60,3,5,12,66,61,92,34,27,80,51,88,172,66,53,80,34,31,92,49,84,172,A,,,M. Copil,T. Fritz,CA99,FB98,ROU,USA,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS007,QF,01:45:00,,F,2,Z355,"7-5,6-3",A. Zverev,R. Bautista Agut,,,GER,ESP,7-5,6-3,,,,01:45:00,,,264,/en/stats/leaderboard?page=serve,6,12,56,38,68,82,31,38,40,12,30,71,5,7,10,199,/en/stats/leaderboard?page=serve,8,1,49,42,86,71,30,42,32,14,44,74,14,19,11,63,43,68,49,42,86,55,85,154,51,44,86,37,25,68,45,69,154,A,,,A. Zverev,R. Bautista Agut,Z355,BD06,GER,ESP,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS008,R16,01:07:00,,F,2,F324,"6-3,7-5",R. Federer,J. Struff,,,SUI,GER,6-3,7-5,,,,01:07:00,,,287,/en/stats/leaderboard?page=serve,5,7,53,32,60,78,25,32,64,18,28,0,0,1,11,244,/en/stats/leaderboard?page=serve,5,8,63,37,59,76,28,37,32,7,22,0,0,3,10,72,43,60,41,24,59,56,67,119,59,35,59,28,17,60,44,52,119,A,,,R. Federer,J. Struff,F324,SL28,SUI,GER,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS009,R16,02:17:00,,F,2,SD32,"7-6(7),7-6(7)",G. Simon,E. Gulbis,,,FRA,LAT,7-6(7),7-6(7),,,,02:17:00,7,4,284,/en/stats/leaderboard?page=serve,4,4,50,38,76,82,31,38,61,23,38,67,2,3,12,264,/en/stats/leaderboard?page=serve,4,9,51,54,106,65,35,54,52,27,52,92,12,13,12,71,54,76,42,44,106,54,98,182,58,62,106,29,22,76,46,84,182,A,7,0,G. Simon,E. Gulbis,SD32,G858,FRA,LAT,,
328,2018,Basel,500,2018-10-22T00:00:00,2018-10-28T00:00:00,Hard,32,1984420,€,MS010,R16,01:01:00,,F,2,TE51,"6-3,6-1",S. Tsitsipas,P. Gojowczyk,,,GRE,GER,6-3,6-1,,,,01:01:00,,,313,/en/stats/leaderboard?page=serve,1,10,65,30,46,83,25,30,56,9,16,100,2,2,8,190,/en/stats/leaderboard?page=serve,5,2,37,19,51,68,13,19,38,12,32,33,2,6,8,74,34,46,51,26,51,62,60,97,49,25,51,26,12,46,38,37,97,A,,,S. Tsitsipas,P. Gojowczyk,TE51,G967,GRE,GER,,
