event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS011,R16,01:33:00,,F,2,KE29,"6-4,7-5",K. Khachanov,C. Ruud,,,RUS,NOR,6-4,7-5,,,,01:33:00,A,K. Khachanov,C. Ruud,RUS,NOR,,,301,/en/stats/leaderboard?page=serve,3,7,56,30,54,97,29,30,54,13,24,75,3,4,11,269,/en/stats/leaderboard?page=serve,2,9,68,49,72,57,28,49,65,15,23,75,9,12,11,78,42,54,40,29,72,56,71,126,60,43,72,22,12,54,44,55,126,,,,,01:33:00,01:33:00,,,KE29,RH16
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS012,R16,02:25:00,,F,3,DH58,"6-2,4-6,6-4",A. de Minaur,F. Tiafoe,,,AUS,USA,6-2,4-6,6-4,,,02:25:00,A,A. de Minaur,F. Tiafoe,AUS,USA,,,247,/en/stats/leaderboard?page=serve,5,6,42,39,92,77,30,39,49,26,53,57,4,7,14,235,/en/stats/leaderboard?page=serve,4,10,48,43,90,74,32,43,43,20,47,50,5,10,14,61,56,92,42,38,90,52,94,182,58,52,90,39,36,92,48,88,182,,,,,02:25:00,02:25:00,,,DH58,TD51
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS013,R16,02:24:00,,F,3,S0S1,"6-4,4-6,7-6(7)",B. Shelton,F. Cobolli,,,USA,ITA,6-4,4-6,7-6(7),,,02:24:00,A,B. Shelton,F. Cobolli,USA,ITA,,,271,/en/stats/leaderboard?page=serve,4,12,62,69,112,71,49,69,49,21,43,70,7,10,16,260,/en/stats/leaderboard?page=serve,2,8,45,45,101,76,34,45,52,29,56,67,6,9,16,63,70,112,38,38,101,51,108,213,62,63,101,38,42,112,49,105,213,,,7,1,02:24:00,02:24:00,,,S0S1,C0E9
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS014,R16,02:22:00,,F,3,RE44,"6-7(3),7-6(7),3-0",A. Rublev,A. Davidovich Fokina,,,RUS,ESP,6-7(3),7-6(7),3-0,,,02:22:00,A,A. Rublev,A. Davidovich Fokina,RUS,ESP,,,316,/en/stats/leaderboard?page=serve,2,12,58,52,90,90,47,52,58,22,38,100,3,3,14,293,/en/stats/leaderboard?page=serve,2,8,69,74,107,68,50,74,58,19,33,83,5,6,13,77,69,90,36,38,107,54,107,197,64,69,107,23,21,90,46,90,197,3,7,,,02:22:00,02:22:00,7,2,RE44,DH50
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS015,R16,02:56:00,,F,3,FB98,"7-6(7),6-7(5),7-6(7)",T. Fritz,J. Lehecka,,,USA,CZE,7-6(7),6-7(5),7-6(7),,,02:56:00,A,T. Fritz,J. Lehecka,USA,CZE,,,309,/en/stats/leaderboard?page=serve,5,16,59,79,133,82,65,79,57,31,54,100,9,9,18,307,/en/stats/leaderboard?page=serve,2,6,62,78,125,81,63,78,60,28,47,100,5,5,18,72,96,133,27,34,125,50,130,258,73,91,125,28,37,133,50,128,258,7,4,7,5,02:56:00,02:56:00,5,7,FB98,L0BV
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS016,R32,02:46:00,,F,3,Z355,"6-7(5),6-3,6-2",A. Zverev,M. Arnaldi,,,GER,ITA,6-7(5),6-3,6-2,,,02:46:00,A,A. Zverev,M. Arnaldi,GER,ITA,,,299,/en/stats/leaderboard?page=serve,4,9,74,78,106,77,60,78,50,14,28,75,3,4,15,243,/en/stats/leaderboard?page=serve,7,6,56,58,104,71,41,58,46,21,46,71,10,14,14,70,74,106,40,42,104,55,116,210,60,62,104,30,32,106,45,94,210,5,7,,,02:46:00,02:46:00,,,Z355,A0FC
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS017,R32,01:50:00,,F,2,C0AU,"6-3,6-4",F. Cerundolo,T. Etcheverry,,,ARG,ARG,6-3,6-4,,,,01:50:00,A,F. Cerundolo,T. Etcheverry,ARG,ARG,,,268,/en/stats/leaderboard?page=serve,1,1,51,36,71,64,23,36,63,22,35,89,8,9,10,240,/en/stats/leaderboard?page=serve,0,5,58,37,64,70,26,37,41,11,27,70,7,10,9,63,45,71,42,27,64,53,72,135,58,37,64,37,26,71,47,63,135,,,,,01:50:00,01:50:00,,,C0AU,EA24
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS018,R32,02:30:00,,F,3,P09Z,"5-7,6-4,6-4",A. Popyrin,D. Medvedev,,,AUS,RUS,5-7,6-4,6-4,,,02:30:00,A,A. Popyrin,D. Medvedev,AUS,RUS,,,272,/en/stats/leaderboard?page=serve,7,7,61,63,103,84,53,63,40,16,40,82,9,11,16,262,/en/stats/leaderboard?page=serve,8,12,53,58,110,76,44,58,48,25,52,75,9,12,16,67,69,103,37,41,110,52,110,213,63,69,110,33,34,103,48,103,213,,,,,02:30:00,02:30:00,,,P09Z,MM58
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS019,R32,01:05:00,,F,2,R0DG,"6-2,6-4",H. Rune,A. Muller,,,DEN,FRA,6-2,6-4,,,,01:05:00,A,H. Rune,A. Muller,DEN,FRA,,,314,/en/stats/leaderboard?page=serve,1,4,65,32,49,81,26,32,65,11,17,0,0,0,9,244,/en/stats/leaderboard?page=serve,2,2,54,25,46,76,19,25,48,10,21,0,0,3,9,76,37,49,37,17,46,57,54,95,63,29,46,24,12,49,43,41,95,,,,,01:05:00,01:05:00,,,R0DG,MP20
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS020,R32,02:32:00,,F,3,M0QI,"3-6,7-6(7),6-4",A. Michelsen,L. Musetti,,,USA,ITA,3-6,7-6(7),6-4,,,02:32:00,A,A. Michelsen,L. Musetti,USA,ITA,,,267,/en/stats/leaderboard?page=serve,6,5,62,68,109,79,54,68,41,17,41,83,10,12,15,282,/en/stats/leaderboard?page=serve,4,5,60,59,99,71,42,59,63,25,40,78,7,9,16,65,71,109,32,32,99,50,103,208,68,67,99,35,38,109,50,105,208,,,,,02:32:00,02:32:00,7,4,M0QI,M0EJ
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS021,R32,01:25:00,,F,2,T0HA,"7-6(7),6-3",L. Tien,R. Opelka,,,USA,USA,7-6(7),6-3,,,,01:25:00,A,L. Tien,R. Opelka,USA,USA,,,297,/en/stats/leaderboard?page=serve,2,2,61,50,82,80,40,50,56,18,32,100,4,4,11,292,/en/stats/leaderboard?page=serve,5,10,54,31,57,97,30,31,46,12,26,0,0,1,10,71,58,82,26,15,57,53,73,139,74,42,57,29,24,82,47,66,139,7,3,,,01:25:00,01:25:00,,,T0HA,O522
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS022,R32,02:10:00,,F,3,KE29,"6-7(6),6-4,6-1",K. Khachanov,E. Nava,,,RUS,USA,6-7(6),6-4,6-1,,,02:10:00,A,K. Khachanov,E. Nava,RUS,USA,,,298,/en/stats/leaderboard?page=serve,3,8,59,48,82,71,34,48,71,24,34,0,0,1,14,235,/en/stats/leaderboard?page=serve,8,10,55,57,103,77,44,57,35,16,46,55,6,11,15,71,58,82,42,43,103,55,101,185,58,60,103,29,24,82,45,84,185,6,8,,,02:10:00,02:10:00,,,KE29,N0AM
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS023,R32,01:43:00,,F,2,RH16,"7-5,6-4",C. Ruud,N. Borges,,,NOR,POR,7-5,6-4,,,,01:43:00,A,C. Ruud,N. Borges,NOR,POR,,,288,/en/stats/leaderboard?page=serve,1,9,69,55,80,69,38,55,52,13,25,80,4,5,11,226,/en/stats/leaderboard?page=serve,6,1,42,29,69,62,18,29,55,22,40,63,5,8,11,64,51,80,42,29,69,54,80,149,58,40,69,36,29,80,46,69,149,,,,,01:43:00,01:43:00,,,RH16,BT72
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS024,R32,01:51:00,,F,3,TD51,"6-3,4-6,6-3",F. Tiafoe,A. Vukic,,,USA,AUS,6-3,4-6,6-3,,,01:51:00,A,F. Tiafoe,A. Vukic,USA,AUS,,,280,/en/stats/leaderboard?page=serve,3,10,54,45,83,76,34,45,58,22,38,50,2,4,14,250,/en/stats/leaderboard?page=serve,2,4,58,58,100,69,40,58,50,21,42,67,8,12,14,67,56,83,39,39,100,52,95,183,61,61,100,33,27,83,48,88,183,,,,,01:51:00,01:51:00,,,TD51,V832
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS026,R32,01:50:00,,F,3,C0E9,"6-2,4-6,6-3",F. Cobolli,F. Marozsan,,,ITA,HUN,6-2,4-6,6-3,,,01:50:00,A,F. Cobolli,F. Marozsan,ITA,HUN,,,276,/en/stats/leaderboard?page=serve,3,7,57,48,84,67,32,48,64,23,36,67,4,6,13,229,/en/stats/leaderboard?page=serve,5,3,59,58,99,62,36,58,46,19,41,58,7,12,14,65,55,84,44,44,99,54,99,183,56,55,99,35,29,84,46,84,183,,,,,01:50:00,01:50:00,,,C0E9,M0CI
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS027,R32,02:36:00,,F,3,S0S1,"6-7(8),6-2,7-6(7)",B. Shelton,B. Nakashima,,,USA,USA,6-7(8),6-2,7-6(7),,,02:36:00,A,B. Shelton,B. Nakashima,USA,USA,,,295,/en/stats/leaderboard?page=serve,8,19,62,69,111,81,56,69,48,20,42,75,3,4,16,275,/en/stats/leaderboard?page=serve,1,3,63,66,104,74,49,66,55,21,38,63,5,8,16,68,76,111,33,34,104,51,110,215,67,70,104,32,35,111,49,105,215,8,10,7,5,02:36:00,02:36:00,,,S0S1,N0AE
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS028,R32,02:32:00,,F,3,RE44,"5-7,6-4,6-3",A. Rublev,L. Sonego,,,RUS,ITA,5-7,6-4,6-3,,,02:32:00,A,A. Rublev,L. Sonego,RUS,ITA,,,277,/en/stats/leaderboard?page=serve,2,6,67,58,86,88,51,58,32,9,28,50,2,4,15,257,/en/stats/leaderboard?page=serve,5,10,59,65,110,71,46,65,47,21,45,60,6,10,16,70,60,86,39,43,110,53,103,196,61,67,110,30,26,86,47,93,196,,,,,02:32:00,02:32:00,,,RE44,SU87
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS029,R32,01:17:00,,F,2,DH50,"6-2,6-4",A. Davidovich Fokina,J. Mensik,,,ESP,CZE,6-2,6-4,,,,01:17:00,A,A. Davidovich Fokina,J. Mensik,ESP,CZE,,,283,/en/stats/leaderboard?page=serve,1,2,52,25,48,68,17,25,74,17,23,67,2,3,9,209,/en/stats/leaderboard?page=serve,5,7,51,29,57,62,18,29,39,11,28,0,0,4,9,71,34,48,49,28,57,59,62,105,51,29,57,29,14,48,41,43,105,,,,,01:17:00,01:17:00,,,DH50,M0NI
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS030,R32,01:52:00,,F,3,L0BV,"3-6,6-3,6-4",J. Lehecka,A. Fils,,,CZE,FRA,3-6,6-3,6-4,,,01:52:00,A,J. Lehecka,A. Fils,CZE,FRA,,,285,/en/stats/leaderboard?page=serve,5,12,57,50,88,84,42,50,45,17,38,50,1,2,14,293,/en/stats/leaderboard?page=serve,1,3,71,54,76,76,41,54,59,13,22,60,3,5,14,67,59,88,29,22,76,49,81,164,71,54,76,33,29,88,51,83,164,,,,,01:52:00,01:52:00,,,L0BV,F0F1
421,2025,ATP Masters 1000 Canada,1000,2025-07-27T00:00:00,2025-08-07T00:00:00,Hard,96,9193540,$,MS031,R32,01:16:00,,F,2,FB98,"6-4,6-2",T. Fritz,G. Diallo,,,USA,CAN,6-4,6-2,,,,01:16:00,A,T. Fritz,G. Diallo,USA,CAN,,,315,/en/stats/leaderboard?page=serve,0,5,54,26,48,88,23,26,68,15,22,100,1,1,9,228,/en/stats/leaderboard?page=serve,6,4,56,35,63,69,24,35,39,11,28,57,4,7,9,79,38,48,44,28,63,59,66,111,56,35,63,21,10,48,41,45,111,,,,,01:16:00,01:16:00,,,FB98,D0F6
