event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_dividend_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_dividend_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_dividend_tot_loser,totalpointswon_dividend_tot_loser,winner_flag,doublefaults_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,doublefaults_isstatbetter_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS011,R16,00:49:00,,F,2,J100,"6-4,6-1",M. Joyce,M. Rosset,,,USA,SUI,6-4,6-1,,,,00:49:00,232,/en/stats/leaderboard?page=serve,False,1,68,25,37,96,24,25,12,,0,0,,8,213,/en/stats/leaderboard?page=serve,2,1,57,27,47,67,18,27,35,7,20,0,0,4,9,32,47,22,47,54,53,25,47,5,30,A,,67,8,,86,37,64,84,14,37,36,84,,,,,,,M. Joyce,M. Rosset,J100,R214,USA,SUI,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS012,R16,01:15:00,,F,2,I034,"7-6(7),6-4",G. Ivanisevic,A. Medvedev,,,CRO,UKR,7-6(7),6-4,,,,01:15:00,279,/en/stats/leaderboard?page=serve,,13,45,32,71,94,30,32,39,,,0,,11,292,/en/stats/leaderboard?page=serve,1,6,56,37,66,86,32,37,55,16,29,67,2,3,11,53,27,18,66,71,73,48,66,18,66,A,4,59,23,,75,71,52,137,25,71,48,137,7,4,,,,,G. Ivanisevic,A. Medvedev,I034,M475,CRO,UKR,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS013,R16,01:47:00,,F,3,C274,"6-3,3-6,6-3",M. Chang,P. Korda,,,USA,CZE,6-3,3-6,6-3,,,01:47:00,283,/en/stats/leaderboard?page=serve,,5,50,36,72,81,29,36,36,,33,1,3,14,253,/en/stats/leaderboard?page=serve,5,7,57,51,89,73,37,51,45,17,38,50,3,6,13,52,39,35,89,87,61,54,89,20,74,A,2,64,23,,72,72,54,161,28,72,46,161,,,,,,,M. Chang,P. Korda,C274,K148,USA,CZE,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS014,R16,01:08:00,,F,2,S544,"7-6(7),6-2",V. Spadea,R. Krajicek,,,USA,NED,7-6(7),6-2,,,,01:08:00,315,/en/stats/leaderboard?page=serve,False,4,61,33,54,79,26,33,21,,67,2,3,10,240,/en/stats/leaderboard?page=serve,5,10,52,34,65,71,24,34,42,13,31,40,2,5,10,43,43,28,65,71,57,37,65,11,48,A,,81,17,,80,54,60,119,20,54,40,119,7,1,,,,,V. Spadea,R. Krajicek,S544,K214,USA,NED,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS015,R16,01:13:00,,F,2,S402,"6-3,6-4",P. Sampras,T. Martin,,,USA,USA,6-3,6-4,,,,01:13:00,284,/en/stats/leaderboard?page=serve,,5,57,32,56,81,26,32,24,,67,2,3,10,244,/en/stats/leaderboard?page=serve,2,8,56,34,61,68,23,34,48,13,27,57,4,7,9,39,41,25,61,64,59,36,61,17,53,A,3,54,13,,70,56,55,117,30,56,45,117,,,,,,,P. Sampras,T. Martin,S402,M442,USA,USA,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS016,R32,01:03:00,,F,2,E004,"6-4,6-2",S. Edberg,N. Pereira,,,SWE,VEN,6-4,6-2,,,,01:03:00,298,/en/stats/leaderboard?page=serve,,1,62,31,50,87,27,31,19,,,0,,9,227,/en/stats/leaderboard?page=serve,4,2,47,23,49,74,17,23,42,11,26,25,1,4,9,39,43,21,49,60,57,28,49,11,39,A,3,63,12,,78,50,61,99,22,50,39,99,,,,,,,S. Edberg,N. Pereira,E004,P218,SWE,VEN,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS017,R32,01:22:00,,F,2,B053,"6-3,6-4",A. Boetsch,M. Washington,,,FRA,USA,6-3,6-4,,,,01:22:00,172,/en/stats/leaderboard?page=serve,,6,55,46,84,72,33,46,38,,,0,,10,263,/en/stats/leaderboard?page=serve,2,2,73,45,62,60,27,45,53,9,17,60,3,5,9,54,42,26,62,80,58,36,62,30,66,A,6,55,21,,64,84,55,146,36,84,45,146,,,,,,,A. Boetsch,M. Washington,B053,W124,FRA,USA,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS018,R32,01:13:00,,F,2,T195,"6-2,6-3",M. Tebbutt,H. Dreekmann,,,AUS,GER,6-2,6-3,,,,01:13:00,260,/en/stats/leaderboard?page=serve,,7,41,27,66,89,24,27,39,,86,6,7,8,193,/en/stats/leaderboard?page=serve,3,2,48,31,65,55,17,31,47,16,34,58,7,12,9,41,49,32,65,73,51,33,65,25,58,A,8,44,17,,62,66,56,131,38,66,44,131,,,,,,,M. Tebbutt,H. Dreekmann,T195,D249,AUS,GER,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS019,R32,01:27:00,,F,2,C243,"7-6(7),6-0",J. Courier,B. Black,,,USA,ZIM,7-6(7),6-0,,,,01:27:00,281,/en/stats/leaderboard?page=serve,,3,51,28,55,71,20,28,27,,50,1,2,9,205,/en/stats/leaderboard?page=serve,4,2,53,36,68,58,21,36,41,13,32,56,5,9,9,39,50,34,68,73,50,34,68,16,50,A,2,70,19,,71,55,59,123,29,55,41,123,7,1,,,,,J. Courier,B. Black,C243,B397,USA,ZIM,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS020,R32,01:35:00,,F,3,A092,"6-2,4-6,6-2",A. Agassi,J. Fleurian,,,USA,FRA,6-2,4-6,6-2,,,01:35:00,256,/en/stats/leaderboard?page=serve,,6,43,35,82,86,30,35,47,,50,2,4,13,234,/en/stats/leaderboard?page=serve,4,5,63,44,70,59,26,44,50,13,26,17,1,6,13,52,44,31,70,83,56,39,70,30,69,A,10,47,22,,63,82,55,152,37,82,45,152,,,,,,,A. Agassi,J. Fleurian,A092,F031,USA,FRA,,
