event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS011,R16,01:32:00,,F,2,B518,"6-4,6-4",G. Blanco,E. Benfele Alvarez,,,ESP,ESP,6-4,6-4,,,,01:32:00,265,/en/stats/leaderboard?page=serve,,6,42,29,69,76,22,29,55,22,40,75,3,4,10,234,/en/stats/leaderboard?page=serve,5,6,56,37,66,76,28,37,31,9,29,67,6,9,10,64,44,69,44,29,66,54,73,135,56,37,66,36,25,69,46,62,135,A,4,,,,,,,,G. Blanco,E. Benfele Alvarez,B518,A190,ESP,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS012,R16,01:59:00,,F,3,A203,"4-6,6-3,7-5",K. Alami,M. Craca,,,MAR,GER,4-6,6-3,7-5,,,01:59:00,256,/en/stats/leaderboard?page=serve,,5,64,58,90,76,44,58,41,13,32,64,7,11,16,239,/en/stats/leaderboard?page=serve,2,6,59,50,85,56,28,50,54,19,35,17,1,6,15,63,57,90,45,38,85,54,95,175,55,47,85,37,33,90,46,80,175,A,5,,,,,,,,K. Alami,M. Craca,A203,C439,MAR,GER,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS013,R16,01:15:00,,F,2,H377,"6-4,6-4",D. Hrbaty,A. Clement,,,SVK,FRA,6-4,6-4,,,,01:15:00,265,/en/stats/leaderboard?page=serve,,7,45,34,75,91,31,34,39,16,41,75,3,4,10,232,/en/stats/leaderboard?page=serve,4,4,52,32,61,72,23,32,38,11,29,25,1,4,10,63,47,75,44,27,61,54,74,136,56,34,61,37,28,75,46,62,136,A,7,,,,,,,,D. Hrbaty,A. Clement,H377,C487,SVK,FRA,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS014,R16,01:04:00,,F,2,A272,"6-4,6-1",J. Alonso,B. Karbacher,,,ESP,GER,6-4,6-1,,,,01:04:00,212,/en/stats/leaderboard?page=serve,,5,43,17,40,82,14,17,83,19,23,0,0,,8,209,/en/stats/leaderboard?page=serve,1,3,48,31,64,52,16,31,52,17,33,43,3,7,9,83,33,40,48,31,64,62,64,104,52,33,64,18,7,40,38,40,104,A,1,,,,,,,,J. Alonso,B. Karbacher,A272,K190,ESP,GER,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS015,R16,02:00:00,,F,3,B428,"4-6,7-5,6-1",A. Berasategui,T. Nydahl,,,ESP,SWE,4-6,7-5,6-1,,,02:00:00,244,/en/stats/leaderboard?page=serve,,8,65,56,86,63,35,56,50,15,30,38,3,8,14,189,/en/stats/leaderboard?page=serve,11,3,51,53,103,62,33,53,38,19,50,38,5,13,15,58,50,86,50,51,103,53,101,189,50,52,103,42,36,86,47,88,189,A,6,,,,,,,,A. Berasategui,T. Nydahl,B428,N099,ESP,SWE,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS016,R32,00:54:00,,F,2,C378,"6-1,6-2",A. Costa,F. Vicente,,,ESP,ESP,6-1,6-2,,,,00:54:00,296,/en/stats/leaderboard?page=serve,False,0,78,38,49,76,29,38,55,6,11,,0,,8,199,/en/stats/leaderboard?page=serve,3,0,76,37,49,51,19,37,33,4,12,50,4,8,7,71,35,49,53,26,49,62,61,98,47,23,49,29,14,49,38,37,98,A,,,,,,,,,A. Costa,F. Vicente,C378,V195,ESP,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS017,R32,01:14:00,,F,2,B429,"6-4,6-4",J. Burillo,D. Sanchez,,,ESP,ESP,6-4,6-4,,,,01:14:00,253,/en/stats/leaderboard?page=serve,,5,39,25,64,76,19,25,54,21,39,60,3,5,10,224,/en/stats/leaderboard?page=serve,2,6,51,29,57,55,16,29,54,15,28,20,1,5,10,63,40,64,46,26,57,55,66,121,54,31,57,38,24,64,45,55,121,A,1,,,,,,,,J. Burillo,D. Sanchez,B429,S677,ESP,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS018,R32,00:56:00,,F,2,G254,"6-0,6-2",A. Gaudenzi,S. Navarro,,,ITA,ESP,6-0,6-2,,,,00:56:00,287,/en/stats/leaderboard?page=serve,False,1,58,21,36,76,16,21,67,10,15,0,0,1,7,140,/en/stats/leaderboard?page=serve,,1,53,25,47,36,9,25,36,8,22,40,4,10,7,72,26,36,64,30,47,67,56,83,36,17,47,28,10,36,33,27,83,A,,,,,,False,,,A. Gaudenzi,S. Navarro,G254,N259,ITA,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS019,R32,01:07:00,,F,2,R186,"6-1,6-3",G. Raoux,E. Sanchez,,,FRA,ESP,6-1,6-3,,,,01:07:00,272,/en/stats/leaderboard?page=serve,,5,56,31,55,71,22,31,54,13,24,67,2,3,8,190,/en/stats/leaderboard?page=serve,,4,65,28,43,57,16,28,27,4,15,17,1,6,8,64,35,55,53,23,43,59,58,98,47,20,43,36,20,55,41,40,98,A,1,,,,,False,,,G. Raoux,E. Sanchez,R186,S014,FRA,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS020,R32,01:54:00,,F,3,P305,"3-6,7-5,6-2",A. Portas,J. Viloca-Puig,,,ESP,ESP,3-6,7-5,6-2,,,01:54:00,265,/en/stats/leaderboard?page=serve,,4,63,55,88,71,39,55,52,17,33,70,7,10,14,229,/en/stats/leaderboard?page=serve,6,8,46,43,93,79,34,43,36,18,50,44,4,9,15,64,56,88,44,41,93,54,97,181,56,52,93,36,32,88,46,84,181,A,3,,,,,,,,A. Portas,J. Viloca-Puig,P305,V161,ESP,ESP,,
