event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS001,F,04:06:00,,F,5,D683,"3-6,7-6(7),4-6,7-6(7),6-2",J. del Potro,R. Federer,,,ARG,SUI,3-6,7-6(7),4-6,7-6(7),6-2,04:06:00,A,J. del Potro,R. Federer,ARG,SUI,,,7.0,5.0,7.0,4.0,275,/en/stats/leaderboard?page=serve,6,8,65,112,171,72,81,112,56,33,59,77,17,22,25,261,/en/stats/leaderboard?page=serve,11,14,51,93,181,72,67,93,55,48,88,67,10,15,26,67,114,171,36,66,181,51,180,352,64,115,181,33,57,171,49,172,352,,,,,,,D683,F324
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS002,SF,02:34:00,,F,3,F324,"7-6(7),7-5,7-5",R. Federer,N. Djokovic,,,SUI,SRB,7-6(7),7-5,7-5,,,02:34:00,A,R. Federer,N. Djokovic,SUI,SRB,,,,,,,296,/en/stats/leaderboard?page=serve,3,8,58,63,109,78,49,63,61,28,46,67,2,3,18,275,/en/stats/leaderboard?page=serve,4,6,68,78,115,68,53,78,54,20,37,70,7,10,18,71,77,109,37,42,115,53,119,224,63,73,115,29,32,109,47,105,224,7.0,3.0,,,,,F324,D643
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS003,SF,02:20:00,,F,3,D683,"6-2,6-2,6-2",J. del Potro,R. Nadal,,,ARG,ESP,6-2,6-2,6-2,,,02:20:00,A,J. del Potro,R. Nadal,ARG,ESP,,,,,,,289,/en/stats/leaderboard?page=serve,3,6,66,56,85,79,44,56,41,12,29,100,5,5,12,215,/en/stats/leaderboard?page=serve,4,4,78,70,90,57,40,70,30,6,20,63,10,16,12,66,56,85,49,44,90,57,100,175,51,46,90,34,29,85,43,75,175,,,,,,,D683,N409
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS004,QF,02:33:00,,F,4,F324,"6-0,6-3,6-7(6),7-6(8)",R. Federer,R. Soderling,,,SUI,SWE,6-0,6-3,6-7(6),7-6(8),,02:33:00,A,R. Federer,R. Soderling,SUI,SWE,,,,,8.0,6.0,333,/en/stats/leaderboard?page=serve,3,28,66,85,128,86,73,85,56,24,43,100,5,5,20,269,/en/stats/leaderboard?page=serve,5,11,67,85,127,73,62,85,45,19,42,64,7,11,19,76,97,128,36,46,127,56,143,255,64,81,127,24,31,128,44,112,255,,,6.0,8.0,,,F324,SA49
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS005,QF,03:05:00,,F,4,D643,"7-6(7),1-6,7-5,6-2",N. Djokovic,F. Verdasco,,,SRB,ESP,7-6(7),1-6,7-5,6-2,,03:05:00,A,N. Djokovic,F. Verdasco,SRB,ESP,,,,,,,274,/en/stats/leaderboard?page=serve,4,9,67,93,138,71,66,93,51,23,45,71,10,14,20,248,/en/stats/leaderboard?page=serve,8,5,56,68,122,69,47,68,48,26,54,67,8,12,19,64,89,138,40,49,122,53,138,260,60,73,122,36,49,138,47,122,260,7.0,2.0,,,,,D643,V306
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS006,QF,02:37:00,,F,3,N409,"7-6(7),7-6(7),6-0",R. Nadal,F. Gonzalez,,,ESP,CHI,7-6(7),7-6(7),6-0,,,02:37:00,A,R. Nadal,F. Gonzalez,ESP,CHI,,,7.0,2.0,,,334,/en/stats/leaderboard?page=serve,0,1,75,65,87,85,55,65,73,16,22,100,2,2,15,262,/en/stats/leaderboard?page=serve,6,9,61,65,107,66,43,65,52,22,42,70,7,10,15,82,71,87,39,42,107,58,113,194,61,65,107,18,16,87,42,81,194,7.0,4.0,,,,,N409,G415
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS007,QF,02:33:00,,F,4,D683,"4-6,6-3,6-2,6-1",J. del Potro,M. Cilic,,,ARG,CRO,4-6,6-3,6-2,6-1,,02:33:00,A,J. del Potro,M. Cilic,ARG,CRO,,,,,,,275,/en/stats/leaderboard?page=serve,4,6,66,62,94,81,50,62,44,14,32,57,4,7,17,221,/en/stats/leaderboard?page=serve,2,7,59,62,105,65,40,62,40,17,43,0,0,8,17,68,64,94,46,48,105,56,112,199,54,57,105,32,30,94,44,87,199,,,,,,,D683,C977
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS008,R16,01:48:00,,F,3,F324,"7-5,6-2,6-2",R. Federer,T. Robredo,,,SUI,ESP,7-5,6-2,6-2,,,01:48:00,A,R. Federer,T. Robredo,SUI,ESP,,,,,,,327,/en/stats/leaderboard?page=serve,0,9,63,47,75,87,41,47,68,19,28,100,4,4,14,234,/en/stats/leaderboard?page=serve,2,2,69,64,93,63,40,64,38,11,29,50,5,10,14,80,60,75,45,42,93,61,102,168,55,51,93,20,15,75,39,66,168,,,,,,,F324,R419
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS009,R16,02:09:00,,F,3,SA49,"7-5,3-6,6-2",R. Soderling,N. Davydenko,,,SWE,RUS,7-5,3-6,6-2,,,02:09:00,A,R. Soderling,N. Davydenko,SWE,RUS,,,,,,,263,/en/stats/leaderboard?page=serve,5,8,56,50,90,86,43,50,38,15,40,40,2,5,15,256,/en/stats/leaderboard?page=serve,3,4,68,65,95,66,43,65,50,15,30,69,9,13,14,64,58,90,39,37,95,51,95,185,61,58,95,36,32,90,49,90,185,,,,,,,SA49,D402
560,2009,US Open,GS,2009-08-31T00:00:00,2009-09-13T00:00:00,Hard,128,9756000,$,MS010,R16,01:46:00,,F,3,D643,"6-1,6-3,6-3",N. Djokovic,R. Stepanek,,,SRB,CZE,6-1,6-3,6-3,,,01:46:00,A,N. Djokovic,R. Stepanek,SRB,CZE,,,,,,,289,/en/stats/leaderboard?page=serve,3,5,62,46,74,76,35,46,57,16,28,67,2,3,13,212,/en/stats/leaderboard?page=serve,1,4,61,49,80,53,26,49,45,14,31,54,7,13,12,69,51,74,50,40,80,59,91,154,50,40,80,31,23,74,41,63,154,,,,,,,D643,S694
