event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS001,F,03:12:00,,F,5,M099,"6-3,5-7,4-6,6-3,6-2",T. Muster,A. Costa,,,AUT,ESP,6-3,5-7,4-6,6-3,6-2,03:12:00,229,/en/stats/leaderboard?page=serve,4,1,58,88,151,63,55,88,49,31,63,59,13,22,24,203,/en/stats/leaderboard?page=serve,9,3,63,92,147,52,48,92,44,24,55,33,6,18,24,57,86,151,51,75,147,54,161,298,49,72,147,43,65,151,46,137,298,A,,,,,,,,,T. Muster,A. Costa,M099,C378,AUT,ESP,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS002,SF,01:17:00,,F,2,M099,"6-3,6-3",T. Muster,C. Pioline,,,AUT,FRA,6-3,6-3,,,,01:17:00,274,/en/stats/leaderboard?page=serve,2,2,71,41,58,73,30,41,53,9,17,60,3,5,9,187,/en/stats/leaderboard?page=serve,3,0,50,27,54,63,17,27,33,9,27,38,3,8,9,67,39,58,52,28,54,60,67,112,48,26,54,33,19,58,40,45,112,A,,,,,,,,,T. Muster,C. Pioline,M099,P226,AUT,FRA,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS003,SF,01:48:00,,F,3,C378,"6-3,4-6,6-3",A. Costa,M. Rios,,,ESP,CHI,6-3,4-6,6-3,,,01:48:00,256,/en/stats/leaderboard?page=serve,2,3,63,66,105,70,46,66,44,17,39,73,8,11,14,230,/en/stats/leaderboard?page=serve,2,3,47,37,79,70,26,37,48,20,42,38,3,8,14,60,63,105,42,33,79,52,96,184,58,46,79,40,42,105,48,88,184,A,,,,,,,,,A. Costa,M. Rios,C378,R286,ESP,CHI,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS004,QF,02:03:00,,F,3,M099,"5-7,6-1,6-4",T. Muster,S. Schalken,,,AUT,NED,5-7,6-1,6-4,,,02:03:00,240,/en/stats/leaderboard?page=serve,,1,70,62,89,65,40,62,44,12,27,45,5,11,15,187,/en/stats/leaderboard?page=serve,6,4,57,51,90,67,34,51,23,9,39,43,6,14,14,58,52,89,52,47,90,55,99,179,48,43,90,42,37,89,45,80,179,A,False,,,,,,,,T. Muster,S. Schalken,M099,S572,AUT,NED,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS005,QF,01:36:00,,F,2,P226,"6-2,6-3",C. Pioline,C. Costa,,,FRA,ESP,6-2,6-3,,,,01:36:00,215,/en/stats/leaderboard?page=serve,5,1,44,27,61,59,16,27,50,17,34,57,4,7,9,154,/en/stats/leaderboard?page=serve,2,0,52,30,58,43,13,30,36,10,28,33,3,9,8,54,33,61,60,35,58,57,68,119,40,23,58,46,28,61,43,51,119,A,,,,,,,,,C. Pioline,C. Costa,P226,C179,FRA,ESP,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS006,QF,01:08:00,,F,2,R286,"6-3,6-4",M. Rios,M. Gustafsson,,,CHI,SWE,6-3,6-4,,,,01:08:00,262,/en/stats/leaderboard?page=serve,1,3,54,34,63,71,24,34,55,16,29,67,4,6,10,212,/en/stats/leaderboard?page=serve,1,1,55,26,47,50,13,26,52,11,21,43,3,7,9,63,40,63,49,23,47,57,63,110,51,24,47,37,23,63,43,47,110,A,,,,,,,,,M. Rios,M. Gustafsson,R286,G182,CHI,SWE,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS007,QF,01:03:00,,F,2,C378,"6-3,6-3",A. Costa,F. Mantilla,,,ESP,ESP,6-3,6-3,,,,01:03:00,311,/en/stats/leaderboard?page=serve,1,1,71,32,45,75,24,32,77,10,13,0,0,1,9,223,/en/stats/leaderboard?page=serve,2,3,62,34,55,62,21,34,43,9,21,33,2,6,9,76,34,45,45,25,55,59,59,100,55,30,55,24,11,45,41,41,100,A,,,,,,,,,A. Costa,F. Mantilla,C378,M535,ESP,ESP,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS008,R16,01:19:00,,F,2,M099,"6-2,7-6(7)",T. Muster,C. Moya,,,AUT,ESP,6-2,7-6(7),,,,01:19:00,283,/en/stats/leaderboard?page=serve,,4,64,36,56,75,27,36,60,12,20,33,1,3,10,209,/en/stats/leaderboard?page=serve,4,3,54,42,78,60,25,42,36,13,36,67,8,12,10,70,39,56,51,40,78,59,79,134,49,38,78,30,17,56,41,55,134,A,False,7,3,,,,,,T. Muster,C. Moya,M099,M605,AUT,ESP,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS009,R16,02:28:00,,F,3,S572,"7-5,6-7(5),6-4",S. Schalken,R. Krajicek,,,NED,NED,7-5,6-7(5),6-4,,,02:28:00,263,/en/stats/leaderboard?page=serve,2,3,70,80,115,65,52,80,51,18,35,60,6,10,17,237,/en/stats/leaderboard?page=serve,7,13,65,75,116,73,55,75,29,12,41,54,7,13,17,61,70,115,42,49,116,52,119,231,58,67,116,39,45,115,48,112,231,A,,5,7,,,,,,S. Schalken,R. Krajicek,S572,K214,NED,NED,,
410,1996,ATP Masters 1000 Monte-Carlo,1000,1996-04-22T00:00:00,1996-04-28T00:00:00,Clay,56,1950000,$,MS010,R16,01:02:00,,F,2,C179,"6-4,6-1",C. Costa,P. Korda,,,ESP,CZE,6-4,6-1,,,,01:02:00,283,/en/stats/leaderboard?page=serve,2,1,60,27,45,70,19,27,67,12,18,67,2,3,8,187,/en/stats/leaderboard?page=serve,5,1,54,30,56,70,21,30,23,6,26,29,2,7,9,69,31,45,52,29,56,59,60,101,48,27,56,31,14,45,41,41,101,A,,,,,,,,,C. Costa,P. Korda,C179,K148,ESP,CZE,,
