event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS012,R16,01:31:00,,F,2,H336,"7-5,6-4",T. Henman,G. Raoux,,,GBR,FRA,7-5,6-4,,,,01:31:00,258,/en/stats/leaderboard?page=serve,5,4,42,29,69,86,25,29,50,20,40,67,4,6,11,229,/en/stats/leaderboard?page=serve,,2,50,34,68,65,22,34,50,17,34,56,5,9,11,65,45,69,43,29,68,54,74,137,57,39,68,35,24,69,46,63,137,A,,1,,,,,,,T. Henman,G. Raoux,H336,R186,GBR,FRA,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS013,R16,01:00:00,,F,2,K148,"6-3,6-2",P. Korda,L. Burgsmuller,,,CZE,GER,6-3,6-2,,,,01:00:00,288,/en/stats/leaderboard?page=serve,,1,55,29,53,69,20,29,75,18,24,,0,,9,218,/en/stats/leaderboard?page=serve,,3,53,27,51,56,15,27,50,12,24,70,7,10,8,72,38,53,47,24,51,60,62,104,53,27,51,28,15,53,40,42,104,A,False,6,,,,,,,P. Korda,L. Burgsmuller,K148,B484,CZE,GER,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS014,R16,01:53:00,,F,3,M475,"6-2,2-6,7-5",A. Medvedev,J. Tarango,,,UKR,USA,6-2,2-6,7-5,,,01:53:00,254,/en/stats/leaderboard?page=serve,5,8,59,61,103,59,36,61,55,23,42,80,12,15,14,254,/en/stats/leaderboard?page=serve,,5,61,58,95,64,37,58,57,21,37,60,6,10,14,57,59,103,39,37,95,48,96,198,61,58,95,43,44,103,52,102,198,A,,4,,,,,,,A. Medvedev,J. Tarango,M475,T136,UKR,USA,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS015,R16,02:17:00,,F,3,S572,"7-5,2-6,7-6(7)",S. Schalken,C. Costa,,,NED,ESP,7-5,2-6,7-6(7),,,02:17:00,253,/en/stats/leaderboard?page=serve,2,1,55,56,101,66,37,56,58,26,45,67,8,12,16,261,/en/stats/leaderboard?page=serve,,8,56,63,113,68,43,63,50,25,50,73,8,11,16,62,63,101,40,45,113,50,108,214,60,68,113,38,38,101,50,106,214,A,,2,,,,,7,5,S. Schalken,C. Costa,S572,C179,NED,ESP,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS016,R32,00:59:00,,F,2,R237,"6-4,6-4",G. Rusedski,J. Viloca-Puig,,,GBR,ESP,6-4,6-4,,,,00:59:00,305,/en/stats/leaderboard?page=serve,,6,62,31,50,84,26,31,63,12,19,50,1,2,10,249,/en/stats/leaderboard?page=serve,,1,62,36,58,64,23,36,55,12,22,40,2,5,10,76,38,50,40,23,58,56,61,108,60,35,58,24,12,50,44,47,108,A,False,3,,,,,,,G. Rusedski,J. Viloca-Puig,R237,V161,GBR,ESP,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS018,R32,01:29:00,,F,2,S367,"6-3,6-4",M. Sinner,O. Burrieza-Lopez,,,GER,ESP,6-3,6-4,,,,01:29:00,230,/en/stats/leaderboard?page=serve,3,3,56,38,68,58,22,38,50,15,30,75,9,12,9,203,/en/stats/leaderboard?page=serve,False,3,68,43,63,47,20,43,45,9,20,14,1,7,10,54,37,68,54,34,63,54,71,131,46,29,63,46,31,68,46,60,131,A,,,,,,,,,M. Sinner,O. Burrieza-Lopez,S367,B517,GER,ESP,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS019,R32,02:27:00,,F,3,S424,"6-7(5),6-4,6-4",F. Santoro,M. Gustafsson,,,FRA,SWE,6-7(5),6-4,6-4,,,02:27:00,255,/en/stats/leaderboard?page=serve,2,5,59,71,120,63,45,71,55,27,49,69,9,13,16,229,/en/stats/leaderboard?page=serve,,3,63,60,95,65,39,60,43,15,35,40,4,10,16,60,72,120,43,41,95,53,113,215,57,54,95,40,48,120,47,102,215,A,,7,5,7,,,,,F. Santoro,M. Gustafsson,S424,G182,FRA,SWE,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS020,R32,00:51:00,,F,2,I034,"6-2,6-3",G. Ivanisevic,H. Arazi,,,CRO,MAR,6-2,6-3,,,,00:51:00,281,/en/stats/leaderboard?page=serve,1,12,67,35,52,83,29,35,65,11,17,,0,,9,232,/en/stats/leaderboard?page=serve,,5,50,23,46,78,18,23,39,9,23,67,6,9,8,77,40,52,41,19,46,60,59,98,59,27,46,23,12,52,40,39,98,A,,2,,,,,,,G. Ivanisevic,H. Arazi,I034,A226,CRO,MAR,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS021,R32,01:26:00,,F,2,R214,"6-2,7-6(7)",M. Rosset,J. Alonso,,,SUI,ESP,6-2,7-6(7),,,,01:26:00,264,/en/stats/leaderboard?page=serve,4,10,48,34,71,79,27,34,51,19,37,67,4,6,10,219,/en/stats/leaderboard?page=serve,,0,55,38,69,66,25,38,42,13,31,33,2,6,10,65,46,71,45,31,69,55,77,140,55,38,69,35,25,71,45,63,140,A,,4,,,7,3,,,M. Rosset,J. Alonso,R214,A272,SUI,ESP,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS022,R32,01:15:00,,F,2,K190,"6-1,6-1",B. Karbacher,T. Nydahl,,,GER,SWE,6-1,6-1,,,,01:15:00,205,/en/stats/leaderboard?page=serve,,5,58,37,64,65,24,37,63,17,27,,0,,7,166,/en/stats/leaderboard?page=serve,,1,61,30,49,53,16,30,26,5,19,44,4,9,7,64,41,64,57,28,49,61,69,113,43,21,49,36,23,64,39,44,113,A,False,3,,,,,,,B. Karbacher,T. Nydahl,K190,N099,GER,SWE,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS023,R32,01:28:00,,F,2,L206,"7-5,6-4",M. Larsson,J. Kroslak,,,SWE,SVK,7-5,6-4,,,,01:28:00,287,/en/stats/leaderboard?page=serve,,4,68,46,68,80,37,46,45,10,22,75,3,4,11,242,/en/stats/leaderboard?page=serve,,2,59,48,82,60,29,48,53,18,34,75,9,12,11,69,47,68,43,35,82,55,82,150,57,47,82,31,21,68,45,68,150,A,False,4,,,,,,,M. Larsson,J. Kroslak,L206,K296,SWE,SVK,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS024,R32,01:11:00,,F,2,H336,"7-5,6-1",T. Henman,J. Sanchez,,,GBR,ESP,7-5,6-1,,,,01:11:00,275,/en/stats/leaderboard?page=serve,1,8,53,28,53,71,20,28,64,16,25,33,1,3,10,202,/en/stats/leaderboard?page=serve,,2,59,39,66,59,23,39,41,11,27,44,4,9,9,68,36,53,48,32,66,57,68,119,52,34,66,32,17,53,43,51,119,A,,3,,,,,,,T. Henman,J. Sanchez,H336,S015,GBR,ESP,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS025,R32,01:52:00,,F,2,R186,"7-6(7),6-4",G. Raoux,B. Ulihrach,,,FRA,CZE,7-6(7),6-4,,,,01:52:00,294,/en/stats/leaderboard?page=serve,1,10,59,45,76,78,35,45,58,18,31,67,2,3,11,258,/en/stats/leaderboard?page=serve,False,6,52,49,95,69,34,49,50,23,46,78,7,9,11,70,53,76,40,38,95,53,91,171,60,57,95,30,23,76,47,80,171,A,,,7,5,,,,,G. Raoux,B. Ulihrach,R186,U032,FRA,CZE,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS026,R32,01:43:00,,F,3,B484,"4-6,6-3,6-1",L. Burgsmuller,R. Reneberg,,,GER,USA,4-6,6-3,6-1,,,01:43:00,298,/en/stats/leaderboard?page=serve,3,2,66,50,76,68,34,50,73,19,26,75,3,4,13,239,/en/stats/leaderboard?page=serve,,2,62,57,92,65,37,57,46,16,35,50,4,8,13,70,53,76,42,39,92,55,92,168,58,53,92,30,23,76,45,76,168,A,,5,,,,,,,L. Burgsmuller,R. Reneberg,B484,R016,GER,USA,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS027,R32,01:15:00,,F,2,K148,"7-5,6-1",P. Korda,O. Delaitre,,,CZE,FRA,7-5,6-1,,,,01:15:00,270,/en/stats/leaderboard?page=serve,2,7,49,29,59,76,22,29,60,18,30,33,1,3,10,210,/en/stats/leaderboard?page=serve,,0,73,46,63,48,22,46,47,8,17,29,2,7,9,68,40,59,52,33,63,60,73,122,48,30,63,32,19,59,40,49,122,A,,2,,,,,,,P. Korda,O. Delaitre,K148,D015,CZE,FRA,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS028,R32,01:10:00,,F,2,M475,"6-3,6-4",A. Medvedev,D. Vacek,,,UKR,CZE,6-3,6-4,,,,01:10:00,292,/en/stats/leaderboard?page=serve,1,3,77,41,53,66,27,41,67,8,12,50,2,4,10,216,/en/stats/leaderboard?page=serve,False,1,58,36,62,64,23,36,38,10,26,64,7,11,9,66,35,53,47,29,62,56,64,115,53,33,62,34,18,53,44,51,115,A,,,,,,,,,A. Medvedev,D. Vacek,M475,V141,UKR,CZE,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS029,R32,00:59:00,,F,2,T136,"6-3,6-4",J. Tarango,M. Goellner,,,USA,GER,6-3,6-4,,,,00:59:00,286,/en/stats/leaderboard?page=serve,,1,59,32,54,81,26,32,55,12,22,0,0,1,10,236,/en/stats/leaderboard?page=serve,,10,41,20,49,75,15,20,48,14,29,40,2,5,9,70,38,54,41,20,49,56,58,103,59,29,49,30,16,54,44,45,103,A,False,4,,,,,,,J. Tarango,M. Goellner,T136,G252,USA,GER,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS030,R32,01:12:00,,F,2,S572,"6-0,6-4",S. Schalken,F. Dewulf,,,NED,BEL,6-0,6-4,,,,01:12:00,277,/en/stats/leaderboard?page=serve,1,0,50,22,44,86,19,22,55,12,22,0,0,1,8,175,/en/stats/leaderboard?page=serve,,1,46,32,69,66,21,32,32,12,37,50,5,10,8,70,31,44,52,36,69,59,67,113,48,33,69,30,13,44,41,46,113,A,,7,,,,,,,S. Schalken,F. Dewulf,S572,D228,NED,BEL,,
451,1998,Doha,WS,1998-01-05T00:00:00,1998-01-11T00:00:00,Hard,32,975000,$,MS031,R32,01:08:00,,F,2,C179,"6-4,6-2",C. Costa,S. Bruguera,,,ESP,ESP,6-4,6-2,,,,01:08:00,277,/en/stats/leaderboard?page=serve,,3,59,36,61,83,30,36,44,11,25,83,5,6,9,214,/en/stats/leaderboard?page=serve,,2,52,29,56,69,20,29,37,10,27,43,3,7,9,67,41,61,46,26,56,57,67,117,54,30,56,33,20,61,43,50,117,A,False,1,,,,,,,C. Costa,S. Bruguera,C179,B350,ESP,ESP,,
