event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS029,R32,01:12:00,,F,2,E690,"6-4,6-2",M. Ebden,R. Harrison,,,AUS,USA,6-4,6-2,,,,01:12:00,A,M. Ebden,R. Harrison,AUS,USA,,,273,/en/stats/leaderboard?page=serve,2,5,65,43,66,74,32,43,43,10,23,83,5,6,9,223,/en/stats/leaderboard?page=serve,2,5,56,28,50,54,15,28,55,12,22,33,2,6,9,64,42,66,46,23,50,56,65,116,54,27,50,36,24,66,44,51,116,,,,,,,E690,H940
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS030,R32,02:25:00,,F,3,W367,"6-7(5),7-6(7),6-2",S. Wawrinka,D. Young,,,SUI,USA,6-7(5),7-6(7),6-2,,,02:25:00,A,S. Wawrinka,D. Young,SUI,USA,,,286,/en/stats/leaderboard?page=serve,6,9,63,64,102,75,48,64,58,22,38,75,6,8,16,262,/en/stats/leaderboard?page=serve,2,2,63,71,113,55,39,71,69,29,42,60,6,10,16,69,70,102,40,45,113,53,115,215,60,68,113,31,32,102,47,100,215,5.0,7.0,,,7.0,2.0,W367,Y124
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS033,R64,01:27:00,,F,2,G476,"6-4,6-3",G. Garcia-Lopez,S. Devvarman,,,ESP,IND,6-4,6-3,,,,01:27:00,A,G. Garcia-Lopez,S. Devvarman,ESP,IND,,,259,/en/stats/leaderboard?page=serve,4,2,39,26,66,77,20,26,55,22,40,86,6,7,10,233,/en/stats/leaderboard?page=serve,1,2,45,24,53,83,20,24,38,11,29,40,2,5,9,64,42,66,42,22,53,54,64,119,58,31,53,36,24,66,46,55,119,,,,,,,G476,D616
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS034,R64,01:32:00,,F,2,N301,"7-5,6-4",D. Nalbandian,E. Gulbis,,,ARG,LAT,7-5,6-4,,,,01:32:00,A,D. Nalbandian,E. Gulbis,ARG,LAT,,,285,/en/stats/leaderboard?page=serve,3,6,54,36,67,83,30,36,55,17,31,67,2,3,11,245,/en/stats/leaderboard?page=serve,9,10,55,38,69,82,31,38,35,11,31,75,9,12,11,70,47,67,39,27,69,54,74,136,61,42,69,30,20,67,46,62,136,,,,,,,N301,G858
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS035,R64,00:48:00,,F,2,MB02,"6-0,6-2",F. Mayer,F. Fognini,,,GER,ITA,6-0,6-2,,,,00:48:00,A,F. Mayer,F. Fognini,GER,ITA,,,322,/en/stats/leaderboard?page=serve,0,4,54,19,35,95,18,19,69,11,16,0,0,0,7,162,/en/stats/leaderboard?page=serve,3,1,63,26,41,46,12,26,27,4,15,17,1,6,7,83,29,35,61,25,41,71,54,76,39,16,41,17,6,35,29,22,76,,,,,,,MB02,F510
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS036,R64,02:03:00,,F,2,L397,"7-6(7),7-6(7)",F. Lopez,J. Tipsarevic,,,ESP,SRB,7-6(7),7-6(7),,,,02:03:00,A,F. Lopez,J. Tipsarevic,ESP,SRB,,,279,/en/stats/leaderboard?page=serve,3,12,47,37,78,81,30,37,59,24,41,50,2,4,12,267,/en/stats/leaderboard?page=serve,4,7,57,48,84,60,29,48,64,23,36,67,4,6,12,69,54,78,38,32,84,53,86,162,62,52,84,31,24,78,47,76,162,7.0,2.0,,,7.0,3.0,L397,T742
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS037,R64,01:22:00,,F,2,B842,"6-2,6-3",A. Bogomolov Jr.,M. Granollers,,,RUS,ESP,6-2,6-3,,,,01:22:00,A,A. Bogomolov Jr.,M. Granollers,RUS,ESP,,,317,/en/stats/leaderboard?page=serve,0,1,71,39,55,64,25,39,81,13,16,100,6,6,8,208,/en/stats/leaderboard?page=serve,5,1,54,31,57,65,20,31,38,10,26,33,2,6,9,69,38,55,47,27,57,58,65,112,53,30,57,31,17,55,42,47,112,,,,,,,B842,G710
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS038,R64,01:09:00,,F,2,S694,"6-3,6-3",R. Stepanek,Z. Zhang,,,CZE,CHN,6-3,6-3,,,,01:09:00,A,R. Stepanek,Z. Zhang,CZE,CHN,,,301,/en/stats/leaderboard?page=serve,1,5,68,38,56,74,28,38,67,12,18,67,2,3,9,216,/en/stats/leaderboard?page=serve,4,3,66,35,53,63,22,35,33,6,18,50,4,8,9,71,40,56,47,25,53,60,65,109,53,28,53,29,16,56,40,44,109,,,,,,,S694,Z272
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS041,R64,02:18:00,,F,3,R975,"6-7(2),6-2,7-6(7)",M. Raonic,M. Llodra,,,CAN,FRA,6-7(2),6-2,7-6(7),,,02:18:00,A,M. Raonic,M. Llodra,CAN,FRA,,,301,/en/stats/leaderboard?page=serve,1,11,66,71,108,73,52,71,59,22,37,88,7,8,16,263,/en/stats/leaderboard?page=serve,8,3,62,73,117,73,53,73,52,23,44,79,11,14,16,69,74,108,35,41,117,51,115,225,65,76,117,31,34,108,49,110,225,2.0,7.0,7.0,5.0,,,R975,L428
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS042,R64,01:52:00,,F,2,F316,"7-6(7),6-4",J. Ferrero,M. Youzhny,,,ESP,RUS,7-6(7),6-4,,,,01:52:00,A,J. Ferrero,M. Youzhny,ESP,RUS,,,319,/en/stats/leaderboard?page=serve,0,4,58,38,65,79,30,38,78,21,27,100,3,3,11,271,/en/stats/leaderboard?page=serve,5,6,60,61,102,74,45,61,46,19,41,93,13,14,11,78,51,65,37,38,102,53,89,167,63,64,102,22,14,65,47,78,167,7.0,4.0,,,,,F316,Y061
