event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS020,R32,01:16:00,,F,2,R286,"6-3,6-3",M. Rios,J. Tarango,,,CHI,USA,6-3,6-3,,,,01:16:00,,,236,/en/stats/leaderboard?page=serve,6,4,65,39,60,64,25,39,43,9,21,40,2,5,9,165,/en/stats/leaderboard?page=serve,6,0,52,29,56,45,13,29,41,11,27,14,1,7,9,57,34,60,57,32,56,57,66,116,43,24,56,43,26,60,43,50,116,A,,,,,,,M. Rios,J. Tarango,R286,T136,CHI,USA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS021,R32,00:56:00,,F,2,E140,"6-0,6-4",N. Escude,J. Marin,,,FRA,CRC,6-0,6-4,,,,00:56:00,,,198,/en/stats/leaderboard?page=serve,1,4,53,26,49,81,21,26,61,14,23,0,0,,8,192,/en/stats/leaderboard?page=serve,5,1,43,20,46,80,16,20,23,6,26,33,2,6,8,71,35,49,52,24,46,62,59,95,48,22,46,29,14,49,38,36,95,A,,,,,,,N. Escude,J. Marin,E140,M578,FRA,CRC,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS022,R32,02:13:00,,F,3,R016,"7-6(7),6-7(4),6-2",R. Reneberg,V. Spadea,,,USA,USA,7-6(7),6-7(4),6-2,,,02:13:00,4,7,253,/en/stats/leaderboard?page=serve,3,6,47,47,100,79,37,47,49,26,53,33,2,6,16,220,/en/stats/leaderboard?page=serve,7,4,54,62,114,69,43,62,38,20,52,45,5,11,16,63,63,100,45,51,114,53,114,214,55,63,114,37,37,100,47,100,214,A,,7,5,,,,R. Reneberg,V. Spadea,R016,S544,USA,USA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS023,R32,01:19:00,,F,2,D357,"7-5,6-3",A. Di Pasquale,A. Costa,,,FRA,ESP,7-5,6-3,,,,01:19:00,,,251,/en/stats/leaderboard?page=serve,4,7,49,35,71,71,25,35,56,20,36,63,5,8,11,191,/en/stats/leaderboard?page=serve,7,2,48,30,62,57,17,30,41,13,32,38,3,8,10,63,45,71,52,32,62,58,77,133,48,30,62,37,26,71,42,56,133,A,,,,,,,A. Di Pasquale,A. Costa,D357,C378,FRA,ESP,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS024,R32,02:07:00,,F,3,P045,"2-6,6-4,6-4",G. Pozzi,J. Siemerink,,,ITA,NED,2-6,6-4,6-4,,,02:07:00,,,257,/en/stats/leaderboard?page=serve,1,4,57,56,99,70,39,56,49,21,43,75,9,12,14,252,/en/stats/leaderboard?page=serve,10,7,52,49,94,69,34,49,56,25,45,75,9,12,14,61,60,99,37,35,94,49,95,193,63,59,94,39,39,99,51,98,193,A,,,,,,,G. Pozzi,J. Siemerink,P045,S381,ITA,NED,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS025,R32,00:49:00,,F,2,D015,"6-3,6-1",O. Delaitre,J. Alonso,,,FRA,ESP,6-3,6-1,,,,00:49:00,,,296,/en/stats/leaderboard?page=serve,3,6,67,26,39,77,20,26,62,8,13,0,0,1,8,175,/en/stats/leaderboard?page=serve,5,1,45,25,55,64,16,25,33,10,30,38,3,8,8,72,28,39,53,29,55,61,57,94,47,26,55,28,11,39,39,37,94,A,,,,,,,O. Delaitre,J. Alonso,D015,A272,FRA,ESP,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS026,R32,00:58:00,,F,2,P280,"6-3,6-1",A. Pavel,L. Roux,,,ROU,FRA,6-3,6-1,,,,00:58:00,,,297,/en/stats/leaderboard?page=serve,2,4,67,28,42,82,23,28,71,10,14,,0,,8,205,/en/stats/leaderboard?page=serve,1,1,52,29,56,55,16,29,48,13,27,56,5,9,8,79,33,42,48,27,56,61,60,98,52,29,56,21,9,42,39,38,98,A,,,,,,,A. Pavel,L. Roux,P280,R280,ROU,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS027,R32,01:23:00,,F,2,C344,"7-6(7),6-2",A. Corretja,J. Golmard,,,ESP,FRA,7-6(7),6-2,,,,01:23:00,,,253,/en/stats/leaderboard?page=serve,1,4,53,30,57,83,25,30,44,12,27,0,0,3,10,207,/en/stats/leaderboard?page=serve,8,5,56,40,72,63,25,40,41,13,32,50,5,10,10,65,37,57,47,34,72,55,71,129,53,38,72,35,20,57,45,58,129,A,,7,4,,,,A. Corretja,J. Golmard,C344,G319,ESP,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS028,R32,02:14:00,,F,3,P226,"6-7(4),6-4,6-1",C. Pioline,S. Grosjean,,,FRA,FRA,6-7(4),6-4,6-1,,,02:14:00,,,255,/en/stats/leaderboard?page=serve,8,6,58,59,102,86,51,59,42,18,43,,0,,14,235,/en/stats/leaderboard?page=serve,7,1,51,56,110,80,45,56,37,20,54,67,8,12,15,68,69,102,41,45,110,54,114,212,59,65,110,32,33,102,46,98,212,A,,4,7,,,,C. Pioline,S. Grosjean,P226,G379,FRA,FRA,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS029,R32,01:45:00,,F,3,F196,"6-2,3-6,6-4",W. Ferreira,D. Sapsford,,,RSA,GBR,6-2,3-6,6-4,,,01:45:00,,,271,/en/stats/leaderboard?page=serve,6,6,53,51,96,75,38,51,51,23,45,75,3,4,13,248,/en/stats/leaderboard?page=serve,3,3,51,46,90,67,31,46,52,23,44,67,6,9,14,64,61,96,40,36,90,52,97,186,60,54,90,36,35,96,48,89,186,A,,,,,,,W. Ferreira,D. Sapsford,F196,S404,RSA,GBR,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS030,R32,01:33:00,,F,2,A226,"7-6(7),7-5",H. Arazi,M. Rosset,,,MAR,SUI,7-6(7),7-5,,,,01:33:00,,,273,/en/stats/leaderboard?page=serve,,3,58,45,77,73,33,45,56,18,32,33,1,3,12,250,/en/stats/leaderboard?page=serve,8,8,53,40,76,75,30,40,47,17,36,40,2,5,12,66,51,77,38,29,76,52,80,153,62,47,76,34,26,77,48,73,153,A,False,7,5,,,,H. Arazi,M. Rosset,A226,R214,MAR,SUI,,
7309,1998,Lyon,WS,1998-10-19T00:00:00,1998-10-25T00:00:00,Carpet,32,725000,$,MS031,R32,01:08:00,,F,2,R255,"6-2,6-2",P. Rafter,S. Campbell,,,AUS,USA,6-2,6-2,,,,01:08:00,,,259,/en/stats/leaderboard?page=serve,3,3,56,27,48,74,20,27,67,14,21,,0,,8,205,/en/stats/leaderboard?page=serve,3,3,62,36,58,61,22,36,32,7,22,60,6,10,8,71,34,48,50,29,58,59,63,106,50,29,58,29,14,48,41,43,106,A,,,,,,,P. Rafter,S. Campbell,R255,C355,AUS,USA,,
