event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS001,F,00:50:00,,F,2,P273,"6-1,6-2",D. Prinosil,P. Korda,,,GER,CZE,6-1,6-2,,,,00:50:00,207,/en/stats/leaderboard?page=serve,1,7,58,26,45,85,22,26,58,11,19,0,0,,8,182,/en/stats/leaderboard?page=serve,3,2,54,22,41,55,12,22,32,6,19,33,2,6,7,73,33,45,56,23,41,65,56,86,44,18,41,27,12,45,35,30,86,A,,,,,,,D. Prinosil,P. Korda,P273,K148,GER,CZE,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS002,SF,02:06:00,,F,3,K148,"4-6,6-3,7-5",P. Korda,M. Damm,,,CZE,CZE,4-6,6-3,7-5,,,02:06:00,295,/en/stats/leaderboard?page=serve,3,11,65,70,108,74,52,70,55,21,38,93,14,15,16,289,/en/stats/leaderboard?page=serve,2,13,58,51,88,80,41,51,54,20,37,60,3,5,15,68,73,108,31,27,88,51,100,196,69,61,88,32,35,108,49,96,196,A,,,,,,,P. Korda,M. Damm,K148,D214,CZE,CZE,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS003,SF,00:56:00,,F,2,P273,"6-4,6-3",D. Prinosil,T. Henman,,,GER,GBR,6-4,6-3,,,,00:56:00,306,/en/stats/leaderboard?page=serve,,8,69,38,55,84,32,38,65,11,17,,0,,10,263,/en/stats/leaderboard?page=serve,3,11,65,35,54,71,25,35,42,8,19,67,4,6,9,78,43,55,39,21,54,59,64,109,61,33,54,22,12,55,41,45,109,A,False,,,,,,D. Prinosil,T. Henman,P273,H336,GER,GBR,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS004,QF,00:56:00,,F,2,K148,"6-1,6-0",P. Korda,J. Novak,,,CZE,CZE,6-1,6-0,,,,00:56:00,264,/en/stats/leaderboard?page=serve,4,5,59,30,51,67,20,30,52,11,21,67,2,3,7,132,/en/stats/leaderboard?page=serve,3,0,67,34,51,44,15,34,24,4,17,57,8,14,6,61,31,51,63,32,51,62,63,102,37,19,51,39,20,51,38,39,102,A,,,,,,,P. Korda,J. Novak,K148,N254,CZE,CZE,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS005,QF,02:18:00,,F,3,D214,"5-7,6-4,6-4",M. Damm,M. Stich,,,CZE,GER,5-7,6-4,6-4,,,02:18:00,275,/en/stats/leaderboard?page=serve,2,13,46,51,111,76,39,51,55,33,60,78,7,9,16,275,/en/stats/leaderboard?page=serve,6,19,53,50,95,84,42,50,44,20,45,57,4,7,16,65,72,111,35,33,95,51,105,206,65,62,95,35,39,111,49,101,206,A,,,,,,,M. Damm,M. Stich,D214,S351,CZE,GER,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS006,QF,01:42:00,,F,2,P273,"7-6(9),7-6(7)",D. Prinosil,T. Martin,,,GER,USA,7-6(9),7-6(7),,,,01:42:00,299,/en/stats/leaderboard?page=serve,1,15,62,53,86,77,41,53,55,18,33,80,4,5,12,305,/en/stats/leaderboard?page=serve,,20,64,58,90,83,48,58,47,15,32,80,4,5,12,69,59,86,30,27,90,49,86,176,70,63,90,31,27,86,51,90,176,A,,9,7,7,2,False,D. Prinosil,T. Martin,P273,M442,GER,USA,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS007,QF,00:59:00,,F,2,H336,"6-4,6-3",T. Henman,W. Ferreira,,,GBR,RSA,6-4,6-3,,,,00:59:00,226,/en/stats/leaderboard?page=serve,1,10,62,33,53,85,28,33,70,14,20,0,0,,10,266,/en/stats/leaderboard?page=serve,2,7,66,38,58,68,26,38,50,10,20,67,4,6,9,79,42,53,38,22,58,58,64,111,62,36,58,21,11,53,42,47,111,A,,,,,,,T. Henman,W. Ferreira,H336,F196,GBR,RSA,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS008,R16,01:14:00,,F,2,K148,"7-6(7),6-2",P. Korda,G. Ivanisevic,,,CZE,CRO,7-6(7),6-2,,,,01:14:00,309,/en/stats/leaderboard?page=serve,1,10,64,37,58,89,33,37,57,12,21,50,1,2,10,243,/en/stats/leaderboard?page=serve,7,10,54,42,78,69,29,42,47,17,36,57,4,7,10,78,45,58,41,32,78,57,77,136,59,46,78,22,13,58,43,59,136,A,,7,5,,,,P. Korda,G. Ivanisevic,K148,I034,CZE,CRO,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS009,R16,00:51:00,,F,2,N254,"6-4,6-2",J. Novak,B. Ulihrach,,,CZE,CZE,6-4,6-2,,,,00:51:00,263,/en/stats/leaderboard?page=serve,1,5,65,36,55,64,23,36,53,10,19,67,4,6,9,196,/en/stats/leaderboard?page=serve,4,1,55,28,51,61,17,28,39,9,23,44,4,9,9,60,33,55,49,25,51,55,58,106,51,26,51,40,22,55,45,48,106,A,,,,,,,J. Novak,B. Ulihrach,N254,U032,CZE,CZE,,
348,1996,Ostrava,GP,1996-10-14T00:00:00,1996-10-20T00:00:00,Carpet,32,450000,$,MS012,R16,00:53:00,,F,2,M442,"6-4,6-1",T. Martin,C. Caratti,,,USA,ITA,6-4,6-1,,,,00:53:00,263,/en/stats/leaderboard?page=serve,,11,69,36,52,83,30,36,56,9,16,,0,,9,237,/en/stats/leaderboard?page=serve,,0,70,30,43,67,20,30,38,5,13,0,0,3,8,75,39,52,42,18,43,60,57,95,58,25,43,25,13,52,40,38,95,A,False,,,,,False,T. Martin,C. Caratti,M442,C270,USA,ITA,,
