event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS015,R16,01:27:00,,F,3,R485,"6-3,7-6(8),6-1",A. Roddick,P. Kohlschreiber,,,USA,GER,6-3,7-6(8),6-1,,,01:27:00,330,/en/stats/leaderboard?page=serve,2,15,69,59,86,85,50,59,63,17,27,100,1,1,15,262,/en/stats/leaderboard?page=serve,2,5,56,43,77,74,32,43,53,18,34,25,1,4,13,78,67,86,35,27,77,58,94,163,65,50,77,22,19,86,42,69,163,A,,,8.0,6.0,,,,,A. Roddick,P. Kohlschreiber,R485,K435,USA,GER,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS016,R32,00:57:00,,F,2,F324,"6-3,5-2",R. Federer,J. Nieminen,,,SUI,FIN,6-3,5-2,,,,00:57:00,270,/en/stats/leaderboard?page=serve,1,2,71,35,49,66,23,35,57,8,14,60,3,5,8,188,/en/stats/leaderboard?page=serve,3,1,64,36,56,44,16,36,45,9,20,29,2,7,8,63,31,49,55,31,56,59,62,105,45,25,56,37,18,49,41,43,105,A,,,,,,,,,R. Federer,J. Nieminen,F324,N289,SUI,FIN,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS017,R32,02:02:00,,F,3,B837,"7-6(7),6-4,6-1",M. Baghdatis,T. Robredo,,,CYP,ESP,7-6(7),6-4,6-1,,,02:02:00,270,/en/stats/leaderboard?page=serve,2,4,52,50,97,82,41,50,49,23,47,60,3,5,14,217,/en/stats/leaderboard?page=serve,5,3,65,73,112,71,52,73,23,9,39,60,9,15,15,66,64,97,46,51,112,55,115,209,54,61,112,34,33,97,45,94,209,A,,,,,,,7.0,2.0,M. Baghdatis,T. Robredo,B837,R419,CYP,ESP,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS018,R32,03:58:00,,F,5,J194,"6-3,3-6,5-7,7-6(7),13-11",J. Johansson,F. Lopez,,,SWE,ESP,6-3,3-6,5-7,7-6(7),13-11,03:58:00,324,/en/stats/leaderboard?page=serve,5,38,63,124,197,75,93,124,63,46,73,77,10,13,33,312,/en/stats/leaderboard?page=serve,8,34,60,122,202,78,95,122,58,46,80,79,11,14,33,71,139,197,30,61,202,50,200,399,70,141,202,29,58,197,50,199,399,A,7.0,2.0,,,,,,,J. Johansson,F. Lopez,J194,L397,SWE,ESP,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS019,R32,01:52:00,,F,3,A092,"7-5,7-6(7),6-1",A. Agassi,T. Dent,,,USA,USA,7-5,7-6(7),6-1,,,01:52:00,272,/en/stats/leaderboard?page=serve,0,3,63,57,90,72,41,57,61,20,33,64,7,11,15,201,/en/stats/leaderboard?page=serve,9,2,66,74,112,58,43,74,34,13,38,60,12,20,16,68,61,90,50,56,112,58,117,202,50,56,112,32,29,90,42,85,202,A,,,7.0,3.0,,,,,A. Agassi,T. Dent,A092,D362,USA,USA,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS020,R32,02:45:00,,F,4,S741,"6-4,3-6,6-3,6-4",M. Safin,M. Ancic,,,RUS,CRO,6-4,3-6,6-3,6-4,,02:45:00,290,/en/stats/leaderboard?page=serve,1,11,56,64,115,72,46,64,63,32,51,60,3,5,19,261,/en/stats/leaderboard?page=serve,7,6,63,74,118,76,56,74,45,20,44,50,4,8,19,68,78,115,36,42,118,52,120,233,64,76,118,32,37,115,48,113,233,A,,,,,,,,,M. Safin,M. Ancic,S741,A385,RUS,CRO,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS021,R32,03:08:00,,F,4,R397,"6-7(6),6-1,6-4,6-2",O. Rochus,K. Beck,,,BEL,SVK,6-7(6),6-1,6-4,6-2,,03:08:00,288,/en/stats/leaderboard?page=serve,3,4,62,81,131,73,59,81,58,29,50,89,8,9,19,237,/en/stats/leaderboard?page=serve,8,12,55,76,139,74,56,76,38,24,63,65,11,17,18,67,88,131,42,59,139,54,147,270,58,80,139,33,43,131,46,123,270,A,,,,,,,6.0,8.0,O. Rochus,K. Beck,R397,B804,BEL,SVK,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS022,R32,04:21:00,,F,5,H377,"7-6(7),6-7(8),6-7(3),6-1,6-3",D. Hrbaty,G. Gaudio,,,SVK,ARG,7-6(7),6-7(8),6-7(3),6-1,6-3,04:21:00,252,/en/stats/leaderboard?page=serve,8,15,55,111,201,72,80,111,42,38,90,73,16,22,26,232,/en/stats/leaderboard?page=serve,7,8,61,117,191,68,79,117,41,30,74,55,12,22,26,59,118,201,43,82,191,51,200,392,57,109,191,41,83,201,49,192,392,A,,,8.0,10.0,3.0,7.0,7.0,5.0,D. Hrbaty,G. Gaudio,H377,G374,SVK,ARG,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS023,R32,03:13:00,,F,5,J129,"3-6,6-2,6-7(4),6-2,6-2",T. Johansson,K. Kim,,,SWE,USA,3-6,6-2,6-7(4),6-2,6-2,03:13:00,302,/en/stats/leaderboard?page=serve,3,17,56,74,131,82,61,74,60,34,57,60,3,5,22,242,/en/stats/leaderboard?page=serve,7,14,55,89,162,69,61,89,42,31,73,56,9,16,23,73,95,131,43,70,162,56,165,293,57,92,162,27,36,131,44,128,293,A,,,,,4.0,7.0,,,T. Johansson,K. Kim,J129,K358,SWE,USA,,
580,2005,Australian Open,GS,2005-01-17T00:00:00,2005-01-30T00:00:00,Hard,128,6743444,$,MS024,R32,02:03:00,,F,3,C524,"6-3,6-2,6-1",G. Coria,J. Ferrero,,,ARG,ESP,6-3,6-2,6-1,,,02:03:00,260,/en/stats/leaderboard?page=serve,2,5,65,51,78,65,33,51,52,14,27,63,5,8,12,168,/en/stats/leaderboard?page=serve,3,2,58,52,89,48,25,52,38,14,37,36,5,14,12,60,47,78,56,50,89,58,97,167,44,39,89,40,31,78,42,70,167,A,,,,,,,,,G. Coria,J. Ferrero,C524,F316,ARG,ESP,,
