event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS011,R16,01:23:00,,F,2,E140,"6-4,7-6(7)",N. Escude,M. Philippoussis,,,FRA,AUS,6-4,7-6(7),,,,01:23:00,,,7,4,297,/en/stats/leaderboard?page=serve,4,11,56,36,64,83,30,36,61,17,28,67,2,3,11,242,/en/stats/leaderboard?page=serve,,9,35,27,77,81,22,27,46,23,50,67,4,6,11,73,47,64,42,32,77,56,79,141,58,45,77,27,17,64,44,62,141,A,10,,,,N. Escude,M. Philippoussis,E140,P338,FRA,AUS,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS012,R16,01:08:00,,F,2,B518,"6-4,6-2",G. Blanco,G. Mandl,,,ESP,AUT,6-4,6-2,,,,01:08:00,,,,,286,/en/stats/leaderboard?page=serve,1,7,58,35,60,74,26,35,60,15,25,67,2,3,9,210,/en/stats/leaderboard?page=serve,,6,56,36,64,75,27,36,25,7,28,56,5,9,9,68,41,60,47,30,64,57,71,124,53,34,64,32,19,60,43,53,124,A,7,,,,G. Blanco,G. Mandl,B518,M435,ESP,AUT,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS013,R16,01:10:00,,F,2,N099,"6-3,6-1",T. Nydahl,T. Henman,,,SWE,GBR,6-3,6-1,,,,01:10:00,,,,,231,/en/stats/leaderboard?page=serve,,0,86,37,43,78,29,37,67,4,6,0,0,,8,205,/en/stats/leaderboard?page=serve,,2,51,29,57,59,17,29,46,13,28,50,4,8,8,77,33,43,47,27,57,60,60,100,53,30,57,23,10,43,40,40,100,A,3,,,False,T. Nydahl,T. Henman,N099,H336,SWE,GBR,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS014,R16,00:57:00,,F,2,A092,"6-1,6-4",A. Agassi,R. Schuettler,,,USA,GER,6-1,6-4,,,,00:57:00,,,,,216,/en/stats/leaderboard?page=serve,1,2,77,36,47,83,30,36,55,6,11,0,0,,9,222,/en/stats/leaderboard?page=serve,,1,61,28,46,68,19,28,33,6,18,0,0,3,8,77,36,47,46,21,46,61,57,93,54,25,46,23,11,47,39,36,93,A,3,,,,A. Agassi,R. Schuettler,A092,S636,USA,GER,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS015,R16,00:55:00,,F,2,B446,"6-4,2-0",J. Bjorkman,C. Van Garsse,,,SWE,BEL,6-4,2-0,,,,00:55:00,,,,,265,/en/stats/leaderboard?page=serve,1,4,50,21,42,81,17,21,48,10,21,83,5,6,6,228,/en/stats/leaderboard?page=serve,,0,75,33,44,55,18,33,45,5,11,25,1,4,7,64,27,42,48,21,44,56,48,86,52,23,44,36,15,42,44,38,86,A,4,,,,J. Bjorkman,C. Van Garsse,B446,V170,SWE,BEL,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS016,R32,00:54:00,,F,2,G297,"6-4,6-0",O. Gross,G. Rusedski,,,GER,GBR,6-4,6-0,,,,00:54:00,,,,,302,/en/stats/leaderboard?page=serve,1,1,78,31,40,81,25,31,56,5,9,0,0,1,8,180,/en/stats/leaderboard?page=serve,,4,50,28,56,50,14,28,43,12,28,38,3,8,8,75,30,40,54,30,56,63,60,96,46,26,56,25,10,40,38,36,96,A,4,,,,O. Gross,G. Rusedski,G297,R237,GER,GBR,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS017,R32,02:45:00,,F,3,I047,"4-6,7-6(15),7-5",J. Imaz-Ruiz,M. Martelli,,,ESP,ITA,4-6,7-6(15),7-5,,,02:45:00,,,15,13,286,/en/stats/leaderboard?page=serve,,1,82,95,116,69,66,95,52,11,21,70,7,10,17,271,/en/stats/leaderboard?page=serve,,12,52,61,117,80,49,61,48,27,56,63,5,8,17,66,77,116,35,41,117,51,118,233,65,76,117,34,39,116,49,115,233,A,3,,,False,J. Imaz-Ruiz,M. Martelli,I047,M543,ESP,ITA,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS018,R32,02:14:00,,F,3,R214,"6-3,6-7(2),6-4",M. Rosset,T. Haas,,,SUI,GER,6-3,6-7(2),6-4,,,02:14:00,,,2,7,266,/en/stats/leaderboard?page=serve,8,3,55,59,108,80,47,59,43,21,49,88,7,8,15,248,/en/stats/leaderboard?page=serve,,1,63,69,109,64,44,69,50,20,40,64,7,11,16,63,68,108,41,45,109,52,113,217,59,64,109,37,40,108,48,104,217,A,5,,,,M. Rosset,T. Haas,R214,H355,SUI,GER,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS019,R32,01:29:00,,F,2,E113,"7-5,6-3",T. Enqvist,M. Norman,,,SWE,SWE,7-5,6-3,,,,01:29:00,,,,,277,/en/stats/leaderboard?page=serve,3,7,51,40,79,78,31,40,54,21,39,80,4,5,11,249,/en/stats/leaderboard?page=serve,,8,63,46,73,63,29,46,48,13,27,50,3,6,10,66,52,79,42,31,73,55,83,152,58,42,73,34,27,79,45,69,152,A,3,,,,T. Enqvist,M. Norman,E113,N250,SWE,SWE,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS020,R32,01:16:00,,F,2,K293,"6-4,7-6(8)",G. Kuerten,G. Ivanisevic,,,BRA,CRO,6-4,7-6(8),,,,01:16:00,,,8,6,277,/en/stats/leaderboard?page=serve,,5,59,46,78,72,33,46,69,22,32,,0,,11,297,/en/stats/leaderboard?page=serve,,14,52,34,65,79,27,34,65,20,31,67,2,3,11,71,55,78,28,18,65,51,73,143,72,47,65,29,23,78,49,70,143,A,3,,,False,G. Kuerten,G. Ivanisevic,K293,I034,BRA,CRO,,
