event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS001,F,02:50:00,,F,3,K403,"7-6(8),6-7(4),6-3",I. Kunitsyn,M. Safin,,,RUS,RUS,7-6(8),6-7(4),6-3,,,02:50:00,A,I. Kunitsyn,M. Safin,RUS,RUS,,,8.0,6.0,4.0,7.0,286,/en/stats/leaderboard?page=serve,0,7,46,51,110,75,38,51,64,38,59,83,5,6,17,277,/en/stats/leaderboard?page=serve,6,21,49,55,113,71,39,55,55,32,58,80,8,10,16,69,76,110,37,42,113,53,118,223,63,71,113,31,34,110,47,105,223,,,K403,S741
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS003,SF,01:31:00,,F,2,K403,"6-4,6-3",I. Kunitsyn,F. Santoro,,,RUS,FRA,6-4,6-3,,,,01:31:00,A,I. Kunitsyn,F. Santoro,RUS,FRA,,,,,,,237,/en/stats/leaderboard?page=serve,0,2,45,23,51,70,16,23,54,15,28,0,0,3,9,185,/en/stats/leaderboard?page=serve,4,1,55,41,75,61,25,41,32,11,34,60,9,15,10,61,31,51,52,39,75,56,70,126,48,36,75,39,20,51,44,56,126,,,K403,S424
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS004,QF,02:27:00,,F,3,S741,"7-6(7),4-6,6-4",M. Safin,N. Davydenko,,,RUS,RUS,7-6(7),4-6,6-4,,,02:27:00,A,M. Safin,N. Davydenko,RUS,RUS,,,7.0,5.0,,,282,/en/stats/leaderboard?page=serve,3,17,65,69,106,71,49,69,51,19,37,57,4,7,16,258,/en/stats/leaderboard?page=serve,6,3,56,61,109,74,45,61,50,24,48,67,6,9,16,64,68,106,37,40,109,50,108,215,63,69,109,36,38,106,50,107,215,,,S741,D402
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS005,QF,02:28:00,,F,3,Z168,"6-4,3-6,7-5",M. Zverev,V. Troicki,,,GER,SRB,6-4,3-6,7-5,,,02:28:00,A,M. Zverev,V. Troicki,GER,SRB,,,,,,,234,/en/stats/leaderboard?page=serve,4,6,59,57,97,77,44,57,30,12,40,58,7,12,15,227,/en/stats/leaderboard?page=serve,6,9,58,69,119,68,47,69,36,18,50,70,14,20,16,58,56,97,45,54,119,51,110,216,55,65,119,42,41,97,49,106,216,,,Z168,T840
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS006,QF,00:43:00,,F,2,S424,"6-3,2-0",F. Santoro,P. Mathieu,,,FRA,FRA,6-3,2-0,,,,00:43:00,A,F. Santoro,P. Mathieu,FRA,FRA,,,,,,,313,/en/stats/leaderboard?page=serve,0,8,47,15,32,87,13,15,71,12,17,100,3,3,6,217,/en/stats/leaderboard?page=serve,0,2,52,15,29,67,10,15,36,5,14,67,4,6,5,78,25,32,48,14,29,64,39,61,52,15,29,22,7,32,36,22,61,,,S424,M850
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS007,QF,01:03:00,,F,2,K403,"6-4,6-2",I. Kunitsyn,J. Chardy,,,RUS,FRA,6-4,6-2,,,,01:03:00,A,I. Kunitsyn,J. Chardy,RUS,FRA,,,,,,,310,/en/stats/leaderboard?page=serve,0,1,73,35,48,63,22,35,85,11,13,0,0,1,9,232,/en/stats/leaderboard?page=serve,0,3,71,35,49,60,21,35,43,6,14,20,1,5,9,69,33,48,45,22,49,57,55,97,55,27,49,31,15,48,43,42,97,,,K403,CA12
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS008,R16,00:55:00,,F,2,D402,"6-1,6-1",N. Davydenko,G. Garcia-Lopez,,,RUS,ESP,6-1,6-1,,,,00:55:00,A,N. Davydenko,G. Garcia-Lopez,RUS,ESP,,,,,,,293,/en/stats/leaderboard?page=serve,1,4,73,30,41,90,27,30,27,3,11,100,1,1,7,164,/en/stats/leaderboard?page=serve,1,0,55,26,47,58,15,26,24,5,21,50,5,10,7,73,30,41,57,27,47,65,57,88,43,20,47,27,11,41,35,31,88,,,D402,G476
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS009,R16,01:28:00,,F,3,S741,"6-4,0-6,6-2",M. Safin,J. Benneteau,,,RUS,FRA,6-4,0-6,6-2,,,01:28:00,A,M. Safin,J. Benneteau,RUS,FRA,,,,,,,259,/en/stats/leaderboard?page=serve,6,11,59,38,64,82,31,38,38,10,26,40,2,5,12,257,/en/stats/leaderboard?page=serve,3,6,63,52,82,63,33,52,53,16,30,67,6,9,12,64,41,64,40,33,82,51,74,146,60,49,82,36,23,64,49,72,146,,,S741,B747
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS010,R16,01:44:00,,F,3,Z168,"6-2,2-6,6-1",M. Zverev,T. Gabashvili,,,GER,RUS,6-2,2-6,6-1,,,01:44:00,A,M. Zverev,T. Gabashvili,GER,RUS,,,,,,,274,/en/stats/leaderboard?page=serve,2,6,63,44,70,64,28,44,62,16,26,60,3,5,11,217,/en/stats/leaderboard?page=serve,4,4,54,49,90,73,36,49,32,13,41,64,9,14,12,63,44,70,46,41,90,53,85,160,54,49,90,37,26,70,47,75,160,,,Z168,G681
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS011,R16,01:22:00,,F,2,T840,"6-3,6-4",V. Troicki,J. Tipsarevic,,,SRB,SRB,6-3,6-4,,,,01:22:00,A,V. Troicki,J. Tipsarevic,SRB,SRB,,,,,,,263,/en/stats/leaderboard?page=serve,3,4,49,26,53,85,22,26,48,13,27,60,3,5,10,217,/en/stats/leaderboard?page=serve,1,1,62,42,68,62,26,42,38,10,26,50,4,8,9,66,35,53,47,32,68,55,67,121,53,36,68,34,18,53,45,54,121,,,T840,T742
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS012,R16,01:26:00,,F,2,S424,"6-2,6-4",F. Santoro,D. Istomin,,,FRA,UZB,6-2,6-4,,,,01:26:00,A,F. Santoro,D. Istomin,FRA,UZB,,,,,,,274,/en/stats/leaderboard?page=serve,0,1,47,25,53,84,21,25,54,15,28,75,3,4,9,220,/en/stats/leaderboard?page=serve,0,1,61,42,69,55,23,42,48,13,27,56,5,9,9,68,36,53,48,33,69,57,69,122,52,36,69,32,17,53,43,53,122,,,S424,I165
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS013,R16,02:48:00,,F,3,M850,"6-7(3),7-5,7-6(7)",P. Mathieu,D. Sela,,,FRA,ISR,6-7(3),7-5,7-6(7),,,02:48:00,A,P. Mathieu,D. Sela,FRA,ISR,,,3.0,7.0,,,293,/en/stats/leaderboard?page=serve,0,6,61,63,103,78,49,63,60,24,40,0,0,2,18,261,/en/stats/leaderboard?page=serve,4,6,59,74,126,65,48,74,52,27,52,50,3,6,18,71,73,103,40,51,126,54,124,229,60,75,126,29,30,103,46,105,229,7.0,0.0,M850,SC56
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS014,R16,01:21:00,,F,2,K403,"6-4,6-3",I. Kunitsyn,R. Ginepri,,,RUS,USA,6-4,6-3,,,,01:21:00,A,I. Kunitsyn,R. Ginepri,RUS,USA,,,,,,,234,/en/stats/leaderboard?page=serve,0,3,58,38,65,63,24,38,44,12,27,57,4,7,9,189,/en/stats/leaderboard?page=serve,2,3,62,36,58,50,18,36,36,8,22,14,1,7,10,55,36,65,55,32,58,55,68,123,45,26,58,45,29,65,45,55,123,,,K403,G569
438,2008,Moscow,WS,2008-10-06T00:00:00,2008-10-12T00:00:00,Hard,32,1024000,$,MS015,R16,02:01:00,,F,3,CA12,"3-6,7-5,6-4",J. Chardy,I. Andreev,,,FRA,RUS,3-6,7-5,6-4,,,02:01:00,A,J. Chardy,I. Andreev,FRA,RUS,,,,,,,273,/en/stats/leaderboard?page=serve,3,10,63,61,97,69,42,61,53,19,36,57,4,7,16,273,/en/stats/leaderboard?page=serve,3,6,68,54,79,74,40,54,48,12,25,0,0,3,15,63,61,97,34,27,79,50,88,176,66,52,79,37,36,97,50,88,176,,,CA12,A511
