event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS002,SF,00:59:00,,F,2,S402,"6-2,6-3",P. Sampras,T. Martin,,,USA,USA,6-2,6-3,,,,00:59:00,227,/en/stats/leaderboard?page=serve,False,8,61,28,46,75,21,28,83,15,18,0,0,,9,225,/en/stats/leaderboard?page=serve,3,4,59,30,51,70,21,30,33,7,21,40,2,5,8,78,36,46,45,23,51,61,59,97,55,28,51,22,10,46,39,38,97,A,,,,,,,,,P. Sampras,T. Martin,S402,M442,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS003,SF,01:13:00,,F,2,R237,"6-3,6-4",G. Rusedski,A. Agassi,,,GBR,USA,6-3,6-4,,,,01:13:00,253,/en/stats/leaderboard?page=serve,,14,58,40,69,83,33,40,52,15,29,,0,,10,248,/en/stats/leaderboard?page=serve,2,0,53,31,58,61,19,31,59,16,27,50,2,4,9,70,48,69,40,23,58,56,71,127,60,35,58,30,21,69,44,56,127,A,4,,,,,,,,G. Rusedski,A. Agassi,R237,A092,GBR,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS004,QF,01:01:00,,F,2,S402,"6-2,6-3",P. Sampras,C. Woodruff,,,USA,USA,6-2,6-3,,,,01:01:00,284,/en/stats/leaderboard?page=serve,False,5,72,31,43,87,27,31,58,7,12,,0,,8,207,/en/stats/leaderboard?page=serve,4,1,52,28,54,57,16,28,46,12,26,33,2,6,9,79,34,43,48,26,54,62,60,97,52,28,54,21,9,43,38,37,97,A,,,,,,,,,P. Sampras,C. Woodruff,S402,W212,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS005,QF,01:02:00,,F,2,M442,"6-1,6-4",T. Martin,R. Reneberg,,,USA,USA,6-1,6-4,,,,01:02:00,288,/en/stats/leaderboard?page=serve,,12,65,33,51,79,26,33,67,12,18,,0,,9,225,/en/stats/leaderboard?page=serve,3,0,55,30,55,47,14,30,64,16,25,40,2,5,8,75,38,51,45,25,55,59,63,106,55,30,55,25,13,51,41,43,106,A,1,,,,,,,,T. Martin,R. Reneberg,M442,R016,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS006,QF,00:53:00,,F,2,A092,"6-2,6-1",A. Agassi,G. Doyle,,,USA,AUS,6-2,6-1,,,,00:53:00,297,/en/stats/leaderboard?page=serve,False,4,62,24,39,79,19,24,67,10,15,67,2,3,7,170,/en/stats/leaderboard?page=serve,6,1,72,36,50,42,15,36,36,5,14,33,3,9,8,74,29,39,60,30,50,66,59,89,40,20,50,26,10,39,34,30,89,A,,,,,,,,,A. Agassi,G. Doyle,A092,D227,USA,AUS,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS007,QF,01:33:00,,F,2,R237,"7-6(7),6-4",G. Rusedski,M. Chang,,,GBR,USA,7-6(7),6-4,,,,01:33:00,292,/en/stats/leaderboard?page=serve,,15,59,41,70,88,36,41,59,17,29,,0,,11,274,/en/stats/leaderboard?page=serve,3,5,48,38,80,82,31,38,52,22,42,67,2,3,11,76,53,70,34,27,80,53,80,150,66,53,80,24,17,70,47,70,150,A,1,7,4,,,,,,G. Rusedski,M. Chang,R237,C274,GBR,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS008,R16,01:12:00,,F,2,S402,"6-2,6-3",P. Sampras,J. Gimelstob,,,USA,USA,6-2,6-3,,,,01:12:00,277,/en/stats/leaderboard?page=serve,,7,61,33,54,73,24,33,52,11,21,50,1,2,8,191,/en/stats/leaderboard?page=serve,7,5,52,34,66,56,19,34,41,13,32,29,2,7,9,65,35,54,52,34,66,58,69,120,48,32,66,35,19,54,43,51,120,A,3,,,,,,,,P. Sampras,J. Gimelstob,S402,G354,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS009,R16,02:00:00,,F,3,W212,"6-3,4-6,6-3",C. Woodruff,B. Steven,,,USA,NZL,6-3,4-6,6-3,,,02:00:00,270,/en/stats/leaderboard?page=serve,,6,58,50,86,78,39,50,47,17,36,60,3,5,14,247,/en/stats/leaderboard?page=serve,4,8,62,62,100,60,37,62,50,19,38,56,5,9,14,65,56,86,44,44,100,54,100,186,56,56,100,35,30,86,46,86,186,A,4,,,,,,,,C. Woodruff,B. Steven,W212,S321,USA,NZL,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS010,R16,01:35:00,,F,2,M442,"6-3,7-6(7)",T. Martin,J. Grabb,,,USA,USA,6-3,7-6(7),,,,01:35:00,279,/en/stats/leaderboard?page=serve,,7,51,37,73,76,28,37,61,22,36,0,0,1,11,258,/en/stats/leaderboard?page=serve,7,10,63,51,81,75,38,51,37,11,30,60,3,5,10,68,50,73,40,32,81,53,82,154,60,49,81,32,23,73,47,72,154,A,6,,,7,5,,,,T. Martin,J. Grabb,M442,G039,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS011,R16,02:17:00,,F,3,R016,"3-6,6-4,7-6(9)",R. Reneberg,J. Stark,,,USA,USA,3-6,6-4,7-6(9),,,02:17:00,250,/en/stats/leaderboard?page=serve,,2,56,57,101,65,37,57,59,26,44,56,5,9,16,255,/en/stats/leaderboard?page=serve,6,12,55,66,119,71,47,66,43,23,53,77,10,13,15,62,63,101,41,49,119,51,112,220,59,70,119,38,38,101,49,108,220,A,7,,,,,9,7,,R. Reneberg,J. Stark,R016,S403,USA,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS012,R16,01:27:00,,F,2,D227,"6-4,7-5",G. Doyle,J. Tarango,,,AUS,USA,6-4,7-5,,,,01:27:00,251,/en/stats/leaderboard?page=serve,,3,67,42,63,62,26,42,52,11,21,40,2,5,11,207,/en/stats/leaderboard?page=serve,5,1,47,32,68,66,21,32,44,16,36,50,5,10,11,59,37,63,46,31,68,52,68,131,54,37,68,41,26,63,48,63,131,A,5,,,,,,,,G. Doyle,J. Tarango,D227,T136,AUS,USA,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS013,R16,02:23:00,,F,3,A092,"4-6,7-6(7),6-3",A. Agassi,M. Norman,,,USA,SWE,4-6,7-6(7),6-3,,,02:23:00,273,/en/stats/leaderboard?page=serve,,6,65,71,109,68,48,71,55,21,38,70,7,10,16,246,/en/stats/leaderboard?page=serve,9,15,45,63,140,68,43,63,47,36,77,80,12,15,15,63,69,109,44,61,140,52,130,249,56,79,140,37,40,109,48,119,249,A,2,,,7,4,,,,A. Agassi,M. Norman,A092,N250,USA,SWE,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS014,R16,00:55:00,,F,2,R237,"6-3,6-3",G. Rusedski,D. Nestor,,,GBR,CAN,6-3,6-3,,,,00:55:00,221,/en/stats/leaderboard?page=serve,False,17,63,32,51,88,28,32,53,10,19,0,0,,9,243,/en/stats/leaderboard?page=serve,3,3,58,29,50,76,22,29,43,9,21,40,2,5,9,75,38,51,38,19,50,56,57,101,62,31,50,25,13,51,44,44,101,A,,,,,,,,,G. Rusedski,D. Nestor,R237,N210,GBR,CAN,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS015,R16,01:26:00,,F,2,C274,"6-3,6-4",M. Chang,S. Sargsian,,,USA,ARM,6-3,6-4,,,,01:26:00,262,/en/stats/leaderboard?page=serve,,4,38,24,64,83,20,24,60,24,40,,0,,10,247,/en/stats/leaderboard?page=serve,2,3,48,28,58,64,18,28,57,17,30,33,1,3,9,69,44,64,40,23,58,55,67,122,60,35,58,31,20,64,45,55,122,A,3,,,,,,,,M. Chang,S. Sargsian,C274,S545,USA,ARM,,
424,1997,San Jose,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,303000,$,MS016,R32,01:11:00,,F,2,S402,"7-6(7),6-3",P. Sampras,A. Radulescu,,,USA,GER,7-6(7),6-3,,,,01:11:00,221,/en/stats/leaderboard?page=serve,,8,53,31,59,94,29,31,68,19,28,0,0,,11,279,/en/stats/leaderboard?page=serve,4,7,60,40,67,78,31,40,48,13,27,80,4,5,10,81,48,59,34,23,67,56,71,126,66,44,67,19,11,59,44,55,126,A,2,7,3,,,,,,P. Sampras,A. Radulescu,S402,R284,USA,GER,,
