event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS001,F,02:00:00,,F,4,M442,"6-2,1-6,6-3,6-2",T. Martin,A. Berasategui,,,USA,ESP,6-2,1-6,6-3,6-2,,02:00:00,252,/en/stats/leaderboard?page=serve,6,10,59,61,104,79,48,61,35,15,43,69,9,13,16,227,/en/stats/leaderboard?page=serve,4,2,71,73,103,59,43,73,43,13,30,53,8,15,16,61,63,104,46,47,103,53,110,207,54,56,103,39,41,104,47,97,207,A,,,,,,,,,T. Martin,A. Berasategui,M442,B428,USA,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS002,SF,01:27:00,,F,2,B428,"7-6(11),6-4",A. Berasategui,C. Moya,,,ESP,ESP,7-6(11),6-4,,,,01:27:00,244,/en/stats/leaderboard?page=serve,6,2,79,62,78,66,41,62,31,5,16,63,5,8,11,256,/en/stats/leaderboard?page=serve,,1,81,65,80,58,38,65,53,8,15,43,3,7,11,59,46,78,43,34,80,51,80,158,58,46,80,41,32,78,49,78,158,A,11,9,False,,,,,,A. Berasategui,C. Moya,B428,M605,ESP,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS003,SF,01:19:00,,F,2,M442,"6-4,7-6(7)",T. Martin,A. Gaudenzi,,,USA,ITA,6-4,7-6(7),,,,01:19:00,323,/en/stats/leaderboard?page=serve,1,12,70,45,64,84,38,45,68,13,19,,0,,11,287,/en/stats/leaderboard?page=serve,3,3,53,36,68,75,27,36,69,22,32,50,1,2,11,80,51,64,28,19,68,53,70,132,72,49,68,20,13,64,47,62,132,A,,,,7,5,,,,T. Martin,A. Gaudenzi,M442,G254,USA,ITA,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS004,QF,01:01:00,,F,2,B428,"6-4,6-4",A. Berasategui,Y. Kafelnikov,,,ESP,RUS,6-4,6-4,,,,01:01:00,272,/en/stats/leaderboard?page=serve,2,0,81,47,58,68,32,47,45,5,11,0,0,2,10,230,/en/stats/leaderboard?page=serve,2,1,67,39,58,67,26,39,37,7,19,43,3,7,10,64,37,58,43,25,58,53,62,116,57,33,58,36,21,58,47,54,116,A,,,,,,,,,A. Berasategui,Y. Kafelnikov,B428,K267,ESP,RUS,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS005,QF,01:46:00,,F,3,M605,"4-6,6-3,6-3",C. Moya,D. Hrbaty,,,ESP,SVK,4-6,6-3,6-3,,,01:46:00,208,/en/stats/leaderboard?page=serve,5,2,62,54,87,57,31,54,42,14,33,22,2,9,14,183,/en/stats/leaderboard?page=serve,3,3,57,47,83,55,26,47,36,13,36,31,4,13,14,52,45,87,53,44,83,52,89,170,47,39,83,48,42,87,48,81,170,A,,,,,,,,,C. Moya,D. Hrbaty,M605,H377,ESP,SVK,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS006,QF,01:10:00,,F,2,M442,"6-2,6-4",T. Martin,C. Costa,,,USA,ESP,6-2,6-4,,,,01:10:00,237,/en/stats/leaderboard?page=serve,3,6,68,40,59,75,30,40,58,11,19,,0,,9,235,/en/stats/leaderboard?page=serve,1,2,55,28,51,61,17,28,52,12,23,25,1,4,9,69,41,59,43,22,51,57,63,110,57,29,51,31,18,59,43,47,110,A,,,,,,,,,T. Martin,C. Costa,M442,C179,USA,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS007,QF,01:37:00,,F,3,G254,"3-6,6-2,6-3",A. Gaudenzi,S. Bruguera,,,ITA,ESP,3-6,6-2,6-3,,,01:37:00,285,/en/stats/leaderboard?page=serve,1,0,73,47,64,72,34,47,65,11,17,0,0,3,13,224,/en/stats/leaderboard?page=serve,3,4,64,58,91,62,36,58,36,12,33,50,5,10,13,70,45,64,47,43,91,57,88,155,53,48,91,30,19,64,43,67,155,A,,,,,,,,,A. Gaudenzi,S. Bruguera,G254,B350,ITA,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS008,R16,01:47:00,,F,3,K267,"7-6(9),3-6,6-1",Y. Kafelnikov,J. Munoz-Hernandez,,,RUS,ESP,7-6(9),3-6,6-1,,,01:47:00,274,/en/stats/leaderboard?page=serve,6,13,55,45,82,80,36,45,54,20,37,40,2,5,14,244,/en/stats/leaderboard?page=serve,4,10,56,60,107,73,44,60,38,18,47,73,11,15,14,68,56,82,42,45,107,53,101,189,58,62,107,32,26,82,47,88,189,A,9,7,,,,,,,Y. Kafelnikov,J. Munoz-Hernandez,K267,M478,RUS,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS009,R16,01:07:00,,F,2,B428,"6-4,6-4",A. Berasategui,A. Costa,,,ESP,ESP,6-4,6-4,,,,01:07:00,273,/en/stats/leaderboard?page=serve,3,2,81,44,54,73,32,44,40,4,10,60,3,5,10,242,/en/stats/leaderboard?page=serve,1,0,75,48,64,58,28,48,50,8,16,50,4,8,10,67,36,54,44,28,64,54,64,118,56,36,64,33,18,54,46,54,118,A,,,,,,,,,A. Berasategui,A. Costa,B428,C378,ESP,ESP,,
425,1998,Barcelona,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Clay,56,825000,$,MS010,R16,02:03:00,,F,3,H377,"5-7,6-4,6-3",D. Hrbaty,M. Gustafsson,,,SVK,SWE,5-7,6-4,6-3,,,02:03:00,244,/en/stats/leaderboard?page=serve,4,8,55,55,100,64,35,55,53,24,45,50,5,10,16,223,/en/stats/leaderboard?page=serve,3,2,65,67,103,60,40,67,39,14,36,40,4,10,15,59,59,100,48,49,103,53,108,203,52,54,103,41,41,100,47,95,203,A,,,,,,,,,D. Hrbaty,M. Gustafsson,H377,G182,SVK,SWE,,
