event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS042,R64,02:13:00,,F,3,M442,"6-7(4),6-4,6-4",T. Martin,P. Haarhuis,,,USA,NED,6-7(4),6-4,6-4,,,02:13:00,,,297,/en/stats/leaderboard?page=serve,4,15,59,61,104,79,48,61,67,29,43,,0,,16,290,/en/stats/leaderboard?page=serve,1,10,59,65,110,77,50,65,58,26,45,67,4,6,16,74,77,104,31,34,110,52,111,214,69,76,110,26,27,104,48,103,214,A,4,7,,,,,T. Martin,P. Haarhuis,M442,H223,USA,NED,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS045,R64,01:09:00,,F,2,R214,"6-3,6-4",M. Rosset,W. Ferreira,,,SUI,RSA,6-3,6-4,,,,01:09:00,,,268,/en/stats/leaderboard?page=serve,3,8,60,34,57,91,31,34,52,12,23,,0,,10,258,/en/stats/leaderboard?page=serve,1,4,60,39,65,64,25,39,54,14,26,67,4,6,9,75,43,57,40,26,65,57,69,122,60,39,65,25,14,57,43,53,122,A,,,,,,,M. Rosset,W. Ferreira,R214,F196,SUI,RSA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS046,R64,01:14:00,,F,2,P045,"6-3,6-3",G. Pozzi,T. Enqvist,,,ITA,SWE,6-3,6-3,,,,01:14:00,,,251,/en/stats/leaderboard?page=serve,2,5,40,21,52,76,16,21,55,17,31,33,1,3,9,193,/en/stats/leaderboard?page=serve,1,2,49,30,61,67,20,30,32,10,31,29,2,7,9,63,33,52,51,31,61,57,64,113,49,30,61,37,19,52,43,49,113,A,,,,,,,G. Pozzi,T. Enqvist,P045,E113,ITA,SWE,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS049,R64,01:08:00,,F,2,H355,"7-5,6-1",T. Haas,C. Costa,,,GER,ESP,7-5,6-1,,,,01:08:00,,,298,/en/stats/leaderboard?page=serve,2,10,61,36,59,78,28,36,61,14,23,50,1,2,10,221,/en/stats/leaderboard?page=serve,2,9,53,38,72,68,26,38,38,13,34,67,8,12,9,71,42,59,46,33,72,57,75,131,54,39,72,29,17,59,43,56,131,A,,,,,,,T. Haas,C. Costa,H355,C179,GER,ESP,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS050,R64,02:00:00,,F,3,G182,"6-4,3-6,6-3",M. Gustafsson,M. Chang,,,SWE,USA,6-4,3-6,6-3,,,02:00:00,,,272,/en/stats/leaderboard?page=serve,3,0,56,48,85,69,33,48,65,24,37,50,2,4,14,250,/en/stats/leaderboard?page=serve,2,3,53,56,106,66,37,56,52,26,50,67,6,9,14,67,57,85,41,43,106,52,100,191,59,63,106,33,28,85,48,91,191,A,,,,,,,M. Gustafsson,M. Chang,G182,C274,SWE,USA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS053,R64,01:01:00,,F,2,K316,"7-5,6-1",N. Kiefer,J. Kroslak,,,GER,SVK,7-5,6-1,,,,01:01:00,,,293,/en/stats/leaderboard?page=serve,2,5,64,38,59,79,30,38,57,12,21,50,1,2,10,218,/en/stats/leaderboard?page=serve,3,5,55,30,55,70,21,30,36,9,25,43,3,7,9,71,42,59,45,25,55,59,67,114,55,30,55,29,17,59,41,47,114,A,,,,,,,N. Kiefer,J. Kroslak,K316,K296,GER,SVK,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS054,R64,02:07:00,,F,3,S331,"2-6,7-6(7),6-4",J. Stoltenberg,G. Raoux,,,AUS,FRA,2-6,7-6(7),6-4,,,02:07:00,7,1,277,/en/stats/leaderboard?page=serve,2,8,56,48,86,77,37,48,58,22,38,50,3,6,15,266,/en/stats/leaderboard?page=serve,1,4,54,60,112,65,39,60,58,30,52,75,6,8,15,69,59,86,38,43,112,52,102,198,62,69,112,31,27,86,48,96,198,A,,,,,,,J. Stoltenberg,G. Raoux,S331,R186,AUS,FRA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS057,R64,01:25:00,,F,2,N250,"7-6(7),6-3",M. Norman,A. Clement,,,SWE,FRA,7-6(7),6-3,,,,01:25:00,,,291,/en/stats/leaderboard?page=serve,1,11,58,41,71,76,31,41,57,17,30,75,3,4,11,262,/en/stats/leaderboard?page=serve,3,5,55,37,67,68,25,37,57,17,30,50,2,4,10,68,48,71,37,25,67,53,73,138,63,42,67,32,23,71,47,65,138,A,7,5,,,,,M. Norman,A. Clement,N250,C487,SWE,FRA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS058,R64,01:15:00,,F,2,D357,"6-3,6-4",A. Di Pasquale,R. Fromberg,,,FRA,AUS,6-3,6-4,,,,01:15:00,,,194,/en/stats/leaderboard?page=serve,8,5,43,33,77,82,27,33,52,23,44,,0,,10,255,/en/stats/leaderboard?page=serve,3,7,56,33,59,76,25,33,42,11,26,67,4,6,9,65,50,77,39,23,59,54,73,136,61,36,59,35,27,77,46,63,136,A,,,,,,,A. Di Pasquale,R. Fromberg,D357,F164,FRA,AUS,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS061,R64,01:14:00,,F,2,S544,"6-4,6-4",V. Spadea,C. Pioline,,,USA,FRA,6-4,6-4,,,,01:14:00,,,289,/en/stats/leaderboard?page=serve,1,2,67,42,63,74,31,42,57,12,21,67,2,3,10,248,/en/stats/leaderboard?page=serve,2,9,51,33,65,76,25,33,44,14,32,57,4,7,10,68,43,63,40,26,65,54,69,128,60,39,65,32,20,63,46,59,128,A,,,,,,,V. Spadea,C. Pioline,S544,P226,USA,FRA,,
352,1998,ATP Masters 1000 Paris,1000,1998-11-02T00:00:00,1998-11-08T00:00:00,Carpet,48,2300000,$,MS062,R64,02:03:00,,F,3,W136,"6-3,2-6,7-6(7)",T. Woodbridge,B. Ulihrach,,,AUS,CZE,6-3,2-6,7-6(7),,,02:03:00,,,228,/en/stats/leaderboard?page=serve,9,4,54,55,101,65,36,55,48,22,46,58,7,12,15,235,/en/stats/leaderboard?page=serve,5,3,57,60,105,60,36,60,49,22,45,56,5,9,14,57,58,101,45,47,105,51,105,206,55,58,105,43,43,101,49,101,206,A,,,7,3,,,T. Woodbridge,B. Ulihrach,W136,U032,AUS,CZE,,
