event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS011,R16,02:16:00,,F,3,B484,"6-3,5-7,7-5",L. Burgsmuller,S. Schalken,,,GER,NED,6-3,5-7,7-5,,,02:16:00,,,,,274,/en/stats/leaderboard?page=serve,2,3,54,47,87,74,35,47,58,23,40,50,2,4,16,268,/en/stats/leaderboard?page=serve,4,10,73,88,120,66,58,88,47,15,32,67,8,12,17,67,58,87,39,47,120,51,105,207,61,73,120,33,29,87,49,102,207,A,,L. Burgsmuller,S. Schalken,B484,S572,GER,NED,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS012,R16,00:59:00,,F,2,R214,"6-4,6-2",M. Rosset,A. Pavel,,,SUI,ROU,6-4,6-2,,,,00:59:00,,,,,289,/en/stats/leaderboard?page=serve,3,6,58,29,50,83,24,29,57,12,21,50,1,2,9,217,/en/stats/leaderboard?page=serve,1,2,61,34,56,59,20,34,41,9,22,50,4,8,9,72,36,50,48,27,56,59,63,106,52,29,56,28,14,50,41,43,106,A,,M. Rosset,A. Pavel,R214,P280,SUI,ROU,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS013,R16,01:19:00,,F,2,K296,"6-4,6-4",J. Kroslak,B. Black,,,SVK,ZIM,6-4,6-4,,,,01:19:00,,,,,285,/en/stats/leaderboard?page=serve,5,4,55,30,55,77,23,30,64,16,25,0,0,1,10,240,/en/stats/leaderboard?page=serve,4,3,56,44,78,59,26,44,56,19,34,67,6,9,10,71,39,55,42,33,78,54,72,133,58,45,78,29,16,55,46,61,133,A,,J. Kroslak,B. Black,K296,B397,SVK,ZIM,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS014,R16,01:00:00,,F,2,R186,"6-2,7-5",G. Raoux,P. Haarhuis,,,FRA,NED,6-2,7-5,,,,01:00:00,,,,,217,/en/stats/leaderboard?page=serve,2,4,56,28,50,86,24,28,73,16,22,0,0,,10,255,/en/stats/leaderboard?page=serve,1,10,72,41,57,73,30,41,31,5,16,0,0,3,10,80,40,50,39,22,57,58,62,107,61,35,57,20,10,50,42,45,107,A,,G. Raoux,P. Haarhuis,R186,H223,FRA,NED,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS015,R16,01:18:00,,F,3,K267,"2-6,6-3,6-2",Y. Kafelnikov,S. Grosjean,,,RUS,FRA,2-6,6-3,6-2,,,01:18:00,,,,,275,/en/stats/leaderboard?page=serve,3,5,54,38,71,87,33,38,48,16,33,33,1,3,13,269,/en/stats/leaderboard?page=serve,1,8,60,40,67,75,30,40,52,14,27,25,1,4,12,69,49,71,34,23,67,52,72,138,66,44,67,31,22,71,48,66,138,A,,Y. Kafelnikov,S. Grosjean,K267,G379,RUS,FRA,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS016,R32,01:25:00,,F,2,C344,"6-3,7-6(7)",A. Corretja,J. van Lottum,,,ESP,NED,6-3,7-6(7),,,,01:25:00,,,7,2,297,/en/stats/leaderboard?page=serve,3,5,51,33,65,82,27,33,72,23,32,,0,,11,280,/en/stats/leaderboard?page=serve,2,7,57,41,72,73,30,41,55,17,31,86,6,7,10,77,50,65,35,25,72,55,75,137,65,47,72,23,15,65,45,62,137,A,,A. Corretja,J. van Lottum,C344,V201,ESP,NED,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS017,R32,01:53:00,,F,3,L226,"6-3,5-7,6-2",S. Lareau,L. Roux,,,CAN,FRA,6-3,5-7,6-2,,,01:53:00,,,,,285,/en/stats/leaderboard?page=serve,1,8,65,55,85,73,40,55,60,18,30,57,4,7,15,236,/en/stats/leaderboard?page=serve,4,4,54,44,82,68,30,44,50,19,38,44,4,9,14,68,58,85,40,33,82,54,91,167,60,49,82,32,27,85,46,76,167,A,,S. Lareau,L. Roux,L226,R280,CAN,FRA,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS018,R32,01:11:00,,F,2,C487,"6-3,6-3",A. Clement,J. Palmer,,,FRA,USA,6-3,6-3,,,,01:11:00,,,,,281,/en/stats/leaderboard?page=serve,3,3,69,51,74,67,34,51,57,13,23,80,4,5,9,214,/en/stats/leaderboard?page=serve,4,3,58,34,59,62,21,34,40,10,25,43,3,7,9,64,47,74,47,28,59,56,75,133,53,31,59,36,27,74,44,58,133,A,,A. Clement,J. Palmer,C487,P233,FRA,USA,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS019,R32,00:56:00,,F,2,S693,"6-2,6-4",R. Sluiter,D. Vacek,,,NED,CZE,6-2,6-4,,,,00:56:00,,,,,297,/en/stats/leaderboard?page=serve,3,0,64,30,47,77,23,30,71,12,17,67,2,3,9,207,/en/stats/leaderboard?page=serve,9,5,43,24,56,79,19,24,34,11,32,43,3,7,9,74,35,47,46,26,56,59,61,103,54,30,56,26,12,47,41,42,103,A,,R. Sluiter,D. Vacek,S693,V141,NED,CZE,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS020,R32,01:20:00,,F,2,I034,"7-6(7),7-6(7)",G. Ivanisevic,C. Arriens,,,CRO,GER,7-6(7),7-6(7),,,,01:20:00,7,5,7,3,293,/en/stats/leaderboard?page=serve,9,19,55,43,78,88,38,43,57,20,35,,0,,12,271,/en/stats/leaderboard?page=serve,2,8,58,47,81,79,37,47,62,21,34,,0,,12,74,58,78,28,23,81,51,81,159,72,58,81,26,20,78,49,78,159,A,,G. Ivanisevic,C. Arriens,I034,A183,CRO,GER,,
