event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS011,R16,01:08:00,,F,2,R214,"6-3,6-4",M. Rosset,J. Tarango,,,SUI,USA,6-3,6-4,,,,01:08:00,293,/en/stats/leaderboard?page=serve,4,12,63,36,57,89,32,36,43,9,21,1,10,255,/en/stats/leaderboard?page=serve,2,4,70,33,47,67,22,33,50,7,14,0,0,3,9,72,41,57,38,18,47,57,59,104,62,29,47,28,16,57,43,45,104,A,50,2,,,,,,,,,M. Rosset,J. Tarango,R214,T136,SUI,USA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS012,R16,01:57:00,,F,3,H284,"7-5,6-7(5),6-3",S. Huet,S. Sargsian,,,FRA,ARM,7-5,6-7(5),6-3,,,01:57:00,254,/en/stats/leaderboard?page=serve,4,4,50,51,103,78,40,51,50,26,52,6,17,247,/en/stats/leaderboard?page=serve,2,10,63,57,91,70,40,57,44,15,34,25,2,8,16,64,66,103,40,36,91,53,102,194,60,55,91,36,37,103,47,92,194,A,60,10,,,,,,5,7,,S. Huet,S. Sargsian,H284,S545,FRA,ARM,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS013,R16,01:24:00,,F,2,J129,"6-4,6-3",T. Johansson,D. Vacek,,,SWE,CZE,6-4,6-3,,,,01:24:00,299,/en/stats/leaderboard?page=serve,3,13,54,26,48,92,24,26,55,12,22,0,9,216,/en/stats/leaderboard?page=serve,6,5,56,58,104,66,38,58,35,16,46,75,12,16,10,75,36,48,48,50,104,57,86,152,52,54,104,25,12,48,43,66,152,A,0,1,,,,,,,,,T. Johansson,D. Vacek,J129,V141,SWE,CZE,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS014,R16,01:25:00,,F,2,F324,"6-1,7-6(7)",R. Federer,R. Fromberg,,,SUI,AUS,6-1,7-6(7),,,,01:25:00,258,/en/stats/leaderboard?page=serve,3,8,59,43,73,74,32,43,60,18,30,0,10,255,/en/stats/leaderboard?page=serve,4,9,52,39,75,77,30,39,44,16,36,80,8,10,9,68,50,73,39,29,75,53,79,148,61,46,75,32,23,73,47,69,148,A,,,,,,,,7,5,,R. Federer,R. Fromberg,F324,F164,SUI,AUS,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS015,R16,01:53:00,,F,3,S381,"3-6,6-3,6-4",J. Siemerink,J. Golmard,,,NED,FRA,3-6,6-3,6-4,,,01:53:00,272,/en/stats/leaderboard?page=serve,1,13,63,57,90,77,44,57,42,14,33,5,14,270,/en/stats/leaderboard?page=serve,1,2,71,58,82,60,35,58,67,16,24,20,1,5,14,64,58,90,38,31,82,52,89,172,62,51,82,36,32,90,48,83,172,A,63,8,,,,,,,,,J. Siemerink,J. Golmard,S381,G319,NED,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS016,R32,01:20:00,,F,2,R237,"7-6(7),7-6(7)",G. Rusedski,M. Goellner,,,GBR,GER,7-6(7),7-6(7),,,,01:20:00,241,/en/stats/leaderboard?page=serve,4,21,65,47,72,87,41,47,72,18,25,0,12,276,/en/stats/leaderboard?page=serve,2,14,51,45,88,82,37,45,56,24,43,,0,,12,82,59,72,31,27,88,54,86,160,69,61,88,18,13,72,46,74,160,A,0,,,7,5,,,7,3,,G. Rusedski,M. Goellner,R237,G252,GBR,GER,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS017,R32,02:03:00,,F,3,M475,"6-4,6-7(5),6-4",A. Medvedev,J. Perlant,,,UKR,FRA,6-4,6-7(5),6-4,,,02:03:00,260,/en/stats/leaderboard?page=serve,6,8,67,70,105,73,51,70,37,13,35,6,16,257,/en/stats/leaderboard?page=serve,4,9,63,59,94,75,44,59,46,16,35,38,3,8,16,61,64,105,36,34,94,49,98,199,64,60,94,39,41,105,51,101,199,A,67,9,,,,,,5,7,,A. Medvedev,J. Perlant,M475,P389,UKR,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS018,R32,02:14:00,,F,3,C487,"7-6(7),3-6,6-4",A. Clement,S. Grosjean,,,FRA,FRA,7-6(7),3-6,6-4,,,02:14:00,275,/en/stats/leaderboard?page=serve,1,4,64,67,104,66,44,67,62,23,37,7,15,264,/en/stats/leaderboard?page=serve,,8,50,53,107,66,35,53,59,32,54,50,3,6,16,64,67,104,37,40,107,51,107,211,63,67,107,36,37,104,49,104,211,A,70,10,False,7,4,,,,,,A. Clement,S. Grosjean,C487,G379,FRA,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS019,R32,01:10:00,,F,2,S367,"6-2,6-4",M. Sinner,P. Haarhuis,,,GER,NED,6-2,6-4,,,,01:10:00,270,/en/stats/leaderboard?page=serve,1,3,61,37,61,73,27,37,46,11,24,1,9,214,/en/stats/leaderboard?page=serve,2,4,50,28,56,61,17,28,46,13,28,43,3,7,9,62,38,61,46,26,56,55,64,117,54,30,56,38,23,61,45,53,117,A,50,2,,,,,,,,,M. Sinner,P. Haarhuis,S367,H223,GER,NED,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS020,R32,00:55:00,,F,2,K316,"6-1,6-2",N. Kiefer,J. Boutter,,,GER,FRA,6-1,6-2,,,,00:55:00,186,/en/stats/leaderboard?page=serve,5,2,54,29,54,83,24,29,52,13,25,0,8,182,/en/stats/leaderboard?page=serve,6,4,42,15,36,67,10,15,33,7,21,20,1,5,7,69,37,54,53,19,36,62,56,90,47,17,36,31,17,54,38,34,90,A,,,,,,,,,,,N. Kiefer,J. Boutter,K316,B599,GER,FRA,,
