event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS001,F,02:02:00,,F,3,S402,"6-4,3-6,6-4",P. Sampras,M. Chang,,,USA,USA,6-4,3-6,6-4,,,02:02:00,295,/en/stats/leaderboard?page=serve,3,14,60,45,75,89,40,45,43,13,30,50,1,2,14,257,/en/stats/leaderboard?page=serve,3,7,37,41,111,73,30,41,57,40,70,87,13,15,15,71,53,75,37,41,111,51,94,186,63,70,111,29,22,75,49,92,186,A,,,,,,,,P. Sampras,M. Chang,S402,C274,USA,USA,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS002,SF,01:47:00,,F,3,S402,"6-3,4-6,7-6(7)",P. Sampras,J. Siemerink,,,USA,NED,6-3,4-6,7-6(7),,,01:47:00,317,/en/stats/leaderboard?page=serve,2,12,64,52,81,81,42,52,69,20,29,0,0,1,15,266,/en/stats/leaderboard?page=serve,9,6,53,58,110,71,41,58,58,30,52,71,5,7,16,77,62,81,35,39,110,53,101,191,65,71,110,23,19,81,47,90,191,A,7,2,,,,,,P. Sampras,J. Siemerink,S402,S381,USA,NED,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS003,SF,01:29:00,,F,2,C274,"6-3,6-4",M. Chang,T. Woodbridge,,,USA,AUS,6-3,6-4,,,,01:29:00,236,/en/stats/leaderboard?page=serve,3,4,43,30,69,73,22,30,49,19,39,57,4,7,10,196,/en/stats/leaderboard?page=serve,4,2,71,46,65,57,26,46,26,5,19,44,4,9,9,59,41,69,52,34,65,56,75,134,48,31,65,41,28,69,44,59,134,A,,,,,,,,M. Chang,T. Woodbridge,C274,W136,USA,AUS,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS004,QF,02:07:00,,F,3,S402,"6-7(2),7-6(7),6-3",P. Sampras,D. Prinosil,,,USA,GER,6-7(2),7-6(7),6-3,,,02:07:00,297,/en/stats/leaderboard?page=serve,10,19,60,62,104,85,53,62,50,21,42,80,4,5,16,257,/en/stats/leaderboard?page=serve,8,7,53,69,129,68,47,69,55,33,60,73,8,11,17,71,74,104,38,49,129,53,123,233,62,80,129,29,30,104,47,110,233,A,,,2,7,7,3,,P. Sampras,D. Prinosil,S402,P273,USA,GER,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS005,QF,02:06:00,,F,3,S381,"6-3,2-6,7-6(7)",J. Siemerink,S. Matsuoka,,,NED,JPN,6-3,2-6,7-6(7),,,02:06:00,269,/en/stats/leaderboard?page=serve,5,4,42,33,79,91,30,33,59,27,46,40,2,5,14,271,/en/stats/leaderboard?page=serve,3,9,65,72,110,67,48,72,53,20,38,73,8,11,15,72,57,79,38,42,110,52,99,189,62,68,110,28,22,79,48,90,189,A,7,2,,,,,,J. Siemerink,S. Matsuoka,S381,M338,NED,JPN,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS006,QF,01:45:00,,F,2,W136,"6-4,7-6(7)",T. Woodbridge,R. Krajicek,,,AUS,NED,6-4,7-6(7),,,,01:45:00,278,/en/stats/leaderboard?page=serve,3,1,54,41,76,73,30,41,63,22,35,83,5,6,11,272,/en/stats/leaderboard?page=serve,5,15,61,43,71,81,35,43,39,11,28,50,2,4,11,68,52,76,35,25,71,52,77,147,65,46,71,32,24,76,48,70,147,A,,,,,7,5,,T. Woodbridge,R. Krajicek,W136,K214,AUS,NED,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS007,QF,01:37:00,,F,3,C274,"6-0,3-6,6-3",M. Chang,M. Damm,,,USA,CZE,6-0,3-6,6-3,,,01:37:00,278,/en/stats/leaderboard?page=serve,2,6,45,29,64,86,25,29,60,21,35,50,2,4,12,218,/en/stats/leaderboard?page=serve,2,5,49,39,80,62,24,39,46,19,41,67,10,15,12,72,46,64,46,37,80,58,83,144,54,43,80,28,18,64,42,61,144,A,,,,,,,,M. Chang,M. Damm,C274,D214,USA,CZE,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS008,R16,01:13:00,,F,2,S402,"6-3,7-6(7)",P. Sampras,P. Rafter,,,USA,AUS,6-3,7-6(7),,,,01:13:00,304,/en/stats/leaderboard?page=serve,2,4,58,36,62,92,33,36,62,16,26,,0,,11,272,/en/stats/leaderboard?page=serve,3,3,48,31,65,84,26,31,50,17,34,50,1,2,10,79,49,62,34,22,65,56,71,127,66,43,65,21,13,62,44,56,127,A,,,,,7,1,,P. Sampras,P. Rafter,S402,R255,USA,AUS,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS009,R16,01:11:00,,F,2,P273,"6-4,6-4",D. Prinosil,W. Arthurs,,,GER,AUS,6-4,6-4,,,,01:11:00,284,/en/stats/leaderboard?page=serve,1,6,48,31,64,71,22,31,70,23,33,,0,,10,266,/en/stats/leaderboard?page=serve,4,9,53,33,62,73,24,33,55,16,29,71,5,7,10,70,45,64,35,22,62,53,67,126,65,40,62,30,19,64,47,59,126,A,,,,,,,,D. Prinosil,W. Arthurs,P273,A202,GER,AUS,,
336,1996,Hong Kong,GP,1996-04-08T00:00:00,1996-04-14T00:00:00,Hard,32,303000,$,MS010,R16,01:55:00,,F,3,M338,"6-4,2-6,6-4",S. Matsuoka,M. Woodforde,,,JPN,AUS,6-4,2-6,6-4,,,01:55:00,258,/en/stats/leaderboard?page=serve,2,7,68,63,93,67,42,63,47,14,30,43,3,7,14,235,/en/stats/leaderboard?page=serve,6,3,58,49,85,78,38,49,31,11,36,60,6,10,14,60,56,93,42,36,85,52,92,178,58,49,85,40,37,93,48,86,178,A,,,,,,,,S. Matsuoka,M. Woodforde,M338,W035,JPN,AUS,,
