event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,player_a,player_b,player_a_id,player_b_id,country_a,country_b,seed_a,seed_b,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_a,serveratinglink_tot_a,doublefaults_tot_a,aces_tot_a,firstserve_percent_tot_a,firstserve_dividend_tot_a,firstserve_divisor_tot_a,firstservepointswon_percent_tot_a,firstservepointswon_dividend_tot_a,firstservepointswon_divisor_tot_a,secondservepointswon_percent_tot_a,secondservepointswon_dividend_tot_a,secondservepointswon_divisor_tot_a,breakpointssaved_percent_tot_a,breakpointssaved_dividend_tot_a,breakpointssaved_divisor_tot_a,servicegamesplayed_tot_a,serverating_tot_b,serveratinglink_tot_b,doublefaults_tot_b,aces_tot_b,firstserve_percent_tot_b,firstserve_dividend_tot_b,firstserve_divisor_tot_b,firstservepointswon_percent_tot_b,firstservepointswon_dividend_tot_b,firstservepointswon_divisor_tot_b,secondservepointswon_percent_tot_b,secondservepointswon_dividend_tot_b,secondservepointswon_divisor_tot_b,breakpointssaved_percent_tot_b,breakpointssaved_dividend_tot_b,breakpointssaved_divisor_tot_b,servicegamesplayed_tot_b,totalservicepointswon_percent_tot_a,totalservicepointswon_dividend_tot_a,totalservicepointswon_divisor_tot_a,totalreturnpointswon_percent_tot_a,totalreturnpointswon_dividend_tot_a,totalreturnpointswon_divisor_tot_a,totalpointswon_percent_tot_a,totalpointswon_dividend_tot_a,totalpointswon_divisor_tot_a,totalservicepointswon_percent_tot_b,totalservicepointswon_dividend_tot_b,totalservicepointswon_divisor_tot_b,totalreturnpointswon_percent_tot_b,totalreturnpointswon_dividend_tot_b,totalreturnpointswon_divisor_tot_b,totalpointswon_percent_tot_b,totalpointswon_dividend_tot_b,totalpointswon_divisor_tot_b,winner_flag,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS011,Round of 16,,,F,5,,R. Safiullin,N. Djokovic,SX50,D643,RUS,SRB,,7,,,,,,,,,,,,,2026-06-29T00:00:00,194.0,/en/stats/leaderboard?page=serve,3.0,8.0,82.0,92.0,112.0,67.0,62.0,92.0,40.0,8.0,20.0,44.0,4.0,9.0,0.0,197.0,/en/stats/leaderboard?page=serve,3.0,10.0,80.0,101.0,126.0,70.0,71.0,101.0,40.0,10.0,25.0,71.0,10.0,14.0,0.0,63.0,70.0,112.0,36.0,45.0,126.0,48.0,115.0,238.0,64.0,81.0,126.0,38.0,42.0,112.0,52.0,123.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS012,Round of 16,,,F,5,,A. de Minaur,F. Cobolli,DH58,C0E9,AUS,ITA,5,9,,,,,,,,,,,,,2026-06-29T00:00:00,168.0,/en/stats/leaderboard?page=serve,5.0,5.0,64.0,72.0,113.0,65.0,47.0,72.0,39.0,16.0,41.0,67.0,12.0,18.0,0.0,176.0,/en/stats/leaderboard?page=serve,5.0,3.0,66.0,65.0,99.0,77.0,50.0,65.0,35.0,12.0,34.0,43.0,3.0,7.0,0.0,56.0,63.0,113.0,37.0,37.0,99.0,47.0,100.0,212.0,63.0,62.0,99.0,44.0,50.0,113.0,53.0,112.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS013,Round of 16,,,F,5,,G. Dimitrov,A. Fery,D875,F0DM,BUL,GBR,,,,,,,,,,,,,,,2026-06-29T00:00:00,206.0,/en/stats/leaderboard?page=serve,7.0,19.0,66.0,101.0,153.0,80.0,81.0,101.0,48.0,25.0,52.0,56.0,5.0,9.0,0.0,195.0,/en/stats/leaderboard?page=serve,0.0,7.0,64.0,111.0,174.0,68.0,75.0,111.0,56.0,35.0,63.0,56.0,5.0,9.0,0.0,69.0,106.0,153.0,37.0,64.0,174.0,52.0,170.0,327.0,63.0,110.0,174.0,31.0,47.0,153.0,48.0,157.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS014,Round of 16,,,F,5,,T. Fritz,A. Bublik,FB98,BK92,USA,KAZ,6,10,,,,,,,,,,,,,2026-06-29T00:00:00,226.0,/en/stats/leaderboard?page=serve,1.0,23.0,71.0,67.0,94.0,85.0,57.0,67.0,48.0,13.0,27.0,67.0,2.0,3.0,0.0,184.0,/en/stats/leaderboard?page=serve,5.0,13.0,81.0,70.0,86.0,76.0,53.0,70.0,19.0,3.0,16.0,25.0,1.0,4.0,0.0,74.0,70.0,94.0,35.0,30.0,86.0,56.0,100.0,180.0,65.0,56.0,86.0,26.0,24.0,94.0,44.0,80.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS015,Round of 16,,,F,5,,J. Lehecka,A. Zverev,L0BV,Z355,CZE,GER,13,2,,,,,,,,,,,,,2026-06-29T00:00:00,215.0,/en/stats/leaderboard?page=serve,3.0,14.0,67.0,91.0,135.0,76.0,69.0,91.0,61.0,27.0,44.0,67.0,4.0,6.0,0.0,217.0,/en/stats/leaderboard?page=serve,4.0,12.0,70.0,88.0,125.0,82.0,72.0,88.0,57.0,21.0,37.0,88.0,7.0,8.0,0.0,71.0,96.0,135.0,26.0,32.0,125.0,49.0,128.0,260.0,74.0,93.0,125.0,29.0,39.0,135.0,51.0,132.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS016,Round of 32,,,F,5,,J. Sinner,J. Brooksby,S0AG,B0CD,ITA,USA,1,,,,,,,,,,,,,,2026-06-29T00:00:00,204.0,/en/stats/leaderboard?page=serve,2.0,13.0,68.0,54.0,80.0,83.0,45.0,54.0,42.0,11.0,26.0,60.0,3.0,5.0,0.0,165.0,/en/stats/leaderboard?page=serve,4.0,3.0,66.0,61.0,93.0,62.0,38.0,61.0,38.0,12.0,32.0,54.0,7.0,13.0,0.0,70.0,56.0,80.0,46.0,43.0,93.0,57.0,99.0,173.0,54.0,50.0,93.0,30.0,24.0,80.0,43.0,74.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS017,Round of 32,,,F,5,,R. Jodar,S. Mochizuki,J0DZ,M0HU,ESP,JPN,23,,,,,,,,,,,,,,2026-06-29T00:00:00,178.0,/en/stats/leaderboard?page=serve,4.0,13.0,59.0,82.0,139.0,59.0,48.0,82.0,51.0,29.0,57.0,63.0,12.0,19.0,0.0,163.0,/en/stats/leaderboard?page=serve,3.0,1.0,50.0,62.0,124.0,71.0,44.0,62.0,44.0,27.0,62.0,46.0,6.0,13.0,0.0,55.0,77.0,139.0,43.0,53.0,124.0,49.0,130.0,263.0,57.0,71.0,124.0,45.0,62.0,139.0,51.0,133.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS018,Round of 32,,,F,5,HB71,H. Hurkacz,T. Paul,HB71,PL56,POL,USA,,21,,H. Hurkacz,T. Paul,,21,POL,USA,,,,,,2026-06-29T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,209.0,/en/stats/leaderboard?page=serve,1.0,20.0,59.0,80.0,136.0,81.0,65.0,80.0,50.0,28.0,56.0,80.0,4.0,5.0,0.0,188.0,/en/stats/leaderboard?page=serve,6.0,6.0,58.0,80.0,138.0,71.0,57.0,80.0,59.0,34.0,58.0,57.0,4.0,7.0,0.0,68.0,93.0,136.0,34.0,47.0,138.0,51.0,140.0,274.0,66.0,91.0,138.0,32.0,43.0,136.0,49.0,134.0,274.0
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS019,Round of 32,,,F,5,,J. Struff,D. Medvedev,SL28,MM58,GER,RUS,,8,,,,,,,,,,,,,2026-06-29T00:00:00,181.0,/en/stats/leaderboard?page=serve,2.0,11.0,60.0,82.0,136.0,73.0,60.0,82.0,39.0,21.0,54.0,67.0,8.0,12.0,0.0,178.0,/en/stats/leaderboard?page=serve,10.0,10.0,63.0,75.0,120.0,64.0,48.0,75.0,51.0,23.0,45.0,44.0,4.0,9.0,0.0,60.0,81.0,136.0,41.0,49.0,120.0,51.0,130.0,256.0,59.0,71.0,120.0,40.0,55.0,136.0,49.0,126.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2026,Wimbledon,GS,2026-06-29T00:00:00,2026-07-12T00:00:00,Grass,128,30060000,£,MS020,Round of 32,,,F,5,,F. Auger-Aliassime,M. Zheng,AG37,Z0BZ,CAN,USA,3,,,,,,,,,,,,,,2026-06-29T00:00:00,218.0,/en/stats/leaderboard?page=serve,3.0,10.0,63.0,47.0,75.0,91.0,43.0,47.0,57.0,16.0,28.0,100.0,2.0,2.0,0.0,184.0,/en/stats/leaderboard?page=serve,1.0,4.0,64.0,54.0,85.0,56.0,30.0,54.0,61.0,19.0,31.0,50.0,5.0,10.0,0.0,79.0,59.0,75.0,42.0,36.0,85.0,59.0,95.0,160.0,58.0,49.0,85.0,21.0,16.0,75.0,41.0,65.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
