event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS011,R16,02:45:00,,F,3,P305,"2-6,7-6(7),6-2",A. Portas,A. Savolt,,,ESP,HUN,2-6,7-6(7),6-2,,,02:45:00,255,/en/stats/leaderboard?page=serve,,8,53,63,118,70,44,63,51,28,55,77,10,13,15,240,/en/stats/leaderboard?page=serve,6,4,63,82,131,67,55,82,39,19,49,75,12,16,15,61,72,118,44,57,131,52,129,249,56,74,131,39,46,118,48,120,249,A,7,,,,7,3,A. Portas,A. Savolt,P305,S608,ESP,HUN,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS012,R16,02:02:00,,F,3,D357,"6-2,6-7(7),6-1",A. Di Pasquale,N. Lapentti,,,FRA,ECU,6-2,6-7(7),6-1,,,02:02:00,264,/en/stats/leaderboard?page=serve,False,1,70,71,101,62,44,71,53,16,30,63,5,8,14,204,/en/stats/leaderboard?page=serve,4,4,67,64,95,59,38,64,32,10,31,53,8,15,13,59,60,101,49,47,95,55,107,196,51,48,95,41,41,101,45,89,196,A,,,,,7,9,A. Di Pasquale,N. Lapentti,D357,L290,FRA,ECU,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS013,R16,01:21:00,,F,2,B518,"6-4,6-2",G. Blanco,J. Diaz,,,ESP,ESP,6-4,6-2,,,,01:21:00,248,/en/stats/leaderboard?page=serve,,1,49,28,57,64,18,28,59,17,29,60,3,5,9,201,/en/stats/leaderboard?page=serve,1,0,61,37,61,51,19,37,46,11,24,38,3,8,9,61,35,57,51,31,61,56,66,118,49,30,61,39,22,57,44,52,118,A,2,,,,,,G. Blanco,J. Diaz,B518,D291,ESP,ESP,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS014,R16,01:05:00,,F,2,V166,"6-3,6-4",A. Voinea,I. Moldovan,,,ROU,ROU,6-3,6-4,,,,01:05:00,284,/en/stats/leaderboard?page=serve,,9,54,31,57,81,25,31,73,19,26,,0,,10,284,/en/stats/leaderboard?page=serve,1,1,76,45,59,60,27,45,71,10,14,67,4,6,9,77,44,57,37,22,59,57,66,116,63,37,59,23,13,57,43,50,116,A,3,,,,,,A. Voinea,I. Moldovan,V166,M600,ROU,ROU,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS015,R16,02:48:00,,F,3,A190,"7-6(7),3-6,7-5",E. Benfele Alvarez,R. Fromberg,,,ESP,AUS,7-6(7),3-6,7-5,,,02:48:00,260,/en/stats/leaderboard?page=serve,,3,62,71,114,72,51,71,51,22,43,50,4,8,17,258,/en/stats/leaderboard?page=serve,4,5,51,61,119,70,43,61,55,32,58,79,11,14,16,64,73,114,37,44,119,50,117,233,63,75,119,36,41,114,50,116,233,A,4,7,4,,,,E. Benfele Alvarez,R. Fromberg,A190,F164,ESP,AUS,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS016,R32,01:41:00,,F,2,C252,"6-2,7-6(7)",F. Clavet,C. Vinck,,,ESP,GER,6-2,7-6(7),,,,01:41:00,277,/en/stats/leaderboard?page=serve,,3,75,49,65,71,35,49,50,8,16,50,2,4,10,235,/en/stats/leaderboard?page=serve,2,0,69,59,86,49,29,59,59,16,27,71,10,14,10,66,43,65,48,41,86,56,84,151,52,45,86,34,22,65,44,67,151,A,2,,,,7,2,F. Clavet,C. Vinck,C252,V175,ESP,GER,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS017,R32,01:09:00,,F,2,P254,"6-3,6-4",D. Pescariu,C. Ruud,,,ROU,NOR,6-3,6-4,,,,01:09:00,290,/en/stats/leaderboard?page=serve,,2,69,38,55,82,31,38,59,10,17,,0,,10,269,/en/stats/leaderboard?page=serve,,3,55,27,49,70,19,27,64,14,22,33,1,3,9,75,41,55,33,16,49,55,57,104,67,33,49,25,14,55,45,47,104,A,2,,,False,,,D. Pescariu,C. Ruud,P254,R219,ROU,NOR,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS018,R32,01:34:00,,F,3,C361,"3-6,6-3,1-1",A. Calatrava,O. Gross,,,ESP,GER,3-6,6-3,1-1,,,01:34:00,250,/en/stats/leaderboard?page=serve,,3,50,40,80,75,30,40,45,18,40,75,6,8,11,255,/en/stats/leaderboard?page=serve,2,3,53,31,59,71,22,31,50,14,28,67,4,6,10,60,48,80,39,23,59,51,71,139,61,36,59,40,32,80,49,68,139,A,4,,,,,,A. Calatrava,O. Gross,C361,G297,ESP,GER,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS020,R32,01:18:00,,F,2,C179,"6-2,7-5",C. Costa,S. Grosjean,,,ESP,FRA,6-2,7-5,,,,01:18:00,232,/en/stats/leaderboard?page=serve,,0,52,38,73,66,25,38,46,16,35,75,9,12,10,199,/en/stats/leaderboard?page=serve,,1,65,37,57,38,14,37,55,11,20,25,2,8,10,56,41,73,56,32,57,56,73,130,44,25,57,44,32,73,44,57,130,A,2,,,False,,,C. Costa,S. Grosjean,C179,G379,ESP,FRA,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS021,R32,00:57:00,,F,2,P280,"6-0,6-3",A. Pavel,F. Maggi,,,ROU,ITA,6-0,6-3,,,,00:57:00,265,/en/stats/leaderboard?page=serve,False,2,63,32,51,75,24,32,63,12,19,,0,,8,203,/en/stats/leaderboard?page=serve,1,1,75,36,48,53,19,36,33,4,12,43,3,7,7,71,36,51,52,25,48,62,61,99,48,23,48,29,15,51,38,38,99,A,,,,,,,A. Pavel,F. Maggi,P280,M548,ROU,ITA,,
