event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS001,F,03:10:00,,F,4,N409,"6-3,4-6,6-3,6-4",R. Nadal,R. Federer,,,ESP,SUI,6-3,4-6,6-3,6-4,,03:10:00,A,R. Nadal,R. Federer,ESP,SUI,,,297,/en/stats/leaderboard?page=serve,1,2,77,106,137,70,74,106,55,17,31,94,16,17,19,271,/en/stats/leaderboard?page=serve,1,9,64,76,118,66,50,76,55,23,42,60,6,10,19,66,91,137,38,45,118,53,136,255,62,73,118,34,46,137,47,119,255,,,,,,,,,N409,F324
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS002,SF,03:01:00,,F,3,F324,"7-5,7-6(7),7-6(9)",R. Federer,N. Davydenko,,,SUI,RUS,7-5,7-6(7),7-6(9),,,03:01:00,A,R. Federer,N. Davydenko,SUI,RUS,,,266,/en/stats/leaderboard?page=serve,3,10,51,71,138,79,56,71,46,31,67,82,14,17,18,258,/en/stats/leaderboard?page=serve,5,2,68,95,140,63,60,95,53,24,45,73,11,15,18,63,87,138,40,56,140,51,143,278,60,84,140,37,51,138,49,135,278,7.0,5.0,9.0,7.0,,,,,F324,D402
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS003,SF,02:28:00,,F,3,N409,"7-5,6-4,6-2",R. Nadal,N. Djokovic,,,ESP,SRB,7-5,6-4,6-2,,,02:28:00,A,R. Nadal,N. Djokovic,ESP,SRB,,,293,/en/stats/leaderboard?page=serve,1,3,71,61,86,74,45,61,60,15,25,67,4,6,15,228,/en/stats/leaderboard?page=serve,1,3,72,68,95,57,39,68,37,10,27,33,3,9,15,70,60,86,48,46,95,59,106,181,52,49,95,30,26,86,41,75,181,,,,,,,,,N409,D643
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS004,QF,02:02:00,,F,4,F324,"7-5,1-6,6-1,6-2",R. Federer,T. Robredo,,,SUI,ESP,7-5,1-6,6-1,6-2,,02:02:00,A,R. Federer,T. Robredo,SUI,ESP,,,278,/en/stats/leaderboard?page=serve,0,8,59,51,87,82,42,51,53,19,36,56,5,9,17,239,/en/stats/leaderboard?page=serve,2,2,76,78,102,55,43,78,50,12,24,36,4,11,17,70,61,87,46,47,102,57,108,189,54,55,102,30,26,87,43,81,189,,,,,,,,,F324,R419
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS005,QF,03:00:00,,F,3,D402,"7-5,6-4,6-4",N. Davydenko,G. Canas,,,RUS,ARG,7-5,6-4,6-4,,,03:00:00,A,N. Davydenko,G. Canas,RUS,ARG,,,273,/en/stats/leaderboard?page=serve,6,6,69,74,107,69,51,74,48,16,33,67,4,6,16,243,/en/stats/leaderboard?page=serve,1,8,53,61,116,62,38,61,53,29,55,71,12,17,16,63,67,107,42,49,116,52,116,223,58,67,116,37,40,107,48,107,223,,,,,,,,,D402,C433
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS006,QF,02:12:00,,F,3,D643,"6-3,6-3,6-3",N. Djokovic,I. Andreev,,,SRB,RUS,6-3,6-3,6-3,,,02:12:00,A,N. Djokovic,I. Andreev,SRB,RUS,,,278,/en/stats/leaderboard?page=serve,3,3,67,68,101,71,48,68,48,16,33,83,5,6,14,237,/en/stats/leaderboard?page=serve,3,2,67,55,82,62,34,55,48,13,27,50,5,10,13,63,64,101,43,35,82,54,99,183,57,47,82,37,37,101,46,84,183,,,,,,,,,D643,A511
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS007,QF,02:02:00,,F,3,N409,"6-4,6-3,6-0",R. Nadal,C. Moya,,,ESP,ESP,6-4,6-3,6-0,,,02:02:00,A,R. Nadal,C. Moya,ESP,ESP,,,303,/en/stats/leaderboard?page=serve,0,0,75,54,72,70,38,54,67,12,18,75,3,4,12,197,/en/stats/leaderboard?page=serve,3,2,56,50,89,58,29,50,38,15,39,42,5,12,13,69,50,72,51,45,89,59,95,161,49,44,89,31,22,72,41,66,161,,,,,,,,,N409,M605
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS008,R16,02:25:00,,F,3,F324,"7-6(7),6-4,6-4",R. Federer,M. Youzhny,,,SUI,RUS,7-6(7),6-4,6-4,,,02:25:00,A,R. Federer,M. Youzhny,SUI,RUS,,,272,/en/stats/leaderboard?page=serve,2,1,50,50,100,70,35,50,66,33,50,75,6,8,16,241,/en/stats/leaderboard?page=serve,2,3,49,54,110,61,33,54,55,31,56,50,4,8,16,68,68,100,42,46,110,54,114,210,58,64,110,32,32,100,46,96,210,,,,,7.0,3.0,,,F324,Y061
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS009,R16,01:48:00,,F,3,R419,"6-2,7-5,6-1",T. Robredo,F. Volandri,,,ESP,ITA,6-2,7-5,6-1,,,01:48:00,A,T. Robredo,F. Volandri,ESP,ITA,,,270,/en/stats/leaderboard?page=serve,3,2,63,44,70,70,31,44,62,16,26,0,0,3,13,191,/en/stats/leaderboard?page=serve,3,0,74,67,90,46,31,67,39,9,23,31,4,13,14,67,47,70,56,50,90,61,97,160,44,40,90,33,23,70,39,63,160,,,,,,,,,R419,V254
520,2007,Roland Garros,GS,2007-05-28T00:00:00,2007-06-10T00:00:00,Clay,128,9334932,$,MS010,R16,03:24:00,,F,4,D402,"6-3,7-6(7),3-6,7-6(7)",N. Davydenko,D. Nalbandian,,,RUS,ARG,6-3,7-6(7),3-6,7-6(7),,03:24:00,A,N. Davydenko,D. Nalbandian,RUS,ARG,,,263,/en/stats/leaderboard?page=serve,7,3,69,103,150,71,73,103,47,22,47,79,15,19,20,251,/en/stats/leaderboard?page=serve,5,1,66,104,157,59,61,104,53,28,53,58,7,12,22,63,95,150,43,68,157,53,163,307,57,89,157,37,55,150,47,144,307,7.0,1.0,,,,,7.0,2.0,D402,N301
