event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS001,F,01:23:00,,F,2,T315,"6-3,7-6(7)",D. Tursunov,F. Dancevic,,,RUS,CAN,6-3,7-6(7),,,,01:23:00,A,D. Tursunov,F. Dancevic,RUS,CAN,,,7.0,5.0,328,/en/stats/leaderboard?page=serve,2,12,61,37,61,86,32,37,71,17,24,0,0,0,11,297,/en/stats/leaderboard?page=serve,2,10,71,45,63,78,35,45,50,9,18,67,2,3,10,80,49,61,30,19,63,55,68,124,70,44,63,20,12,61,45,56,124,,,,,T315,D499
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS002,SF,01:24:00,,F,2,D499,"6-4,6-4",F. Dancevic,F. Santoro,,,CAN,FRA,6-4,6-4,,,,01:24:00,A,F. Dancevic,F. Santoro,CAN,FRA,,,,,293,/en/stats/leaderboard?page=serve,2,7,61,47,77,74,35,47,53,16,30,100,6,6,10,270,/en/stats/leaderboard?page=serve,2,2,63,34,54,82,28,34,45,9,20,60,3,5,10,66,51,77,31,17,54,52,68,131,69,37,54,34,26,77,48,63,131,,,,,D499,S424
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS003,SF,01:10:00,,F,2,T315,"6-2,6-2",D. Tursunov,G. Garcia-Lopez,,,RUS,ESP,6-2,6-2,,,,01:10:00,A,D. Tursunov,G. Garcia-Lopez,RUS,ESP,,,,,306,/en/stats/leaderboard?page=serve,0,2,61,30,49,80,24,30,63,12,19,100,4,4,8,208,/en/stats/leaderboard?page=serve,4,0,60,30,50,57,17,30,45,9,20,43,3,7,8,73,36,49,48,24,50,61,60,99,52,26,50,27,13,49,39,39,99,,,,,T315,G476
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS004,QF,02:14:00,,F,3,D499,"6-7(4),6-4,7-5",F. Dancevic,L. Mayer,,,CAN,ARG,6-7(4),6-4,7-5,,,02:14:00,A,F. Dancevic,L. Mayer,CAN,ARG,,,,,319,/en/stats/leaderboard?page=serve,1,16,71,72,101,85,61,72,48,14,29,100,2,2,17,289,/en/stats/leaderboard?page=serve,4,15,68,75,111,75,56,75,47,17,36,60,3,5,17,74,75,101,34,38,111,53,113,212,66,73,111,26,26,101,47,99,212,4.0,7.0,,,D499,MD56
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS005,QF,01:03:00,,F,2,S424,"3-6,4-2",F. Santoro,I. Ljubicic,,,FRA,CRO,3-6,4-2,,,,01:03:00,A,F. Santoro,I. Ljubicic,FRA,CRO,,,,,271,/en/stats/leaderboard?page=serve,0,2,45,19,42,74,14,19,65,15,23,0,0,1,7,297,/en/stats/leaderboard?page=serve,1,8,70,33,47,76,25,33,57,8,14,67,2,3,8,69,29,42,30,14,47,48,43,89,70,33,47,31,13,42,52,46,89,,,,,S424,L360
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS006,QF,02:03:00,,F,3,G476,"6-4,3-6,6-3",G. Garcia-Lopez,J. Tipsarevic,,,ESP,SRB,6-4,3-6,6-3,,,02:03:00,A,G. Garcia-Lopez,J. Tipsarevic,ESP,SRB,,,,,254,/en/stats/leaderboard?page=serve,2,9,52,43,83,74,32,43,50,20,40,20,1,5,14,237,/en/stats/leaderboard?page=serve,3,4,49,37,75,81,30,37,42,16,38,50,5,10,14,63,52,83,39,29,75,51,81,158,61,46,75,37,31,83,49,77,158,,,,,G476,T742
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS007,QF,01:34:00,,F,2,T315,"7-6(8),6-4",D. Tursunov,D. Istomin,,,RUS,UZB,7-6(8),6-4,,,,01:34:00,A,D. Tursunov,D. Istomin,RUS,UZB,,,,,308,/en/stats/leaderboard?page=serve,4,3,67,47,70,85,40,47,57,13,23,100,3,3,11,294,/en/stats/leaderboard?page=serve,1,8,67,54,81,67,36,54,63,17,27,90,9,10,11,76,53,70,35,28,81,54,81,151,65,53,81,24,17,70,46,70,151,8.0,6.0,,,T315,I165
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS008,R16,01:29:00,,F,2,D499,"7-6(8),6-4",F. Dancevic,J. Ward,,,CAN,GBR,7-6(8),6-4,,,,01:29:00,A,F. Dancevic,J. Ward,CAN,GBR,,,,,277,/en/stats/leaderboard?page=serve,0,7,61,45,74,80,36,45,48,14,29,71,5,7,11,261,/en/stats/leaderboard?page=serve,4,10,54,38,70,82,31,38,47,15,32,63,5,8,11,68,50,74,34,24,70,51,74,144,66,46,70,32,24,74,49,70,144,8.0,6.0,,,D499,W503
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS009,R16,01:24:00,,F,2,MD56,"6-4,6-4",L. Mayer,J. Benneteau,,,ARG,FRA,6-4,6-4,,,,01:24:00,A,L. Mayer,J. Benneteau,ARG,FRA,,,,,291,/en/stats/leaderboard?page=serve,0,7,58,37,64,73,27,37,63,17,27,83,5,6,10,243,/en/stats/leaderboard?page=serve,3,4,67,45,67,64,29,45,41,9,22,63,5,8,10,69,44,64,43,29,67,56,73,131,57,38,67,31,20,64,44,58,131,,,,,MD56,B747
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS010,R16,01:55:00,,F,3,S424,"4-6,6-4,6-1",F. Santoro,R. Ginepri,,,FRA,USA,4-6,6-4,6-1,,,01:55:00,A,F. Santoro,R. Ginepri,FRA,USA,,,,,259,/en/stats/leaderboard?page=serve,2,0,48,40,83,73,29,40,56,24,43,75,6,8,13,227,/en/stats/leaderboard?page=serve,6,6,59,58,98,71,41,58,33,13,40,58,7,12,14,64,53,83,45,44,98,54,97,181,55,54,98,36,30,83,46,84,181,,,,,S424,G569
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS011,R16,01:15:00,,F,2,L360,"6-3,7-5",I. Ljubicic,J. Goodall,,,CRO,GBR,6-3,7-5,,,,01:15:00,A,I. Ljubicic,J. Goodall,CRO,GBR,,,,,333,/en/stats/leaderboard?page=serve,1,12,61,34,56,79,27,34,82,18,22,0,0,0,11,262,/en/stats/leaderboard?page=serve,1,3,53,33,62,79,26,33,48,14,29,60,3,5,10,80,45,56,35,22,62,57,67,118,65,40,62,20,11,56,43,51,118,,,,,L360,G744
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS012,R16,02:45:00,,F,3,G476,"6-4,6-7(0),7-6(7)",G. Garcia-Lopez,Y. Lu,,,ESP,TPE,6-4,6-7(0),7-6(7),,,02:45:00,A,G. Garcia-Lopez,Y. Lu,ESP,TPE,,,0.0,7.0,279,/en/stats/leaderboard?page=serve,6,13,64,72,113,76,55,72,44,18,41,71,5,7,17,262,/en/stats/leaderboard?page=serve,6,2,65,77,119,71,55,77,48,20,42,77,10,13,17,65,73,113,37,44,119,50,117,232,63,75,119,35,40,113,50,115,232,,,7.0,3.0,G476,L575
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS013,R16,01:19:00,,F,2,T742,"7-6(7),6-1",J. Tipsarevic,B. Klein,,,SRB,GBR,7-6(7),6-1,,,,01:19:00,A,J. Tipsarevic,B. Klein,SRB,GBR,,,,,295,/en/stats/leaderboard?page=serve,2,11,60,37,62,84,31,37,52,13,25,50,1,2,10,247,/en/stats/leaderboard?page=serve,1,4,61,33,54,79,26,33,38,8,21,50,3,6,9,71,44,62,37,20,54,55,64,116,63,34,54,29,18,62,45,52,116,7.0,5.0,,,T742,K964
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS014,R16,01:51:00,,F,3,I165,"3-6,7-6(7),6-4",D. Istomin,S. Querrey,,,UZB,USA,3-6,7-6(7),6-4,,,01:51:00,A,D. Istomin,S. Querrey,UZB,USA,,,7.0,3.0,289,/en/stats/leaderboard?page=serve,3,6,57,56,99,80,45,56,56,24,43,88,7,8,15,305,/en/stats/leaderboard?page=serve,3,17,59,60,102,77,46,60,62,26,42,83,5,6,16,70,69,99,29,30,102,49,99,201,71,72,102,30,30,99,51,102,201,,,,,I165,Q927
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS015,R16,02:33:00,,F,3,T315,"6-7(2),6-4,7-6(7)",D. Tursunov,A. Bogdanovic,,,RUS,GBR,6-7(2),6-4,7-6(7),,,02:33:00,A,D. Tursunov,A. Bogdanovic,RUS,GBR,,,,,287,/en/stats/leaderboard?page=serve,5,7,66,87,131,75,65,87,50,22,44,88,7,8,17,290,/en/stats/leaderboard?page=serve,9,14,53,54,101,80,43,54,64,30,47,33,1,3,17,66,87,131,28,28,101,50,115,232,72,73,101,34,44,131,50,117,232,2.0,7.0,7.0,5.0,T315,B929
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS016,R32,01:28:00,,F,2,D499,"7-6(8),6-2",F. Dancevic,I. Andreev,,,CAN,RUS,7-6(8),6-2,,,,01:28:00,A,F. Dancevic,I. Andreev,CAN,RUS,,,,,335,/en/stats/leaderboard?page=serve,1,11,71,41,58,83,34,41,71,12,17,100,1,1,10,270,/en/stats/leaderboard?page=serve,1,6,65,47,72,68,32,47,52,13,25,71,5,7,10,79,46,58,38,27,72,56,73,130,63,45,72,21,12,58,44,57,130,8.0,6.0,,,D499,A511
741,2009,Eastbourne,250,2009-06-14T00:00:00,2009-06-21T00:00:00,Grass,32,398250,€,MS017,R32,00:52:00,,F,2,W503,"6-1,6-3",J. Ward,V. Crivoi,,,GBR,ROU,6-1,6-3,,,,00:52:00,A,J. Ward,V. Crivoi,GBR,ROU,,,,,285,/en/stats/leaderboard?page=serve,2,9,44,19,43,84,16,19,63,15,24,50,1,2,8,197,/en/stats/leaderboard?page=serve,0,1,63,32,51,38,12,32,58,11,19,44,4,9,8,72,31,43,55,28,51,63,59,94,45,23,51,28,12,43,37,35,94,,,,,W503,C856
