event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS056,R64,01:52:00,,F,3,D683,"6-1,7-5,6-2",J. del Potro,F. Mayer,,,ARG,GER,6-1,7-5,6-2,,,01:52:00,A,J. del Potro,F. Mayer,ARG,GER,,,,,300,/en/stats/leaderboard?page=serve,0,7,66,54,82,67,36,54,68,19,28,80,4,5,13,215,/en/stats/leaderboard?page=serve,1,3,62,47,76,53,25,47,48,14,29,36,4,11,14,67,55,82,49,37,76,58,92,158,51,39,76,33,27,82,42,66,158,,,,,,,D683,MB02
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS058,R64,03:15:00,,F,4,C977,"6-2,6-3,4-6,6-3",M. Cilic,J. Tipsarevic,,,CRO,SRB,6-2,6-3,4-6,6-3,,03:15:00,A,M. Cilic,J. Tipsarevic,CRO,SRB,,,,,275,/en/stats/leaderboard?page=serve,0,4,91,10,11,80,8,10,0,0,1,0,0,0,2,206,/en/stats/leaderboard?page=serve,0,0,42,8,19,50,4,8,64,7,11,75,3,4,2,73,8,11,42,8,19,53,16,30,58,11,19,27,3,11,47,14,30,,,,,,,C977,T742
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS059,R64,01:30:00,,F,3,F401,"6-2,6-2,6-1",D. Ferrer,D. Hrbaty,,,ESP,SVK,6-2,6-2,6-1,,,01:30:00,A,D. Ferrer,D. Hrbaty,ESP,SVK,,,,,210,/en/stats/leaderboard?page=serve,0,1,67,12,18,92,11,12,50,3,6,0,0,0,0,195,/en/stats/leaderboard?page=serve,0,0,44,7,16,57,4,7,44,4,9,0,0,2,4,78,14,18,50,8,16,65,22,34,50,8,16,22,4,18,35,12,34,,,,,,,F401,H377
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS061,R64,01:41:00,,F,3,BA47,"6-1,6-1,6-3",T. Berdych,B. Dabul,,,CZE,ARG,6-1,6-1,6-3,,,01:41:00,A,T. Berdych,B. Dabul,CZE,ARG,,,,,324,/en/stats/leaderboard?page=serve,1,11,63,45,72,73,33,45,78,21,27,100,3,3,12,197,/en/stats/leaderboard?page=serve,3,2,70,65,93,58,38,65,25,7,28,67,12,18,11,75,54,72,52,48,93,62,102,165,48,45,93,25,18,72,38,63,165,,,,,,,BA47,D556
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS062,R64,01:41:00,,F,3,S741,"7-5,6-2,6-2",M. Safin,G. Garcia-Lopez,,,RUS,ESP,7-5,6-2,6-2,,,01:41:00,A,M. Safin,G. Garcia-Lopez,RUS,ESP,,,,,320,/en/stats/leaderboard?page=serve,3,18,53,40,76,85,34,40,67,24,36,100,2,2,13,236,/en/stats/leaderboard?page=serve,6,1,66,56,85,63,35,56,48,14,29,58,7,12,14,76,58,76,42,36,85,58,94,161,58,49,85,24,18,76,42,67,161,,,,,,,S741,G476
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS063,R64,01:25:00,,F,3,F324,"6-2,6-3,6-1",R. Federer,E. Korolev,,,SUI,KAZ,6-2,6-3,6-1,,,01:25:00,A,R. Federer,E. Korolev,SUI,KAZ,,,,,298,/en/stats/leaderboard?page=serve,3,8,60,41,68,68,28,41,74,20,27,0,0,1,12,189,/en/stats/leaderboard?page=serve,3,2,51,41,80,54,22,41,44,17,39,42,5,12,12,71,48,68,51,41,80,60,89,148,49,39,80,29,20,68,40,59,148,,,,,,,F324,K760
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS064,R128,01:16:00,,F,3,N409,"6-0,6-2,6-2",R. Nadal,C. Rochus,,,ESP,BEL,6-0,6-2,6-2,,,01:16:00,A,R. Nadal,C. Rochus,ESP,BEL,,,,,343,/en/stats/leaderboard?page=serve,2,10,69,35,51,91,32,35,75,12,16,0,0,0,11,181,/en/stats/leaderboard?page=serve,2,1,67,48,72,58,28,48,21,5,24,36,4,11,11,86,44,51,54,39,72,67,83,123,46,33,72,14,7,51,33,40,123,,,,,,,N409,R336
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS065,R128,02:32:00,,F,5,K371,"6-3,1-6,6-3,3-6,6-3",R. Karanusic,F. Serra,,,CRO,FRA,6-3,1-6,6-3,3-6,6-3,02:32:00,A,R. Karanusic,F. Serra,CRO,FRA,,,,,254,/en/stats/leaderboard?page=serve,5,8,63,83,131,72,60,83,44,21,48,57,8,14,22,260,/en/stats/leaderboard?page=serve,1,5,68,86,126,64,55,86,53,21,40,40,4,10,21,62,81,131,40,50,126,51,131,257,60,76,126,38,50,131,49,126,257,,,,,,,K371,S963
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS066,R128,01:59:00,,F,3,H355,"6-3,6-3,6-4",T. Haas,E. Schwank,,,GER,ARG,6-3,6-3,6-4,,,01:59:00,A,T. Haas,E. Schwank,GER,ARG,,,,,275,/en/stats/leaderboard?page=serve,5,11,47,42,89,88,37,42,49,23,47,71,5,7,14,221,/en/stats/leaderboard?page=serve,4,2,60,55,92,60,33,55,46,17,37,54,7,13,14,67,60,89,46,42,92,56,102,181,54,50,92,33,29,89,44,79,181,,,,,,,H355,SE66
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS067,R128,03:14:00,,F,4,C723,"4-6,6-2,7-6(9),7-5",F. Cipolla,D. Tursunov,,,ITA,RUS,4-6,6-2,7-6(9),7-5,,03:14:00,A,F. Cipolla,D. Tursunov,ITA,RUS,,,9.0,7.0,257,/en/stats/leaderboard?page=serve,6,3,68,118,173,65,77,118,47,26,55,76,13,17,21,251,/en/stats/leaderboard?page=serve,4,11,56,81,144,68,55,81,49,31,63,63,10,16,21,60,103,173,40,58,144,51,161,317,60,86,144,40,70,173,49,156,317,,,,,,,C723,T315
