event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,secondservepointswon_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS011,R16,01:06:00,,F,2,C252,"6-2,7-5",F. Clavet,M. Hadad,,,ESP,COL,6-2,7-5,,,,01:06:00,,,256,/en/stats/leaderboard?page=serve,3,1,94,51,54,84,43,51,,,3,,0,,10,224,/en/stats/leaderboard?page=serve,3,1,92,58,63,64,37,58,,,5,50,3,6,10,,0,,41,26,63,,0,,,0,,20,11,54,,0,,A,False,False,,,F. Clavet,M. Hadad,C252,H256,ESP,COL,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS012,R16,01:09:00,,F,2,S015,"6-3,6-3",J. Sanchez,F. Vitoux,,,ESP,FRA,6-3,6-3,,,,01:09:00,,,259,/en/stats/leaderboard?page=serve,3,2,59,34,58,74,25,34,50,12,24,75,6,8,9,197,/en/stats/leaderboard?page=serve,3,0,69,44,64,57,25,44,30,6,20,50,5,10,9,64,37,58,52,33,64,57,70,122,48,31,64,36,21,58,43,52,122,A,,,,,J. Sanchez,F. Vitoux,S015,V147,ESP,FRA,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS013,R16,01:27:00,,F,2,N254,"7-6(7),6-3",J. Novak,F. Fontang,,,CZE,FRA,7-6(7),6-3,,,,01:27:00,7,4,239,/en/stats/leaderboard?page=serve,3,1,58,49,84,65,32,49,46,16,35,75,9,12,11,214,/en/stats/leaderboard?page=serve,2,0,57,38,67,61,23,38,38,11,29,20,1,5,10,57,48,84,49,33,67,54,81,151,51,34,67,43,36,84,46,70,151,A,,,,,J. Novak,F. Fontang,N254,F200,CZE,FRA,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS014,R16,00:53:00,,F,2,M443,"6-2,6-4",F. Meligeni,B. Shelton,,,BRA,USA,6-2,6-4,,,,00:53:00,,,216,/en/stats/leaderboard?page=serve,2,0,51,22,43,91,20,22,76,16,21,0,0,,9,239,/en/stats/leaderboard?page=serve,7,2,57,29,51,76,22,29,45,10,22,63,5,8,9,84,36,43,37,19,51,59,55,94,63,32,51,16,7,43,41,39,94,A,,,,,F. Meligeni,B. Shelton,M443,S380,BRA,USA,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS015,R16,01:47:00,,F,2,G254,"6-3,7-6(8)",A. Gaudenzi,L. Lavalle,,,ITA,MEX,6-3,7-6(8),,,,01:47:00,,,241,/en/stats/leaderboard?page=serve,5,0,61,46,75,63,29,46,52,15,29,57,4,7,10,210,/en/stats/leaderboard?page=serve,4,5,63,55,88,62,34,55,30,10,33,69,11,16,11,59,44,75,50,44,88,54,88,163,50,44,88,41,31,75,46,75,163,A,,,8,6,A. Gaudenzi,L. Lavalle,G254,L009,ITA,MEX,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS016,R32,01:16:00,,F,2,M099,"6-4,6-4",T. Muster,J. Viloca-Puig,,,AUT,ESP,6-4,6-4,,,,01:16:00,,,280,/en/stats/leaderboard?page=serve,4,4,45,25,56,84,21,25,71,22,31,,0,,10,264,/en/stats/leaderboard?page=serve,2,5,57,35,61,66,23,35,58,15,26,60,3,5,10,77,43,56,38,23,61,56,66,117,62,38,61,23,13,56,44,51,117,A,,,,,T. Muster,J. Viloca-Puig,M099,V161,AUT,ESP,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS017,R32,02:10:00,,F,3,L075,"6-4,3-6,6-3",L. Lobo,E. Ran,,,ARG,ISR,6-4,3-6,6-3,,,02:10:00,,,262,/en/stats/leaderboard?page=serve,4,2,92,80,87,65,52,80,29,2,7,67,6,9,14,260,/en/stats/leaderboard?page=serve,4,9,93,87,94,62,54,87,29,2,7,33,2,6,14,62,54,87,40,38,94,51,92,181,60,56,94,38,33,87,49,89,181,A,,,,,L. Lobo,E. Ran,L075,R243,ARG,ISR,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS018,R32,01:36:00,,F,2,H346,"7-5,7-6(7)",A. Hernandez,G. Etlis,,,MEX,ARG,7-5,7-6(7),,,,01:36:00,,,279,/en/stats/leaderboard?page=serve,4,4,48,40,83,80,32,40,60,26,43,86,6,7,12,261,/en/stats/leaderboard?page=serve,8,5,57,47,83,74,35,47,50,18,36,85,11,13,12,70,58,83,36,30,83,53,88,166,64,53,83,30,25,83,47,78,166,A,,,7,3,A. Hernandez,G. Etlis,H346,E138,MEX,ARG,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS019,R32,01:40:00,,F,2,M535,"7-6(7),6-4",F. Mantilla,J. Cunha-Silva,,,ESP,POR,7-6(7),6-4,,,,01:40:00,7,4,223,/en/stats/leaderboard?page=serve,4,1,66,50,76,56,28,50,50,13,26,67,10,15,11,196,/en/stats/leaderboard?page=serve,6,2,80,66,82,56,37,66,19,3,16,54,7,13,11,54,41,76,51,42,82,53,83,158,49,40,82,46,35,76,47,75,158,A,,,,,F. Mantilla,J. Cunha-Silva,M535,C113,ESP,POR,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS020,R32,02:06:00,,F,3,F041,"6-2,6-7(4),7-5",J. Frana,O. Ortiz,,,ARG,MEX,6-2,6-7(4),7-5,,,02:06:00,,,263,/en/stats/leaderboard?page=serve,7,13,41,42,103,79,33,42,56,34,61,40,2,5,16,223,/en/stats/leaderboard?page=serve,11,2,66,72,109,63,45,72,41,15,37,45,5,11,16,65,67,103,45,49,109,55,116,212,55,60,109,35,36,103,45,96,212,A,,,4,7,J. Frana,O. Ortiz,F041,O102,ARG,MEX,,
