event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS017,R32,01:36:00,,F,3,K293,"1-6,6-1,6-4",G. Kuerten,M. Gorriz,,,BRA,ESP,1-6,6-1,6-4,,,01:36:00,,,251,/en/stats/leaderboard?page=serve,3,3,54,40,74,60,24,40,62,21,34,50,3,6,12,260,/en/stats/leaderboard?page=serve,,2,70,49,70,65,32,49,57,12,21,60,6,10,12,61,45,74,37,26,70,49,71,144,63,44,70,39,29,74,51,73,144,A,,,,False,G. Kuerten,M. Gorriz,K293,G028,BRA,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS018,R32,01:56:00,,F,3,V166,"4-6,6-3,6-4",A. Voinea,J. Diaz,,,ROU,ESP,4-6,6-3,6-4,,,01:56:00,,,239,/en/stats/leaderboard?page=serve,3,2,55,45,82,73,33,45,46,17,37,17,1,6,15,230,/en/stats/leaderboard?page=serve,1,1,91,74,81,53,39,74,29,2,7,14,1,7,14,61,50,82,49,40,81,55,90,163,51,41,81,39,32,82,45,73,163,A,,,,,A. Voinea,J. Diaz,V166,D291,ROU,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS019,R32,01:41:00,,F,2,S424,"6-3,7-6(7)",F. Santoro,K. Alami,,,FRA,MAR,6-3,7-6(7),,,,01:41:00,,,269,/en/stats/leaderboard?page=serve,3,4,57,41,72,78,32,41,52,16,31,71,5,7,11,227,/en/stats/leaderboard?page=serve,4,8,45,35,78,66,23,35,42,18,43,57,4,7,10,67,48,72,47,37,78,57,85,150,53,41,78,33,24,72,43,65,150,A,7,3,,,F. Santoro,K. Alami,S424,A203,FRA,MAR,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS020,R32,00:49:00,,F,2,G247,"6-1,6-1",H. Gumy,M. Filippini,,,ARG,URU,6-1,6-1,,,,00:49:00,,,237,/en/stats/leaderboard?page=serve,1,4,69,22,32,95,21,22,70,7,10,0,0,,7,158,/en/stats/leaderboard?page=serve,3,0,58,22,38,50,11,22,25,4,16,0,0,5,7,88,28,32,61,23,38,73,51,70,39,15,38,13,4,32,27,19,70,A,,,,,H. Gumy,M. Filippini,G247,F165,ARG,URU,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS021,R32,02:15:00,,F,3,C375,"5-7,6-3,6-3",M. Charpentier,F. Fetterlein,,,ARG,DEN,5-7,6-3,6-3,,,02:15:00,,,258,/en/stats/leaderboard?page=serve,3,2,79,84,107,68,57,84,39,9,23,67,8,12,15,212,/en/stats/leaderboard?page=serve,9,3,58,61,106,64,39,61,36,16,45,57,8,14,15,62,66,107,48,51,106,55,117,213,52,55,106,38,41,107,45,96,213,A,,,,,M. Charpentier,F. Fetterlein,C375,F206,ARG,DEN,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS022,R32,00:08:00,,F,2,M506,"6-3,6-0",L. Morejon,A. Martin,,,ECU,ESP,6-3,6-0,,,,00:08:00,,,216,/en/stats/leaderboard?page=serve,,1,65,24,37,88,21,24,62,8,13,0,0,,7,178,/en/stats/leaderboard?page=serve,4,0,60,28,47,43,12,28,42,8,19,44,4,9,8,78,29,37,57,27,47,67,56,84,43,20,47,22,8,37,33,28,84,A,,,False,,L. Morejon,A. Martin,M506,M590,ECU,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS023,R32,01:30:00,,F,2,S315,"6-4,6-2",G. Schaller,F. Messori,,,AUT,ITA,6-4,6-2,,,,01:30:00,,,294,/en/stats/leaderboard?page=serve,,0,68,38,56,66,25,38,72,13,18,75,3,4,9,199,/en/stats/leaderboard?page=serve,1,0,43,26,61,62,16,26,40,14,35,33,2,6,9,68,38,56,51,31,61,59,69,117,49,30,61,32,18,56,41,48,117,A,,,False,,G. Schaller,F. Messori,S315,M511,AUT,ITA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS024,R32,01:28:00,,F,2,R203,"7-5,7-6(8)",D. Rikl,J. Novak,,,CZE,CZE,7-5,7-6(8),,,,01:28:00,,,279,/en/stats/leaderboard?page=serve,1,3,62,49,79,69,34,49,63,19,30,60,3,5,12,260,/en/stats/leaderboard?page=serve,2,6,58,46,80,70,32,46,53,18,34,57,4,7,12,67,53,79,38,30,80,52,83,159,63,50,80,33,26,79,48,76,159,A,8,6,,,D. Rikl,J. Novak,R203,N254,CZE,CZE,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS025,R32,00:51:00,,F,2,R219,"6-1,6-0",C. Ruud,J. Van Herck,,,NOR,BEL,6-1,6-0,,,,00:51:00,,,282,/en/stats/leaderboard?page=serve,,3,62,24,39,79,19,24,53,8,15,0,0,1,7,102,/en/stats/leaderboard?page=serve,4,0,42,16,38,50,8,16,14,3,22,14,1,7,6,69,27,39,71,27,38,70,54,77,29,11,38,31,12,39,30,23,77,A,,,False,,C. Ruud,J. Van Herck,R219,V167,NOR,BEL,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS026,R32,01:00:00,,F,2,S015,"7-5,6-2",J. Sanchez,G. Blanco,,,ESP,ESP,7-5,6-2,,,,01:00:00,,,325,/en/stats/leaderboard?page=serve,1,5,77,36,47,81,29,36,73,8,11,0,0,1,10,234,/en/stats/leaderboard?page=serve,2,1,65,37,57,65,24,37,45,9,20,20,1,5,10,79,37,47,42,24,57,59,61,104,58,33,57,21,10,47,41,43,104,A,,,,,J. Sanchez,G. Blanco,S015,B518,ESP,ESP,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS027,R32,02:16:00,,F,3,G254,"6-3,5-7,6-2",A. Gaudenzi,K. Goossens,,,ITA,BEL,6-3,5-7,6-2,,,02:16:00,,,235,/en/stats/leaderboard?page=serve,4,4,66,66,100,65,43,66,38,13,34,50,5,10,15,203,/en/stats/leaderboard?page=serve,3,4,51,53,104,58,31,53,43,22,51,59,10,17,14,56,56,100,49,51,104,52,107,204,51,53,104,44,44,100,48,97,204,A,,,,,A. Gaudenzi,K. Goossens,G254,G285,ITA,BEL,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS028,R32,01:34:00,,F,2,D198,"7-6(9),6-2",S. Dosedel,S. Noszaly,,,CZE,HUN,7-6(9),6-2,,,,01:34:00,9,7,289,/en/stats/leaderboard?page=serve,1,1,68,50,73,66,33,50,65,15,23,86,6,7,10,235,/en/stats/leaderboard?page=serve,7,5,53,40,75,68,27,40,46,16,35,63,5,8,10,66,48,73,43,32,75,54,80,148,57,43,75,34,25,73,46,68,148,A,,,,,S. Dosedel,S. Noszaly,D198,N112,CZE,HUN,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS029,R32,01:23:00,,F,3,G231,"3-6,6-2,2-0",T. Guardiola,Y. El Aynaoui,,,FRA,MAR,3-6,6-2,2-0,,,01:23:00,,,269,/en/stats/leaderboard?page=serve,1,1,52,34,65,59,20,34,68,21,31,80,4,5,10,242,/en/stats/leaderboard?page=serve,3,1,55,34,62,65,22,34,54,15,28,67,6,9,10,63,41,65,40,25,62,52,66,127,60,37,62,37,24,65,48,61,127,A,,,,,T. Guardiola,Y. El Aynaoui,G231,E121,FRA,MAR,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS030,R32,02:18:00,,F,3,C113,"6-3,6-7(9),6-4",J. Cunha-Silva,O. Camporese,,,POR,ITA,6-3,6-7(9),6-4,,,02:18:00,,,286,/en/stats/leaderboard?page=serve,4,2,65,63,97,65,41,63,71,24,34,0,0,2,16,254,/en/stats/leaderboard?page=serve,3,7,54,48,89,79,38,48,44,18,41,20,1,5,15,67,65,97,37,33,89,53,98,186,63,56,89,33,32,97,47,88,186,A,9,11,,,J. Cunha-Silva,O. Camporese,C113,C009,POR,ITA,,
475,1996,San Marino,GP,1996-08-05T00:00:00,1996-08-11T00:00:00,Clay,32,275000,$,MS031,R32,01:18:00,,F,2,M535,"6-2,7-5",F. Mantilla,M. Zabaleta,,,ESP,ARG,6-2,7-5,,,,01:18:00,,,229,/en/stats/leaderboard?page=serve,,2,70,38,54,66,25,38,31,5,16,20,1,5,10,161,/en/stats/leaderboard?page=serve,3,1,55,33,60,52,17,33,26,7,27,0,0,7,10,56,30,54,60,36,60,58,66,114,40,24,60,44,24,54,42,48,114,A,,,False,,F. Mantilla,M. Zabaleta,M535,Z073,ESP,ARG,,
