event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS020,R32,01:32:00,,F,3,F192,"0-6,6-1,6-2",R. Furlan,C. Pioline,,,ITA,FRA,0-6,6-1,6-2,,,01:32:00,250,/en/stats/leaderboard?page=serve,3,11,51,37,72,73,27,37,46,16,35,57,4,7.0,11,228,/en/stats/leaderboard?page=serve,3,2,63,35,56,63,22,35,43,9,21,20,1,5,10,60,43,72,45,25,56,53,68,128,55,31,56,40,29,72,47,60,128,A,,,,,,,,,R. Furlan,C. Pioline,F192,P226,ITA,FRA,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS021,R32,00:58:00,,F,2,V195,"6-1,6-2",F. Vicente,J. Burillo,,,ESP,ESP,6-1,6-2,,,,00:58:00,210,/en/stats/leaderboard?page=serve,,1,63,24,38,75,18,24,71,10,14,0,0,,7,165,/en/stats/leaderboard?page=serve,3,0,43,27,63,44,12,27,44,16,36,55,6,11,8,74,28,38,56,35,63,62,63,101,44,28,63,26,10,38,38,38,101,A,,,,,,False,,,F. Vicente,J. Burillo,V195,B429,ESP,ESP,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS022,R32,01:34:00,,F,3,S367,"6-2,4-6,6-3",M. Sinner,T. Nurminen,,,GER,FIN,6-2,4-6,6-3,,,01:34:00,252,/en/stats/leaderboard?page=serve,5,3,50,39,78,74,29,39,54,21,39,67,6,9.0,13,223,/en/stats/leaderboard?page=serve,3,4,63,54,86,61,33,54,41,13,32,50,6,12,14,64,50,78,47,40,86,55,90,164,53,46,86,36,28,78,45,74,164,A,,,,,,,,,M. Sinner,T. Nurminen,S367,N256,GER,FIN,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS023,R32,01:23:00,,F,2,L290,"6-4,6-4",N. Lapentti,B. Ulihrach,,,ECU,CZE,6-4,6-4,,,,01:23:00,214,/en/stats/leaderboard?page=serve,5,0,53,32,60,63,20,32,43,12,28,20,1,5.0,10,191,/en/stats/leaderboard?page=serve,3,2,61,46,75,43,20,46,48,14,29,67,12,18,10,53,32,60,55,41,75,54,73,135,45,34,75,47,28,60,46,62,135,A,,,,,,,,,N. Lapentti,B. Ulihrach,L290,U032,ECU,CZE,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS024,R32,02:06:00,,F,3,T243,"7-6(7),2-6,7-5",M. Tabara,R. Fromberg,,,CZE,AUS,7-6(7),2-6,7-5,,,02:06:00,255,/en/stats/leaderboard?page=serve,1,3,73,77,106,64,49,77,48,14,29,50,5,10.0,16,246,/en/stats/leaderboard?page=serve,8,10,51,58,114,66,38,58,52,29,56,56,5,9,16,59,63,106,41,47,114,50,110,220,59,67,114,41,43,106,50,110,220,A,7,3,,,,,,,M. Tabara,R. Fromberg,T243,F164,CZE,AUS,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS025,R32,01:18:00,,F,2,P254,"6-3,7-5",D. Pescariu,D. Prinosil,,,ROU,GER,6-3,7-5,,,,01:18:00,247,/en/stats/leaderboard?page=serve,4,1,66,50,76,66,33,50,46,12,26,50,3,6.0,11,190,/en/stats/leaderboard?page=serve,6,4,29,20,69,70,14,20,43,21,49,64,9,14,10,59,45,76,49,34,69,54,79,145,51,35,69,41,31,76,46,66,145,A,,,,,,,,,D. Pescariu,D. Prinosil,P254,P273,ROU,GER,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS026,R32,02:39:00,,F,3,S015,"1-6,7-5,7-6(13)",J. Sanchez,J. Golmard,,,ESP,FRA,1-6,7-5,7-6(13),,,02:39:00,236,/en/stats/leaderboard?page=serve,5,5,61,66,109,62,41,66,47,20,43,67,10,15.0,15,250,/en/stats/leaderboard?page=serve,8,6,57,73,127,66,48,73,54,29,54,75,12,16,16,56,61,109,39,50,127,47,111,236,61,77,127,44,48,109,53,125,236,A,,,,,,,13,11,J. Sanchez,J. Golmard,S015,G319,ESP,FRA,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS027,R32,01:24:00,,F,3,V151,"6-2,1-6,6-2",R. Vasek,K. Kucera,,,CZE,SVK,6-2,1-6,6-2,,,01:24:00,229,/en/stats/leaderboard?page=serve,6,0,59,37,63,59,22,37,54,14,26,0,0,4.0,11,196,/en/stats/leaderboard?page=serve,6,4,47,34,72,59,20,34,42,16,38,50,6,12,12,57,36,63,50,36,72,53,72,135,50,36,72,43,27,63,47,63,135,A,,,,,,,,,R. Vasek,K. Kucera,V151,K237,CZE,SVK,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS028,R32,01:27:00,,F,2,C031,"7-6(7),6-3",A. Chesnokov,J. Tarango,,,RUS,USA,7-6(7),6-3,,,,01:27:00,254,/en/stats/leaderboard?page=serve,4,2,62,44,71,70,31,44,44,12,27,50,2,4.0,10,211,/en/stats/leaderboard?page=serve,6,1,37,22,59,73,16,22,43,16,37,0,0,4,11,61,43,71,46,27,59,54,70,130,54,32,59,39,28,71,46,60,130,A,7,4,,,,,,,A. Chesnokov,J. Tarango,C031,T136,RUS,USA,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS029,R32,01:41:00,,F,2,P305,"7-5,6-3",A. Portas,H. Dreekmann,,,ESP,GER,7-5,6-3,,,,01:41:00,227,/en/stats/leaderboard?page=serve,8,2,48,40,83,68,27,40,47,20,43,81,13,16.0,10,172,/en/stats/leaderboard?page=serve,13,3,36,42,117,57,24,42,44,33,75,71,15,21,11,57,47,83,51,60,117,54,107,200,49,57,117,43,36,83,47,93,200,A,,,,,,,,,A. Portas,H. Dreekmann,P305,D249,ESP,GER,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS030,R32,01:36:00,,F,2,M443,"6-4,6-3",F. Meligeni,A. Cherkasov,,,BRA,RUS,6-4,6-3,,,,01:36:00,192,/en/stats/leaderboard?page=serve,7,0,44,27,62,74,20,27,31,11,35,44,4,9.0,10,156,/en/stats/leaderboard?page=serve,2,1,58,42,73,48,20,42,29,9,31,22,2,9,9,50,31,62,60,44,73,56,75,135,40,29,73,50,31,62,44,60,135,A,,,,,,,,,F. Meligeni,A. Cherkasov,M443,C260,BRA,RUS,,
379,1998,Prague,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,340000,$,MS031,R32,01:38:00,,F,3,K267,"4-6,6-3,6-3",Y. Kafelnikov,J. Novak,,,RUS,CZE,4-6,6-3,6-3,,,01:38:00,234,/en/stats/leaderboard?page=serve,6,0,56,50,89,62,31,50,51,20,39,56,5,9.0,14,213,/en/stats/leaderboard?page=serve,6,3,51,44,87,64,28,44,44,19,43,33,3,9,14,57,51,89,46,40,87,52,91,176,54,47,87,43,38,89,48,85,176,A,,,,,,,,,Y. Kafelnikov,J. Novak,K267,N254,RUS,CZE,,
