event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS001,F,01:37:00,,F,3,K148,"7-6(8),6-2,6-4",P. Korda,R. Krajicek,,,CZE,NED,7-6(8),6-2,6-4,,,01:37:00,8,6,211,/en/stats/leaderboard?page=serve,2,2,58,50,86,78,39,50,75,27,36,0,0,,15,289,/en/stats/leaderboard?page=serve,3,15,70,57,82,79,45,57,48,12,25,25,1,4,15,77,66,86,30,25,82,54,91,168,70,57,82,23,20,86,46,77,168,A,,,,,,,P. Korda,R. Krajicek,K148,K214,CZE,NED,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS002,SF,01:28:00,,F,3,K214,"6-4,3-6,6-3",R. Krajicek,J. Bjorkman,,,NED,SWE,6-4,3-6,6-3,,,01:28:00,,,311,/en/stats/leaderboard?page=serve,3,21,62,47,76,91,43,47,48,14,29,80,4,5,14,278,/en/stats/leaderboard?page=serve,5,2,56,43,77,72,31,43,68,23,34,71,5,7,14,75,57,76,30,23,77,52,80,153,70,54,77,25,19,76,48,73,153,A,,,,,,,R. Krajicek,J. Bjorkman,K214,B446,NED,SWE,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS003,SF,01:30:00,,F,2,K148,"6-4,7-6(7)",P. Korda,P. Rafter,,,CZE,AUS,6-4,7-6(7),,,,01:30:00,,,276,/en/stats/leaderboard?page=serve,7,6,55,40,73,80,32,40,52,17,33,80,4,5,11,268,/en/stats/leaderboard?page=serve,5,9,55,42,77,74,31,42,54,19,35,75,6,8,11,67,49,73,35,27,77,51,76,150,65,50,77,33,24,73,49,74,150,A,7,3,,,,,P. Korda,P. Rafter,K148,R255,CZE,AUS,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS004,QF,00:54:00,,F,2,K214,"6-2,7-5",R. Krajicek,M. Larsson,,,NED,SWE,6-2,7-5,,,,00:54:00,,,295,/en/stats/leaderboard?page=serve,3,6,55,28,51,82,23,28,65,15,23,50,1,2,10,227,/en/stats/leaderboard?page=serve,5,2,62,32,52,63,20,32,45,9,20,33,2,6,10,75,38,51,44,23,52,59,61,103,56,29,52,25,13,51,41,42,103,A,,,,,,,R. Krajicek,M. Larsson,K214,L206,NED,SWE,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS005,QF,01:24:00,,F,2,B446,"6-4,6-2",J. Bjorkman,N. Kiefer,,,SWE,GER,6-4,6-2,,,,01:24:00,,,226,/en/stats/leaderboard?page=serve,3,1,44,28,63,75,21,28,43,15,35,63,5,8,9,170,/en/stats/leaderboard?page=serve,6,5,46,35,76,51,18,35,41,17,41,50,6,12,9,57,36,63,54,41,76,55,77,139,46,35,76,43,27,63,45,62,139,A,,,,,,,J. Bjorkman,N. Kiefer,B446,K316,SWE,GER,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS006,QF,02:24:00,,F,3,R255,"4-6,7-6(9),6-4",P. Rafter,T. Martin,,,AUS,USA,4-6,7-6(9),6-4,,,02:24:00,,,274,/en/stats/leaderboard?page=serve,7,16,60,68,114,74,50,68,50,23,46,63,5,8,16,261,/en/stats/leaderboard?page=serve,6,5,59,69,117,72,50,69,50,24,48,67,6,9,16,64,73,114,37,43,117,50,116,231,63,74,117,36,41,114,50,115,231,A,9,7,,,,,P. Rafter,T. Martin,R255,M442,AUS,USA,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS007,QF,01:11:00,,F,2,K148,"6-3,6-4",P. Korda,M. Rios,,,CZE,CHI,6-3,6-4,,,,01:11:00,,,279,/en/stats/leaderboard?page=serve,3,7,48,27,56,89,24,27,48,14,29,50,1,2,10,220,/en/stats/leaderboard?page=serve,6,1,49,34,69,59,20,34,51,18,35,67,6,9,9,68,38,56,45,31,69,55,69,125,55,38,69,32,18,56,45,56,125,A,,,,,,,P. Korda,M. Rios,K148,R286,CZE,CHI,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS008,R16,01:00:00,,F,2,K214,"6-4,6-4",R. Krajicek,P. Sampras,,,NED,USA,6-4,6-4,,,,01:00:00,,,274,/en/stats/leaderboard?page=serve,2,9,50,30,60,80,24,30,67,20,30,,0,,10,280,/en/stats/leaderboard?page=serve,,5,60,32,53,78,25,32,57,12,21,60,3,5,10,73,44,60,30,16,53,53,60,113,70,37,53,27,16,60,47,53,113,A,,,False,,,,R. Krajicek,P. Sampras,K214,S402,NED,USA,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS009,R16,01:17:00,,F,2,L206,"6-3,7-5",M. Larsson,F. Santoro,,,SWE,FRA,6-3,7-5,,,,01:17:00,,,276,/en/stats/leaderboard?page=serve,4,6,61,38,62,82,31,38,50,12,24,33,1,3,11,226,/en/stats/leaderboard?page=serve,2,4,60,44,73,66,29,44,38,11,29,56,5,9,10,69,43,62,45,33,73,56,76,135,55,40,73,31,19,62,44,59,135,A,,,,,,,M. Larsson,F. Santoro,L206,S424,SWE,FRA,,
357,1997,ATP Masters 1000 Stuttgart,1000,1997-10-20T00:00:00,1997-10-26T00:00:00,Carpet,48,2050000,$,MS010,R16,01:53:00,,F,3,B446,"6-2,3-6,6-3",J. Bjorkman,T. Henman,,,SWE,GBR,6-2,3-6,6-3,,,01:53:00,,,284,/en/stats/leaderboard?page=serve,2,3,61,52,85,75,39,52,55,18,33,80,4,5,13,249,/en/stats/leaderboard?page=serve,9,10,42,37,89,84,31,37,46,24,52,50,3,6,13,67,57,85,38,34,89,52,91,174,62,55,89,33,28,85,48,83,174,A,,,,,,,J. Bjorkman,T. Henman,B446,H336,SWE,GBR,,
