event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS012,R16,02:15:00,,F,3,R286,"7-6(8),4-6,7-6(9)",M. Rios,D. Nestor,,,CHI,CAN,7-6(8),4-6,7-6(9),,,02:15:00,292,/en/stats/leaderboard?page=serve,1,14,65,80,124,78,62,80,48,21,44,60,3,5,17,300,/en/stats/leaderboard?page=serve,7,20,67,84,125,80,67,84,46,19,41,89,8,9,17,67,83,124,31,39,125,49,122,249,69,86,125,33,41,124,51,127,249,A,,9,7,8,6,,,,M. Rios,D. Nestor,R286,N210,CHI,CAN,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS013,R16,00:55:00,,F,2,C378,"6-3,6-3",A. Costa,J. Burillo,,,ESP,ESP,6-3,6-3,,,,00:55:00,323,/en/stats/leaderboard?page=serve,,4,71,30,42,77,23,30,83,10,12,50,1,2,9,213,/en/stats/leaderboard?page=serve,4,7,47,29,62,72,21,29,36,12,33,43,3,7,9,79,33,42,47,29,62,60,62,104,53,33,62,21,9,42,40,42,104,A,,,,,,False,,,A. Costa,J. Burillo,C378,B429,ESP,ESP,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS015,R16,01:19:00,,F,2,E004,"7-5,6-2",S. Edberg,T. Martin,,,SWE,USA,7-5,6-2,,,,01:19:00,267,/en/stats/leaderboard?page=serve,6,2,50,35,70,71,25,35,60,21,35,88,7,8,10,244,/en/stats/leaderboard?page=serve,3,7,66,39,59,54,21,39,60,12,20,20,1,5,10,66,46,70,44,26,59,56,72,129,56,33,59,34,24,70,44,57,129,A,,,,,,,,,S. Edberg,T. Martin,E004,M442,SWE,USA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS016,R32,01:00:00,,F,2,F196,"7-5,6-1",W. Ferreira,S. Schalken,,,RSA,NED,7-5,6-1,,,,01:00:00,295,/en/stats/leaderboard?page=serve,1,6,50,26,52,96,25,26,54,14,26,50,1,2,10,219,/en/stats/leaderboard?page=serve,4,3,57,34,60,62,21,34,46,12,26,67,8,12,9,75,39,52,45,27,60,59,66,112,55,33,60,25,13,52,41,46,112,A,,,,,,,,,W. Ferreira,S. Schalken,F196,S572,RSA,NED,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS017,R32,01:49:00,,F,3,S321,"6-2,4-6,6-2",B. Steven,B. Karbacher,,,NZL,GER,6-2,4-6,6-2,,,01:49:00,276,/en/stats/leaderboard?page=serve,2,7,64,51,80,75,38,51,48,14,29,33,1,3,13,228,/en/stats/leaderboard?page=serve,2,9,47,40,86,65,26,40,48,22,46,44,4,9,13,65,52,80,44,38,86,54,90,166,56,48,86,35,28,80,46,76,166,A,,,,,,,,,B. Steven,B. Karbacher,S321,K190,NZL,GER,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS018,R32,00:58:00,,F,2,G354,"6-4,6-2",J. Gimelstob,K. Kucera,,,USA,SVK,6-4,6-2,,,,00:58:00,245,/en/stats/leaderboard?page=serve,3,5,66,33,50,76,25,33,35,6,17,25,1,4,9,175,/en/stats/leaderboard?page=serve,3,1,63,37,59,54,20,37,27,6,22,25,2,8,9,62,31,50,56,33,59,59,64,109,44,26,59,38,19,50,41,45,109,A,,,,,,,,,J. Gimelstob,K. Kucera,G354,K237,USA,SVK,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS019,R32,01:39:00,,F,3,B446,"6-4,3-6,6-1",J. Bjorkman,H. Gumy,,,SWE,ARG,6-4,3-6,6-1,,,01:39:00,266,/en/stats/leaderboard?page=serve,3,4,48,38,79,84,32,38,49,20,41,33,1,3,13,233,/en/stats/leaderboard?page=serve,7,4,54,45,83,58,26,45,55,21,38,43,3,7,13,66,52,79,43,36,83,54,88,162,57,47,83,34,27,79,46,74,162,A,,,,,,,,,J. Bjorkman,H. Gumy,B446,G247,SWE,ARG,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS020,R32,01:11:00,,F,2,B428,"6-4,7-5",A. Berasategui,M. Washington,,,ESP,USA,6-4,7-5,,,,01:11:00,265,/en/stats/leaderboard?page=serve,2,1,78,57,73,60,34,57,56,9,16,70,7,10,11,211,/en/stats/leaderboard?page=serve,4,6,53,31,58,65,20,31,37,10,27,17,1,6,11,59,43,73,48,28,58,54,71,131,52,30,58,41,30,73,46,60,131,A,,,,,,,,,A. Berasategui,M. Washington,B428,W124,ESP,USA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS022,R32,00:54:00,,F,2,R016,"6-3,6-1",R. Reneberg,J. Waite,,,USA,USA,6-3,6-1,,,,00:54:00,297,/en/stats/leaderboard?page=serve,,0,56,24,43,75,18,24,79,15,19,,0,,8,205,/en/stats/leaderboard?page=serve,2,2,65,34,52,62,21,34,28,5,18,20,1,5,8,77,33,43,50,26,52,62,59,95,50,26,52,23,10,43,38,36,95,A,,,,,,False,,,R. Reneberg,J. Waite,R016,W195,USA,USA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS023,R32,01:25:00,,F,2,M048,"6-1,7-6(7)",P. McEnroe,G. Schaller,,,USA,AUT,6-1,7-6(7),,,,01:25:00,263,/en/stats/leaderboard?page=serve,2,3,59,42,71,64,27,42,59,17,29,78,7,9,10,207,/en/stats/leaderboard?page=serve,3,4,59,32,54,69,22,32,23,5,22,56,5,9,9,62,44,71,50,27,54,57,71,125,50,27,54,38,27,71,43,54,125,A,,,,,,,7,1,P. McEnroe,G. Schaller,M048,S315,USA,AUT,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS024,R32,00:52:00,,F,2,R286,"6-1,6-4",M. Rios,A. Chesnokov,,,CHI,RUS,6-1,6-4,,,,00:52:00,227,/en/stats/leaderboard?page=serve,1,5,62,28,45,79,22,28,82,14,17,0,0,,9,221,/en/stats/leaderboard?page=serve,2,2,54,26,48,69,18,26,36,8,22,40,2,5,8,80,36,45,46,22,48,62,58,93,54,26,48,20,9,45,38,35,93,A,,,,,,,,,M. Rios,A. Chesnokov,R286,C031,CHI,RUS,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS025,R32,01:05:00,,F,2,N210,"6-3,6-4",D. Nestor,L. Jensen,,,CAN,USA,6-3,6-4,,,,01:05:00,271,/en/stats/leaderboard?page=serve,9,7,62,42,68,79,33,42,42,11,26,86,6,7,10,241,/en/stats/leaderboard?page=serve,4,5,57,31,54,74,23,31,43,10,23,57,4,7,9,65,44,68,39,21,54,53,65,122,61,33,54,35,24,68,47,57,122,A,,,,,,,,,D. Nestor,L. Jensen,N210,J009,CAN,USA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS026,R32,02:06:00,,F,3,B429,"3-6,6-3,6-4",J. Burillo,A. Corretja,,,ESP,ESP,3-6,6-3,6-4,,,02:06:00,256,/en/stats/leaderboard?page=serve,7,7,39,44,113,77,34,44,55,38,69,83,10,12,14,248,/en/stats/leaderboard?page=serve,5,6,66,64,97,73,47,64,30,10,33,67,6,9,14,64,72,113,41,40,97,53,112,210,59,57,97,36,41,113,47,98,210,A,,,,,,,,,J. Burillo,A. Corretja,B429,C344,ESP,ESP,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS027,R32,01:31:00,,F,2,C378,"7-5,6-4",A. Costa,C. Costa,,,ESP,ESP,7-5,6-4,,,,01:31:00,244,/en/stats/leaderboard?page=serve,2,1,65,57,88,63,36,57,45,14,31,75,9,12,11,212,/en/stats/leaderboard?page=serve,5,5,63,47,75,66,31,47,29,8,28,44,4,9,11,57,50,88,48,36,75,53,86,163,52,39,75,43,38,88,47,77,163,A,,,,,,,,,A. Costa,C. Costa,C378,C179,ESP,ESP,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS028,R32,01:18:00,,F,2,L206,"7-6(7),6-1",M. Larsson,M. Ondruska,,,SWE,RSA,7-6(7),6-1,,,,01:18:00,259,/en/stats/leaderboard?page=serve,2,8,55,33,60,76,25,33,52,14,27,40,2,5,10,188,/en/stats/leaderboard?page=serve,5,3,47,31,66,65,20,31,34,12,35,17,1,6,9,65,39,60,52,34,66,58,73,126,48,32,66,35,21,60,42,53,126,A,,,,7,4,,,,M. Larsson,M. Ondruska,L206,O098,SWE,RSA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS029,R32,01:29:00,,F,2,S443,"7-6(7),6-3",S. Stolle,Y. El Aynaoui,,,AUS,MAR,7-6(7),6-3,,,,01:29:00,271,/en/stats/leaderboard?page=serve,3,11,59,40,68,78,31,40,46,13,28,67,4,6,10,223,/en/stats/leaderboard?page=serve,3,1,55,46,83,61,28,46,46,17,37,64,7,11,11,65,44,68,46,38,83,54,82,151,54,45,83,35,24,68,46,69,151,A,,,,7,5,,,,S. Stolle,Y. El Aynaoui,S443,E121,AUS,MAR,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS030,R32,01:25:00,,F,2,E004,"7-5,6-3",S. Edberg,S. Pescosolido,,,SWE,ITA,7-5,6-3,,,,01:25:00,238,/en/stats/leaderboard?page=serve,7,4,53,33,62,70,23,33,48,14,29,50,3,6,10,193,/en/stats/leaderboard?page=serve,3,5,48,37,77,68,25,37,30,12,40,60,9,15,11,60,37,62,52,40,77,55,77,139,48,37,77,40,25,62,45,62,139,A,,,,,,,,,S. Edberg,S. Pescosolido,E004,P235,SWE,ITA,,
433,1996,Scottsdale,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Hard,32,303000,$,MS031,R32,01:07:00,,F,2,M442,"6-4,6-3",T. Martin,S. Draper,,,USA,AUS,6-4,6-3,,,,01:07:00,281,/en/stats/leaderboard?page=serve,5,3,54,31,57,77,24,31,62,16,26,83,5,6,10,219,/en/stats/leaderboard?page=serve,3,0,40,22,55,64,14,22,52,17,33,40,2,5,9,70,40,57,44,24,55,57,64,112,56,31,55,30,17,57,43,48,112,A,,,,,,,,,T. Martin,S. Draper,M442,D270,USA,AUS,,
