event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS012,R16,01:16:00,,F,2,T136,"6-2,6-4",J. Tarango,D. Prinosil,,,USA,GER,6-2,6-4,,,,01:16:00,266,/en/stats/leaderboard?page=serve,2,3,69,44,64,64,28,44,55,11,20,2,9,182,/en/stats/leaderboard?page=serve,6,5,30,19,63,68,13,19,41,18,44,58,7,12,9,61,39,64,51,32,63,56,71,127,49,31,63,39,25,64,44,56,127,A,,,,,50,4,,,,J. Tarango,D. Prinosil,T136,P273,USA,GER,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS013,R16,01:25:00,,F,2,B446,"6-4,6-2",J. Bjorkman,J. Stark,,,SWE,USA,6-4,6-2,,,,01:25:00,244,/en/stats/leaderboard?page=serve,1,1,47,28,60,64,18,28,56,18,32,1,9,200,/en/stats/leaderboard?page=serve,1,2,56,40,72,55,22,40,44,14,32,44,4,9,9,60,36,60,50,36,72,55,72,132,50,36,72,40,24,60,45,60,132,A,,,,,33,3,,,,J. Bjorkman,J. Stark,B446,S403,SWE,USA,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS014,R16,01:49:00,,F,3,D270,"7-6(7),1-6,6-3",S. Draper,B. Ulihrach,,,AUS,CZE,7-6(7),1-6,6-3,,,01:49:00,269,/en/stats/leaderboard?page=serve,,6,53,55,104,76,42,55,49,24,49,10,14,272,/en/stats/leaderboard?page=serve,3,3,50,49,98,69,34,49,61,30,49,89,8,9,14,63,66,104,35,34,98,50,100,202,65,64,98,37,38,104,50,102,202,A,7,2,,,83,12,,,False,S. Draper,B. Ulihrach,D270,U032,AUS,CZE,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS015,R16,01:16:00,,F,2,K237,"6-3,6-4",K. Kucera,M. Woodforde,,,SVK,AUS,6-3,6-4,,,,01:16:00,264,/en/stats/leaderboard?page=serve,3,2,55,29,53,72,21,29,58,14,24,0,10,224,/en/stats/leaderboard?page=serve,2,3,65,45,69,53,24,45,50,12,24,64,7,11,9,66,35,53,48,33,69,56,68,122,52,36,69,34,18,53,44,54,122,A,,,,,0,2,,,,K. Kucera,M. Woodforde,K237,W035,SVK,AUS,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS016,R32,00:49:00,,F,2,T166,"6-2,6-2",M. Tillstrom,Y. Kafelnikov,,,SWE,RUS,6-2,6-2,,,,00:49:00,265,/en/stats/leaderboard?page=serve,,2,57,29,51,72,21,29,59,13,22,0,8,188,/en/stats/leaderboard?page=serve,2,1,38,18,47,39,7,18,62,18,29,56,5,9,8,67,34,51,47,22,47,57,56,98,53,25,47,33,17,51,43,42,98,A,,,,,,,,,False,M. Tillstrom,Y. Kafelnikov,T166,K267,SWE,RUS,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS017,R32,01:03:00,,F,2,B397,"6-4,6-3",B. Black,K. Carlsen,,,ZIM,DEN,6-4,6-3,,,,01:03:00,297,/en/stats/leaderboard?page=serve,2,3,73,46,63,74,34,46,59,10,17,0,10,265,/en/stats/leaderboard?page=serve,3,10,54,25,46,84,21,25,43,9,21,33,1,3,9,70,44,63,35,16,46,55,60,109,65,30,46,30,19,63,45,49,109,A,,,,,,,,,,B. Black,K. Carlsen,B397,C328,ZIM,DEN,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS018,R32,01:18:00,,F,2,R255,"6-4,6-3",P. Rafter,J. Salzenstein,,,AUS,USA,6-4,6-3,,,,01:18:00,294,/en/stats/leaderboard?page=serve,1,3,59,36,61,75,27,36,68,17,25,0,10,247,/en/stats/leaderboard?page=serve,2,1,56,36,64,69,25,36,46,13,28,71,5,7,9,72,44,61,41,26,64,56,70,125,59,38,64,28,17,61,44,55,125,A,,,,,,,,,,P. Rafter,J. Salzenstein,R255,S564,AUS,USA,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS019,R32,02:21:00,,F,3,C260,"4-6,6-4,6-4",A. Cherkasov,R. Furlan,,,RUS,ITA,4-6,6-4,6-4,,,02:21:00,258,/en/stats/leaderboard?page=serve,1,1,64,67,104,73,49,67,41,15,37,7,15,241,/en/stats/leaderboard?page=serve,3,3,53,51,97,78,40,51,37,17,46,60,6,10,15,62,64,104,41,40,97,52,104,201,59,57,97,38,40,104,48,97,201,A,,,,,70,10,,,,A. Cherkasov,R. Furlan,C260,F192,RUS,ITA,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS020,R32,01:47:00,,F,3,W136,"4-6,6-3,6-3",T. Woodbridge,D. Vacek,,,AUS,CZE,4-6,6-3,6-3,,,01:47:00,275,/en/stats/leaderboard?page=serve,6,1,59,53,90,75,40,53,54,20,37,4,14,255,/en/stats/leaderboard?page=serve,4,7,48,41,85,76,31,41,50,22,44,40,2,5,14,67,60,90,38,32,85,53,92,175,62,53,85,33,30,90,47,83,175,A,,,,,80,5,,,,T. Woodbridge,D. Vacek,W136,V141,AUS,CZE,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS021,R32,02:12:00,,F,3,N254,"7-5,1-6,7-6(7)",J. Novak,M. Tebbutt,,,CZE,AUS,7-5,1-6,7-6(7),,,02:12:00,262,/en/stats/leaderboard?page=serve,4,4,68,80,117,65,52,80,49,18,37,9,15,268,/en/stats/leaderboard?page=serve,9,18,43,50,115,80,40,50,49,32,65,80,8,10,16,60,70,117,37,43,115,49,113,232,63,72,115,40,47,117,51,119,232,A,,,,,75,12,7,4,,J. Novak,M. Tebbutt,N254,T195,CZE,AUS,,
