event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS013,R16,02:13:00,,F,3,N250,"6-4,6-7(4),6-2",M. Norman,C. Costa,,,SWE,ESP,6-4,6-7(4),6-2,,,02:13:00,232,/en/stats/leaderboard?page=serve,1,3,50,49,98,57,28,49,57,28,49,62,8,13,15,204,/en/stats/leaderboard?page=serve,,2,59,54,92,56,30,54,45,17,38,38,5,13,15,57,56,98,49,45,92,53,101,190,51,47,92,43,42,98,47,89,190,A,,,4,4,7,,M. Norman,C. Costa,N250,C179,SWE,ESP,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS014,R16,01:12:00,,F,2,C031,"6-3,6-0",A. Chesnokov,T. El Sawy,,,RUS,EGY,6-3,6-0,,,,01:12:00,268,/en/stats/leaderboard?page=serve,2,0,67,34,51,71,24,34,47,8,17,80,4,5,7,179,/en/stats/leaderboard?page=serve,False,0,66,37,56,46,17,37,42,8,19,33,3,9,8,63,32,51,55,31,56,59,63,107,45,25,56,37,19,51,41,44,107,A,,,,,,,A. Chesnokov,T. El Sawy,C031,E146,RUS,EGY,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS015,R16,01:29:00,,F,2,M605,"6-1,7-6(10)",C. Moya,F. Mantilla,,,ESP,ESP,6-1,7-6(10),,,,01:29:00,271,/en/stats/leaderboard?page=serve,1,0,60,39,65,74,29,39,50,13,26,83,5,6,9,232,/en/stats/leaderboard?page=serve,,1,69,57,83,53,30,57,50,13,26,60,6,10,10,65,42,65,48,40,83,55,82,148,52,43,83,35,23,65,45,66,148,A,,,1,10,8,,C. Moya,F. Mantilla,M605,M535,ESP,ESP,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS016,R32,01:45:00,,F,3,S315,"2-6,6-1,6-1",G. Schaller,T. Champion,,,AUT,FRA,2-6,6-1,6-1,,,01:45:00,266,/en/stats/leaderboard?page=serve,1,2,68,43,63,65,28,43,60,12,20,0,0,3,11,210,/en/stats/leaderboard?page=serve,,1,68,47,69,47,22,47,50,11,22,57,8,14,11,63,40,63,52,36,69,58,76,132,48,33,69,37,23,63,42,56,132,A,,,1,,,,G. Schaller,T. Champion,S315,C028,AUT,FRA,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS017,R32,01:14:00,,F,2,G252,"6-2,7-5",M. Goellner,O. Gross,,,GER,GER,6-2,7-5,,,,01:14:00,273,/en/stats/leaderboard?page=serve,2,4,47,28,60,75,21,28,59,19,32,67,2,3,10,223,/en/stats/leaderboard?page=serve,,1,53,33,62,64,21,33,48,14,29,50,4,8,10,67,40,60,44,27,62,55,67,122,56,35,62,33,20,60,45,55,122,A,,,3,,,,M. Goellner,O. Gross,G252,G297,GER,GER,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS018,R32,00:57:00,,F,2,F164,"6-0,6-4",R. Fromberg,J. Golmard,,,AUS,FRA,6-0,6-4,,,,00:57:00,253,/en/stats/leaderboard?page=serve,,5,76,29,38,83,24,29,89,8,9,0,0,,8,196,/en/stats/leaderboard?page=serve,,1,54,29,54,59,17,29,40,10,25,0,0,4,8,84,32,38,50,27,54,64,59,92,50,27,54,16,6,38,36,33,92,A,,,8,,,False,R. Fromberg,J. Golmard,F164,G319,AUS,FRA,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS019,R32,01:19:00,,F,2,C113,"6-2,6-4",J. Cunha-Silva,J. Arrese,,,POR,ESP,6-2,6-4,,,,01:19:00,260,/en/stats/leaderboard?page=serve,1,4,49,21,43,81,17,21,50,11,22,0,0,2,9,202,/en/stats/leaderboard?page=serve,,0,68,42,62,50,21,42,45,9,20,58,7,12,9,65,28,43,52,32,62,57,60,105,48,30,62,35,15,43,43,45,105,A,,,5,,,,J. Cunha-Silva,J. Arrese,C113,A034,POR,ESP,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS020,R32,01:02:00,,F,2,N254,"6-1,6-2",J. Novak,S. Noszaly,,,CZE,HUN,6-1,6-2,,,,01:02:00,272,/en/stats/leaderboard?page=serve,1,0,61,22,36,77,17,22,50,7,14,0,0,1,7,153,/en/stats/leaderboard?page=serve,,1,50,25,50,44,11,25,36,9,25,25,2,8,8,67,24,36,60,30,50,63,54,86,40,20,50,33,12,36,37,32,86,A,,,3,,,,J. Novak,S. Noszaly,N254,N112,CZE,HUN,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS021,R32,02:25:00,,F,3,M548,"3-6,6-3,6-4",F. Maggi,K. Goossens,,,ITA,BEL,3-6,6-3,6-4,,,02:25:00,255,/en/stats/leaderboard?page=serve,,0,62,56,90,57,32,56,65,22,34,56,5,9,14,229,/en/stats/leaderboard?page=serve,,1,69,74,108,66,49,74,32,11,34,64,9,14,14,60,54,90,44,48,108,52,102,198,56,60,108,40,36,90,48,96,198,A,,,3,,,False,F. Maggi,K. Goossens,M548,G285,ITA,BEL,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS022,R32,01:43:00,,F,2,A226,"6-2,7-6(7)",H. Arazi,F. Santoro,,,MAR,FRA,6-2,7-6(7),,,,01:43:00,204,/en/stats/leaderboard?page=serve,2,1,55,34,62,50,17,34,50,14,28,29,2,7,10,177,/en/stats/leaderboard?page=serve,,0,66,54,82,54,29,54,29,8,28,53,8,15,10,50,31,62,55,45,82,53,76,144,45,37,82,50,31,62,47,68,144,A,,,2,7,5,,H. Arazi,F. Santoro,A226,S424,MAR,FRA,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS023,R32,01:19:00,,F,2,B428,"6-2,6-3",A. Berasategui,M. Filippini,,,ESP,URU,6-2,6-3,,,,01:19:00,287,/en/stats/leaderboard?page=serve,1,1,67,29,43,83,24,29,50,7,14,67,2,3,8,210,/en/stats/leaderboard?page=serve,,1,68,60,88,50,30,60,50,14,28,69,11,16,9,72,31,43,50,44,88,57,75,131,50,44,88,28,12,43,43,56,131,A,,,3,,,,A. Berasategui,M. Filippini,B428,F165,ESP,URU,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS024,R32,00:51:00,,F,2,B429,"6-2,6-1",J. Burillo,C. Ruud,,,ESP,NOR,6-2,6-1,,,,00:51:00,291,/en/stats/leaderboard?page=serve,1,0,68,34,50,68,23,34,69,11,16,75,3,4,8,136,/en/stats/leaderboard?page=serve,,0,48,16,33,38,6,16,24,4,17,0,0,5,7,68,34,50,70,23,33,69,57,83,30,10,33,32,16,50,31,26,83,A,,,2,,,,J. Burillo,C. Ruud,B429,R219,ESP,NOR,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS025,R32,01:49:00,,F,3,C216,"4-6,7-6(7),6-0",T. Carbonell,D. Rikl,,,ESP,CZE,4-6,7-6(7),6-0,,,01:49:00,269,/en/stats/leaderboard?page=serve,1,4,67,56,84,75,42,56,46,13,28,40,2,5,14,224,/en/stats/leaderboard?page=serve,,2,53,50,95,66,33,50,40,18,45,62,8,13,14,65,55,84,46,44,95,55,99,179,54,51,95,35,29,84,45,80,179,A,,,1,7,2,,T. Carbonell,D. Rikl,C216,R203,ESP,CZE,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS026,R32,01:40:00,,F,2,N250,"6-3,7-6(7)",M. Norman,P. Baur,,,SWE,GER,6-3,7-6(7),,,,01:40:00,242,/en/stats/leaderboard?page=serve,1,0,78,50,64,66,33,50,36,5,14,33,2,6,11,228,/en/stats/leaderboard?page=serve,False,2,79,44,56,39,17,44,58,7,12,0,0,5,10,59,38,64,57,32,56,58,70,120,43,24,56,41,26,64,42,50,120,A,,,,7,1,,M. Norman,P. Baur,N250,B293,SWE,GER,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS027,R32,01:01:00,,F,2,C179,"6-1,6-1",C. Costa,J. Marin,,,ESP,CRC,6-1,6-1,,,,01:01:00,264,/en/stats/leaderboard?page=serve,1,3,48,24,50,71,17,24,58,15,26,83,5,6,7,147,/en/stats/leaderboard?page=serve,,0,60,30,50,40,12,30,35,7,20,57,8,14,7,64,32,50,62,31,50,63,63,100,38,19,50,36,18,50,37,37,100,A,,,2,,,,C. Costa,J. Marin,C179,M578,ESP,CRC,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS028,R32,01:10:00,,F,2,E146,"6-1,6-3",T. El Sawy,N. Marques,,,EGY,POR,6-1,6-3,,,,01:10:00,318,/en/stats/leaderboard?page=serve,1,0,88,37,42,84,31,37,60,3,5,,0,,8,227,/en/stats/leaderboard?page=serve,False,0,90,45,50,47,21,45,40,2,5,43,3,7,8,81,34,42,54,27,50,66,61,92,46,23,50,19,8,42,34,31,92,A,,,,,,,T. El Sawy,N. Marques,E146,M197,EGY,POR,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS029,R32,01:55:00,,F,3,C031,"6-1,3-6,6-4",A. Chesnokov,J. Palmer,,,RUS,USA,6-1,3-6,6-4,,,01:55:00,226,/en/stats/leaderboard?page=serve,2,1,72,59,82,63,37,59,39,9,23,54,7,13,13,182,/en/stats/leaderboard?page=serve,,4,49,43,88,60,26,43,38,17,45,56,10,18,13,56,46,82,51,45,88,54,91,170,49,43,88,44,36,82,46,79,170,A,,,7,,,,A. Chesnokov,J. Palmer,C031,P233,RUS,USA,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS030,R32,01:18:00,,F,2,M535,"6-4,6-2",F. Mantilla,R. Carretero,,,ESP,ESP,6-4,6-2,,,,01:18:00,295,/en/stats/leaderboard?page=serve,,1,91,52,57,63,33,52,60,3,5,71,5,7,10,215,/en/stats/leaderboard?page=serve,,0,63,39,62,54,21,39,48,11,23,33,2,6,9,63,36,57,48,30,62,55,66,119,52,32,62,37,21,57,45,53,119,A,,,5,,,False,F. Mantilla,R. Carretero,M535,C383,ESP,ESP,,
360,1996,Casablanca,GP,1996-03-25T00:00:00,1996-03-31T00:00:00,Clay,32,203000,$,MS031,R32,01:15:00,,F,2,M605,"7-5,6-0",C. Moya,B. Ulihrach,,,ESP,CZE,7-5,6-0,,,,01:15:00,261,/en/stats/leaderboard?page=serve,1,1,61,37,61,73,27,37,50,12,24,71,5,7,9,168,/en/stats/leaderboard?page=serve,,3,51,32,63,53,17,32,32,10,31,63,10,16,9,64,39,61,57,36,63,60,75,124,43,27,63,36,22,61,40,49,124,A,,,4,,,,C. Moya,B. Ulihrach,M605,U032,ESP,CZE,,
