event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS016,R32,01:01:00,,F,2,R286,"6-2,6-4",M. Rios,S. Campbell,,,CHI,USA,6-2,6-4,,,,01:01:00,233,/en/stats/leaderboard?page=serve,2,9,61,27,44,89,24,27,76,13,17,0,9,231,/en/stats/leaderboard?page=serve,,1,63,40,63,68,27,40,35,8,23,63,5,8,9,84,37,44,44,28,63,61,65,107,56,35,63,16,7,44,39,42,107,A,,,2,,,,0,,,,M. Rios,S. Campbell,R286,C355,CHI,USA,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS017,R32,01:20:00,,F,2,S544,"7-6(7),6-4",V. Spadea,J. Sanchez,,,USA,ESP,7-6(7),6-4,,,,01:20:00,300,/en/stats/leaderboard?page=serve,1,3,73,55,75,75,41,55,60,12,20,0,11,298,/en/stats/leaderboard?page=serve,False,4,75,50,67,70,35,50,59,10,17,50,1,2,11,71,53,75,33,22,67,53,75,142,67,45,67,29,22,75,47,67,142,A,,,,7,1,,,,,,V. Spadea,J. Sanchez,S544,S015,USA,ESP,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS018,R32,00:49:00,,F,2,S406,"6-1,6-3",G. Stafford,T. Haas,,,RSA,GER,6-1,6-3,,,,00:49:00,287,/en/stats/leaderboard?page=serve,2,7,50,20,40,90,18,20,55,11,20,0,8,194,/en/stats/leaderboard?page=serve,,2,75,39,52,51,20,39,31,4,13,38,3,8,8,73,29,40,54,28,52,62,57,92,46,24,52,28,11,40,38,35,92,A,,,2,,,,0,1,,,G. Stafford,T. Haas,S406,H355,RSA,GER,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS019,R32,01:44:00,,F,3,A272,"4-6,6-3,6-3",J. Alonso,M. Washington,,,ESP,USA,4-6,6-3,6-3,,,01:44:00,281,/en/stats/leaderboard?page=serve,4,12,51,39,77,74,29,39,63,24,38,1,14,236,/en/stats/leaderboard?page=serve,,5,59,63,107,63,40,63,45,20,44,73,11,15,14,69,53,77,44,47,107,54,100,184,56,60,107,31,24,77,46,84,184,A,,,7,,,,33,3,,,J. Alonso,M. Washington,A272,W124,ESP,USA,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS020,R32,00:47:00,,F,2,P338,"6-1,6-2",M. Philippoussis,W. Black,,,AUS,ZIM,6-1,6-2,,,,00:47:00,296,/en/stats/leaderboard?page=serve,1,18,67,31,46,84,26,31,53,8,15,0,8,201,/en/stats/leaderboard?page=serve,False,0,64,25,39,52,13,25,43,6,14,20,1,5,7,74,34,46,51,20,39,64,54,85,49,19,39,26,12,46,36,31,85,A,,,,,,,,,,,M. Philippoussis,W. Black,P338,B499,AUS,ZIM,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS021,R32,01:50:00,,F,3,S572,"4-6,6-3,6-4",S. Schalken,T. Nydahl,,,NED,SWE,4-6,6-3,6-4,,,01:50:00,298,/en/stats/leaderboard?page=serve,4,15,64,56,88,80,45,56,50,16,32,4,15,271,/en/stats/leaderboard?page=serve,,3,56,47,84,77,36,47,51,19,37,60,3,5,14,69,61,88,35,29,84,52,90,172,65,55,84,31,27,88,48,82,172,A,,,1,,,,80,5,,,S. Schalken,T. Nydahl,S572,N099,NED,SWE,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS022,R32,01:29:00,,F,2,S331,"7-6(7),6-4",J. Stoltenberg,J. Viloca-Puig,,,AUS,ESP,7-6(7),6-4,,,,01:29:00,293,/en/stats/leaderboard?page=serve,3,4,62,39,63,90,35,39,50,12,24,2,11,255,/en/stats/leaderboard?page=serve,,1,57,50,87,66,33,50,54,20,37,71,5,7,11,75,47,63,39,34,87,54,81,150,61,53,87,25,16,63,46,69,150,A,,,4,7,2,,67,3,,,J. Stoltenberg,J. Viloca-Puig,S331,V161,AUS,ESP,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS023,R32,00:58:00,,F,2,E113,"6-2,6-3",T. Enqvist,P. Haarhuis,,,SWE,NED,6-2,6-3,,,,00:58:00,219,/en/stats/leaderboard?page=serve,,7,54,25,46,96,24,25,62,13,21,0,9,226,/en/stats/leaderboard?page=serve,,3,57,34,60,59,20,34,46,12,26,63,5,8,8,80,37,46,47,28,60,61,65,106,53,32,60,20,9,46,39,41,106,A,,,1,,,False,0,,,,T. Enqvist,P. Haarhuis,E113,H223,SWE,NED,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS024,R32,01:13:00,,F,2,M442,"6-2,6-4",T. Martin,T. Woodbridge,,,USA,AUS,6-2,6-4,,,,01:13:00,282,/en/stats/leaderboard?page=serve,,3,58,31,53,74,23,31,59,13,22,3,9,223,/en/stats/leaderboard?page=serve,,6,57,35,61,60,21,35,50,13,26,64,7,11,9,68,36,53,44,27,61,55,63,114,56,34,61,32,17,53,45,51,114,A,,,5,,,False,75,4,,,T. Martin,T. Woodbridge,M442,W136,USA,AUS,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS025,R32,01:08:00,,F,2,W035,"6-3,6-4",M. Woodforde,J. Burillo,,,AUS,ESP,6-3,6-4,,,,01:08:00,280,/en/stats/leaderboard?page=serve,5,12,56,39,70,85,33,39,42,13,31,7,10,235,/en/stats/leaderboard?page=serve,,7,56,33,59,73,24,33,35,9,26,57,4,7,9,66,46,70,44,26,59,56,72,129,56,33,59,34,24,70,44,57,129,A,,,2,,,,88,8,,,M. Woodforde,J. Burillo,W035,B429,AUS,ESP,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS026,R32,02:17:00,,F,3,G352,"5-7,7-5,7-6(9)",J. Gambill,B. Black,,,USA,ZIM,5-7,7-5,7-6(9),,,02:17:00,282,/en/stats/leaderboard?page=serve,5,21,54,67,123,75,50,67,54,30,56,6,18,263,/en/stats/leaderboard?page=serve,,11,50,64,129,78,50,64,49,32,65,70,7,10,18,65,80,123,36,47,129,50,127,252,64,82,129,35,43,123,50,125,252,A,,,8,,,,67,9,9,7,J. Gambill,B. Black,G352,B397,USA,ZIM,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS027,R32,01:04:00,,F,2,K293,"7-6(7),6-3",G. Kuerten,G. Weiner,,,BRA,USA,7-6(7),6-3,,,,01:04:00,296,/en/stats/leaderboard?page=serve,5,14,52,37,71,92,34,37,53,18,34,0,11,282,/en/stats/leaderboard?page=serve,,9,55,33,60,85,28,33,52,14,27,0,0,1,10,73,52,71,30,18,60,53,70,131,70,42,60,27,19,71,47,61,131,A,,,9,7,5,,,,,,G. Kuerten,G. Weiner,K293,W217,BRA,USA,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS028,R32,00:58:00,,F,2,M448,"6-2,6-3",B. MacPhie,J. Courier,,,USA,USA,6-2,6-3,,,,00:58:00,264,/en/stats/leaderboard?page=serve,3,10,54,31,57,87,27,31,50,13,26,0,9,236,/en/stats/leaderboard?page=serve,,3,64,30,47,63,19,30,47,8,17,40,2,5,8,70,40,57,43,20,47,58,60,104,57,27,47,30,17,57,42,44,104,A,,,3,,,,,,,,B. MacPhie,J. Courier,M448,C243,USA,USA,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS029,R32,01:49:00,,F,3,F164,"5-7,6-2,6-3",R. Fromberg,R. Reneberg,,,AUS,USA,5-7,6-2,6-3,,,01:49:00,293,/en/stats/leaderboard?page=serve,5,25,65,70,107,80,56,70,35,13,37,10,15,262,/en/stats/leaderboard?page=serve,,3,56,48,86,77,37,48,50,19,38,57,4,7,14,64,69,107,35,30,86,51,99,193,65,56,86,36,38,107,49,94,193,A,,,2,,,,91,11,,,R. Fromberg,R. Reneberg,F164,R016,AUS,USA,,
402,1998,Memphis,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,48,700000,$,MS031,R32,01:09:00,,F,2,C274,"6-4,6-4",M. Chang,D. Nestor,,,USA,CAN,6-4,6-4,,,,01:09:00,295,/en/stats/leaderboard?page=serve,,6,61,35,57,89,31,35,59,13,22,0,10,255,/en/stats/leaderboard?page=serve,,5,54,35,65,74,26,35,43,13,30,75,6,8,10,77,44,57,40,26,65,57,70,122,60,39,65,23,13,57,43,52,122,A,,,1,,,False,,,,,M. Chang,D. Nestor,C274,N210,USA,CAN,,
