event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS055,R64,01:09:00,,F,3,R485,"6-4,6-1,6-2",A. Roddick,F. Mayer,,,USA,GER,6-4,6-1,6-2,,,01:09:00,,,,,337,/en/stats/leaderboard?page=serve,0,12,70,45,64,87,39,45,68,13,19,0,0,0,13,239,/en/stats/leaderboard?page=serve,0,6,72,49,68,61,30,49,42,8,19,29,2,7,12,81,52,64,44,30,68,62,82,132,56,38,68,19,12,64,38,50,132,A,,,,,A. Roddick,F. Mayer,R485,MB02,USA,GER,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS056,R64,02:37:00,,F,3,L360,"6-3,7-6(7),7-5",I. Ljubicic,J. Gimelstob,,,CRO,USA,6-3,7-6(7),7-5,,,02:37:00,7.0,1.0,,,321,/en/stats/leaderboard?page=serve,3,16,71,73,103,77,56,73,60,18,30,100,2,2,16,268,/en/stats/leaderboard?page=serve,6,17,53,70,131,74,52,70,48,29,61,84,16,19,17,72,74,103,38,50,131,53,124,234,62,81,131,28,29,103,47,110,234,A,,,,,I. Ljubicic,J. Gimelstob,L360,G354,CRO,USA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS057,R64,01:44:00,,F,3,T315,"6-1,7-5,6-4",D. Tursunov,A. Martin,,,RUS,ESP,6-1,7-5,6-4,,,01:44:00,,,,,316,/en/stats/leaderboard?page=serve,5,11,65,55,85,85,47,55,60,18,30,100,5,5,15,248,/en/stats/leaderboard?page=serve,3,3,62,57,92,61,35,57,54,19,35,73,11,15,14,76,65,85,41,38,92,58,103,177,59,54,92,24,20,85,42,74,177,A,,,,,D. Tursunov,A. Martin,T315,M590,RUS,ESP,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS058,R64,01:25:00,,F,3,N289,"6-4,6-0,6-3",J. Nieminen,M. Lee,,,FIN,GBR,6-4,6-0,6-3,,,01:25:00,,,,,299,/en/stats/leaderboard?page=serve,5,2,64,48,75,79,38,48,59,16,27,100,1,1,12,209,/en/stats/leaderboard?page=serve,3,6,53,46,86,57,26,46,43,17,40,33,3,9,13,72,54,75,50,43,86,60,97,161,50,43,86,28,21,75,40,64,161,A,,,,,J. Nieminen,M. Lee,N289,L333,FIN,GBR,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS059,R64,02:32:00,,F,4,K435,"6-4,6-4,3-6,7-6(7)",P. Kohlschreiber,A. Falla,,,GER,COL,6-4,6-4,3-6,7-6(7),,02:32:00,,,,,304,/en/stats/leaderboard?page=serve,5,11,61,76,125,83,63,76,59,29,49,83,5,6,20,287,/en/stats/leaderboard?page=serve,1,4,67,86,128,77,66,86,50,21,42,67,4,6,21,74,92,125,32,41,128,53,133,253,68,87,128,26,33,125,47,120,253,A,,,7.0,1.0,P. Kohlschreiber,A. Falla,K435,F444,GER,COL,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS060,R64,01:27:00,,F,3,L439,"6-4,6-2,6-3",I. Labadze,G. Gaudio,,,GEO,ARG,6-4,6-2,6-3,,,01:27:00,,,,,309,/en/stats/leaderboard?page=serve,5,14,65,47,72,83,39,47,60,15,25,80,4,5,13,222,/en/stats/leaderboard?page=serve,4,6,62,51,82,59,30,51,42,13,31,40,4,10,14,75,54,72,48,39,82,60,93,154,52,43,82,25,18,72,40,61,154,A,,,,,I. Labadze,G. Gaudio,L439,G374,GEO,ARG,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS061,R64,01:22:00,,F,3,F339,"6-2,6-0,6-1",M. Fish,M. Van Gemerden,,,USA,NED,6-2,6-0,6-1,,,01:22:00,,,,,317,/en/stats/leaderboard?page=serve,3,12,56,35,62,89,31,35,63,17,27,0,0,0,11,161,/en/stats/leaderboard?page=serve,10,2,53,34,64,56,19,34,30,9,30,42,5,12,10,77,48,62,56,36,64,67,84,126,44,28,64,23,14,62,33,42,126,A,,,,,M. Fish,M. Van Gemerden,F339,V267,USA,NED,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS062,R64,02:23:00,,F,3,A092,"6-4,7-6(7),6-4",A. Agassi,A. Seppi,,,USA,ITA,6-4,7-6(7),6-4,,,02:23:00,7.0,2.0,,,282,/en/stats/leaderboard?page=serve,4,9,60,72,121,75,54,72,49,24,49,88,7,8,16,260,/en/stats/leaderboard?page=serve,3,10,53,57,107,67,38,57,52,26,50,70,7,10,16,64,78,121,40,43,107,53,121,228,60,64,107,36,43,121,47,107,228,A,,,,,A. Agassi,A. Seppi,A092,SA93,USA,ITA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS063,R64,03:46:00,,F,5,N409,"6-7(4),3-6,7-6(7),7-5,6-4",R. Nadal,R. Kendrick,,,ESP,USA,6-7(4),3-6,7-6(7),7-5,6-4,03:46:00,,,7.0,2.0,322,/en/stats/leaderboard?page=serve,3,7,76,115,152,81,93,115,65,24,37,50,1,2,27,312,/en/stats/leaderboard?page=serve,8,32,65,111,171,81,90,111,50,30,60,78,7,9,28,77,117,152,30,51,171,52,168,323,70,120,171,23,35,152,48,155,323,A,4.0,7.0,,,R. Nadal,R. Kendrick,N409,K448,ESP,USA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS064,R128,01:14:00,,F,3,F324,"6-3,6-2,6-2",R. Federer,R. Gasquet,,,SUI,FRA,6-3,6-2,6-2,,,01:14:00,,,,,321,/en/stats/leaderboard?page=serve,1,5,67,47,70,85,40,47,65,15,23,100,1,1,13,246,/en/stats/leaderboard?page=serve,1,2,78,54,69,56,30,54,53,8,15,29,2,7,12,79,55,70,45,31,69,62,86,139,55,38,69,21,15,70,38,53,139,A,,,,,R. Federer,R. Gasquet,F324,G628,SUI,FRA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS065,R128,03:15:00,,F,5,H336,"6-7(8),6-3,6-2,1-6,6-3",T. Henman,R. Soderling,,,GBR,SWE,6-7(8),6-3,6-2,1-6,6-3,03:15:00,,,,,273,/en/stats/leaderboard?page=serve,6,4,57,82,144,74,61,82,58,36,62,57,4,7,23,264,/en/stats/leaderboard?page=serve,10,17,66,98,149,73,72,98,41,21,51,67,10,15,22,67,97,144,38,56,149,52,153,293,62,93,149,33,47,144,48,140,293,A,8.0,10.0,,,T. Henman,R. Soderling,H336,SA49,GBR,SWE,,
