event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS001,F,01:12:00,,F,2,P269,"6-3,6-2",L. Paes,N. Godwin,,,IND,RSA,6-3,6-2,,,,01:12:00,263,/en/stats/leaderboard?page=serve,2,1,54,28,52,79,22,28,54,13,24,60,3,5,9,183,/en/stats/leaderboard?page=serve,8,3,57,39,69,64,25,39,30,9,30,62,8,13,8,67,35,52,51,35,69,58,70,121,49,34,69,33,17,52,42,51,121,A,,,,,,,,L. Paes,N. Godwin,P269,G288,IND,RSA,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS002,SF,01:47:00,,F,3,G288,"3-6,6-1,7-6(7)",N. Godwin,J. Stoltenberg,,,RSA,AUS,3-6,6-1,7-6(7),,,01:47:00,273,/en/stats/leaderboard?page=serve,4,4,62,56,91,77,43,56,49,17,35,60,3,5,14,263,/en/stats/leaderboard?page=serve,3,12,53,49,93,78,38,49,45,20,44,63,5,8,14,66,60,91,38,35,93,52,95,184,62,58,93,34,31,91,48,89,184,A,7,5,,,,,,N. Godwin,J. Stoltenberg,G288,S331,RSA,AUS,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS003,SF,01:15:00,,F,2,P269,"6-3,6-4",L. Paes,L. Tieleman,,,IND,ITA,6-3,6-4,,,,01:15:00,274,/en/stats/leaderboard?page=serve,,5,64,39,61,77,30,39,68,15,22,,0,,10,243,/en/stats/leaderboard?page=serve,7,6,46,30,65,87,26,30,34,12,35,50,2,4,9,74,45,61,42,27,65,57,72,126,58,38,65,26,16,61,43,54,126,A,,,False,,,,,L. Paes,L. Tieleman,P269,T168,IND,ITA,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS004,QF,00:53:00,,F,2,S331,"6-1,6-2",J. Stoltenberg,J. van Lottum,,,AUS,NED,6-1,6-2,,,,00:53:00,304,/en/stats/leaderboard?page=serve,1,3,50,20,40,90,18,20,75,15,20,,0,,8,189,/en/stats/leaderboard?page=serve,1,1,49,23,47,65,15,23,33,8,24,64,7,11,7,83,33,40,51,24,47,66,57,87,49,23,47,18,7,40,34,30,87,A,,,,,,,,J. Stoltenberg,J. van Lottum,S331,V201,AUS,NED,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS005,QF,02:21:00,,F,3,G288,"6-7(2),7-6(8),6-3",N. Godwin,J. Gimelstob,,,RSA,USA,6-7(2),7-6(8),6-3,,,02:21:00,271,/en/stats/leaderboard?page=serve,6,11,54,59,110,78,46,59,59,30,51,,0,,16,283,/en/stats/leaderboard?page=serve,5,10,68,75,110,79,59,75,43,15,35,33,1,3,17,69,76,110,33,36,110,51,112,220,67,74,110,31,34,110,49,108,220,A,,,,2,7,8,6,N. Godwin,J. Gimelstob,G288,G354,RSA,USA,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS006,QF,01:21:00,,F,2,P269,"7-6(7),6-2",L. Paes,R. Schuettler,,,IND,GER,7-6(7),6-2,,,,01:21:00,264,/en/stats/leaderboard?page=serve,3,4,65,44,68,75,33,44,63,15,24,,0,,10,256,/en/stats/leaderboard?page=serve,2,1,60,42,70,74,31,42,43,12,28,60,3,5,10,71,48,68,39,27,70,54,75,138,61,43,70,29,20,68,46,63,138,A,,,,7,4,,,L. Paes,R. Schuettler,P269,S636,IND,GER,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS007,QF,01:11:00,,F,2,T168,"6-4,7-5",L. Tieleman,M. Knowles,,,ITA,BAH,6-4,7-5,,,,01:11:00,270,/en/stats/leaderboard?page=serve,3,7,53,31,58,84,26,31,48,13,27,0,0,2,11,221,/en/stats/leaderboard?page=serve,8,4,65,51,78,71,36,51,26,7,27,73,11,15,11,67,39,58,45,35,78,54,74,136,55,43,78,33,19,58,46,62,136,A,,,,,,,,L. Tieleman,M. Knowles,T168,K171,ITA,BAH,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS008,R16,01:05:00,,F,2,S331,"6-1,6-3",J. Stoltenberg,L. Hewitt,,,AUS,AUS,6-1,6-3,,,,01:05:00,250,/en/stats/leaderboard?page=serve,1,5,60,36,60,69,25,36,42,10,24,67,4,6,8,161,/en/stats/leaderboard?page=serve,4,0,65,35,54,49,17,35,26,5,19,45,5,11,8,58,35,60,59,32,54,59,67,114,41,22,54,42,25,60,41,47,114,A,,,,,,,,J. Stoltenberg,L. Hewitt,S331,H432,AUS,AUS,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS009,R16,02:00:00,,F,3,V201,"7-5,1-6,6-3",J. van Lottum,D. Wheaton,,,NED,USA,7-5,1-6,6-3,,,02:00:00,267,/en/stats/leaderboard?page=serve,6,11,51,48,95,77,37,48,49,23,47,83,10,12,14,275,/en/stats/leaderboard?page=serve,8,11,58,49,84,80,39,49,49,17,35,75,6,8,14,63,60,95,33,28,84,49,88,179,67,56,84,37,35,95,51,91,179,A,,,,,,,,J. van Lottum,D. Wheaton,V201,W123,NED,USA,,
315,1998,Newport,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Grass,32,275000,$,MS010,R16,01:50:00,,F,3,G354,"3-6,6-1,7-6(7)",J. Gimelstob,J. Tarango,,,USA,USA,3-6,6-1,7-6(7),,,01:50:00,275,/en/stats/leaderboard?page=serve,5,5,73,66,91,68,45,66,56,14,25,67,6,9,14,236,/en/stats/leaderboard?page=serve,8,6,53,50,94,62,31,50,52,23,44,67,8,12,14,65,59,91,43,40,94,54,99,185,57,54,94,35,32,91,46,86,185,A,7,4,,,,,,J. Gimelstob,J. Tarango,G354,T136,USA,USA,,
