event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS001,F,01:14:00,,F,2,M824,"6-0,7-6(7)",A. Montanes,G. Monfils,,,ESP,FRA,6-0,7-6(7),,,,01:14:00,A,A. Montanes,G. Monfils,ESP,FRA,,,292,/en/stats/leaderboard?page=serve,2,2,72,44,61,73,32,44,59,10,17,0,0,1,9,238,/en/stats/leaderboard?page=serve,0,2,77,41,53,54,22,41,50,6,12,0,0,4,9,69,42,61,47,25,53,59,67,114,53,28,53,31,19,61,41,47,114,7,3,01:14:00,01:14:00,M824,MC65
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS002,SF,01:53:00,,F,3,M824,"6-4,4-6,6-0",A. Montanes,E. Roger-Vasselin,,,ESP,FRA,6-4,4-6,6-0,,,01:53:00,A,A. Montanes,E. Roger-Vasselin,ESP,FRA,,,293,/en/stats/leaderboard?page=serve,4,11,68,63,92,78,49,63,48,14,29,94,15,16,13,252,/en/stats/leaderboard?page=serve,4,8,67,58,87,60,35,58,52,15,29,60,6,10,13,68,63,92,43,37,87,56,100,179,57,50,87,32,29,92,44,79,179,,,01:53:00,01:53:00,M824,R613
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS003,SF,01:40:00,,F,2,MC65,"7-5,6-4",G. Monfils,P. Andujar,,,FRA,ESP,7-5,6-4,,,,01:40:00,A,G. Monfils,P. Andujar,FRA,ESP,,,260,/en/stats/leaderboard?page=serve,4,2,53,36,68,72,26,36,56,18,32,33,1,3,11,246,/en/stats/leaderboard?page=serve,2,0,70,54,77,54,29,54,61,14,23,56,5,9,11,65,44,68,44,34,77,54,78,145,56,43,77,35,24,68,46,67,145,,,01:40:00,01:40:00,MC65,A596
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS004,QF,01:07:00,,F,2,M824,"6-4,6-1",A. Montanes,P. Mathieu,,,ESP,FRA,6-4,6-1,,,,01:07:00,A,A. Montanes,P. Mathieu,ESP,FRA,,,331,/en/stats/leaderboard?page=serve,2,6,58,23,40,87,20,23,82,14,17,100,1,1,8,208,/en/stats/leaderboard?page=serve,2,3,51,30,59,60,18,30,41,12,29,50,4,8,9,85,34,40,49,29,59,64,63,99,51,30,59,15,6,40,36,36,99,,,01:07:00,01:07:00,M824,M850
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS005,QF,01:52:00,,F,3,R613,"3-6,7-6(7),6-1",E. Roger-Vasselin,S. Querrey,,,FRA,USA,3-6,7-6(7),6-1,,,01:52:00,A,E. Roger-Vasselin,S. Querrey,FRA,USA,,,278,/en/stats/leaderboard?page=serve,4,3,65,72,111,69,50,72,59,23,39,82,9,11,15,285,/en/stats/leaderboard?page=serve,2,10,57,43,76,81,35,43,55,18,33,50,2,4,13,66,73,111,30,23,76,51,96,187,70,53,76,34,38,111,49,91,187,7,2,01:52:00,01:52:00,R613,Q927
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS006,QF,01:07:00,,F,2,MC65,"6-2,6-3",G. Monfils,R. Haase,,,FRA,NED,6-2,6-3,,,,01:07:00,A,G. Monfils,R. Haase,FRA,NED,,,284,/en/stats/leaderboard?page=serve,0,1,66,31,47,74,23,31,56,9,16,67,2,3,8,195,/en/stats/leaderboard?page=serve,1,0,61,37,61,62,23,37,29,7,24,38,3,8,9,68,32,47,51,31,61,58,63,108,49,30,61,32,15,47,42,45,108,,,01:07:00,01:07:00,MC65,H756
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS007,QF,01:43:00,,F,2,A596,"6-4,7-5",P. Andujar,G. Simon,,,ESP,FRA,6-4,7-5,,,,01:43:00,A,P. Andujar,G. Simon,ESP,FRA,,,289,/en/stats/leaderboard?page=serve,2,1,63,42,67,69,29,42,68,17,25,86,6,7,11,252,/en/stats/leaderboard?page=serve,3,7,58,41,71,68,28,41,50,15,30,63,5,8,11,69,46,67,39,28,71,54,74,138,61,43,71,31,21,67,46,64,138,,,01:43:00,01:43:00,A596,SD32
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS008,R16,01:48:00,,F,2,M824,"7-5,7-6(7)",A. Montanes,V. Hanescu,,,ESP,ROU,7-5,7-6(7),,,,01:48:00,A,A. Montanes,V. Hanescu,ESP,ROU,,,281,/en/stats/leaderboard?page=serve,3,3,57,47,82,79,37,47,54,19,35,86,6,7,12,268,/en/stats/leaderboard?page=serve,0,1,70,64,91,66,42,64,48,13,27,83,10,12,12,68,56,82,40,36,91,53,92,173,60,55,91,32,26,82,47,81,173,7,2,01:48:00,01:48:00,M824,H528
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS009,R16,02:13:00,,F,3,M850,"7-5,3-6,6-3",P. Mathieu,C. Berlocq,,,FRA,ARG,7-5,3-6,6-3,,,02:13:00,A,P. Mathieu,C. Berlocq,FRA,ARG,,,247,/en/stats/leaderboard?page=serve,1,1,64,61,95,69,42,61,41,14,34,50,4,8,15,252,/en/stats/leaderboard?page=serve,2,2,68,52,77,62,32,52,56,14,25,17,1,6,15,59,56,95,40,31,77,51,87,172,60,46,77,41,39,95,49,85,172,,,02:13:00,02:13:00,M850,B884
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS010,R16,01:23:00,,F,2,Q927,"7-5,6-3",S. Querrey,S. Stakhovsky,,,USA,UKR,7-5,6-3,,,,01:23:00,A,S. Querrey,S. Stakhovsky,USA,UKR,,,278,/en/stats/leaderboard?page=serve,1,4,55,42,76,71,30,42,59,20,34,86,6,7,11,254,/en/stats/leaderboard?page=serve,1,4,72,50,69,62,31,50,47,9,19,67,6,9,10,66,50,76,42,29,69,54,79,145,58,40,69,34,26,76,46,66,145,,,01:23:00,01:23:00,Q927,SC77
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS011,R16,01:51:00,,F,3,R613,"2-6,6-4,6-2",E. Roger-Vasselin,R. Berankis,,,FRA,LTU,2-6,6-4,6-2,,,01:51:00,A,E. Roger-Vasselin,R. Berankis,FRA,LTU,,,270,/en/stats/leaderboard?page=serve,0,1,64,49,77,71,35,49,50,14,28,50,2,4,13,249,/en/stats/leaderboard?page=serve,2,9,50,52,103,63,33,52,53,27,51,79,11,14,13,64,49,77,42,43,103,51,92,180,58,60,103,36,28,77,49,88,180,,,01:51:00,01:51:00,R613,BE90
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS012,R16,01:31:00,,F,2,MC65,"6-2,7-6(7)",G. Monfils,F. Fognini,,,FRA,ITA,6-2,7-6(7),,,,01:31:00,A,G. Monfils,F. Fognini,FRA,ITA,,,286,/en/stats/leaderboard?page=serve,2,2,68,44,65,80,35,44,48,10,21,67,2,3,10,231,/en/stats/leaderboard?page=serve,2,0,52,46,88,54,25,46,57,24,42,80,12,15,10,69,45,65,44,39,88,55,84,153,56,49,88,31,20,65,45,69,153,7,5,01:31:00,01:31:00,MC65,F510
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS013,R16,01:54:00,,F,3,H756,"6-4,1-6,7-5",R. Haase,J. Isner,,,NED,USA,6-4,1-6,7-5,,,01:54:00,A,R. Haase,J. Isner,NED,USA,,,253,/en/stats/leaderboard?page=serve,1,5,60,55,91,65,36,55,53,19,36,60,6,10,14,267,/en/stats/leaderboard?page=serve,5,14,67,60,90,68,41,60,50,15,30,33,2,6,15,60,55,91,38,34,90,49,89,181,62,56,90,40,36,91,51,92,181,,,01:54:00,01:54:00,H756,I186
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS014,R16,01:14:00,,F,2,A596,"6-2,6-0",P. Andujar,Y. Lu,,,ESP,TPE,6-2,6-0,,,,01:14:00,A,P. Andujar,Y. Lu,ESP,TPE,,,304,/en/stats/leaderboard?page=serve,1,0,61,30,49,70,21,30,74,14,19,100,7,7,7,175,/en/stats/leaderboard?page=serve,1,2,60,31,52,48,15,31,38,8,21,44,4,9,7,71,35,49,56,29,52,63,64,101,44,23,52,29,14,49,37,37,101,,,01:14:00,01:14:00,A596,L575
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS015,R16,01:36:00,,F,2,SD32,"6-4,6-3",G. Simon,G. Rufin,,,FRA,FRA,6-4,6-3,,,,01:36:00,A,G. Simon,G. Rufin,FRA,FRA,,,252,/en/stats/leaderboard?page=serve,3,1,54,31,57,65,20,31,58,15,26,71,5,7,9,206,/en/stats/leaderboard?page=serve,3,1,59,44,74,52,23,44,47,14,30,58,7,12,10,61,35,57,50,37,74,55,72,131,50,37,74,39,22,57,45,59,131,,,01:36:00,01:36:00,SD32,RA17
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS017,R32,02:43:00,,F,3,H528,"6-3,5-7,6-4",V. Hanescu,A. Ramos-Vinolas,,,ROU,ESP,6-3,5-7,6-4,,,02:43:00,A,V. Hanescu,A. Ramos-Vinolas,ROU,ESP,,,269,/en/stats/leaderboard?page=serve,2,0,74,90,122,63,57,90,53,17,32,63,5,8,16,264,/en/stats/leaderboard?page=serve,2,5,69,66,96,62,41,66,57,17,30,56,5,9,15,61,74,122,40,38,96,51,112,218,60,58,96,39,48,122,49,106,218,,,02:43:00,02:43:00,H528,R772
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS018,R32,00:59:00,,F,2,B884,"6-2,6-1",C. Berlocq,L. Mayer,,,ARG,ARG,6-2,6-1,,,,00:59:00,A,C. Berlocq,L. Mayer,ARG,ARG,,,350,/en/stats/leaderboard?page=serve,0,2,77,23,30,100,23,23,71,5,7,0,0,0,7,182,/en/stats/leaderboard?page=serve,2,0,67,30,45,53,16,30,27,4,15,17,1,6,8,93,28,30,56,25,45,71,53,75,44,20,45,7,2,30,29,22,75,,,00:59:00,00:59:00,B884,MD56
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS019,R32,01:28:00,,F,2,M850,"6-4,6-4",P. Mathieu,R. Harrison,,,FRA,USA,6-4,6-4,,,,01:28:00,A,P. Mathieu,R. Harrison,FRA,USA,,,280,/en/stats/leaderboard?page=serve,0,0,55,35,64,80,28,35,55,16,29,80,4,5,10,243,/en/stats/leaderboard?page=serve,3,4,53,36,68,72,26,36,47,15,32,40,2,5,10,69,44,64,40,27,68,54,71,132,60,41,68,31,20,64,46,61,132,,,01:28:00,01:28:00,M850,H940
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS021,R32,01:01:00,,F,2,SC77,"6-2,6-3",S. Stakhovsky,R. Dutra Silva,,,UKR,BRA,6-2,6-3,,,,01:01:00,A,S. Stakhovsky,R. Dutra Silva,UKR,BRA,,,295,/en/stats/leaderboard?page=serve,2,0,67,34,51,71,24,34,71,12,17,0,0,1,9,205,/en/stats/leaderboard?page=serve,1,0,66,33,50,61,20,33,29,5,17,33,2,6,8,71,36,51,50,25,50,60,61,101,50,25,50,29,15,51,40,40,101,,,01:01:00,01:01:00,SC77,SC73
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS022,R32,00:41:00,,F,1,R613,7-5,E. Roger-Vasselin,A. Falla,,,FRA,COL,7-5,,,,,00:41:00,A,E. Roger-Vasselin,A. Falla,FRA,COL,,,287,/en/stats/leaderboard?page=serve,0,5,68,21,31,81,17,21,50,5,10,50,1,2,6,229,/en/stats/leaderboard?page=serve,1,3,46,18,39,72,13,18,43,9,21,33,1,3,6,71,22,31,44,17,39,56,39,70,56,22,39,29,9,31,44,31,70,,,00:41:00,00:41:00,R613,F444
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS023,R32,00:54:00,,F,2,BE90,"6-2,6-2",R. Berankis,D. Istomin,,,LTU,UZB,6-2,6-2,,,,00:54:00,A,R. Berankis,D. Istomin,LTU,UZB,,,296,/en/stats/leaderboard?page=serve,0,1,64,28,44,75,21,28,69,11,16,67,2,3,8,195,/en/stats/leaderboard?page=serve,3,3,62,32,52,56,18,32,40,8,20,44,4,9,8,73,32,44,50,26,52,60,58,96,50,26,52,27,12,44,40,38,96,,,00:54:00,00:54:00,BE90,I165
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS024,R32,01:33:00,,F,3,F510,"1-6,6-1,6-2",F. Fognini,M. Cecchinato,,,ITA,ITA,1-6,6-1,6-2,,,01:33:00,A,F. Fognini,M. Cecchinato,ITA,ITA,,,241,/en/stats/leaderboard?page=serve,0,3,58,42,73,76,32,42,32,10,31,40,2,5,11,232,/en/stats/leaderboard?page=serve,1,2,72,56,78,55,31,56,50,11,22,55,6,11,11,58,42,73,46,36,78,52,78,151,54,42,78,42,31,73,48,73,151,,,01:33:00,01:33:00,F510,CF01
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS025,R32,01:57:00,,F,3,MC65,"4-6,6-3,6-3",G. Monfils,S. Giraldo,,,FRA,COL,4-6,6-3,6-3,,,01:57:00,A,G. Monfils,S. Giraldo,FRA,COL,,,274,/en/stats/leaderboard?page=serve,5,6,64,56,88,77,43,56,47,15,32,75,6,8,14,243,/en/stats/leaderboard?page=serve,3,1,65,68,104,59,40,68,50,18,36,56,5,9,14,66,58,88,44,46,104,54,104,192,56,58,104,34,30,88,46,88,192,,,01:57:00,01:57:00,MC65,G725
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS026,R32,01:01:00,,F,2,H756,"6-1,6-4",R. Haase,M. Matosevic,,,NED,AUS,6-1,6-4,,,,01:01:00,A,R. Haase,M. Matosevic,NED,AUS,,,268,/en/stats/leaderboard?page=serve,0,4,65,31,48,71,22,31,53,9,17,50,2,4,8,168,/en/stats/leaderboard?page=serve,4,2,56,32,57,53,17,32,28,7,25,0,0,6,9,65,31,48,58,33,57,61,64,105,42,24,57,35,17,48,39,41,105,,,01:01:00,01:01:00,H756,ME05
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS028,R32,02:13:00,,F,3,L575,"7-5,1-6,6-4",Y. Lu,A. Seppi,,,TPE,ITA,7-5,1-6,6-4,,,02:13:00,A,Y. Lu,A. Seppi,TPE,ITA,,,228,/en/stats/leaderboard?page=serve,7,1,66,65,98,62,40,65,42,14,33,55,6,11,14,228,/en/stats/leaderboard?page=serve,7,3,56,57,102,63,36,57,47,21,45,69,11,16,15,55,54,98,44,45,102,50,99,200,56,57,102,45,44,98,51,101,200,,,02:13:00,02:13:00,L575,SA93
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS029,R32,02:10:00,,F,3,A596,"6-3,4-6,6-3",P. Andujar,L. Hewitt,,,ESP,AUS,6-3,4-6,6-3,,,02:10:00,A,P. Andujar,L. Hewitt,ESP,AUS,,,242,/en/stats/leaderboard?page=serve,3,0,60,56,94,61,34,56,53,20,38,64,7,11,14,209,/en/stats/leaderboard?page=serve,3,3,53,50,94,58,29,50,41,18,44,54,7,13,14,57,54,94,50,47,94,54,101,188,50,47,94,43,40,94,46,87,188,,,02:10:00,02:10:00,A596,H432
6120,2013,Nice,250,2013-05-19T00:00:00,2013-05-25T00:00:00,Clay,28,410200,€,MS030,R32,01:15:00,,F,2,RA17,"6-3,6-1",G. Rufin,P. Lorenzi,,,FRA,ITA,6-3,6-1,,,,01:15:00,A,G. Rufin,P. Lorenzi,FRA,ITA,,,267,/en/stats/leaderboard?page=serve,0,2,58,34,59,68,23,34,52,13,25,89,8,9,8,182,/en/stats/leaderboard?page=serve,5,2,64,38,59,55,21,38,29,6,21,38,3,8,8,61,36,59,54,32,59,58,68,118,46,27,59,39,23,59,42,50,118,,,01:15:00,01:15:00,RA17,L503
