event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS101,R128,01:41:00,,F,4,A511,"2-6,6-2,6-0,6-3",I. Andreev,J. van Lottum,,,RUS,NED,2-6,6-2,6-0,6-3,,01:41:00,,,254,/en/stats/leaderboard?page=serve,9,11,60,58,96,72,42,58,45,17,38,33,2,6,16,200,/en/stats/leaderboard?page=serve,9,5,57,52,91,60,31,52,41,16,39,43,6,14,15,61,59,96,48,44,91,55,103,187,52,47,91,39,37,96,45,84,187,A,,,,,,,I. Andreev,J. van Lottum,A511,V201,RUS,NED,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS102,R128,02:31:00,,F,4,V232,"4-6,6-3,6-4,7-5",M. Verkerk,N. Davydenko,,,NED,RUS,4-6,6-3,6-4,7-5,,02:31:00,,,293,/en/stats/leaderboard?page=serve,12,21,63,80,128,79,63,80,52,25,48,71,5,7,21,268,/en/stats/leaderboard?page=serve,8,8,69,91,131,74,67,91,45,18,40,75,12,16,20,69,88,128,35,46,131,52,134,259,65,85,131,31,40,128,48,125,259,A,,,,,,,M. Verkerk,N. Davydenko,V232,D402,NED,RUS,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS103,R128,01:32:00,,F,3,P338,"6-3,6-4,6-2",M. Philippoussis,C. Rochus,,,AUS,BEL,6-3,6-4,6-2,,,01:32:00,,,304,/en/stats/leaderboard?page=serve,11,22,60,50,84,86,43,50,47,16,34,100,4,4,14,251,/en/stats/leaderboard?page=serve,0,3,83,67,81,60,40,67,36,5,14,56,5,9,13,70,59,84,44,36,81,58,95,165,56,45,81,30,25,84,42,70,165,A,,,,,,,M. Philippoussis,C. Rochus,P338,R336,AUS,BEL,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS104,R128,01:30:00,,F,3,M680,"6-3,6-4,6-4",X. Malisse,J. Novak,,,BEL,CZE,6-3,6-4,6-4,,,01:30:00,,,303,/en/stats/leaderboard?page=serve,2,7,54,43,80,86,37,43,65,24,37,50,1,2,15,240,/en/stats/leaderboard?page=serve,4,2,73,69,95,67,46,69,31,8,26,43,3,7,14,76,61,80,43,41,95,58,102,175,57,54,95,24,19,80,42,73,175,A,,,,,,,X. Malisse,J. Novak,M680,N254,BEL,CZE,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS105,R128,03:36:00,,F,5,H355,"2-6,2-6,7-6(10),6-4,8-6",T. Haas,A. Dupuis,,,GER,FRA,2-6,2-6,7-6(10),6-4,8-6,03:36:00,10.0,8.0,284,/en/stats/leaderboard?page=serve,11,12,63,93,147,82,76,93,54,29,54,60,6,10,26,305,/en/stats/leaderboard?page=serve,1,20,60,101,168,74,75,101,60,40,67,83,10,12,26,71,105,147,32,53,168,50,158,315,68,115,168,29,42,147,50,157,315,A,,,,,,,T. Haas,A. Dupuis,H355,D272,GER,FRA,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS106,R128,03:32:00,,F,5,B804,"6-4,6-7(3),4-6,6-3,10-8",K. Beck,J. Marray,,,SVK,GBR,6-4,6-7(3),4-6,6-3,10-8,03:32:00,,,286,/en/stats/leaderboard?page=serve,5,15,57,99,173,77,76,99,59,44,74,69,11,16,30,249,/en/stats/leaderboard?page=serve,20,13,64,122,191,72,88,122,45,31,69,59,10,17,29,69,120,173,38,72,191,53,192,364,62,119,191,31,53,173,47,172,364,A,3.0,7.0,,,,,K. Beck,J. Marray,B804,M983,SVK,GBR,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS107,R128,01:53:00,,F,3,R419,"6-4,6-4,6-4",T. Robredo,P. Starace,,,ESP,ITA,6-4,6-4,6-4,,,01:53:00,,,275,/en/stats/leaderboard?page=serve,1,5,62,56,90,79,44,56,44,15,34,60,3,5,15,238,/en/stats/leaderboard?page=serve,2,3,65,79,121,63,50,79,43,18,42,75,15,20,15,66,59,90,44,53,121,53,112,211,56,68,121,34,31,90,47,99,211,A,,,,,,,T. Robredo,P. Starace,R419,S843,ESP,ITA,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS108,R128,01:24:00,,F,3,H377,"6-2,6-4,6-2",D. Hrbaty,D. Sanchez,,,SVK,ESP,6-2,6-4,6-2,,,01:24:00,,,307,/en/stats/leaderboard?page=serve,2,4,57,43,75,79,34,43,69,22,32,100,5,5,13,224,/en/stats/leaderboard?page=serve,1,3,57,45,79,60,27,45,44,15,34,38,3,8,13,75,56,75,47,37,79,60,93,154,53,42,79,25,19,75,40,61,154,A,,,,,,,D. Hrbaty,D. Sanchez,H377,S677,SVK,ESP,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS109,R128,01:38:00,,F,3,H448,"6-1,6-4,6-3",M. Hilton,A. Costa,,,GBR,ESP,6-1,6-4,6-3,,,01:38:00,,,302,/en/stats/leaderboard?page=serve,2,3,73,55,75,71,39,55,65,13,20,80,4,5,13,213,/en/stats/leaderboard?page=serve,5,4,62,54,87,69,37,54,30,10,33,60,9,15,13,69,52,75,46,40,87,57,92,162,54,47,87,31,23,75,43,70,162,A,,,,,,,M. Hilton,A. Costa,H448,C378,GBR,ESP,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS110,R128,01:43:00,,F,3,B747,"6-3,7-5,6-4",J. Benneteau,T. Berdych,,,FRA,CZE,6-3,7-5,6-4,,,01:43:00,,,284,/en/stats/leaderboard?page=serve,2,6,73,71,97,75,53,71,46,12,26,75,6,8,15,234,/en/stats/leaderboard?page=serve,6,3,67,62,93,63,39,62,45,14,31,45,5,11,16,67,65,97,43,40,93,55,105,190,57,53,93,33,32,97,45,85,190,A,,,,,,,J. Benneteau,T. Berdych,B747,BA47,FRA,CZE,,
