event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS011,R16,01:12:00,,F,2,C355,"6-2,7-6(9)",S. Campbell,J. Gambill,,,USA,USA,6-2,7-6(9),,,,01:12:00,,,,,300,/en/stats/leaderboard?page=serve,1,3,67,42,63,79,33,42,62,13,21,,0,,10,258,/en/stats/leaderboard?page=serve,4,5,56,38,68,71,27,38,50,15,30,50,2,4,10,73,46,63,38,26,68,55,72,131,62,42,68,27,17,63,45,59,131,A,9,7,,,S. Campbell,J. Gambill,C355,G352,USA,USA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS012,R16,00:54:00,,F,2,P280,"6-1,6-2",A. Pavel,J. van Lottum,,,ROU,NED,6-1,6-2,,,,00:54:00,,,,,277,/en/stats/leaderboard?page=serve,1,1,57,27,47,85,23,27,60,12,20,,0,,8,191,/en/stats/leaderboard?page=serve,1,2,52,26,50,50,13,26,46,11,24,43,3,7,7,74,35,47,52,26,50,63,61,97,48,24,50,26,12,47,37,36,97,A,,,,,A. Pavel,J. van Lottum,P280,V201,ROU,NED,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS013,R16,01:12:00,,F,2,S568,"6-3,7-5",F. Squillari,M. Carlsson,,,ARG,BRA,6-3,7-5,,,,01:12:00,,,,,236,/en/stats/leaderboard?page=serve,4,3,56,31,55,68,21,31,50,12,24,43,3,7,11,182,/en/stats/leaderboard?page=serve,5,0,61,41,67,51,21,41,35,9,26,60,9,15,10,60,33,55,55,37,67,57,70,122,45,30,67,40,22,55,43,52,122,A,,,,,F. Squillari,M. Carlsson,S568,C369,ARG,BRA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS014,R16,01:40:00,,F,3,R016,"5-7,6-2,6-1",R. Reneberg,W. Black,,,USA,ZIM,5-7,6-2,6-1,,,01:40:00,,,,,262,/en/stats/leaderboard?page=serve,1,6,56,43,77,60,26,43,65,22,34,67,6,9,13,217,/en/stats/leaderboard?page=serve,2,0,76,64,84,53,34,64,40,8,20,13,1,8,14,62,48,77,50,42,84,56,90,161,50,42,84,38,29,77,44,71,161,A,,,,,R. Reneberg,W. Black,R016,B499,USA,ZIM,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS015,R16,01:10:00,,F,2,S331,"6-2,6-4",J. Stoltenberg,M. Washington,,,AUS,USA,6-2,6-4,,,,01:10:00,,,,,285,/en/stats/leaderboard?page=serve,4,6,59,32,54,72,23,32,64,14,22,80,4,5,9,206,/en/stats/leaderboard?page=serve,4,0,52,29,56,62,18,29,41,11,27,43,3,7,9,69,37,54,48,27,56,58,64,110,52,29,56,31,17,54,42,46,110,A,,,,,J. Stoltenberg,M. Washington,S331,W124,AUS,USA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS016,R32,01:21:00,,F,2,S402,"6-2,7-6(7)",P. Sampras,A. O'Brien,,,USA,USA,6-2,7-6(7),,,,01:21:00,,,,,276,/en/stats/leaderboard?page=serve,1,3,58,32,55,84,27,32,52,12,23,33,1,3,10,233,/en/stats/leaderboard?page=serve,2,0,64,47,73,57,27,47,54,14,26,64,7,11,10,71,39,55,44,32,73,55,71,128,56,41,73,29,16,55,45,57,128,A,7,5,,,P. Sampras,A. O'Brien,S402,O099,USA,USA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS017,R32,01:03:00,,F,2,S480,"6-3,6-2",D. Sanguinetti,M. Knowles,,,ITA,BAH,6-3,6-2,,,,01:03:00,,,,,244,/en/stats/leaderboard?page=serve,,6,58,32,55,75,24,32,39,9,23,57,4,7,9,167,/en/stats/leaderboard?page=serve,2,1,67,38,57,50,19,38,26,5,19,25,2,8,8,60,33,55,58,33,57,59,66,112,42,24,57,40,22,55,41,46,112,A,,,False,,D. Sanguinetti,M. Knowles,S480,K171,ITA,BAH,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS018,R32,01:13:00,,F,2,D316,"6-4,6-2",R. Delgado,J. Marin,,,PAR,CRC,6-4,6-2,,,,01:13:00,,,,,253,/en/stats/leaderboard?page=serve,2,4,63,38,60,66,25,38,45,10,22,50,2,4,9,200,/en/stats/leaderboard?page=serve,,0,63,37,59,57,21,37,36,8,22,55,6,11,9,58,35,60,51,30,59,55,65,119,49,29,59,42,25,60,45,54,119,A,,,,False,R. Delgado,J. Marin,D316,M578,PAR,CRC,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS019,R32,01:11:00,,F,2,V167,"6-2,6-4",J. Van Herck,G. Pozzi,,,BEL,ITA,6-2,6-4,,,,01:11:00,,,,,285,/en/stats/leaderboard?page=serve,2,2,56,27,48,81,22,27,71,15,21,,0,,9,225,/en/stats/leaderboard?page=serve,,0,41,23,56,57,13,23,61,20,33,57,4,7,9,77,37,48,41,23,56,58,60,104,59,33,56,23,11,48,42,44,104,A,,,,False,J. Van Herck,G. Pozzi,V167,P045,BEL,ITA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS020,R32,01:51:00,,F,3,S559,"6-3,4-6,7-5",D. van Scheppingen,V. Spadea,,,NED,USA,6-3,4-6,7-5,,,01:51:00,,,,,227,/en/stats/leaderboard?page=serve,7,3,65,64,99,63,40,64,43,15,35,33,3,9,15,212,/en/stats/leaderboard?page=serve,2,1,65,67,103,54,36,67,44,16,36,58,11,19,16,56,55,99,50,51,103,52,106,202,50,52,103,44,44,99,48,96,202,A,,,,,D. van Scheppingen,V. Spadea,S559,S544,NED,USA,,
