event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS011,R16,03:45:00,,F,5,T786,"6-4,6-7(5),3-6,6-4,6-2",J. Tsonga,M. Fish,,,FRA,USA,6-4,6-7(5),3-6,6-4,6-2,03:45:00,A,J. Tsonga,M. Fish,FRA,USA,,,,,292,/en/stats/leaderboard?page=serve,3,12,58,95,164,74,70,95,59,41,69,75,6,8,25,275,/en/stats/leaderboard?page=serve,4,3,62,85,138,73,62,85,58,31,53,33,2,6,24,68,111,164,33,45,138,52,156,302,67,93,138,32,53,164,48,146,302,,,5.0,7.0,,,,,T786,F339
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS012,R16,03:39:00,,F,4,I186,"7-6(7),3-6,7-6(7),7-6(7)",J. Isner,G. Simon,,,USA,FRA,7-6(7),3-6,7-6(7),7-6(7),,03:39:00,A,J. Isner,G. Simon,USA,FRA,,,7.0,2.0,287,/en/stats/leaderboard?page=serve,5,26,63,100,158,67,67,100,59,34,58,58,7,12,22,281,/en/stats/leaderboard?page=serve,1,6,69,102,148,73,74,102,52,24,46,56,5,9,23,64,101,158,34,50,148,49,151,306,66,98,148,36,57,158,51,155,306,7.0,2.0,,,7.0,4.0,,,I186,SD32
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS013,R16,01:58:00,,F,3,MC10,"6-2,6-3,6-3",A. Murray,D. Young,,,GBR,USA,6-2,6-3,6-3,,,01:58:00,A,A. Murray,D. Young,GBR,USA,,,,,250,/en/stats/leaderboard?page=serve,3,5,47,35,74,69,24,35,56,22,39,40,2,5,13,180,/en/stats/leaderboard?page=serve,5,2,59,46,78,48,22,46,38,12,32,27,3,11,13,62,46,74,56,44,78,59,90,152,44,34,78,38,28,74,41,62,152,,,,,,,,,MC10,Y124
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS014,R16,02:40:00,,F,4,R485,"6-3,6-4,3-6,6-3",A. Roddick,D. Ferrer,,,USA,ESP,6-3,6-4,3-6,6-3,,02:40:00,A,A. Roddick,D. Ferrer,USA,ESP,,,,,315,/en/stats/leaderboard?page=serve,2,19,69,77,112,71,55,77,69,24,35,78,7,9,19,269,/en/stats/leaderboard?page=serve,4,12,56,58,104,71,41,58,57,26,46,43,3,7,18,71,79,112,36,37,104,54,116,216,64,67,104,29,33,112,46,100,216,,,,,,,,,R485,F401
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS015,R16,02:08:00,,F,3,N409,"7-6(7),6-1,6-2",R. Nadal,G. Muller,,,ESP,LUX,7-6(7),6-1,6-2,,,02:08:00,A,R. Nadal,G. Muller,ESP,LUX,,,,,295,/en/stats/leaderboard?page=serve,4,5,73,54,74,81,44,54,55,11,20,0,0,2,14,216,/en/stats/leaderboard?page=serve,1,11,54,50,92,66,33,50,33,14,42,50,6,12,13,74,55,74,49,45,92,60,100,166,51,47,92,26,19,74,40,66,166,7.0,1.0,,,,,,,N409,MA30
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS016,R32,02:07:00,,F,3,D643,"6-3,6-4,6-2",N. Djokovic,N. Davydenko,,,SRB,RUS,6-3,6-4,6-2,,,02:07:00,A,N. Djokovic,N. Davydenko,SRB,RUS,,,,,298,/en/stats/leaderboard?page=serve,0,4,61,49,80,76,37,49,65,20,31,50,1,2,14,234,/en/stats/leaderboard?page=serve,2,1,73,59,81,56,33,59,45,10,22,58,7,12,13,71,57,80,47,38,81,59,95,161,53,43,81,29,23,80,41,66,161,,,,,,,,,D643,D402
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS017,R32,02:41:00,,F,4,D801,"6-7(4),6-2,6-4,6-4",A. Dolgopolov,I. Karlovic,,,UKR,CRO,6-7(4),6-2,6-4,6-4,,02:41:00,A,A. Dolgopolov,I. Karlovic,UKR,CRO,,,,,305,/en/stats/leaderboard?page=serve,1,22,53,58,110,83,48,58,58,30,52,60,3,5,20,268,/en/stats/leaderboard?page=serve,4,23,62,80,129,78,62,80,39,19,49,57,8,14,20,71,78,110,37,48,129,53,126,239,63,81,129,29,32,110,47,113,239,4.0,7.0,,,,,,,D801,K336
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS018,R32,01:10:00,,F,2,T742,"6-4,5-0",J. Tipsarevic,T. Berdych,,,SRB,CZE,6-4,5-0,,,,01:10:00,A,J. Tipsarevic,T. Berdych,SRB,CZE,,,,,292,/en/stats/leaderboard?page=serve,1,4,56,25,45,68,17,25,65,13,20,0,0,0,7,196,/en/stats/leaderboard?page=serve,3,0,51,23,45,57,13,23,41,9,22,0,0,4,8,67,30,45,51,23,45,59,53,90,49,22,45,33,15,45,41,37,90,,,,,,,,,T742,BA47
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS019,R32,00:51:00,,F,2,F316,"6-1,4-3",J. Ferrero,M. Granollers,,,ESP,ESP,6-1,4-3,,,,00:51:00,A,J. Ferrero,M. Granollers,ESP,ESP,,,,,309,/en/stats/leaderboard?page=serve,1,3,76,31,41,81,25,31,50,5,10,100,1,1,7,224,/en/stats/leaderboard?page=serve,1,1,67,26,39,62,16,26,38,5,13,25,1,4,7,73,30,41,46,18,39,60,48,80,54,21,39,27,11,41,40,32,80,,,,,,,,,F316,G710
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS020,R32,02:40:00,,F,4,F324,"6-3,4-6,6-4,6-2",R. Federer,M. Cilic,,,SUI,CRO,6-3,4-6,6-4,6-2,,02:40:00,A,R. Federer,M. Cilic,SUI,CRO,,,,,287,/en/stats/leaderboard?page=serve,3,6,58,63,108,75,47,63,62,28,45,78,7,9,19,241,/en/stats/leaderboard?page=serve,5,12,48,57,119,68,39,57,52,32,62,57,8,14,18,69,75,108,40,48,119,54,123,227,60,71,119,31,33,108,46,104,227,,,,,,,,,F324,C977
