event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS001,F,01:28:00,,F,2,I052,"7-5,6-4",A. Ilie,D. Sanguinetti,,,AUS,ITA,7-5,6-4,,,,01:28:00,249,/en/stats/leaderboard?page=serve,5,2,42,33,78,76,25,33,53,24,45,80,8,10,11,230,/en/stats/leaderboard?page=serve,1,6,54,39,72,72,28,39,36,12,33,33,2,6,11,63,49,78,44,32,72,54,81,150,56,40,72,37,29,78,46,69,150,A,,,,,,A. Ilie,D. Sanguinetti,I052,S480,AUS,ITA,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS002,SF,01:31:00,,F,3,I052,"4-6,6-1,6-4",A. Ilie,J. Gimelstob,,,AUS,USA,4-6,6-1,6-4,,,01:31:00,281,/en/stats/leaderboard?page=serve,7,4,51,41,81,78,32,41,63,25,40,50,1,2,14,263,/en/stats/leaderboard?page=serve,3,3,54,35,65,80,28,35,53,16,30,25,1,4,13,70,57,81,32,21,65,53,78,146,68,44,65,30,24,81,47,68,146,A,,,,,,A. Ilie,J. Gimelstob,I052,G354,AUS,USA,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS003,SF,01:27:00,,F,2,S480,"6-3,6-4",D. Sanguinetti,J. Van Herck,,,ITA,BEL,6-3,6-4,,,,01:27:00,267,/en/stats/leaderboard?page=serve,3,5,59,30,51,83,25,30,43,9,21,33,1,3,10,208,/en/stats/leaderboard?page=serve,4,4,48,40,83,63,25,40,42,18,43,67,8,12,9,67,34,51,48,40,83,55,74,134,52,43,83,33,17,51,45,60,134,A,,,,,,D. Sanguinetti,J. Van Herck,S480,V167,ITA,BEL,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS004,QF,02:16:00,,F,3,I052,"6-3,6-7(3),6-3",A. Ilie,S. Grosjean,,,AUS,FRA,6-3,6-7(3),6-3,,,02:16:00,242,/en/stats/leaderboard?page=serve,3,1,42,45,108,71,32,45,56,35,63,50,4,8,16,227,/en/stats/leaderboard?page=serve,2,3,62,73,118,58,42,73,49,22,45,65,11,17,14,62,67,108,46,54,118,54,121,226,54,64,118,38,41,108,46,105,226,A,3,7,,,,A. Ilie,S. Grosjean,I052,G379,AUS,FRA,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS005,QF,01:46:00,,F,3,G354,"6-3,4-6,6-3",J. Gimelstob,X. Malisse,,,USA,BEL,6-3,4-6,6-3,,,01:46:00,284,/en/stats/leaderboard?page=serve,3,6,56,44,79,77,34,44,63,22,35,71,5,7,14,238,/en/stats/leaderboard?page=serve,6,4,54,56,103,64,36,56,51,24,47,80,16,20,14,71,56,79,42,43,103,54,99,182,58,60,103,29,23,79,46,83,182,A,,,,,,J. Gimelstob,X. Malisse,G354,M680,USA,BEL,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS006,QF,01:01:00,,F,2,V167,"6-1,6-4",J. Van Herck,M. Tebbutt,,,BEL,AUS,6-1,6-4,,,,01:01:00,274,/en/stats/leaderboard?page=serve,3,2,62,23,37,74,17,23,64,9,14,0,0,2,8,164,/en/stats/leaderboard?page=serve,10,5,39,25,64,64,16,25,33,13,39,33,3,9,9,70,26,37,55,35,64,60,61,101,45,29,64,30,11,37,40,40,101,A,,,,,,J. Van Herck,M. Tebbutt,V167,T195,BEL,AUS,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS007,QF,01:25:00,,F,2,S480,"6-4,6-4",D. Sanguinetti,R. Delgado,,,ITA,PAR,6-4,6-4,,,,01:25:00,272,/en/stats/leaderboard?page=serve,1,7,49,38,77,76,29,38,51,20,39,86,6,7,10,232,/en/stats/leaderboard?page=serve,2,4,49,38,78,58,22,38,53,21,40,70,7,10,10,64,49,77,45,35,78,54,84,155,55,43,78,36,28,77,46,71,155,A,,,,,,D. Sanguinetti,R. Delgado,S480,D316,ITA,PAR,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS008,R16,01:47:00,,F,3,I052,"3-6,6-4,6-1",A. Ilie,R. Agenor,,,AUS,HAI,3-6,6-4,6-1,,,01:47:00,264,/en/stats/leaderboard?page=serve,,3,44,34,77,68,23,34,65,28,43,67,4,6,13,253,/en/stats/leaderboard?page=serve,2,3,73,55,75,65,36,55,45,9,20,43,3,7,13,66,51,77,40,30,75,53,81,152,60,45,75,34,26,77,47,71,152,A,,,False,,,A. Ilie,R. Agenor,I052,A006,AUS,HAI,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS009,R16,01:44:00,,F,2,G379,"6-1,7-6(7)",S. Grosjean,D. van Scheppingen,,,FRA,NED,6-1,7-6(7),,,,01:44:00,266,/en/stats/leaderboard?page=serve,,3,62,40,65,65,26,40,56,14,25,60,3,5,10,222,/en/stats/leaderboard?page=serve,2,0,65,35,54,51,18,35,53,10,19,43,3,7,9,62,40,65,48,26,54,55,66,119,52,28,54,38,25,65,45,53,119,A,7,2,False,,,S. Grosjean,D. van Scheppingen,G379,S559,FRA,NED,,
499,1998,Coral Springs,WS,1998-05-04T00:00:00,1998-05-10T00:00:00,Clay,32,245000,$,MS010,R16,02:02:00,,F,2,G354,"6-1,6-2",J. Gimelstob,W. Black,,,USA,ZIM,6-1,6-2,,,,02:02:00,256,/en/stats/leaderboard?page=serve,2,5,56,31,55,81,25,31,54,13,24,,0,,8,186,/en/stats/leaderboard?page=serve,2,0,58,31,53,61,19,31,27,6,22,56,5,9,7,69,38,55,53,28,53,61,66,108,47,25,53,31,17,55,39,42,108,A,,,,,,J. Gimelstob,W. Black,G354,B499,USA,ZIM,,
