event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS011,R16,02:07:00,,F,3,R186,"6-3,4-6,6-3",G. Raoux,A. Volkov,,,FRA,RUS,6-3,4-6,6-3,,,02:07:00,,,,,273,/en/stats/leaderboard?page=serve,3,7,45,38,84,82,31,38,57,26,46,50,2,4,14,237,/en/stats/leaderboard?page=serve,3,1,62,68,109,60,41,68,46,19,41,71,10,14,14,68,57,84,45,49,109,55,106,193,55,60,109,32,27,84,45,87,193,A,,,,G. Raoux,A. Volkov,R186,V037,FRA,RUS,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS012,R16,01:56:00,,F,3,L206,"6-4,6-7(5),6-3",M. Larsson,J. Tarango,,,SWE,USA,6-4,6-7(5),6-3,,,01:56:00,,,,,304,/en/stats/leaderboard?page=serve,1,12,58,54,93,80,43,54,62,24,39,50,1,2,16,272,/en/stats/leaderboard?page=serve,4,4,67,64,95,67,43,64,58,18,31,40,2,5,15,72,67,93,36,34,95,54,101,188,64,61,95,28,26,93,46,87,188,A,5,7,,M. Larsson,J. Tarango,L206,T136,SWE,USA,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS013,R16,01:19:00,,F,2,K148,"6-3,6-4",P. Korda,M. Stich,,,CZE,GER,6-3,6-4,,,,01:19:00,,,,,271,/en/stats/leaderboard?page=serve,3,3,68,44,65,66,29,44,57,12,21,50,2,4,10,204,/en/stats/leaderboard?page=serve,3,2,47,27,57,63,17,27,40,12,30,0,0,4,9,63,41,65,49,28,57,57,69,122,51,29,57,37,24,65,43,53,122,A,,,,P. Korda,M. Stich,K148,S351,CZE,GER,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS014,R16,01:02:00,,F,2,P273,"6-3,6-4",D. Prinosil,K. Alami,,,GER,MAR,6-3,6-4,,,,01:02:00,,,,,319,/en/stats/leaderboard?page=serve,,9,65,33,51,88,29,33,67,12,18,,0,,10,258,/en/stats/leaderboard?page=serve,2,6,57,29,51,79,23,29,41,9,22,50,2,4,9,80,41,51,37,19,51,59,60,102,63,32,51,20,10,51,41,42,102,A,,,False,D. Prinosil,K. Alami,P273,A203,GER,MAR,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS015,R16,03:04:00,,F,3,P218,"7-6(7),6-7(4),7-6(7)",N. Pereira,B. Becker,,,VEN,GER,7-6(7),6-7(4),7-6(7),,,03:04:00,7,4,7,5,295,/en/stats/leaderboard?page=serve,3,5,68,89,131,74,66,89,57,24,42,86,6,7,18,300,/en/stats/leaderboard?page=serve,7,28,50,66,132,83,55,66,52,34,66,83,5,6,18,69,90,131,33,43,132,51,133,263,67,89,132,31,41,131,49,130,263,A,4,7,,N. Pereira,B. Becker,P218,B028,VEN,GER,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS016,R32,01:18:00,,F,2,M099,"6-2,7-6(8)",T. Muster,J. Sanchez,,,AUT,ESP,6-2,7-6(8),,,,01:18:00,,,,,281,/en/stats/leaderboard?page=serve,1,4,52,32,61,84,27,32,52,15,29,0,0,1,10,248,/en/stats/leaderboard?page=serve,3,4,73,54,74,69,37,54,35,7,20,50,3,6,10,69,42,61,41,30,74,53,72,135,59,44,74,31,19,61,47,63,135,A,8,6,,T. Muster,J. Sanchez,M099,S015,AUT,ESP,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS017,R32,01:09:00,,F,2,G254,"6-2,6-4",A. Gaudenzi,S. Schalken,,,ITA,NED,6-2,6-4,,,,01:09:00,,,,,258,/en/stats/leaderboard?page=serve,1,2,62,31,50,71,22,31,47,9,19,50,2,4,9,196,/en/stats/leaderboard?page=serve,5,5,52,30,58,57,17,30,43,12,28,38,3,8,9,62,31,50,50,29,58,56,60,108,50,29,58,38,19,50,44,48,108,A,,,,A. Gaudenzi,S. Schalken,G254,S572,ITA,NED,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS018,R32,01:08:00,,F,2,K181,"6-1,6-2",N. Kulti,F. Fetterlein,,,SWE,DEN,6-1,6-2,,,,01:08:00,,,,,218,/en/stats/leaderboard?page=serve,1,4,75,30,40,90,27,30,50,5,10,0,0,,8,190,/en/stats/leaderboard?page=serve,3,5,46,31,67,58,18,31,42,15,36,75,12,16,7,80,32,40,51,34,67,62,66,107,49,33,67,20,8,40,38,41,107,A,,,,N. Kulti,F. Fetterlein,K181,F206,SWE,DEN,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS019,R32,01:08:00,,F,2,V166,"6-2,6-3",A. Voinea,J. Siemerink,,,ROU,NED,6-2,6-3,,,,01:08:00,,,,,194,/en/stats/leaderboard?page=serve,3,1,51,24,47,67,16,24,78,18,23,0,0,,8,206,/en/stats/leaderboard?page=serve,6,7,53,30,57,67,20,30,30,8,27,50,4,8,9,72,34,47,51,29,57,61,63,104,49,28,57,28,13,47,39,41,104,A,,,,A. Voinea,J. Siemerink,V166,S381,ROU,NED,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS020,R32,01:05:00,,F,2,E113,"6-2,6-4",T. Enqvist,H. Arazi,,,SWE,MAR,6-2,6-4,,,,01:05:00,,,,,194,/en/stats/leaderboard?page=serve,1,1,39,20,51,90,18,20,65,20,31,0,0,,9,232,/en/stats/leaderboard?page=serve,1,2,51,31,61,61,19,31,53,16,30,57,4,7,9,75,38,51,43,26,61,57,64,112,57,35,61,25,13,51,43,48,112,A,,,,T. Enqvist,H. Arazi,E113,A226,SWE,MAR,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS021,R32,01:11:00,,F,2,E121,"6-4,6-4",Y. El Aynaoui,T. Carbonell,,,MAR,ESP,6-4,6-4,,,,01:11:00,,,,,234,/en/stats/leaderboard?page=serve,,14,69,34,49,91,31,34,60,9,15,0,0,,10,266,/en/stats/leaderboard?page=serve,2,2,71,51,72,67,34,51,48,10,21,83,10,12,10,82,40,49,39,28,72,56,68,121,61,44,72,18,9,49,44,53,121,A,,,False,Y. El Aynaoui,T. Carbonell,E121,C216,MAR,ESP,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS022,R32,01:16:00,,F,2,R186,"6-3,6-4",G. Raoux,M. Goellner,,,FRA,GER,6-3,6-4,,,,01:16:00,,,,,283,/en/stats/leaderboard?page=serve,1,10,42,28,66,89,25,28,53,20,38,80,4,5,10,235,/en/stats/leaderboard?page=serve,3,5,52,26,50,69,18,26,46,11,24,25,1,4,9,68,45,66,42,21,50,57,66,116,58,29,50,32,21,66,43,50,116,A,,,,G. Raoux,M. Goellner,R186,G252,FRA,GER,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS023,R32,01:45:00,,F,2,V037,"7-5,7-6(7)",A. Volkov,P. Haarhuis,,,RUS,NED,7-5,7-6(7),,,,01:45:00,,,,,263,/en/stats/leaderboard?page=serve,2,0,55,50,91,68,34,50,59,24,41,78,7,9,12,248,/en/stats/leaderboard?page=serve,3,2,55,46,83,57,26,46,62,23,37,25,1,4,12,64,58,91,41,34,83,53,92,174,59,49,83,36,33,91,47,82,174,A,7,1,,A. Volkov,P. Haarhuis,V037,H223,RUS,NED,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS024,R32,00:42:00,,F,2,L206,"6-0,6-1",M. Larsson,S. Khalfan,,,SWE,QAT,6-0,6-1,,,,00:42:00,,,,,212,/en/stats/leaderboard?page=serve,1,1,59,22,37,77,17,22,60,9,15,,0,,6,128,/en/stats/leaderboard?page=serve,4,0,49,21,43,33,7,21,36,8,22,40,4,10,7,70,26,37,65,28,43,68,54,80,35,15,43,30,11,37,33,26,80,A,,,,M. Larsson,S. Khalfan,L206,K346,SWE,QAT,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS025,R32,01:43:00,,F,2,T136,"7-6(7),6-3",J. Tarango,B. Ulihrach,,,USA,CZE,7-6(7),6-3,,,,01:43:00,7,4,,,258,/en/stats/leaderboard?page=serve,4,4,55,52,95,71,37,52,51,22,43,88,14,16,11,243,/en/stats/leaderboard?page=serve,5,4,58,50,86,60,30,50,56,20,36,82,14,17,10,62,59,95,42,36,86,52,95,181,58,50,86,38,36,95,48,86,181,A,,,,J. Tarango,B. Ulihrach,T136,U032,USA,CZE,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS026,R32,01:15:00,,F,2,K148,"6-3,6-2",P. Korda,F. Dewulf,,,CZE,BEL,6-3,6-2,,,,01:15:00,,,,,280,/en/stats/leaderboard?page=serve,4,7,53,29,55,90,26,29,46,12,26,67,2,3,9,207,/en/stats/leaderboard?page=serve,2,4,62,41,66,61,25,41,32,8,25,64,7,11,8,69,38,55,50,33,66,59,71,121,50,33,66,31,17,55,41,50,121,A,,,,P. Korda,F. Dewulf,K148,D228,CZE,BEL,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS027,R32,01:52:00,,F,3,S351,"3-6,6-2,7-5",M. Stich,C. Ruud,,,GER,NOR,3-6,6-2,7-5,,,01:52:00,,,,,283,/en/stats/leaderboard?page=serve,1,8,53,42,79,81,34,42,57,21,37,71,5,7,14,237,/en/stats/leaderboard?page=serve,7,0,48,42,87,74,31,42,49,22,45,43,3,7,15,70,55,79,39,34,87,54,89,166,61,53,87,30,24,79,46,77,166,A,,,,M. Stich,C. Ruud,S351,R219,GER,NOR,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS028,R32,00:50:00,,F,2,P273,"6-0,6-2",D. Prinosil,G. Schaller,,,GER,AUT,6-0,6-2,,,,00:50:00,,,,,213,/en/stats/leaderboard?page=serve,3,7,67,26,39,88,23,26,54,7,13,0,0,,7,168,/en/stats/leaderboard?page=serve,1,1,57,31,54,48,15,31,35,8,23,55,6,11,7,77,30,39,57,31,54,66,61,93,43,23,54,23,9,39,34,32,93,A,,,,D. Prinosil,G. Schaller,P273,S315,GER,AUT,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS029,R32,01:30:00,,F,3,A203,"6-2,2-6,7-5",K. Alami,A. Olhovskiy,,,MAR,RUS,6-2,2-6,7-5,,,01:30:00,,,,,283,/en/stats/leaderboard?page=serve,2,8,65,51,78,75,38,51,52,14,27,0,0,2,14,259,/en/stats/leaderboard?page=serve,2,2,52,43,83,74,32,43,55,22,40,50,3,6,14,67,52,78,35,29,83,50,81,161,65,54,83,33,26,78,50,80,161,A,,,,K. Alami,A. Olhovskiy,A203,O009,MAR,RUS,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS030,R32,01:09:00,,F,2,P218,"6-3,6-4",N. Pereira,J. Apell,,,VEN,SWE,6-3,6-4,,,,01:09:00,,,,,236,/en/stats/leaderboard?page=serve,1,6,55,27,49,74,20,27,36,8,22,0,0,3,9,197,/en/stats/leaderboard?page=serve,2,1,73,46,63,50,23,46,35,6,17,25,2,8,10,57,28,49,54,34,63,55,62,112,46,29,63,43,21,49,45,50,112,A,,,,N. Pereira,J. Apell,P218,A176,VEN,SWE,,
451,1996,Doha,GP,1996-01-01T00:00:00,1996-01-07T00:00:00,Hard,32,600000,$,MS031,R32,01:29:00,,F,2,B028,"6-2,7-5",B. Becker,S. Edberg,,,GER,SWE,6-2,7-5,,,,01:29:00,,,,,292,/en/stats/leaderboard?page=serve,3,10,58,35,60,89,31,35,48,12,25,75,3,4,10,215,/en/stats/leaderboard?page=serve,6,4,46,31,67,61,19,31,50,18,36,43,3,7,10,72,43,60,45,30,67,57,73,127,55,37,67,28,17,60,43,54,127,A,,,,B. Becker,S. Edberg,B028,E004,GER,SWE,,
