event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS042,R64,01:41:00,,F,2,J129,"7-6(7),7-5",T. Johansson,W. Black,,,SWE,ZIM,7-6(7),7-5,,,,01:41:00,,,306,/en/stats/leaderboard?page=serve,1,20,58,42,72,81,34,42,57,17,30,80,4,5,12,250,/en/stats/leaderboard?page=serve,4,5,53,45,85,73,33,45,40,16,40,71,5,7,12,71,51,72,42,36,85,55,87,157,58,49,85,29,21,72,45,70,157,A,,,7,3,,,T. Johansson,W. Black,J129,B499,SWE,ZIM,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS043,R64,00:53:00,,F,2,T136,"7-5,6-2",J. Tarango,A. Berasategui,,,USA,ESP,7-5,6-2,,,,00:53:00,,,219,/en/stats/leaderboard?page=serve,3,4,60,30,50,83,25,30,75,15,20,0,0,,10,267,/en/stats/leaderboard?page=serve,3,2,71,35,49,63,22,35,64,9,14,0,0,3,10,80,40,50,37,18,49,59,58,99,63,31,49,20,10,50,41,41,99,A,,,,,,,J. Tarango,A. Berasategui,T136,B428,USA,ESP,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS044,R64,01:30:00,,F,3,C378,"1-6,6-4,6-1",A. Costa,S. Grosjean,,,ESP,FRA,1-6,6-4,6-1,,,01:30:00,,,258,/en/stats/leaderboard?page=serve,2,4,66,49,74,67,33,49,48,12,25,70,7,10,12,240,/en/stats/leaderboard?page=serve,,4,59,40,68,65,26,40,46,13,28,56,5,9,12,61,45,74,43,29,68,52,74,142,57,39,68,39,29,74,48,68,142,A,,False,,,,,A. Costa,S. Grosjean,C378,G379,ESP,FRA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS045,R64,01:30:00,,F,2,H355,"7-6(7),7-6(7)",T. Haas,J. Courier,,,GER,USA,7-6(7),7-6(7),,,,01:30:00,7,5,308,/en/stats/leaderboard?page=serve,4,10,55,41,75,88,36,41,68,23,34,67,2,3,12,298,/en/stats/leaderboard?page=serve,1,9,74,61,82,77,47,61,48,10,21,75,3,4,12,79,59,75,30,25,82,54,84,157,70,57,82,21,16,75,46,73,157,A,,,7,3,,,T. Haas,J. Courier,H355,C243,GER,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS046,R64,01:24:00,,F,2,L206,"6-4,7-5",M. Larsson,G. Pozzi,,,SWE,ITA,6-4,7-5,,,,01:24:00,,,303,/en/stats/leaderboard?page=serve,1,7,65,41,63,83,34,41,59,13,22,,0,,11,261,/en/stats/leaderboard?page=serve,2,4,52,41,79,73,30,41,53,20,38,71,5,7,11,75,47,63,37,29,79,54,76,142,63,50,79,25,16,63,46,66,142,A,,,,,,,M. Larsson,G. Pozzi,L206,P045,SWE,ITA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS049,R64,02:09:00,,F,3,R186,"7-6(7),5-7,6-4",G. Raoux,W. Schranz,,,FRA,AUT,7-6(7),5-7,6-4,,,02:09:00,,,302,/en/stats/leaderboard?page=serve,,4,53,54,101,85,46,54,66,31,47,83,5,6,17,300,/en/stats/leaderboard?page=serve,7,23,59,65,111,85,55,65,46,21,46,83,5,6,17,76,77,101,32,35,111,53,112,212,68,76,111,24,24,101,47,100,212,A,False,,7,5,,,G. Raoux,W. Schranz,R186,S649,FRA,AUT,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS050,R64,01:15:00,,F,2,M442,"6-1,6-4",T. Martin,F. Santoro,,,USA,FRA,6-1,6-4,,,,01:15:00,,,278,/en/stats/leaderboard?page=serve,1,10,66,42,64,79,33,42,36,8,22,75,3,4,9,203,/en/stats/leaderboard?page=serve,3,2,56,28,50,71,20,28,27,6,22,33,2,6,8,64,41,64,48,24,50,57,65,114,52,26,50,36,23,64,43,49,114,A,,,,,,,T. Martin,F. Santoro,M442,S424,USA,FRA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS051,R64,01:26:00,,F,2,M099,"6-4,7-5",T. Muster,T. Henman,,,AUT,GBR,6-4,7-5,,,,01:26:00,,,266,/en/stats/leaderboard?page=serve,3,2,59,40,68,70,28,40,57,16,28,75,6,8,11,231,/en/stats/leaderboard?page=serve,6,4,59,37,63,73,27,37,38,10,26,0,0,4,11,65,44,68,41,26,63,53,70,131,59,37,63,35,24,68,47,61,131,A,,,,,,,T. Muster,T. Henman,M099,H336,AUT,GBR,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS052,R64,01:24:00,,F,3,I034,"6-4,0-6,6-4",G. Ivanisevic,A. Ilie,,,CRO,AUS,6-4,0-6,6-4,,,01:24:00,,,260,/en/stats/leaderboard?page=serve,7,12,47,37,78,95,35,37,37,15,41,70,7,10,13,276,/en/stats/leaderboard?page=serve,5,11,53,39,74,90,35,39,43,15,35,50,2,4,13,64,50,78,32,24,74,49,74,152,68,50,74,36,28,78,51,78,152,A,,,,,,,G. Ivanisevic,A. Ilie,I034,I052,CRO,AUS,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS053,R64,01:16:00,,F,2,P338,"6-2,6-3",M. Philippoussis,B. Black,,,AUS,ZIM,6-2,6-3,,,,01:16:00,,,170,/en/stats/leaderboard?page=serve,5,20,54,43,80,77,33,43,46,17,37,,0,,9,226,/en/stats/leaderboard?page=serve,1,2,43,19,44,68,13,19,52,13,25,63,5,8,8,63,50,80,41,18,44,55,68,124,59,26,44,38,30,80,45,56,124,A,,,,,,,M. Philippoussis,B. Black,P338,B397,AUS,ZIM,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS054,R64,02:12:00,,F,3,O098,"5-7,6-2,6-3",M. Ondruska,S. Campbell,,,RSA,USA,5-7,6-2,6-3,,,02:12:00,,,234,/en/stats/leaderboard?page=serve,5,4,49,44,89,73,32,44,42,19,45,60,6,10,14,202,/en/stats/leaderboard?page=serve,5,0,52,53,102,57,30,53,45,22,49,42,5,12,15,57,51,89,49,50,102,53,101,191,51,52,102,43,38,89,47,90,191,A,,,,,,,M. Ondruska,S. Campbell,O098,C355,RSA,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS057,R64,01:46:00,,F,3,C274,"6-1,3-6,6-2",M. Chang,T. Woodbridge,,,USA,AUS,6-1,3-6,6-2,,,01:46:00,,,265,/en/stats/leaderboard?page=serve,4,6,56,42,75,69,29,42,55,18,33,67,4,6,12,218,/en/stats/leaderboard?page=serve,4,5,56,52,93,62,32,52,41,17,41,58,7,12,12,63,47,75,47,44,93,54,91,168,53,49,93,37,28,75,46,77,168,A,,,,,,,M. Chang,T. Woodbridge,C274,W136,USA,AUS,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS058,R64,01:56:00,,F,3,D270,"6-4,4-6,7-5",S. Draper,N. Lapentti,,,AUS,ECU,6-4,4-6,7-5,,,01:56:00,,,284,/en/stats/leaderboard?page=serve,3,4,66,57,87,77,44,57,53,16,30,67,4,6,16,273,/en/stats/leaderboard?page=serve,4,8,62,65,105,68,44,65,58,23,40,67,6,9,16,69,60,87,36,38,105,51,98,192,64,67,105,31,27,87,49,94,192,A,,,,,,,S. Draper,N. Lapentti,D270,L290,AUS,ECU,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS059,R64,02:38:00,,F,3,C344,"6-3,6-7(3),7-6(9)",A. Corretja,A. O'Brien,,,ESP,USA,6-3,6-7(3),7-6(9),,,02:38:00,3,7,314,/en/stats/leaderboard?page=serve,3,9,66,63,96,84,53,63,64,21,33,50,1,2,17,286,/en/stats/leaderboard?page=serve,6,13,63,74,117,76,56,74,53,23,43,80,8,10,16,77,74,96,32,38,117,53,112,213,68,79,117,23,22,96,47,101,213,A,,,,,9,7,A. Corretja,A. O'Brien,C344,O099,ESP,USA,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS060,R64,01:32:00,,F,2,F196,"7-6(7),7-5",W. Ferreira,F. Mantilla,,,RSA,ESP,7-6(7),7-5,,,,01:32:00,,,299,/en/stats/leaderboard?page=serve,4,13,55,41,75,85,35,41,59,20,34,80,4,5,12,265,/en/stats/leaderboard?page=serve,2,5,47,36,76,69,25,36,63,25,40,71,5,7,12,73,55,75,34,26,76,54,81,151,66,50,76,27,20,75,46,70,151,A,,,7,5,,,W. Ferreira,F. Mantilla,F196,M535,RSA,ESP,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS061,R64,01:42:00,,F,3,S381,"1-6,6-1,7-6(7)",J. Siemerink,S. Schalken,,,NED,NED,1-6,6-1,7-6(7),,,01:42:00,,,253,/en/stats/leaderboard?page=serve,9,7,53,46,86,83,38,46,43,17,40,50,3,6,13,266,/en/stats/leaderboard?page=serve,2,3,61,50,82,62,31,50,66,21,32,63,5,8,13,64,55,86,37,30,82,51,85,168,63,52,82,36,31,86,49,83,168,A,,,,,7,2,J. Siemerink,S. Schalken,S381,S572,NED,NED,,
422,1998,ATP Masters 1000 Cincinnati,1000,1998-08-10T00:00:00,1998-08-16T00:00:00,Hard,56,2200000,$,MS062,R64,02:01:00,,F,3,V141,"6-2,3-6,7-6(10)",D. Vacek,J. Stoltenberg,,,CZE,AUS,6-2,3-6,7-6(10),,,02:01:00,,,286,/en/stats/leaderboard?page=serve,5,4,49,42,85,83,35,42,63,27,43,50,1,2,14,274,/en/stats/leaderboard?page=serve,3,5,55,58,106,71,41,58,60,29,48,60,3,5,15,73,62,85,34,36,106,51,98,191,66,70,106,27,23,85,49,93,191,A,,,,,10,8,D. Vacek,J. Stoltenberg,V141,S331,CZE,AUS,,
