event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS001,F,02:04:00,,F,3,K293,"6-7(5),6-2,6-3",G. Kuerten,C. Moya,,,BRA,ESP,6-7(5),6-2,6-3,,,02:04:00,5,7,274,/en/stats/leaderboard?page=serve,5,7,53,64,121,73,47,64,53,30,57,92,11,12,15,252,/en/stats/leaderboard?page=serve,2,6,52,45,87,80,36,45,45,19,42,33,2,6,14,64,77,121,37,32,87,52,109,208,63,55,87,36,44,121,48,99,208,A,,,,,,,G. Kuerten,C. Moya,K293,M605,BRA,ESP,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS002,SF,01:15:00,,F,2,M605,"6-1,6-2",C. Moya,F. Vicente,,,ESP,ESP,6-1,6-2,,,,01:15:00,,,260,/en/stats/leaderboard?page=serve,1,2,48,25,52,92,23,25,44,12,27,,0,,8,195,/en/stats/leaderboard?page=serve,,2,62,43,69,58,25,43,31,8,26,73,11,15,7,67,35,52,52,36,69,59,71,121,48,33,69,33,17,52,41,50,121,A,False,,,,,,C. Moya,F. Vicente,M605,V195,ESP,ESP,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS003,SF,01:33:00,,F,2,K293,"7-5,7-5",G. Kuerten,T. Muster,,,BRA,AUT,7-5,7-5,,,,01:33:00,,,272,/en/stats/leaderboard?page=serve,1,7,55,38,69,76,29,38,52,16,31,50,2,4,12,242,/en/stats/leaderboard?page=serve,2,2,67,61,91,59,36,61,50,15,30,69,9,13,12,65,45,69,44,40,91,53,85,160,56,51,91,35,24,69,47,75,160,A,,,,,,,G. Kuerten,T. Muster,K293,M099,BRA,AUT,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS004,QF,01:30:00,,F,2,M605,"7-5,6-4",C. Moya,T. Schiessling,,,ESP,AUT,7-5,6-4,,,,01:30:00,,,258,/en/stats/leaderboard?page=serve,1,3,52,37,71,70,26,37,53,18,34,82,9,11,11,238,/en/stats/leaderboard?page=serve,3,0,63,43,68,63,27,43,52,13,25,64,7,11,11,62,44,71,41,28,68,52,72,139,59,40,68,38,27,71,48,67,139,A,,,,,,,C. Moya,T. Schiessling,M605,S600,ESP,AUT,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS005,QF,02:36:00,,F,3,V195,"3-6,7-6(8),6-4",F. Vicente,T. Carbonell,,,ESP,ESP,3-6,7-6(8),6-4,,,02:36:00,,,241,/en/stats/leaderboard?page=serve,4,4,66,70,106,64,45,70,47,17,36,50,6,12,17,233,/en/stats/leaderboard?page=serve,5,0,74,96,129,58,56,96,42,14,33,54,7,13,17,58,62,106,46,59,129,51,121,235,54,70,129,42,44,106,49,114,235,A,,8,6,,,,F. Vicente,T. Carbonell,V195,C216,ESP,ESP,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS006,QF,01:50:00,,F,3,M099,"3-6,6-3,6-4",T. Muster,T. Haas,,,AUT,GER,3-6,6-3,6-4,,,01:50:00,,,279,/en/stats/leaderboard?page=serve,2,6,67,66,99,68,45,66,55,18,33,85,11,13,14,258,/en/stats/leaderboard?page=serve,4,12,52,49,94,80,39,49,40,18,45,40,2,5,14,64,63,99,39,37,94,52,100,193,61,57,94,36,36,99,48,93,193,A,,,,,,,T. Muster,T. Haas,M099,H355,AUT,GER,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS007,QF,01:19:00,,F,2,K293,"6-4,6-4",G. Kuerten,S. Bruguera,,,BRA,ESP,6-4,6-4,,,,01:19:00,,,280,/en/stats/leaderboard?page=serve,1,0,65,46,71,70,32,46,56,14,25,80,4,5,10,235,/en/stats/leaderboard?page=serve,4,2,55,40,73,70,28,40,42,14,33,63,5,8,10,65,46,71,42,31,73,53,77,144,58,42,73,35,25,71,47,67,144,A,,,,,,,G. Kuerten,S. Bruguera,K293,B350,BRA,ESP,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS008,R16,01:01:00,,F,2,M605,"6-4,6-4",C. Moya,S. Dosedel,,,ESP,CZE,6-4,6-4,,,,01:01:00,,,254,/en/stats/leaderboard?page=serve,1,4,57,29,51,69,20,29,55,12,22,25,1,4,10,212,/en/stats/leaderboard?page=serve,2,2,63,36,57,56,20,36,43,9,21,29,2,7,10,63,32,51,49,28,57,56,60,108,51,29,57,37,19,51,44,48,108,A,,,,,,,C. Moya,S. Dosedel,M605,D198,ESP,CZE,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS009,R16,01:58:00,,F,3,S600,"4-6,6-4,6-3",T. Schiessling,D. Vemic,,,AUT,SRB,4-6,6-4,6-3,,,01:58:00,,,295,/en/stats/leaderboard?page=serve,1,0,76,66,87,76,50,66,52,11,21,83,5,6,14,272,/en/stats/leaderboard?page=serve,2,6,70,62,89,74,46,62,44,12,27,70,7,10,15,70,61,87,35,31,89,52,92,176,65,58,89,30,26,87,48,84,176,A,,,,,,,T. Schiessling,D. Vemic,S600,V205,AUT,SRB,,
7306,1998,Mallorca,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Clay,32,425000,$,MS010,R16,02:22:00,,F,3,V195,"7-6(7),4-6,6-3",F. Vicente,A. Costa,,,ESP,ESP,7-6(7),4-6,6-3,,,02:22:00,7,5,240,/en/stats/leaderboard?page=serve,4,3,56,58,104,69,40,58,48,22,46,58,7,12,16,237,/en/stats/leaderboard?page=serve,4,6,67,67,100,60,40,67,42,14,33,50,5,10,15,60,62,104,46,46,100,53,108,204,54,54,100,40,42,104,47,96,204,A,,,,,,,F. Vicente,A. Costa,V195,C378,ESP,ESP,,
