event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS088,R128,02:53:00,,F,4,C977,"6-7(4),7-5,6-2,6-4",M. Cilic,T. de Bakker,,,CRO,NED,6-7(4),7-5,6-2,6-4,,02:53:00,A,M. Cilic,T. de Bakker,CRO,NED,,,313,/en/stats/leaderboard?page=serve,1,19,50,58,117,84,49,58,66,39,59,80,4,5,21,262,/en/stats/leaderboard?page=serve,4,12,57,78,136,73,57,78,48,28,58,55,6,11,21,75,88,117,38,51,136,55,139,253,63,85,136,25,29,117,45,114,253,,,02:53:00,02:53:00,4,7,,,,,C977,D776
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS089,R128,01:43:00,,F,3,R772,"6-2,6-2,6-3",A. Ramos-Vinolas,B. Coric,,,ESP,CRO,6-2,6-2,6-3,,,01:43:00,A,A. Ramos-Vinolas,B. Coric,ESP,CRO,,,307,/en/stats/leaderboard?page=serve,1,4,66,50,76,76,38,50,62,16,26,100,7,7,12,222,/en/stats/leaderboard?page=serve,3,5,62,48,77,60,29,48,45,13,29,25,2,8,13,71,54,76,45,35,77,58,89,153,55,42,77,29,22,76,42,64,153,,,01:43:00,01:43:00,,,,,,,R772,CG80
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS090,R128,02:15:00,,F,4,L987,"6-7(5),4-6,6-4,6-2",D. Lajovic,S. Querrey,,,SRB,USA,6-7(5),4-6,6-4,6-2,,02:15:00,A,D. Lajovic,S. Querrey,SRB,USA,,,300,/en/stats/leaderboard?page=serve,6,17,61,72,118,79,57,72,59,27,46,60,3,5,20,281,/en/stats/leaderboard?page=serve,6,18,57,72,127,74,53,72,58,32,55,64,7,11,20,71,84,118,33,42,127,51,126,245,67,85,127,29,34,118,49,119,245,,,02:15:00,02:15:00,5,7,,,,,L987,Q927
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS091,R128,03:16:00,,F,5,BD06,"6-2,6-3,4-6,2-6,6-2",R. Bautista Agut,M. Klizan,,,ESP,SVK,6-2,6-3,4-6,2-6,6-2,03:16:00,A,R. Bautista Agut,M. Klizan,ESP,SVK,,,265,/en/stats/leaderboard?page=serve,2,4,72,99,137,67,66,99,47,18,38,64,9,14,22,226,/en/stats/leaderboard?page=serve,13,8,53,84,160,62,52,84,50,38,76,75,21,28,21,61,84,137,44,70,160,52,154,297,56,90,160,39,53,137,48,143,297,,,03:16:00,03:16:00,,,,,,,BD06,K966
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS092,R128,01:31:00,,F,3,KE17,"6-2,7-5,6-2",N. Kyrgios,P. Carreno Busta,,,AUS,ESP,6-2,7-5,6-2,,,01:31:00,A,N. Kyrgios,P. Carreno Busta,AUS,ESP,,,338,/en/stats/leaderboard?page=serve,0,16,71,50,70,74,37,50,85,17,20,0,0,1,14,230,/en/stats/leaderboard?page=serve,2,3,66,62,94,47,29,62,59,19,32,50,6,12,14,77,54,70,49,46,94,61,100,164,51,48,94,23,16,70,39,64,164,,,01:31:00,01:31:00,,,,,,,KE17,CD85
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS093,R128,02:01:00,,F,3,C882,"7-6(7),6-1,6-4",P. Cuevas,Y. Nishioka,,,URU,JPN,7-6(7),6-1,6-4,,,02:01:00,A,P. Cuevas,Y. Nishioka,URU,JPN,,,283,/en/stats/leaderboard?page=serve,5,13,61,59,96,80,47,59,49,18,37,78,7,9,14,239,/en/stats/leaderboard?page=serve,1,3,60,55,91,56,31,55,61,22,36,40,4,10,15,68,65,96,42,38,91,55,103,187,58,53,91,32,31,96,45,84,187,,,02:01:00,02:01:00,7,5,,,,,C882,N732
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS094,R128,02:11:00,,F,3,BE67,"7-6(7),6-4,6-4",M. Basic,R. Haase,,,BIH,NED,7-6(7),6-4,6-4,,,02:11:00,A,M. Basic,R. Haase,BIH,NED,,,292,/en/stats/leaderboard?page=serve,2,8,61,76,124,63,48,76,69,33,48,92,11,12,16,280,/en/stats/leaderboard?page=serve,4,17,57,55,96,73,40,55,56,23,41,50,3,6,16,65,81,124,34,33,96,52,114,220,66,63,96,35,43,124,48,106,220,,,02:11:00,02:11:00,7,4,,,,,BE67,H756
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS095,R128,01:46:00,,F,3,BA47,"7-5,6-1,6-2",T. Berdych,Y. Bhambri,,,CZE,IND,7-5,6-1,6-2,,,01:46:00,A,T. Berdych,Y. Bhambri,CZE,IND,,,300,/en/stats/leaderboard?page=serve,1,13,51,39,77,90,35,39,55,21,38,67,2,3,14,214,/en/stats/leaderboard?page=serve,4,2,59,46,78,54,25,46,50,16,32,25,2,8,13,73,56,77,47,37,78,60,93,155,53,41,78,27,21,77,40,62,155,,,01:46:00,01:46:00,,,,,,,BA47,BF55
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS096,R128,04:41:00,,F,5,V306,"7-6(8),4-6,3-6,7-6(7),6-2",F. Verdasco,R. Nadal,,,ESP,ESP,7-6(8),4-6,3-6,7-6(7),6-2,04:41:00,A,F. Verdasco,R. Nadal,ESP,ESP,,,264,/en/stats/leaderboard?page=serve,10,20,61,118,192,72,85,118,45,33,74,63,10,16,26,264,/en/stats/leaderboard?page=serve,6,7,64,108,170,69,75,108,50,31,62,67,10,15,25,61,118,192,38,64,170,50,182,362,62,106,170,39,74,192,50,180,362,,,04:41:00,04:41:00,8,6,,,7,4,V306,N409
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS097,R128,02:01:00,,F,4,SC56,"6-1,6-3,2-6,6-2",D. Sela,B. Becker,,,ISR,GER,6-1,6-3,2-6,6-2,,02:01:00,A,D. Sela,B. Becker,ISR,GER,,,267,/en/stats/leaderboard?page=serve,1,5,65,62,95,71,44,62,52,17,33,50,4,8,16,209,/en/stats/leaderboard?page=serve,6,8,64,67,104,58,39,67,35,13,37,33,4,12,16,64,61,95,50,52,104,57,113,199,50,52,104,36,34,95,43,86,199,,,02:01:00,02:01:00,,,,,,,SC56,B896
