event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS011,R16,01:10:00,,F,2,B428,"6-4,6-1",A. Berasategui,M. Rios,,,ESP,CHI,6-4,6-1,,,,01:10:00,269,/en/stats/leaderboard?page=serve,,4,66,38,58,68,26,38,55,11,20,50,2,4,9,180,/en/stats/leaderboard?page=serve,,0,59,36,61,56,20,36,32,8,25,64,9,14,8,64,37,58,54,33,61,59,70,119,46,28,61,36,21,58,41,49,119,A,1,4,,,,,,,A. Berasategui,M. Rios,B428,R286,ESP,CHI,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS012,R16,00:58:00,,F,2,B350,"6-1,6-3",S. Bruguera,W. Ferreira,,,ESP,RSA,6-1,6-3,,,,00:58:00,258,/en/stats/leaderboard?page=serve,False,0,51,21,41,67,14,21,65,13,20,0,0,2,8,168,/en/stats/leaderboard?page=serve,False,3,54,31,57,48,15,31,38,10,26,57,8,14,8,66,27,41,56,32,57,60,59,98,44,25,57,34,14,41,40,39,98,A,,,,,,,,,S. Bruguera,W. Ferreira,B350,F196,ESP,RSA,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS013,R16,01:09:00,,F,2,M475,"6-3,6-3",A. Medvedev,J. Diaz,,,UKR,ESP,6-3,6-3,,,,01:09:00,240,/en/stats/leaderboard?page=serve,,2,59,35,59,69,24,35,67,16,24,,0,,9,253,/en/stats/leaderboard?page=serve,False,2,84,46,55,57,26,46,44,4,9,63,5,8,9,68,40,59,45,25,55,57,65,114,55,30,55,32,19,59,43,49,114,A,1,,,,,,,,A. Medvedev,J. Diaz,M475,D291,UKR,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS014,R16,01:40:00,,F,2,C378,"6-3,6-4",A. Costa,A. Corretja,,,ESP,ESP,6-3,6-4,,,,01:40:00,274,/en/stats/leaderboard?page=serve,,2,68,50,74,72,36,50,46,11,24,88,7,8,9,218,/en/stats/leaderboard?page=serve,,7,47,37,79,65,24,37,45,19,42,75,12,16,10,64,47,74,46,36,79,54,83,153,54,43,79,36,27,74,46,70,153,A,2,6,,,,,,,A. Costa,A. Corretja,C378,C344,ESP,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS015,R16,00:56:00,,F,2,K267,"6-2,6-1",Y. Kafelnikov,S. Dosedel,,,RUS,CZE,6-2,6-1,,,,00:56:00,281,/en/stats/leaderboard?page=serve,,4,67,34,51,71,24,34,53,9,17,75,3,4,8,177,/en/stats/leaderboard?page=serve,,1,67,30,45,50,15,30,33,5,15,55,6,11,7,65,33,51,56,25,45,60,58,96,44,20,45,35,18,51,40,38,96,A,1,2,,,,,,,Y. Kafelnikov,S. Dosedel,K267,D198,RUS,CZE,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS016,R32,00:56:00,,F,2,M099,"6-2,6-2",T. Muster,A. Radulescu,,,AUT,GER,6-2,6-2,,,,00:56:00,284,/en/stats/leaderboard?page=serve,False,1,50,24,48,88,21,24,58,14,24,,0,,8,208,/en/stats/leaderboard?page=serve,,10,43,25,58,76,19,25,33,11,33,56,5,9,8,73,35,48,48,28,58,59,63,106,52,30,58,27,13,48,41,43,106,A,,4,,,,,,,T. Muster,A. Radulescu,M099,R284,AUT,GER,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS017,R32,01:42:00,,F,2,A226,"7-6(7),7-5",H. Arazi,M. Craca,,,MAR,GER,7-6(7),7-5,,,,01:42:00,240,/en/stats/leaderboard?page=serve,,3,45,34,75,68,23,34,61,25,41,50,4,8,12,234,/en/stats/leaderboard?page=serve,,3,70,63,90,54,34,63,52,14,27,67,10,15,12,64,48,75,47,42,90,55,90,165,53,48,90,36,27,75,45,75,165,A,3,3,,,7,1,,,H. Arazi,M. Craca,A226,C439,MAR,GER,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS018,R32,00:51:00,,F,2,M535,"6-1,6-1",F. Mantilla,R. Carretero,,,ESP,ESP,6-1,6-1,,,,00:51:00,277,/en/stats/leaderboard?page=serve,,0,90,36,40,78,28,36,25,1,4,,0,,7,177,/en/stats/leaderboard?page=serve,,3,70,35,50,51,18,35,27,4,15,58,7,12,7,73,29,40,56,28,50,63,57,90,44,22,50,28,11,40,37,33,90,A,1,2,,,,,,,F. Mantilla,R. Carretero,M535,C383,ESP,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS019,R32,01:20:00,,F,2,B028,"7-5,6-2",B. Becker,N. Kiefer,,,GER,GER,7-5,6-2,,,,01:20:00,270,/en/stats/leaderboard?page=serve,,2,42,20,48,80,16,20,68,19,28,0,0,2,10,203,/en/stats/leaderboard?page=serve,,4,50,35,70,69,24,35,34,12,35,67,10,15,10,73,35,48,49,34,70,58,69,118,51,36,70,27,13,48,42,49,118,A,2,4,,,,,,,B. Becker,N. Kiefer,B028,K316,GER,GER,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS020,R32,00:49:00,,F,2,H355,"6-4,6-1",T. Haas,C. Moya,,,GER,ESP,6-4,6-1,,,,00:49:00,276,/en/stats/leaderboard?page=serve,,1,67,29,43,83,24,29,50,7,14,0,0,2,9,188,/en/stats/leaderboard?page=serve,,0,76,38,50,53,20,38,25,3,12,55,6,11,8,72,31,43,54,27,50,62,58,93,46,23,50,28,12,43,38,35,93,A,2,3,,,,,,,T. Haas,C. Moya,H355,M605,GER,ESP,,
