event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS011,R16,03:02:00,,F,4,M099,"6-2,3-6,7-6(7),6-3",T. Muster,J. Courier,,,AUT,USA,6-2,3-6,7-6(7),6-3,,03:02:00,271,/en/stats/leaderboard?page=serve,6,10,64,99,155,75,74,99,45,25,56,79,11,14,18,238,/en/stats/leaderboard?page=serve,7,8,58,84,145,71,60,84,38,23,61,67,12,18,20,64,99,155,43,62,145,54,161,300,57,83,145,36,56,155,46,139,300,A,,,7,4,,,,,,,T. Muster,J. Courier,M099,C243,AUT,USA,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS012,R16,02:28:00,,F,5,M605,"6-3,1-6,3-6,6-2,6-4",C. Moya,J. Bjorkman,,,ESP,SWE,6-3,1-6,3-6,6-2,6-4,02:28:00,257,/en/stats/leaderboard?page=serve,4,10,71,111,157,69,77,111,39,18,46,67,12,18,22,233,/en/stats/leaderboard?page=serve,5,3,55,76,139,66,50,76,43,27,63,65,11,17,21,61,95,157,45,62,139,53,157,296,55,77,139,39,62,157,47,139,296,A,,,,,,,,,,,C. Moya,J. Bjorkman,M605,B446,ESP,SWE,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS013,R16,01:45:00,,F,3,M535,"7-5,6-2,6-1",F. Mantilla,M. Washington,,,ESP,USA,7-5,6-2,6-1,,,01:45:00,244,/en/stats/leaderboard?page=serve,4,0,74,73,99,71,52,73,46,12,26,,0,,14,207,/en/stats/leaderboard?page=serve,9,3,62,61,99,77,47,61,13,5,38,69,11,16,13,65,64,99,47,47,99,56,111,198,53,52,99,35,35,99,44,87,198,A,,,,,,,,,,,F. Mantilla,M. Washington,M535,W124,ESP,USA,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS014,R16,03:16:00,,F,5,R286,"4-6,6-4,7-6(7),6-7(5),6-3",M. Rios,T. Enqvist,,,CHI,SWE,4-6,6-4,7-6(7),6-7(5),6-3,03:16:00,324,/en/stats/leaderboard?page=serve,2,30,60,117,195,85,99,117,59,46,78,60,3,5,26,278,/en/stats/leaderboard?page=serve,9,19,51,102,200,85,87,102,47,46,98,60,6,10,27,74,145,195,34,67,200,54,212,395,67,133,200,26,50,195,46,183,395,A,,,7,4,,,5,7,,,M. Rios,T. Enqvist,R286,E113,CHI,SWE,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS015,R16,02:15:00,,F,4,C274,"4-6,6-2,6-2,6-1",M. Chang,A. Medvedev,,,USA,UKR,4-6,6-2,6-2,6-1,,02:15:00,274,/en/stats/leaderboard?page=serve,5,6,47,57,122,74,42,57,58,38,65,86,6,7,17,228,/en/stats/leaderboard?page=serve,4,5,61,67,110,67,45,67,37,16,43,63,10,16,16,66,80,122,45,49,110,56,129,232,55,61,110,34,42,122,44,103,232,A,,,,,,,,,,,M. Chang,A. Medvedev,C274,M475,USA,UKR,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS032,R64,01:50:00,,F,4,S402,"3-6,6-2,6-3,6-2",P. Sampras,A. Voinea,,,USA,ROU,3-6,6-2,6-3,6-2,,01:50:00,287,/en/stats/leaderboard?page=serve,5,14,67,82,123,79,65,82,44,18,41,71,5,7,17,246,/en/stats/leaderboard?page=serve,,6,66,65,99,72,47,65,38,13,34,25,2,8,17,67,83,123,39,39,99,55,122,222,61,60,99,33,40,123,45,100,222,A,,,,,,,,,False,,P. Sampras,A. Voinea,S402,V166,USA,ROU,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS033,R64,01:40:00,,F,3,W035,"6-0,6-1,7-5",M. Woodforde,H. Gumy,,,AUS,ARG,6-0,6-1,7-5,,,01:40:00,265,/en/stats/leaderboard?page=serve,2,7,61,47,77,81,38,47,43,13,30,40,2,5,12,147,/en/stats/leaderboard?page=serve,2,1,59,48,82,40,19,48,26,9,34,33,5,15,13,66,51,77,66,54,82,66,105,159,34,28,82,34,26,77,34,54,159,A,,,,,,,,,,,M. Woodforde,H. Gumy,W035,G247,AUS,ARG,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS034,R64,01:15:00,,F,3,H377,"6-2,6-1,6-2",D. Hrbaty,N. Kulti,,,SVK,SWE,6-2,6-1,6-2,,,01:15:00,291,/en/stats/leaderboard?page=serve,2,5,57,44,77,82,36,44,58,19,33,50,1,2,12,181,/en/stats/leaderboard?page=serve,5,7,59,51,87,67,34,51,17,6,36,36,4,11,11,71,55,77,54,47,87,62,102,164,46,40,87,29,22,77,38,62,164,A,,,,,,,,,,,D. Hrbaty,N. Kulti,H377,K181,SVK,SWE,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS035,R64,01:39:00,,F,3,B428,"6-3,7-5,6-4",A. Berasategui,T. Carbonell,,,ESP,ESP,6-3,7-5,6-4,,,01:39:00,257,/en/stats/leaderboard?page=serve,3,1,73,73,100,63,46,73,48,13,27,56,5,9,16,217,/en/stats/leaderboard?page=serve,3,3,75,76,101,57,43,76,32,8,25,42,5,12,15,59,59,100,50,50,101,54,109,201,50,51,101,41,41,100,46,92,201,A,,,,,,,,,,,A. Berasategui,T. Carbonell,B428,C216,ESP,ESP,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS036,R64,02:00:00,,F,3,C378,"6-1,7-6(7),7-6(7)",A. Costa,J. Kroslak,,,ESP,SVK,6-1,7-6(7),7-6(7),,,02:00:00,312,/en/stats/leaderboard?page=serve,1,7,70,70,100,86,60,70,57,17,30,67,2,3,15,237,/en/stats/leaderboard?page=serve,6,5,52,67,128,67,45,67,44,27,61,64,7,11,16,77,77,100,44,56,128,58,133,228,56,72,128,23,23,100,42,95,228,A,7,2,7,0,,,,,,,A. Costa,J. Kroslak,C378,K296,ESP,SVK,,
